 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband maternal gpm gmm
pcs.V5 8.405517986014982e-07 -1.4142335225961318e-06 3.336537135512776e-08 -2.4722290589498886e-10 -4.7592879650779e-06 3.5659766937391737e-07 -9.10341459882106e-09 7.863024221360279e-11 -7.280296646462238e-08 4.467710102067246e-08 2.1027448690242754e-06 1.4817338726944897e-08 4.0458575886634555e-08 -2.6938777566890424e-08 1.8675557001470167e-08 -4.521932653338567e-08 1.385274935344439e-08 2.0662705742953506e-08 -3.5565153305650286e-09 -5.5756183676005395e-09 -3.063406825592105e-08 -1.700716189706076e-08 -4.334254080211852e-08 -6.317039838303894e-08 3.621122501259975e-08 4.57317423025589e-08 6.630039974318547e-08 8.260202296766621e-09 4.0598569907945853e-07 -3.045613499891461e-07 4.2745194893244055e-07 -7.514785684494034e-08
pcs.V6 6.449033420046765e-07 1.3228752200248015e-06 -3.491750130175648e-08 2.893202012035486e-10 5.323775901076908e-06 -2.9786120984801745e-07 7.665103519091136e-09 -7.204732471711171e-11 1.4010420308320465e-08 8.995069626954916e-09 1.4817338726944429e-08 2.0718422485774907e-06 1.1723959908747534e-08 5.5594065105439795e-09 2.175283225993107e-08 -4.422784354619683e-08 4.5366437497360946e-08 -7.274268833188801e-08 -5.1205633379302255e-08 -1.7641001085445526e-08 2.550884605675916e-08 1.2023908848214624e-08 -2.6205376177070576e-08 4.202091722270803e-08 3.5566916413138636e-08 9.028593443156291e-09 -6.465843951017799e-08 1.0800854029647609e-08 5.272519022970856e-07 7.734120140699117e-07 -4.2890296085545756e-07 -1.550544388314105e-06
pcs.V7 1.8477660441742442e-06 1.7294740126995498e-07 -8.084974432613216e-09 9.372924741281501e-11 -2.5819637617294827e-05 2.2028189461011495e-06 -6.028163056301592e-08 5.285596992106012e-10 5.2320388432314445e-08 2.3478821225037418e-08 4.045857588663594e-08 1.1723959908745807e-08 2.4345857843462646e-06 -1.0940795194543432e-09 -6.483606256530784e-09 -7.559011854861578e-08 -9.509636461793935e-10 -4.5109924554353643e-08 2.6019896865087978e-08 -3.524787077987513e-08 3.398034799694038e-08 -4.957245101990901e-08 -9.412594081378427e-08 -5.0438274629041606e-08 -1.3972413573714298e-08 -1.442429659997586e-08 -1.3696230684769171e-08 -9.919056143199892e-09 1.6705724126355701e-07 -1.869962153911968e-07 1.4373708211803665e-06 -8.638634172886117e-07
pcs.V8 -8.770112925581432e-07 -4.8759996259854514e-08 2.0629435906142544e-09 -2.8609270573220397e-11 2.3463016804331173e-05 -2.2039042438627975e-06 6.216746767245145e-08 -5.301748411081859e-10 5.527449071066661e-08 -1.580448158485322e-08 -2.693877756689169e-08 5.5594065105454726e-09 -1.0940795194530913e-09 2.4091016867099706e-06 6.506769696253906e-08 1.4483582329331916e-08 3.347795572132326e-08 1.0901600765512024e-07 -8.118192172458545e-09 -1.3550216685691193e-07 -1.687977855296143e-08 1.0003542054196378e-08 6.955194173193278e-09 7.036495533064584e-08 6.328128204287247e-08 6.464477439657772e-08 -2.4137794371579796e-08 1.5049605081927798e-08 4.529938256914533e-07 3.6985705483232926e-07 -1.1618492123322712e-06 -6.38448435293248e-08
pcs.V9 2.4685999757444754e-06 1.6360016783174667e-06 -4.4574145468309464e-08 3.7983674250984316e-10 -1.2528702235799488e-05 1.542900285732388e-06 -5.221594736919735e-08 5.316944321566819e-10 5.0265899604901286e-08 -5.318557764479809e-08 1.8675557001471596e-08 2.1752832259929036e-08 -6.4836062565307e-09 6.5067696962538e-08 2.3538387691971674e-06 1.0214917558104992e-08 1.6878918798433762e-08 -1.8636301687515562e-08 1.7086369028463556e-08 -8.050105034698939e-08 -1.376083109628992e-08 -1.3498039146140204e-08 -4.810950314988752e-09 -3.170771167887918e-08 -4.963436087075139e-08 -7.503020121980008e-09 -2.8708458051162595e-08 3.068840942865408e-08 -2.2449679213214783e-09 2.828175398854973e-07 -1.2652622710156951e-06 2.5926295645735394e-07
pcs.V10 4.572970250233291e-07 1.3176095448316042e-06 -3.071537885323696e-08 2.2716908798928348e-10 1.2910874150836023e-05 -1.0359115363126016e-06 2.5749833934536326e-08 -2.0597003484472363e-10 5.719887107662892e-08 3.6289901627748724e-08 -4.521932653338605e-08 -4.4227843546196706e-08 -7.55901185486143e-08 1.4483582329330913e-08 1.0214917558106362e-08 2.336524124947222e-06 2.7008289814768657e-08 6.190672661492079e-08 2.9049804750582403e-08 3.0694150026153636e-08 -8.163181344523946e-09 -5.933755557809292e-09 1.6758445904411164e-08 3.6876006292900864e-08 -1.952772984419155e-08 2.7118478111460042e-08 -1.5896977760358478e-09 2.1838358482384273e-08 3.495592547571569e-07 3.459300587785453e-07 4.3593594596893177e-07 -1.0640095503414307e-06
pcs.V11 3.462999856562475e-08 6.870631491226704e-07 -1.888081024821261e-08 1.6727982032473859e-10 -1.7818318396171198e-06 -1.9368537479252966e-08 5.4924684833111895e-09 -8.820621926206888e-11 -3.3351362685764586e-08 9.597568300695377e-10 1.3852749353443633e-08 4.536643749736137e-08 -9.509636461792764e-10 3.3477955721323225e-08 1.6878918798434646e-08 2.7008289814769206e-08 2.3354822942122235e-06 2.526712244304159e-08 -4.30303877272006e-09 -3.7892563737463283e-08 5.287032417037597e-08 -6.661790500922893e-08 5.088829964763141e-09 8.19434716699184e-08 4.2382829202768785e-10 2.766876592889142e-08 -2.4153915315400035e-08 2.295368961808799e-09 -7.473311427842908e-08 -2.308825307282102e-07 -1.5933145472756654e-06 1.1821731882526697e-06
pcs.V12 -2.9892408533758596e-07 -2.4780088786108387e-06 6.028872223472883e-08 -4.4878397419111083e-10 -2.482365818162114e-05 1.9613001099628258e-06 -4.491780163382935e-08 3.045451159925789e-10 3.474180688912142e-08 -2.634797214821251e-08 2.0662705742953532e-08 -7.274268833188764e-08 -4.5109924554357296e-08 1.0901600765512322e-07 -1.8636301687518855e-08 6.190672661492146e-08 2.5267122443043124e-08 2.2695600740402638e-06 -7.225323362665218e-08 -2.051991396918116e-08 1.6826612861971732e-09 -8.358411554295088e-09 -5.135361935546439e-08 -3.8401478916609525e-08 -7.64539708940724e-08 -1.073311294952227e-08 -4.379520020710618e-08 3.168100356051374e-08 2.4086031984487846e-07 1.3410047212853683e-07 -4.2046684848637723e-07 -1.1177607599794856e-06
pcs.V13 3.7948618772126993e-08 1.3117534409322033e-06 -3.910299608050426e-08 3.4248484796720425e-10 1.8002167050314938e-05 -1.7771217979184155e-06 5.0101724573288474e-08 -4.2718011832566876e-10 -2.842130405153128e-08 5.472945034997644e-08 -3.55651533056686e-09 -5.1205633379300706e-08 2.6019896865090274e-08 -8.118192172459725e-09 1.7086369028466673e-08 2.904980475058359e-08 -4.3030387727202514e-09 -7.225323362665566e-08 2.366387401812583e-06 9.773500762722846e-10 3.7375074405779755e-08 -5.308060438957801e-09 -3.2514864176288256e-08 -4.748109882273216e-08 -9.4669148798057e-08 4.665880214586e-08 2.4990736454379734e-08 -1.5948081737611207e-08 3.0143245946545153e-07 -6.561072317031869e-07 4.928857595992651e-07 -5.841871547044041e-07
pcs.V14 -1.5819684620741315e-06 4.269468343152068e-07 -9.042959517021123e-09 4.9761236328344685e-11 2.3470201746787923e-05 -2.148893091975418e-06 6.09144994483344e-08 -5.381609428851878e-10 8.959042431043175e-09 -6.194716929296564e-08 -5.5756183676020326e-09 -1.7641001085443922e-08 -3.524787077987356e-08 -1.3550216685691233e-07 -8.050105034698767e-08 3.069415002615473e-08 -3.789256373746324e-08 -2.051991396918441e-08 9.773500762732894e-10 2.410903562052083e-06 -1.6820078892657596e-08 -2.8194733675515197e-08 -1.8755317031991508e-08 -6.46266654316163e-08 5.214326175832748e-08 -4.345857520968858e-08 -6.17635998708568e-08 5.0671128022788686e-08 -9.077935041265383e-08 1.348463622713871e-07 6.344246547898709e-08 -6.422936704901676e-07
pcs.V15 -1.4738612554489264e-07 -4.617585969438139e-07 9.540195704418004e-09 -6.194201483062057e-11 6.485072691538745e-06 -6.41062221369135e-07 1.784317048661246e-08 -1.4468607327300336e-10 2.051464339437875e-08 -5.5215021352475435e-08 -3.063406825592173e-08 2.550884605676007e-08 3.398034799694076e-08 -1.687977855296143e-08 -1.3760831096289136e-08 -8.163181344523261e-09 5.287032417037626e-08 1.6826612861956808e-09 3.737507440578082e-08 -1.682007889265728e-08 2.373068793525122e-06 -4.308806223558718e-08 -3.051492520393776e-08 -1.0898869807542841e-09 3.325739577175434e-08 -5.8052166339157176e-08 -3.466602759075951e-08 -2.7983828182743576e-08 7.454110154849753e-07 2.8452401059110587e-09 -2.140661400707738e-08 -1.8364834898343207e-06
pcs.V16 1.5947600173908334e-06 1.1157539137271335e-07 -9.807466554910095e-09 1.321013627325845e-10 -1.7776809485682728e-06 1.0890006707307423e-07 -4.980873519279398e-10 9.747001623821352e-12 -1.5813932369883866e-08 4.239089507899662e-08 -1.7007161897061194e-08 1.2023908848215014e-08 -4.957245101990775e-08 1.0003542054195162e-08 -1.349803914613827e-08 -5.933755557809175e-09 -6.661790500922878e-08 -8.358411554295566e-09 -5.308060438958188e-09 -2.819473367551635e-08 -4.3088062235587797e-08 2.297289124161255e-06 -4.087108805840006e-09 -8.90438682869245e-09 -4.588640692616797e-08 -1.328777305291914e-08 -2.7286262601154236e-08 2.135599407790485e-08 -9.858056683285249e-08 3.628405300941553e-07 -8.78004766730725e-07 1.0949328673339434e-06
pcs.V17 1.5781301814060874e-06 1.0612585792870774e-06 -3.097474705840293e-08 2.7705745422004753e-10 -9.933660310281952e-06 6.451553946118597e-07 -1.5277410695067656e-08 1.2032664466128071e-10 -4.4620388217591114e-08 4.847721414487016e-08 -4.3342540802118806e-08 -2.6205376177070775e-08 -9.412594081378436e-08 6.955194173193156e-09 -4.810950314988165e-09 1.6758445904411333e-08 5.088829964763005e-09 -5.13536193554649e-08 -3.251486417628878e-08 -1.8755317031991773e-08 -3.051492520393818e-08 -4.0871088058407955e-09 2.4187250806069742e-06 3.870258525849007e-08 3.437802835911791e-08 4.719818566219065e-08 1.046736260567268e-08 -7.638235375551433e-08 4.077084244247177e-07 -6.33227577639042e-07 -3.9333488012710297e-07 8.261918981951825e-07
pcs.V18 7.227290691443392e-08 7.372858957024639e-07 -1.2103075943434462e-08 5.0570614785365326e-11 -2.059220094866169e-06 6.878079879118317e-07 -2.9896877774687615e-08 3.2553986131214155e-10 2.6493589308632502e-08 2.9184077931606657e-09 -6.317039838303741e-08 4.20209172227063e-08 -5.043827462904279e-08 7.03649553306462e-08 -3.1707711678881004e-08 3.687600629289975e-08 8.19434716699176e-08 -3.8401478916606746e-08 -4.7481098822733847e-08 -6.462666543161645e-08 -1.0898869807540786e-09 -8.904386828693624e-09 3.870258525848888e-08 2.3110601457817038e-06 7.475590604777514e-09 1.5057026378119368e-08 -4.914597816475221e-08 1.464670806069695e-08 -2.4584944469308597e-07 6.037231714739645e-07 -7.203860006404302e-07 -1.4144756753098984e-07
pcs.V19 -1.6893441487682893e-06 -1.6965981684828648e-06 4.8128482427544665e-08 -4.2529050118329447e-10 -1.203250785606305e-07 -2.008829852002393e-07 8.78388533390965e-09 -9.735579034910262e-11 1.5641121135426648e-08 6.97949449623631e-08 3.6211225012599835e-08 3.5566916413139006e-08 -1.397241357371596e-08 6.32812820428742e-08 -4.9634360870753756e-08 -1.9527729844191245e-08 4.2382829202827427e-10 -7.645397089407255e-08 -9.466914879805487e-08 5.21432617583295e-08 3.325739577175554e-08 -4.5886406926167e-08 3.437802835911771e-08 7.475590604775081e-09 2.37307325772701e-06 3.8033105610587754e-08 6.430142092413263e-08 2.2849466008875007e-08 -2.4409011480972453e-07 1.3630658238337573e-06 1.0530671165901233e-06 -3.126837162626047e-06
pcs.V20 4.535688614253252e-08 -1.3770797711217734e-07 2.446192613757475e-09 -1.0582096779632628e-11 7.496985310205445e-06 -7.559776712915182e-07 2.3043435314129335e-08 -2.1685396426513684e-10 -3.5841445520368374e-08 4.770049060018599e-09 4.5731742302558103e-08 9.028593443157135e-09 -1.4424296599975414e-08 6.464477439657774e-08 -7.503020121979252e-09 2.7118478111460674e-08 2.766876592889162e-08 -1.0733112949523881e-08 4.665880214586078e-08 -4.345857520968837e-08 -5.805216633915723e-08 -1.3287773052918632e-08 4.719818566219094e-08 1.505702637811936e-08 3.803310561058669e-08 2.2299005373960885e-06 5.021204080743859e-08 4.677384851163643e-08 2.659700910985658e-07 -2.3539765432187378e-07 -6.465094101690414e-07 1.4966104584065954e-07
pcs.V21 -1.6659922476621053e-06 -8.282635593791202e-07 2.8481028505406343e-08 -2.838520874171677e-10 1.3192778522125371e-05 -1.015522830511465e-06 2.32923513947173e-08 -1.721944947915737e-10 4.224870205478708e-08 -7.852621714123696e-09 6.630039974318574e-08 -6.46584395101777e-08 -1.3696230684770685e-08 -2.4137794371577877e-08 -2.870845805116487e-08 -1.5896977760354294e-09 -2.415391531539999e-08 -4.379520020710676e-08 2.4990736454381385e-08 -6.176359987085491e-08 -3.4666027590758536e-08 -2.7286262601153465e-08 1.0467362605671946e-08 -4.914597816475432e-08 6.430142092413296e-08 5.021204080743947e-08 2.3997783351580836e-06 5.93124191312453e-08 4.078259993210281e-07 -3.837826867550961e-07 1.5148356513758887e-07 -5.072749317745319e-07
pcs.V22 -2.350308707625022e-06 6.638479292093958e-07 -1.2375531483587336e-08 5.922119101350604e-11 3.698280721437802e-05 -3.3018626743138117e-06 9.134133563586724e-08 -8.04175577066649e-10 1.1596607752478069e-08 2.0175575886491707e-08 8.260202296764656e-09 1.0800854029650086e-08 -9.919056143197829e-09 1.5049605081927798e-08 3.0688409428656195e-08 2.1838358482385702e-08 2.2953689618087376e-09 3.1681003560508557e-08 -1.5948081737609642e-08 5.067112802278811e-08 -2.7983828182743946e-08 2.1355994077906462e-08 -7.63823537555143e-08 1.4646708060696962e-08 2.284946600887236e-08 4.677384851163637e-08 5.9312419131242706e-08 2.3952599399190805e-06 1.617429732697366e-07 1.1753348869562317e-06 -9.14681872022888e-07 -1.5770300783068306e-06
proband -8.915972937085088e-06 1.951090700421462e-06 -3.516758273917649e-08 1.3952856886652857e-10 2.3987687281396954e-05 -2.225986792432595e-06 7.024800561552025e-08 -6.095983294713853e-10 -6.416247201047098e-07 6.420559096263749e-07 4.0598569907945514e-07 5.272519022970888e-07 1.6705724126353856e-07 4.5299382569147433e-07 -2.244967921339243e-09 3.4955925475716567e-07 -7.473311427842767e-08 2.408603198448637e-07 3.0143245946546747e-07 -9.077935041263444e-08 7.454110154849809e-07 -9.858056683285227e-08 4.077084244247115e-07 -2.458494446930961e-07 -2.440901148097211e-07 2.659700910985729e-07 4.07825999321035e-07 1.6174297326976565e-07 0.0002235748879108875 -0.00011948121473432202 1.6577693282425236e-05 -1.3680860226320572e-05
maternal 1.2069498101350653e-05 -4.109612313617599e-05 1.0601664408528206e-06 -8.506298317699133e-09 -0.0005562600934287107 4.9664422441140646e-05 -1.3353447133597142e-06 1.1311760555071053e-08 8.390404573138631e-07 -4.580378901423914e-07 -3.045613499890853e-07 7.734120140698584e-07 -1.8699621539110876e-07 3.6985705483220586e-07 2.8281753988555665e-07 3.459300587784548e-07 -2.3088253072821517e-07 1.3410047212871852e-07 -6.561072317033068e-07 1.3484636227126546e-07 2.845240105890058e-09 3.6284053009414893e-07 -6.332275776390109e-07 6.037231714740004e-07 1.3630658238337764e-06 -2.3539765432190872e-07 -3.837826867551142e-07 1.1753348869560521e-06 -0.00011948121473432206 0.0008811321251874959 -0.000653837289498774 -0.0005764864831137161
gpm 1.6416786975715426e-05 5.100357195691514e-05 -1.2057302018885053e-06 9.104085575778748e-09 -4.5772136895310796e-05 -4.5013292990488504e-07 3.510953660146838e-08 -1.6420638696723448e-10 -1.6795830182115732e-06 1.1429765346060488e-06 4.274519489324289e-07 -4.2890296085545656e-07 1.437370821180301e-06 -1.1618492123322006e-06 -1.2652622710157506e-06 4.35935945968967e-07 -1.5933145472756747e-06 -4.204668484864345e-07 4.928857595992974e-07 6.34424654790447e-08 -2.1406614007065245e-08 -8.780047667307507e-07 -3.933348801271378e-07 -7.203860006404341e-07 1.0530671165901584e-06 -6.465094101690269e-07 1.5148356513763956e-07 -9.146818720227939e-07 1.65776932824257e-05 -0.0006538372894987736 0.0019640157445104858 -0.0007579778757990834
gmm -1.3060097943208284e-05 -5.564411495534882e-06 4.255336828523812e-08 1.4419411082254264e-10 0.0008508475500055655 -7.38039382697502e-05 1.9453431529975093e-06 -1.591089012431229e-08 -9.031681995182769e-07 7.709804989621162e-07 -7.514785684500864e-08 -1.5505443883140312e-06 -8.638634172886826e-07 -6.384484352920857e-08 2.5926295645730545e-07 -1.0640095503413386e-06 1.1821731882526867e-06 -1.11776075997968e-06 -5.84187154704253e-07 -6.422936704900394e-07 -1.8364834898342938e-06 1.0949328673339825e-06 8.261918981951676e-07 -1.414475675310562e-07 -3.126837162626104e-06 1.4966104584070292e-07 -5.072749317745559e-07 -1.5770300783066549e-06 -1.3680860226320882e-05 -0.0005764864831137174 -0.0007579778757990819 0.0019025623545249701
