 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband
intercept 0.00011346495113568621 6.890716206589e-06 -1.9083121866970236e-07 1.8687898380006174e-09 -1.590702417743366e-05 1.4418948631086284e-06 -4.0230669294516454e-08 3.748995007028295e-10 1.989606937604726e-07 2.3668575026339278e-07 -1.470430175289749e-07 -4.694713606972168e-08 -7.403844337753469e-08 7.056731204542745e-08 -5.319592584051984e-08 6.042420941799852e-08 -3.844860889557065e-08 -8.21220726579673e-08 -8.40254506255744e-08 -5.355451788082676e-08 3.2022076904359116e-08 4.372928738132953e-08 -2.5450878086393865e-08 -3.862363182594391e-08 8.53743864303598e-09 -1.4244556684940982e-08 4.429874412010614e-08 -3.459188402573978e-08 -3.9350618452527484e-07
age 6.890716206537256e-06 0.000242691346009769 -5.587882396894165e-06 3.9960093080139774e-08 0.0029513676143621014 -0.00022335839598787178 5.1241233866517534e-06 -3.647441317470419e-08 -6.223744806447717e-08 2.092060801913037e-07 -1.2118407564982596e-07 1.9573913621458258e-07 1.0820067401002814e-07 9.035104023008039e-08 1.0966692740081525e-07 6.238952535595805e-08 6.94977453737859e-08 -3.597718340457372e-07 -2.823012134497905e-08 5.0985488690370914e-08 -1.5147934087324572e-07 -2.461294267319727e-07 -2.0356603695610287e-07 2.3275366399915357e-07 1.742132299927723e-07 -1.588160033597579e-07 1.1882017485375866e-07 3.015866853523926e-07 -6.846719487716134e-07
age2 -1.9083121866519654e-07 -5.587882396895582e-06 1.3110868414191013e-07 -9.533680161571226e-10 -6.638350514829726e-05 5.13286896899052e-06 -1.2004343910487048e-07 8.691072431558128e-10 3.2670733774504057e-09 -4.418520453487601e-09 2.1521273748731664e-09 -4.737111885043997e-09 -2.7304390849879793e-09 -2.8842889965361794e-09 -1.989280624632031e-09 -8.36002097954256e-10 -1.5134385611572378e-09 8.258345500854355e-09 1.112670839581855e-09 -1.037561993484216e-09 3.227238384159006e-09 4.89190292800157e-09 3.5531400977996665e-09 -4.797903513844709e-09 -4.522360159863036e-09 3.320254915209828e-09 -3.2137637273410707e-09 -7.004469675021256e-09 1.5697474975312034e-08
age3 1.868789837978874e-09 3.996009308013781e-08 -9.533680161568612e-10 7.044715537562246e-12 4.6528294158031966e-07 -3.6600879057972684e-08 8.707254433748113e-10 -6.407449200224711e-12 -3.3945428602356095e-11 3.2331404706056707e-11 -1.4719368700881422e-11 3.446053308156906e-11 1.9113501707760823e-11 2.5443628044864427e-11 1.1524044967906211e-11 3.7245828691152565e-12 1.203993972397398e-11 -5.889513678684877e-11 -1.3003813027261247e-11 5.368373111459405e-12 -2.254600802456567e-11 -2.933955524860878e-11 -1.9596271887974612e-11 3.0585416486620995e-11 3.5327533389567223e-11 -2.170791081751606e-11 2.5834597264860628e-11 4.9725412316424896e-11 -1.0619957215050853e-10
sex -1.590702417748587e-05 0.0029513676143559688 -6.638350514816134e-05 4.652829415793831e-07 0.10262302691072375 -0.007685262500034493 0.00017552394457302537 -1.2492467091376513e-06 -7.605060349125134e-07 -8.487737752851212e-07 2.7908501231631286e-07 1.1682393871433679e-06 -1.8112466484338864e-06 -5.220179515549591e-07 1.885392995856714e-06 -3.721241682618879e-07 -2.228818627422946e-06 -3.100390922289141e-06 -2.601739356639806e-07 3.0549491838825816e-06 -1.616544087281265e-07 -2.593098056060181e-06 -4.533213926178622e-06 1.959566021643452e-06 1.4329323360359762e-07 -2.00739229634748e-06 3.1040357929196043e-06 4.025410702302181e-07 -1.833166085257194e-05
agesex 1.4418948630712567e-06 -0.00022335839598728232 5.132868968977501e-06 -3.660087905788345e-08 -0.007685262500033286 0.0005911096169299079 -1.3779084710285097e-05 9.968643412379688e-08 1.1004659577123777e-07 7.576924273839122e-08 -1.966199281999401e-08 -6.094194276634748e-08 1.0672629398071172e-07 -6.10285570942447e-09 -7.091547673760036e-08 4.321384010089802e-08 1.6114795620201215e-07 2.3730414409713706e-07 4.415280951989646e-09 -2.208834513047497e-07 -2.3167537790902305e-08 1.7935081802560994e-07 2.9573019613705595e-07 -9.754197046579637e-08 -8.626038155428761e-08 1.5578821189244118e-07 -2.7078511238853397e-07 -4.6183220607098253e-08 1.031527553726827e-06
age2sex -4.0230669302245796e-08 5.124123386640112e-06 -1.2004343910461438e-07 8.70725443373041e-10 0.00017552394457296988 -1.3779084710283003e-05 3.272282980480995e-07 -2.406503029817512e-09 -3.813917817318596e-09 -1.9533916423017135e-09 2.570829227850919e-10 1.3326418359203223e-09 -2.176100282937307e-09 9.78855097810782e-10 6.437716808801347e-10 -1.4892462506851686e-09 -3.1775386505507213e-09 -5.263000727776177e-09 -3.236797358229745e-10 4.672094722187959e-09 1.122247222670327e-09 -3.3828738953995895e-09 -6.320287861960079e-09 1.0658363904877615e-09 3.128797564292205e-09 -3.978439785301028e-09 6.774283753772639e-09 8.67013416997044e-10 -1.409565730442151e-08
age3sex 3.7489950069771027e-10 -3.647441317459802e-08 8.691072431534518e-10 -6.407449200208415e-12 -1.249246709137063e-06 9.968643412376733e-08 -2.4065030298171765e-09 1.7975464036221064e-11 3.354320036094672e-11 1.6790218603209643e-11 8.392321047352514e-13 -1.1697374599348668e-11 1.6855569386006613e-11 -1.07571045352823e-11 -5.438390217503359e-13 1.2155969327463635e-11 1.81758443605147e-11 3.5595146747582225e-11 4.187169694935999e-12 -3.0093321905498074e-11 -1.0076200388663935e-11 1.935045397289743e-11 4.351775361120845e-11 1.0222389808918499e-12 -2.8384218729511108e-11 3.170013949331182e-11 -5.2089288354841827e-11 -4.948901941753129e-12 2.4829467568919787e-11
pcs.V3 1.989606937605261e-07 -6.223744806434837e-08 3.26707337744763e-09 -3.394542860233738e-11 -7.605060349136378e-07 1.1004659577134921e-07 -3.813917817321746e-09 3.35432003609734e-11 1.1874582819463512e-06 7.721740211315443e-08 -2.7340587073613315e-08 -4.120599337387123e-09 6.131914357601308e-09 1.5796713960032883e-08 -5.71699218374233e-09 9.39934882876389e-09 6.0202228111322606e-09 2.10743500184704e-09 -8.123054984038839e-09 9.883901831724432e-09 1.7142177195685714e-09 -1.2115366031308697e-08 -8.452746044266512e-09 -1.1785344351650966e-08 -3.3131943890512467e-09 -8.31723830827534e-09 1.1188420268961716e-08 2.037693857282834e-09 -4.6335146697253274e-07
pcs.V4 2.3668575026337145e-07 2.092060801918028e-07 -4.418520453499178e-09 3.2331404706139935e-11 -8.487737752718426e-07 7.576924273735837e-08 -1.9533916422773786e-09 1.6790218603031906e-11 7.721740211315407e-08 1.257326851082658e-06 2.5813212799319385e-08 -1.0569610421823084e-10 1.52218923132504e-08 -2.0900689994632332e-08 -4.067316529779579e-09 2.0338944741481038e-08 -2.6283516042467718e-09 -4.897919405104896e-09 1.230954400012008e-08 -7.90168865682487e-09 -4.9295431338860255e-09 1.4465172266667923e-08 1.2473591610852289e-08 5.974727919913172e-09 6.3415162918685775e-09 -6.66953772470229e-09 -4.314615118867978e-09 1.8881887832649197e-09 5.429180641565397e-07
