 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal gpp gpm gmp gmm
pcs.V5 1.559127723765877e-06 -5.061724994554526e-06 1.419338059860258e-07 -1.262823998300125e-09 -3.973831768958135e-05 4.435098208587461e-06 -1.5003992091035267e-07 1.5809182982431747e-09 -4.662994962442633e-08 7.046223537408638e-08 3.061118336165895e-06 5.7172505737283996e-08 2.7358072698671794e-08 -1.2756076024058836e-08 -1.71009652425415e-08 -7.486706409703096e-08 5.431815526103021e-08 8.280787919578932e-08 -4.262800481996697e-08 -4.324156301828923e-08 1.200797614943954e-08 -5.014169733412742e-08 -1.012304920112711e-07 -1.6029033832310614e-07 1.1527718019930046e-07 8.782519689997266e-08 7.456356321466674e-08 3.3403619583655166e-08 6.890706033310007e-07 5.958314798292146e-07 -1.8629058177240626e-06 9.77532510125345e-07 6.762404249745528e-07 2.148504207733905e-06 3.3367121149973e-07
pcs.V6 -6.8930618193998874e-06 2.739763699440419e-07 1.0433623778216094e-09 -1.1689482766288204e-10 1.8561721188686184e-05 -1.8146530741620988e-06 5.840962038276553e-08 -5.814929003340012e-10 -4.3231346792967055e-08 4.445155331563053e-08 5.7172505737273144e-08 2.9322376713539336e-06 5.807776938134911e-08 8.63019231919025e-08 6.811332487692903e-10 -9.333028175319716e-08 1.2018998122244986e-07 -4.028919986266191e-08 -6.293655992073326e-08 -6.729363657976281e-08 4.138309148708171e-08 6.750389642292117e-08 -5.593487664935006e-08 2.2686852419404568e-08 -3.2766603083467825e-08 9.472631989020794e-09 -1.0559247941224273e-07 3.4552063492469774e-08 5.536958590247604e-07 -3.32319317914803e-07 -3.4708803925280625e-07 2.471619466665855e-06 9.191826491820935e-07 1.0849679685751142e-06 -2.6901589780110683e-06
pcs.V7 1.8677381180220643e-06 -1.2172341350065635e-07 -2.1921072893727594e-10 6.681795515789029e-12 -5.376820302524065e-05 4.636203428618655e-06 -1.2989165540276872e-07 1.1747205501174973e-09 1.2584128950169548e-07 6.904711659500991e-08 2.735807269870154e-08 5.8077769381349315e-08 3.574068810094305e-06 6.057245241143615e-08 -3.842691764447152e-08 -1.2673026676799814e-07 -1.729166882955533e-08 -9.107802341968318e-08 -7.441912523677073e-08 -1.200498157711164e-07 1.0153770713013953e-07 -7.437560833226244e-08 -8.515478452508089e-08 -2.5837321735006747e-08 1.641855845558504e-08 6.221143621772508e-09 -3.486408492891e-08 -2.0171511357422678e-08 8.872625069380388e-07 5.721554330898765e-07 -1.044039823136153e-06 6.647308713350997e-07 -2.6572511353232462e-06 4.372896354779664e-06 -1.871373089382721e-06
pcs.V8 -1.4835811129789166e-05 -2.0857918072397087e-06 6.405792886859814e-08 -6.614229613819406e-10 9.410746603014476e-05 -9.237131709408384e-06 2.814536563995259e-07 -2.6867085901769218e-09 1.0053809282477239e-07 -4.2632409876544676e-08 -1.2756076024140439e-08 8.63019231919134e-08 6.057245241140801e-08 3.4648573237868093e-06 9.075284250420511e-08 6.992504708310979e-08 7.361273160338805e-08 2.334641627171472e-07 -7.0678662433153e-08 -2.315983190527891e-07 -7.345996586847199e-08 -3.2070680817810635e-08 6.991291486725613e-08 8.243080972055937e-08 1.484083954506262e-07 9.248794401014805e-08 -6.940183737879114e-10 -3.748494412249945e-08 5.184774736215959e-07 -1.0087757337216311e-06 2.6886349899799453e-06 -9.92363940840542e-07 1.3404055402883125e-06 -2.4513706900317863e-06 -3.323967430704687e-06
pcs.V9 3.8095591238675883e-06 1.2711876672102707e-06 -2.591919871565411e-08 1.4211995998968707e-10 -2.321998514087147e-05 2.6300804971309194e-06 -8.993187367168265e-08 9.708537936598517e-10 2.999518756644666e-09 -8.575650733253193e-08 -1.7100965242519086e-08 6.811332487651667e-10 -3.8426917644462186e-08 9.075284250420138e-08 3.3594849959894565e-06 5.0996393803188085e-08 4.209418138907272e-08 -7.213493241185522e-08 -4.880756579771716e-08 -1.5652183591393948e-07 -2.3901876147565046e-08 -2.7868960875894956e-08 2.4983474345390448e-08 -7.514259646199912e-08 -1.3112264362184255e-07 -9.324504013440307e-08 4.335122827382749e-09 2.986444423254867e-08 1.0909875895112571e-07 2.5964954435462877e-06 1.3692276934610016e-06 -3.347797755976556e-06 -1.4204442918944567e-06 -3.0985375727094807e-06 1.0104170139548781e-06
pcs.V10 -2.407721938373289e-07 -4.091061274916784e-07 2.2026558571012376e-08 -2.413234071318074e-10 1.2895140556082689e-05 -8.896983388185525e-07 1.942347525638092e-08 -1.4533772108537748e-10 8.583759501806751e-08 1.7654215739188136e-08 -7.486706409704316e-08 -9.33302817531953e-08 -1.267302667680034e-07 6.99250470831139e-08 5.09963938031873e-08 3.5318247606686756e-06 1.0550208334797317e-08 3.934966163605534e-08 1.4582307751129887e-08 -1.626047499516901e-09 -4.31279222608204e-08 -3.754408240109075e-08 1.7120618880281272e-07 3.423379417810912e-08 5.543532201517219e-09 1.3349443640916008e-08 5.197399853503138e-08 -2.5325122836917256e-08 8.404849058099732e-07 2.1123338793132894e-06 4.484547282032404e-07 -6.719766969378772e-07 -1.6333217969778612e-06 2.9271019366522147e-06 -3.5286180355492067e-06
pcs.V11 -3.905449217370005e-06 -5.251031058466198e-07 1.8181016772541728e-08 -1.8394401247051613e-10 -7.236279682836934e-07 -4.7512011845997355e-07 3.053387805779457e-08 -4.2191750508929914e-10 -7.31956725160463e-08 8.434476684334391e-08 5.431815526102299e-08 1.2018998122245256e-07 -1.7291668829561417e-08 7.361273160339705e-08 4.209418138907098e-08 1.0550208334798107e-08 3.502814486462612e-06 1.2956249625194355e-07 6.183722696579914e-08 -7.027083673874538e-08 8.765948383206321e-08 -1.4625159084773471e-07 -3.573143376536703e-08 1.1445892754201178e-07 -1.0877096709331435e-07 8.322698378264695e-08 -5.6147195049000696e-08 1.2220487696211852e-07 -6.824670030251776e-07 -1.2762058328317272e-06 -5.936763222700589e-07 6.078005975076599e-07 2.3146544154733732e-06 -2.0155093504085285e-06 1.0426213554993795e-06
pcs.V12 -1.3896970284543195e-06 -1.9164160788009286e-06 4.7337456594679884e-08 -3.3375065724705876e-10 3.3650357324391983e-05 -3.1530107456019343e-06 9.717230558773734e-08 -9.747427016958302e-10 1.1750839176138194e-07 -3.216409126597863e-08 8.280787919575664e-08 -4.028919986265614e-08 -9.107802341969698e-08 2.3346416271715634e-07 -7.213493241185665e-08 3.934966163605471e-08 1.295624962519417e-07 3.4107573278971755e-06 -2.2139797117727146e-07 -2.064639141578628e-08 2.9764308774111345e-08 -9.681269397564432e-08 8.791744679537325e-09 -1.369445025570408e-07 -7.47614410076599e-08 -2.0962180599439182e-08 -1.1344739674104598e-08 5.050411908399051e-08 -6.021432851250104e-07 1.2269234709522921e-06 6.133150158097077e-07 -3.193426513007802e-06 2.960595165879904e-06 1.0101756732961058e-06 -4.408990457551809e-06
pcs.V13 -1.980016731845469e-05 -6.02742442635405e-06 2.0946425007084558e-07 -2.276023803068957e-09 -5.669650219678331e-07 9.076624083816429e-07 -5.994825855017163e-08 8.933967828375924e-10 -9.206735842544426e-08 7.062341166193729e-09 -4.26280048200173e-08 -6.293655992071232e-08 -7.441912523682588e-08 -7.067866243304316e-08 -4.880756579774678e-08 1.4582307751143384e-08 6.18372269658051e-08 -2.2139797117723263e-07 3.6122094196748988e-06 -8.787006134319843e-08 6.764538937926568e-08 1.0434228813627279e-08 -1.325649174910209e-07 -3.409876731569014e-08 -2.1396921276694186e-07 3.2669142979631666e-08 -4.86309705638969e-08 -3.9614072276877756e-08 7.424055134064865e-07 -3.223872783860071e-06 -1.9635486660058188e-06 9.557239697577985e-07 1.4695273748454584e-06 1.2037922211085467e-06 1.4088041533168418e-07
pcs.V14 -5.003937330086805e-06 1.8204312689349042e-06 -5.398524695309295e-08 4.948784850093221e-10 7.323219053390768e-05 -7.156611953346556e-06 2.2056134926780504e-07 -2.1367709916732374e-09 -5.029454142159829e-08 -1.2831543730208418e-07 -4.3241563018319073e-08 -6.729363657976804e-08 -1.2004981577110286e-07 -2.315983190528574e-07 -1.5652183591391857e-07 -1.626047499528028e-09 -7.02708367387558e-08 -2.0646391415817157e-08 -8.787006134327876e-08 3.4327095747466167e-06 -4.5126663102177425e-08 1.7380503218881796e-08 -2.6881149094984335e-08 -1.33341891018603e-07 1.4045835506339212e-08 -1.0097810962697877e-07 -9.456504740592648e-08 7.582413410610395e-08 -1.8134975751248036e-07 -3.603298548944284e-08 1.0160801299881718e-06 2.358752343332117e-06 5.76371471472353e-09 -1.2946109246822184e-06 -4.831813506335718e-07
