 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal gpp gmp gpm gmm
intercept 0.021744205642613226 0.007975769147386944 -0.0002573136853676613 2.635454856411175e-06 0.036663708657944966 -0.003749910560163936 0.00012112235869617728 -1.245709462821575e-06 7.807868865935729e-07 1.363478862157159e-06 2.8182594781769697e-06 -6.5632458383391034e-06 2.3321316875150265e-06 -1.2375264370207977e-05 4.037785106017222e-06 2.0054027734348355e-06 -4.229098757616126e-06 -2.2520369417384796e-06 -1.3454492145213387e-05 -2.7962879881694556e-06 -6.664880448945154e-06 4.687394225272372e-07 1.8230057053778684e-06 7.502800028427576e-07 4.481383914032039e-06 3.9454085509583216e-07 8.997675466647832e-06 -6.687791545305254e-06 -2.950258241482103e-05 0.0002512869358788033 0.0001549460437954715 -0.0003486998409834375 -5.823297116159895e-05 -4.654322577931471e-05 -7.57460888338926e-05
age 0.007975769147387572 0.006144906946629563 -0.00018475807290132892 1.75684045693808e-06 0.05757937203445513 -0.005509400191598009 0.00016531745206517363 -1.5703566957828356e-06 2.325879548105414e-06 -1.8025417643667866e-06 -4.809062712059463e-06 1.3988330907680063e-07 1.0155339016705578e-06 -1.397818677772918e-06 2.2305141183478835e-06 1.0868126113920094e-06 1.8592579406291792e-08 -2.9458198240684777e-06 -4.131546224339633e-06 1.7044509383845714e-06 -2.0690550640150076e-06 -1.3266191347896394e-06 1.1579715843996945e-06 1.3067019081709343e-06 6.001025194709602e-07 -2.4942817951239833e-06 1.489706813377373e-06 -4.733748052122896e-07 1.3981364607597271e-05 1.193355480604379e-05 5.810567412076118e-06 1.5564869069037315e-05 3.0013565956225213e-06 2.145060894138613e-05 -6.528395639920273e-05
age2 -0.00025731368536738633 -0.00018475807290104304 5.619244025768348e-06 -5.401808927475784e-08 -0.001714696094645542 0.0001658987918841984 -5.0334764946553755e-06 4.832349472722981e-08 -8.262805267921475e-08 7.705967769368463e-08 1.3379935868758195e-07 6.242882843379888e-09 -3.167063628985515e-08 4.628662207796643e-08 -5.3866082104463065e-08 -2.5461050125292255e-08 3.3576211499130863e-09 7.823713318715298e-08 1.4999838909838364e-07 -5.3663790309585006e-08 6.16798477560885e-08 2.6160582775505178e-08 -3.382602835274816e-08 -2.4109495009731644e-08 -2.797373079307263e-08 6.915054290146028e-08 -5.933751061083926e-08 3.153892948806543e-08 -2.548327749986979e-07 -5.367404811473183e-07 -5.577127482773109e-07 -1.6450768191173634e-08 -3.014316310807572e-07 -4.749460820399478e-07 2.0773499928588834e-06
age3 2.6354548564118695e-06 1.756840456939011e-06 -5.401808927485397e-08 5.25047654437129e-10 1.6201906903431435e-05 -1.5831319906595023e-06 4.854236496582686e-08 -4.710526886734794e-10 8.934334346323707e-10 -8.661791876034897e-10 -1.182374104411488e-09 -1.72864839076619e-10 2.8570477421727257e-10 -5.103183115152349e-10 4.0920920045470866e-10 2.277839569997862e-10 -6.505245104622322e-11 -6.358874231944967e-10 -1.6698340452682976e-09 5.229296242420355e-10 -5.921595495875208e-10 -1.644135951784857e-10 3.0081243140957086e-10 9.936296025045164e-11 3.7248473918731517e-10 -6.025001333310847e-10 7.366239075627129e-10 -4.4128380176262564e-10 8.168008316613289e-10 6.436944486742511e-09 8.823727563700035e-09 -2.691083879240531e-09 4.206855115870561e-09 4.02137807808217e-09 -2.1227483864110896e-08
sex 0.03666370865797912 0.05757937203454482 -0.001714696094648023 1.6201906903452814e-05 1.209067465547377 -0.11324839601685495 0.003323750918946372 -3.083831010867259e-05 5.117450996289141e-05 -3.2338482133686186e-05 -5.39443441624805e-05 2.4671150205296268e-05 -3.7607936652217105e-05 7.034698693783153e-05 -8.515888933289161e-06 2.2777598813752804e-05 8.425284240059688e-06 6.48838152161756e-06 -9.551960929424745e-06 6.859372141261091e-05 -2.924088858134593e-06 -2.116614235403252e-05 -2.656412071728252e-05 -4.1108981400847124e-05 -4.708785079119336e-06 -1.8353407075986118e-05 3.073910580537875e-05 3.627724427276463e-05 -0.000308279515679383 -0.00021329206593379035 -0.0005207497974892897 0.0021936279283893533 -0.00029928145722658747 0.0013339733426182476 -0.0005466933983637699
agesex -0.003749910560163011 -0.005509400191599504 0.00016589879188423862 -1.5831319906598454e-06 -0.11324839601684922 0.010745615681963819 -0.00031904051399873386 2.9906913494146983e-06 -5.061288365915141e-06 3.5705155548930885e-06 5.690990798362686e-06 -2.308122979793439e-06 3.2666624392387653e-06 -6.974980812981769e-06 1.0981291701422904e-06 -2.1001150006493916e-06 -1.2812910557491703e-06 -7.707897900821956e-07 1.7785778114701934e-06 -6.648264920040172e-06 -1.5123001734670646e-07 1.7335570683052954e-06 2.034970480779884e-06 4.485359412959117e-06 -1.1258001267652268e-07 1.899319907186517e-06 -2.8500481036066365e-06 -3.119565501070016e-06 3.1114435068988574e-05 2.531437479150372e-05 3.4656500958340235e-05 -0.00019122326066716114 1.1385565443934236e-05 -0.00011588520563098347 5.355812506224632e-05
age2sex 0.0001211223586955985 0.00016531745206445803 -5.033476494635378e-06 4.85423649656532e-08 0.003323750918946035 -0.00031904051399871797 9.582499839558274e-06 -9.082316212702896e-08 1.5778414662359291e-07 -1.2412453218686633e-07 -1.8611687490841792e-07 6.91376493396234e-08 -9.213381748724429e-08 2.1503762707189308e-07 -4.054444067736698e-08 6.139646576700013e-08 5.111766713167335e-08 2.9319666764181442e-08 -8.394426725702201e-08 2.0171695230537728e-07 1.4850313917518643e-08 -4.319589732665781e-08 -5.06618455828534e-08 -1.4745304983481694e-07 1.8139388997735023e-08 -6.317578399970427e-08 8.41655790779543e-08 8.167285378868976e-08 -9.463680309305448e-07 -1.0585803884066105e-06 -6.168423690929537e-07 5.512203702708286e-06 9.817831881859222e-08 3.2611881757494274e-06 -1.8175125978645456e-06
age3sex -1.2457094628215303e-06 -1.5703566957835302e-06 4.832349472724862e-08 -4.710526886736384e-10 -3.083831010866794e-05 2.990691349414407e-06 -9.082316212702472e-08 8.705849696559784e-10 -1.5854972325246282e-09 1.343314182243288e-09 1.906299735787238e-09 -6.450860403245391e-10 8.373253285153085e-10 -2.0722996862268463e-09 4.6289475007822296e-10 -5.836161359409335e-10 -5.778316435684438e-10 -3.4476412494177985e-10 1.0838156737194849e-09 -1.933572979032326e-09 -2.1981025050031044e-10 3.5926599984716123e-10 3.676667772433524e-10 1.4843289968958867e-09 -3.174562914575878e-10 6.522430342591882e-10 -8.489908552236391e-10 -6.737417692942541e-10 9.05728744781488e-09 1.4232373491020686e-08 1.8151192363140062e-09 -5.226159271538371e-08 -5.3910456109341686e-09 -2.9820304598471754e-08 2.093028191845012e-08
pcs.V3 7.80786886589516e-07 2.3258795481027184e-06 -8.262805267914447e-08 8.934334346318298e-10 5.117450996295589e-05 -5.061288365921603e-06 1.5778414662379483e-07 -1.5854972325266112e-09 3.5275520081750994e-06 2.8694159877102167e-08 -7.429906276135759e-08 -5.749916627552379e-08 8.691621177670476e-08 7.199052152320943e-08 -2.401851659115605e-08 7.494837767540395e-08 -7.97335352846537e-08 1.2204230164432466e-07 -1.0614121793808263e-07 -3.660908724792038e-09 2.6747136810548963e-08 -1.3460598258571428e-08 -1.1622988562990464e-07 1.4342626243985478e-08 6.487815036996896e-08 -1.640427632098935e-08 1.0688728088133697e-07 7.089854478924938e-08 -7.109338662494743e-07 1.5560928607213053e-06 7.9415343885808e-07 -3.119556218759387e-06 1.3335203298204892e-06 -2.962523865386323e-06 -1.4548108841641178e-06
pcs.V4 1.3634788621569403e-06 -1.802541764367539e-06 7.705967769369601e-08 -8.661791876034897e-10 -3.233848213361441e-05 3.570515554886453e-06 -1.2412453218667437e-07 1.3433141822415343e-09 2.869415987710796e-08 3.290801471353537e-06 4.922723724199786e-09 6.020435753691517e-08 8.308937315460359e-08 -3.981762547605948e-09 -8.059073476098853e-08 -2.8082800036054736e-09 6.754706493594387e-08 -5.816422132623961e-08 2.8999422204748837e-08 -9.129699594129154e-08 -1.5264712388733123e-07 8.635960975710052e-08 9.058463692087763e-08 5.220801152828688e-08 9.448046184940015e-08 4.7440428151910625e-08 -6.27050426077701e-08 2.988421937802929e-08 3.347824213759875e-07 6.174589920470987e-07 -1.605449450188029e-07 5.418507404161855e-06 -2.262341601055829e-06 -2.0137631960015717e-06 3.7740448966219488e-06
