 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal gpp gmp gpm gmm
pcs.V5 -3.043489691520509e-07 1.0268402255334508e-05 -1.9057309111140403e-07 1.1044644409287725e-09 0.0006233924259076628 -4.127831165657475e-05 8.8438041079805e-07 -6.1119711302939624e-09 1.513221219035105e-07 2.1107546231219192e-07 6.4006034123325175e-06 4.333168888200938e-08 -2.265778337149288e-07 -8.244979324712379e-08 -4.365291020147663e-07 -2.2737975531117428e-07 -3.987623041179955e-07 4.249380764555374e-07 6.667612661644383e-08 -1.0968101456373174e-07 1.2368417759842628e-07 -1.3894715073924657e-07 2.1938108046056942e-09 -3.611622597070748e-07 2.856009561233382e-07 2.1652092754414845e-07 2.3280721278430825e-07 -7.788060763443842e-08 -8.719802342336441e-07 8.27156247355309e-07 -4.1001895545054815e-06 4.335135959094123e-06 -1.7522640883641663e-06 5.055178618406753e-06 1.892453150568343e-07
pcs.V6 -2.133276669171266e-05 -1.2274960004011137e-05 3.2799124980469405e-07 -2.947716465874782e-09 -0.00013681703519261378 9.101161581739836e-06 -1.860806446105504e-07 1.1949066619219128e-09 -1.6477195098264733e-07 4.274247777351471e-07 4.3331688881973976e-08 6.370611338072448e-06 -5.108983128915958e-09 3.0054161281075944e-07 3.006501610837561e-07 -3.995238596267118e-07 4.766472280202697e-07 -1.2112595464422773e-07 1.0871841081110371e-07 -2.3963608681133064e-08 -5.723206633860766e-09 7.449864995925164e-08 -3.810896916883704e-07 1.5769123434682874e-07 -1.7796673769494323e-07 -4.753944578746017e-08 -2.7235310042285557e-07 3.2945589482337756e-07 -4.708959670059105e-07 1.0984421875499876e-06 -9.321912518667335e-07 1.786396044963603e-05 -9.27599126915566e-06 4.620838368751462e-06 -3.1661516880076897e-06
pcs.V7 2.061980472353665e-05 -6.963201178799955e-06 6.029601991605081e-08 2.797936077231218e-10 -0.0009763533115997045 6.766894016682469e-05 -1.5397318106179362e-06 1.1483371431120768e-08 8.1803715434794e-08 -2.1172814632180172e-07 -2.2657783371487273e-07 -5.108983128989966e-09 7.958689847107907e-06 1.6412656044472559e-07 3.151708471811974e-08 -3.04896531970645e-07 2.1734555042521719e-07 -5.218197053917306e-07 -2.496789648204156e-07 -4.917151888530272e-07 1.8682867948881598e-07 -2.3996413247612526e-07 -1.217150166201613e-07 -1.240104814742751e-07 1.830514692975698e-07 1.522102679494311e-07 9.062834596862891e-08 -3.734464892764965e-08 -2.7293524512350517e-06 1.221406222795256e-05 -7.4036358320260066e-06 1.225513583492018e-06 -2.15807984546564e-05 7.119564452471576e-06 1.2305024867572833e-05
pcs.V8 -4.927872376930406e-05 -4.917764946211509e-05 1.247850308945146e-06 -1.0408129649571048e-08 -0.0003993860256910798 2.591396211636241e-05 -5.321134169240537e-07 3.42835808240747e-09 5.425037618981647e-07 -1.688028969256796e-07 -8.244979324724465e-08 3.0054161281076134e-07 1.6412656044497422e-07 7.545191336707892e-06 7.752215782309824e-08 -9.040263142678301e-08 3.4272283013019376e-07 4.655233653692848e-07 2.115381392297518e-07 -5.683098861086404e-07 2.28918802798876e-08 -2.4497608870404935e-07 -4.312646473373419e-08 1.782904189678895e-07 2.8714787532778745e-07 4.424366799693373e-07 6.530446506980037e-08 -1.6538409017708714e-07 5.146407188929168e-07 -5.889097239463215e-06 5.3024384788413505e-06 2.2306192158140358e-05 -1.7052459343777203e-05 -1.7854803731397799e-06 -1.2204068618673439e-05
pcs.V9 7.382403297130276e-06 1.6975520016487088e-05 -3.67635116183814e-07 2.493256783091568e-09 0.00016900382551389144 -9.64098932412413e-06 1.5127204528562878e-07 -3.853371277854545e-10 -3.652578564386921e-07 1.9004560073732244e-09 -4.365291020147273e-07 3.0065016108375465e-07 3.151708471803816e-08 7.752215782309812e-08 7.855555307635668e-06 6.801616236518871e-08 4.224251482225329e-07 -2.3253880610364885e-07 -1.4343273416833922e-07 -4.683219734921087e-07 8.178026634734232e-08 4.5565501847666166e-08 2.2141088252651459e-07 -8.017365043638122e-08 -5.669290011558126e-07 -2.988563906468656e-07 -9.762107015840478e-08 1.4751930395815403e-07 4.955927407471523e-07 7.742596246336183e-06 6.499720792149356e-06 1.2600956919992208e-06 -1.2452346257733434e-05 -2.1737123485643645e-05 1.0046937165718242e-05
pcs.V10 1.5131357006042736e-05 3.6642786827187964e-05 -9.102792654315148e-07 7.431982396411388e-09 0.001201342299989694 -8.95256391739952e-05 2.1708229995941548e-06 -1.7156087396226604e-08 1.7766513802195575e-07 2.826004773043979e-07 -2.2737975531119403e-07 -3.995238596266233e-07 -3.0489653197074767e-07 -9.040263142648746e-08 6.801616236508516e-08 8.076225846379433e-06 -7.019105677709033e-08 1.9586215702461353e-07 3.704122999482523e-07 3.771113181092363e-07 1.0396411209429717e-07 4.802444793776965e-08 8.333112488786214e-07 -2.1858402878683934e-09 2.208517334822849e-08 4.3414126335648676e-07 8.677321575697731e-08 -3.267503579245775e-07 -1.1921746546861606e-06 1.3211718156935131e-07 2.0215567357278297e-06 -1.5902345686598146e-05 1.955748223959987e-05 1.6056243661482575e-05 -7.909691436030888e-06
pcs.V11 -1.5167330465963717e-05 -1.355815825603574e-06 5.3668300650944473e-08 -6.042255328433277e-10 -4.178562978672375e-05 -9.119835149784909e-08 8.385793776138377e-08 -1.2944739996240824e-09 -4.0646615665192795e-07 1.790883728436309e-07 -3.9876230411803367e-07 4.766472280202819e-07 2.1734555042527709e-07 3.4272283013023215e-07 4.224251482225185e-07 -7.019105677717994e-08 8.061837546502794e-06 2.836148650350278e-08 4.6610303060264494e-07 -1.6781594934798525e-07 2.944262151341066e-07 -3.70303459214181e-07 1.1222210017226893e-07 6.342900025983073e-07 -2.5982218901697894e-07 1.0984858257240185e-07 -2.6361221128699074e-07 2.914600132349031e-07 -3.725390581160067e-06 -4.55815365040511e-06 -9.393282967264108e-07 -2.4527252477310347e-05 3.913101492829781e-05 -2.0626771526475616e-05 2.0666855801313416e-05
pcs.V12 -1.470839842799832e-05 -3.052346293166718e-05 7.471336254507709e-07 -5.858257596189165e-09 0.00038585910023974945 -2.7884847375676452e-05 6.674276077250842e-07 -5.319352368227743e-09 2.4397302984467826e-07 -3.7074737404919817e-07 4.249380764554779e-07 -1.211259546441936e-07 -5.218197053916567e-07 4.6552336536939867e-07 -2.325388061036839e-07 1.9586215702447989e-07 2.8361486503515795e-08 7.4358599563861965e-06 -2.3031679386228526e-07 -7.535113063947453e-09 5.10039079338869e-08 -4.522991424273665e-07 -2.9336590843671446e-08 -3.8706029430854814e-07 6.194375215966995e-08 1.8959981467292142e-07 -1.9305984537849183e-07 2.661230976021294e-07 2.5297298511508986e-07 -1.4545216782113077e-06 2.96947664139662e-06 -4.774700112756221e-05 5.4072477213650046e-05 -8.962022426340676e-06 -3.98697472109653e-06
pcs.V13 -5.7439854133334356e-05 -7.921601133236936e-06 3.867213148114095e-07 -4.835033903964351e-09 -0.00010079929894857093 7.778768886532667e-06 -2.31953906895573e-07 2.4286644469599106e-09 -1.713886904282785e-08 9.268157380298068e-08 6.667612661638843e-08 1.0871841081111331e-07 -2.4967896482031874e-07 2.1153813922978212e-07 -1.4343273416834825e-07 3.7041229994812746e-07 4.6610303060264044e-07 -2.3031679386231853e-07 7.763155553999916e-06 -5.5574476784795625e-08 5.13831583919866e-07 2.7477866104557534e-07 -3.7472216023960054e-07 2.3654975687336487e-07 -2.20940482500471e-07 1.6846776445594536e-07 -2.3256356123411375e-07 -1.1039160442784737e-07 5.268216044515734e-07 -1.570698921799589e-05 1.9511342451036907e-06 2.600996260006167e-06 1.522012905213136e-05 -1.7332023412184212e-05 1.2630749747297391e-05
pcs.V14 -2.56272841203557e-05 -1.37699006881159e-05 3.205850557667153e-07 -2.5144928180193146e-09 0.00015968497553592214 -1.5068579137935522e-05 4.604541900522896e-07 -4.482782672771506e-09 1.205596749537482e-08 -1.674119638105058e-07 -1.09681014563802e-07 -2.3963608681101373e-08 -4.917151888529294e-07 -5.683098861085392e-07 -4.6832197349214304e-07 3.771113181090723e-07 -1.6781594934797728e-07 -7.535113063960385e-09 -5.557447678476985e-08 7.721116870198152e-06 2.39163895478488e-07 -3.945931980360713e-08 -1.7474431733724233e-07 -9.873325053860384e-08 -4.5557384789434123e-08 -3.5365852640465734e-07 -5.436429281215775e-07 1.811590185896475e-07 -1.1665436742546664e-06 4.8146092182158695e-06 1.3612064549249436e-06 -1.5455852982213318e-05 1.6126989495339216e-05 5.8248045714407005e-06 -8.237729997237849e-06
