 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal
pcs.V5 -1.4828145671021276e-07 -1.2210811355269271e-07 2.1759009641077918e-09 -1.490048072487423e-11 2.674595282333403e-07 -1.9017895508818884e-08 2.4633760732025597e-10 9.056562270782453e-13 -2.7774275300533546e-08 2.6428469900982812e-08 1.2670937078397195e-06 5.353166362509839e-09 -4.1525386360054667e-10 -1.9702506059229225e-08 1.6269841472789995e-09 -9.010307177240398e-09 1.643226795477231e-08 1.2733599682186348e-08 1.1177353679828585e-08 2.426484410051048e-09 1.0679550984298404e-08 1.004570651886931e-08 -8.063890818558783e-09 -4.441701297247623e-09 9.098713092919177e-09 8.374101188081668e-09 5.038297170509776e-09 5.160543220932469e-10 1.8929072216294626e-07 1.4620521466020544e-07 5.237977781914667e-08
pcs.V6 -5.1411769117881575e-08 1.9584737217566176e-07 -4.730604809042202e-09 3.438616362522823e-11 1.1904351722102427e-06 -6.255918600004627e-08 1.3692143639450037e-09 -1.1941833453905908e-11 -4.648430021337103e-09 7.66134775163846e-10 5.3531663625098065e-09 1.258061650226518e-06 6.964995503510623e-09 -1.6831848474460948e-09 8.858864276224571e-09 -1.0484968949358507e-08 2.051070229203358e-08 1.5672212191207363e-09 -1.5288568689401807e-08 -1.4764822355227711e-08 2.568149532761147e-09 7.785345493536948e-09 2.613192030254441e-10 1.1284540103568588e-09 1.6455480585781304e-10 3.89414401295549e-09 -2.7021447638434816e-08 -1.2345656320494946e-08 4.6234564769896744e-08 3.082635900394264e-07 -4.075581959537783e-08
pcs.V7 -7.464968009542992e-08 1.1022688258417752e-07 -2.7759744301433963e-09 1.9446181975115985e-11 -1.7746360316193535e-06 1.0444934756011401e-07 -2.130875775130896e-09 1.6547408678103825e-11 6.67666957354857e-09 1.4512868596431263e-08 -4.152538636005119e-10 6.9649955035105116e-09 1.404951853789528e-06 7.646070857815654e-09 -6.6964826551499645e-09 -2.4150127217962067e-08 2.5454143106021616e-09 -8.751670281020298e-09 9.821887073418884e-09 -4.090409851179686e-09 -5.952646509090064e-09 -4.29946409314648e-09 -2.1409303826223506e-08 7.118585182050524e-09 4.736050050785483e-09 -2.1344080983026256e-08 -1.095173692176575e-08 2.257360615594242e-09 4.312707287349482e-08 -9.08946259977553e-08 -1.362266168919123e-07
pcs.V8 7.116073396880974e-08 9.147813065567422e-08 -2.9118192053340255e-09 2.5651072738515215e-11 -5.048815773742259e-07 -7.096510972635897e-09 9.966701674989985e-10 -1.0871252989669871e-11 1.6221882619813242e-08 -2.149734352443418e-08 -1.9702506059229205e-08 -1.6831848474461186e-09 7.646070857815684e-09 1.3949913382445968e-06 1.716225152125999e-08 -5.9422540696973735e-09 -2.365699879885111e-09 3.8876606414081835e-08 3.744011220260387e-09 -3.129126297577711e-08 4.773156396552526e-09 5.5860509685751365e-09 -8.385059756335569e-09 1.5001503065713115e-08 2.4754430911156517e-08 8.403278005618805e-09 7.26466497756724e-09 2.64934442124025e-09 1.619185937625825e-07 -1.2376787711634866e-07 -6.942416346344653e-08
pcs.V9 -5.2441933766714116e-08 1.1166015137003702e-07 -2.037821359759154e-09 1.1888789602767074e-11 1.9126713223993975e-06 -7.25488780289257e-08 6.743210913957132e-10 -7.438827586192835e-13 -5.025331332482308e-09 -5.008894357703419e-09 1.6269841472789858e-09 8.858864276224602e-09 -6.6964826551499455e-09 1.7162251521260035e-08 1.3773623151314414e-06 -6.600691974689241e-09 1.1557906665301398e-08 3.6846670501557516e-09 5.242836659665612e-09 -1.229088104006167e-08 -4.897559357965415e-09 -1.0822841446233175e-08 5.399490919925687e-09 -1.4396301456960895e-08 -2.0295150633210692e-08 -1.2339125893572323e-08 -1.895341569887933e-09 1.28604221676252e-08 1.3117903959366773e-07 -1.8560586173873587e-07 -1.13898162676742e-07
pcs.V10 6.216904377151164e-08 5.92948562917907e-08 -7.674387645876854e-10 3.2252263731395124e-12 -4.2581931670964605e-07 4.6534550962090106e-08 -1.5546731551117968e-09 1.2594597400973212e-11 8.719042814259933e-09 2.1144290357614958e-08 -9.010307177240373e-09 -1.0484968949358573e-08 -2.415012721796205e-08 -5.942254069697398e-09 -6.600691974689247e-09 1.3848010710408778e-06 5.368682806775448e-09 1.0623393744412503e-08 8.171328900039832e-09 -2.0981859699116383e-09 -1.744077761247543e-08 3.825577457534224e-09 6.0823324609061245e-09 9.163071389384608e-09 -2.5118378511144905e-10 1.5828654165834332e-08 2.629484798069807e-09 -1.0496139579876881e-08 4.7832671101010274e-08 6.954279075082969e-08 2.006731273027026e-07
pcs.V11 -4.0075930143064386e-08 7.206757030935496e-08 -1.5698856738425563e-09 1.2446252897177395e-11 -2.1769235413375456e-06 1.578191709945477e-07 -3.11034108900125e-09 1.772820289234975e-11 6.531737243434266e-09 -3.2181225439408925e-09 1.6432267954772355e-08 2.0510702292033394e-08 2.5454143106021327e-09 -2.3656998798851858e-09 1.155790666530139e-08 5.36868280677539e-09 1.363597154420722e-06 4.450588366179081e-09 8.72937670667216e-09 -1.597254803001422e-08 7.845618954108887e-10 -1.0097136797725184e-08 5.13386784505182e-09 8.127060722843001e-09 -4.256132506671786e-10 6.476140552625617e-09 -1.8534695548061682e-08 1.699052360282893e-08 3.5861350012787496e-08 -3.534060118298537e-08 -1.627608940370195e-07
pcs.V12 -8.405798554065489e-08 -3.5698905531514267e-07 8.196590932305086e-09 -5.844530485513019e-11 -3.0529292882027555e-06 2.3428190856192686e-07 -5.201922265628123e-09 3.5184268023767086e-11 2.5927715828053553e-09 -5.4581399134521164e-09 1.2733599682186424e-08 1.5672212191205918e-09 -8.751670281020464e-09 3.887660641408175e-08 3.684667050155844e-09 1.0623393744412429e-08 4.450588366178881e-09 1.3642472300602692e-06 -1.9656900618777278e-08 -5.343785810227394e-09 -3.906251583415226e-09 6.9132863233914765e-09 -1.4279521967874597e-08 -8.82510918361575e-09 -1.2236501481139606e-08 5.070275739608999e-09 -1.4736599486739611e-08 1.7313544095648564e-08 1.0724649465247091e-07 -2.1023917210276866e-08 -1.671797940353842e-07
pcs.V13 -8.728957763188549e-08 -2.4110335894454626e-08 1.0231514151354034e-09 -1.235902980619067e-11 -1.8175190824086007e-07 -5.271401311099817e-10 -2.2459315700359004e-10 3.524476544521426e-12 -7.302835948389369e-09 1.1377918372173204e-08 1.1177353679828597e-08 -1.5288568689401797e-08 9.821887073418882e-09 3.7440112202603926e-09 5.2428366596656305e-09 8.171328900039814e-09 8.72937670667211e-09 -1.965690061877734e-08 1.3952500074454854e-06 1.5071903084814037e-09 -1.1464268478276876e-08 -3.936467315139399e-09 -2.0988946686479086e-08 -5.896366991428798e-09 -2.164225137452977e-08 -3.825032352679571e-09 7.1780854656535905e-09 3.79013807642932e-09 3.120031481117389e-08 -3.421423728543121e-08 -2.781895398160054e-07
pcs.V14 -5.7517740312152105e-08 4.8771705970991637e-08 -9.769847580419404e-10 4.895619979886393e-12 3.041651463280115e-06 -2.20319077527869e-07 4.666721769032391e-09 -3.0062720108139025e-11 8.720280794828846e-09 -6.196909275153958e-09 2.4264844100509904e-09 -1.476482235522748e-08 -4.090409851179636e-09 -3.129126297577702e-08 -1.2290881040061671e-08 -2.0981859699116056e-09 -1.597254803001417e-08 -5.343785810227618e-09 1.5071903084813475e-09 1.3815882278217484e-06 -1.2712784181461875e-08 -1.868755959383719e-09 9.608277403137339e-09 -1.834466452353802e-08 -2.560805227001695e-10 -8.263394942902744e-09 -1.6506377119828836e-09 -1.0455685085322514e-08 -1.896187832272284e-07 4.3828693336398454e-07 9.888775152893311e-08
pcs.V15 2.8885244373729494e-08 -1.473723369370728e-07 3.138073448006698e-09 -2.190609007691632e-11 -8.550985853020594e-08 -2.797614342964504e-08 1.2186718335089622e-09 -1.0722903528998066e-11 2.5101974954254678e-09 -5.8487618456837155e-09 1.0679550984298404e-08 2.568149532761239e-09 -5.952646509090088e-09 4.773156396552549e-09 -4.897559357965384e-09 -1.744077761247544e-08 7.845618954108467e-10 -3.906251583415357e-09 -1.1464268478276896e-08 -1.2712784181461806e-08 1.3973251080520777e-06 -5.096372033307012e-09 -3.5568357207360417e-09 6.102615435260736e-09 3.338980437186658e-09 -1.0852334416463903e-08 -1.969347876340972e-08 -9.752846772814159e-09 1.3872990060545844e-07 -4.193050093303029e-08 -2.66378270139458e-07
