 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal
intercept 0.00011736809893208456 8.18345790589215e-06 -2.2662450532013818e-07 2.1860827193294403e-09 -3.150916842371225e-05 2.7895695053071707e-06 -7.616334530715204e-08 6.762455635866312e-10 2.2842137396861328e-07 2.5530467453915725e-07 -1.8876715402356484e-07 -6.170369004505435e-08 -8.772685467088505e-08 6.392203201449517e-08 -5.677289866866922e-08 7.669088426697143e-08 -4.581568841921549e-08 -1.1815877173734641e-07 -1.0631058724705181e-07 -7.491885615952255e-08 3.673801669689037e-08 4.8011634339512235e-08 -1.7860468863796814e-08 -4.04916884737244e-08 2.719062543023327e-08 -2.9227959634620767e-08 3.271235906785926e-08 -3.2094645520031543e-08 -4.2718412399787386e-07 -2.4726514928747553e-06 2.33470236487942e-06
age 8.183457905938932e-06 0.00027286333443084546 -6.289401542044e-06 4.50235351871924e-08 0.003358977458184714 -0.00025449733000645685 5.845329634004081e-06 -4.165529137079008e-08 -5.0453793647879044e-08 2.1691783871096775e-07 -1.3467960979657008e-07 2.2225138069913043e-07 1.226035026250581e-07 1.0420277785497573e-07 1.0174907535472972e-07 5.977030985187315e-08 9.451669272047251e-08 -3.8940572329349563e-07 -2.9231188519738453e-08 3.878098470968904e-08 -1.7768680113551745e-07 -2.4073392171121645e-07 -2.242382048402151e-07 2.639286021701239e-07 2.283329266888186e-07 -1.7407080307566852e-07 1.402468110263209e-07 3.4568879425568705e-07 2.834163591791293e-07 -1.7421795538541823e-07 -3.003618210710821e-06
age2 -2.2662450532524536e-07 -6.289401542043532e-06 1.4772259282724912e-07 -1.0752696199733775e-09 -7.563426762600769e-05 5.854386094963753e-06 -1.3707761159272403e-07 9.935952704822742e-10 3.181948231600092e-09 -4.609314389942185e-09 2.372601399781982e-09 -5.45579314953826e-09 -3.019257979495555e-09 -3.3545705896687484e-09 -1.6897954779333453e-09 -7.842950361119365e-10 -2.127785990745753e-09 8.892046931055705e-09 1.1654366797632937e-09 -7.124857366444377e-10 3.7434194193503946e-09 4.6066463710541215e-09 3.998981995612661e-09 -5.364337766275383e-09 -5.920977908590651e-09 3.710648597494475e-09 -3.766282679061592e-09 -7.962041181744526e-09 -5.7177385864847346e-09 9.783290546286005e-09 6.361380307181707e-08
age3 2.1860827193288195e-09 4.502353518719782e-08 -1.0752696199735858e-09 7.953341364351003e-12 5.306300951029261e-07 -4.178389318127281e-08 9.95199605882978e-10 -7.332304586485471e-12 -3.422576069320656e-11 3.422185436493708e-11 -1.5917810762129838e-11 4.016113126624729e-11 2.1011423967590875e-11 2.956128288551349e-11 8.461580406703669e-12 3.659392816800679e-12 1.7083239301558683e-11 -6.310996972007382e-11 -1.3885551302892583e-11 2.677200849067025e-12 -2.550961000839178e-11 -2.6164652875644036e-11 -2.2316200798210444e-11 3.3699298413486145e-11 4.633382903863213e-11 -2.4754046435815575e-11 3.0119787890342265e-11 5.6077843316646545e-11 4.727570206165498e-11 -9.190112713141555e-11 -4.47892051605628e-10
sex -3.150916842028755e-05 0.0033589774581856482 -7.563426762603607e-05 5.306300951031842e-07 0.11794164122763458 -0.008859261178004871 0.00020296632443673064 -1.4489779038803044e-06 -8.237223340174013e-07 -9.492719107324068e-07 1.4998026562957037e-07 1.6529736728530703e-06 -2.1343552439730717e-06 2.5760380325026585e-07 1.4986246458269766e-06 -9.461879205263193e-07 -1.5543407054548506e-06 -2.7205848058223585e-06 -6.211789650921134e-07 2.574549578349541e-06 -1.592325979107584e-07 -2.7299932537327048e-06 -4.972425598987452e-06 3.0796555143244163e-06 -1.5362421723627566e-08 -1.742032263529278e-06 3.0038165005872014e-06 2.107355720575654e-07 -2.176810089161809e-07 5.767641813394993e-06 -5.378161840254258e-05
agesex 2.7895695050193244e-06 -0.0002544973300066152 5.854386094967737e-06 -4.1783893181304346e-08 -0.008859261178004535 0.0006832756499261204 -1.5973872458111017e-05 1.1589860108425673e-07 1.1138465226350205e-07 8.195152085064819e-08 -9.466964137269137e-09 -9.996813070285668e-08 1.2808671874300177e-07 -8.844647181115951e-08 -2.2458316202777583e-08 8.537157823876658e-08 1.0661384822388953e-07 2.0859992549239867e-07 3.083227834010847e-08 -1.8093912612479824e-07 -2.7966266131931224e-08 1.900047455076321e-07 3.3306046287350577e-07 -1.728927338365771e-07 -7.950744783423152e-08 1.3109613215139033e-07 -2.706096216774761e-07 -2.0119544510984614e-08 -2.509882061817988e-08 -5.107844796683302e-07 3.323931856187113e-06
age2sex -7.616334529636358e-08 5.8453296340045624e-06 -1.3707761159274915e-07 9.951996058832794e-10 0.00020296632443671535 -1.5973872458110454e-05 3.8038973895500687e-07 -2.805066645372605e-09 -3.75172062597683e-09 -2.0266557646612585e-09 1.0072852369172536e-10 2.3086295908417743e-09 -2.6215095850426946e-09 3.3140075144466112e-09 -8.830770906031702e-10 -2.4662723922687878e-09 -1.7805618020313013e-09 -4.5230863860846495e-09 -9.641760715346681e-10 3.654646455004055e-09 1.3494338509706776e-09 -3.624982850974991e-09 -7.288694998926934e-09 2.586544901433056e-09 3.0030478001185553e-09 -3.319325378622535e-09 6.895665821755778e-09 3.69264280584954e-11 7.413335636415941e-09 1.1604524846544725e-08 -6.577961822524075e-08
age3sex 6.762455635507745e-10 -4.165529137082266e-08 9.935952704830821e-10 -7.332304586491727e-12 -1.4489779038801469e-06 1.1589860108424903e-07 -2.80506664537252e-09 2.1005640550400623e-11 3.195364370991615e-11 1.6995640633502078e-11 1.1194498148853606e-12 -1.9420378221295433e-11 1.9704735726564315e-11 -3.014770443952861e-11 1.3242829201630395e-11 1.9047549807504844e-11 6.809587760074448e-12 2.957799045677348e-11 8.806971933741314e-12 -2.1995768807658454e-11 -1.2731773358882002e-11 2.133529494770485e-11 5.09320537659371e-11 -8.44691983933336e-12 -2.735755244737718e-11 2.6482229781115664e-11 -5.364711790556899e-11 2.500767653900925e-12 -1.41475293083861e-10 -6.252747897886629e-11 4.3823907041785594e-10
pcs.V3 2.2842137396855209e-07 -5.045379364821031e-08 3.1819482316079265e-09 -3.422576069326411e-11 -8.23722334028826e-07 1.1138465226439703e-07 -3.751720625998064e-09 3.1953643710072284e-11 1.2386959178589496e-06 8.506934456180537e-08 -3.028720242270656e-08 -6.860902755034073e-09 7.78753520890783e-09 1.769739919641984e-08 -4.680033560161534e-09 1.0802308932304955e-08 8.326395761072432e-09 2.0250939078984657e-09 -5.7459871504954885e-09 7.474028203926157e-09 2.6981426700962078e-09 -1.5007810537961133e-08 -8.866227901155147e-09 -1.0548868145352164e-08 -3.838342522899145e-09 -1.2043757617605805e-08 1.0457473571711777e-08 1.924452827450714e-09 -1.3362920047791065e-07 -4.1407509211318504e-07 -4.900720569940754e-07
pcs.V4 2.553046745390955e-07 2.1691783871067357e-07 -4.609314389935302e-09 3.422185436488705e-11 -9.492719107415047e-07 8.195152085136738e-08 -2.0266557646784465e-09 1.6995640633629222e-11 8.506934456180535e-08 1.3201027798657988e-06 3.193890215610348e-08 -2.0192207666554623e-10 1.6509092920269575e-08 -2.3833188816201024e-08 -5.796850857266433e-09 2.4095388225565932e-08 -1.372404257672951e-09 -5.1212350383858975e-09 1.2674209964787165e-08 -9.022286331540809e-09 -7.177350770224572e-09 1.71084851905026e-08 1.1603695565144566e-08 7.1316116637276455e-09 8.51833082545523e-09 -5.793551192312228e-09 -4.247622522342003e-09 1.3650869229081735e-09 1.229012156752687e-07 6.307696344669438e-07 5.090381986873754e-07
