 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband
PC11 9.547940398903246e-07 3.112266751105854e-08 -1.3302363223806237e-07 4.517498453281926e-07 3.098092116260532e-07 -9.521075262001314e-07 -3.8427149326725785e-07 1.33336116893689e-06 -8.565646219540443e-07 -3.1760583210216966e-08 -5.083097575385804e-07 1.228438626409282e-05 -2.906992161682858e-08 -2.1028495573403992e-07 -5.453668749759705e-07 3.638331223218088e-07 2.442135784227087e-07 4.226921429683947e-07 9.14953515532013e-09 6.804162240604656e-07 1.9197082328400386e-07 -3.7726549390675572e-06
PC12 -6.232455101222919e-07 6.199563033140205e-07 -1.2290393989367132e-06 1.0074205297646725e-07 -1.0066723426205381e-06 4.947939058419877e-07 -1.1961196450415256e-07 3.6036138461682556e-07 2.9447929253020705e-07 -4.3132625509653264e-07 -2.6040859329403552e-08 -2.906992161682872e-08 1.1156109455100333e-05 1.1334163575408374e-07 2.2301318777690295e-08 -4.4358970233580785e-07 2.620966473494139e-07 -1.445093498059295e-07 -1.707438264150427e-07 -1.6926320549124862e-07 -5.881405490145372e-07 -6.091061376840006e-07
PC13 -1.3436943174518467e-06 -1.379832583424901e-07 8.730271857606687e-07 -7.725432201135754e-07 -6.650100846329992e-07 -1.3743096206357394e-06 -1.292124349875722e-07 2.665117721302969e-07 -1.0141312056356682e-07 8.013116490952949e-08 -3.055375400574481e-07 -2.1028495573404016e-07 1.1334163575408397e-07 1.1529498265069015e-05 -6.917463672481387e-07 1.0056680880278867e-06 2.953814643398824e-07 1.4855939243430282e-07 -1.3829176031180483e-07 1.9159186645145076e-08 1.0456396331706907e-07 4.423637725940886e-08
PC14 -1.6417651727921706e-06 -2.999977655732813e-07 -1.1579901638099557e-06 1.0845852461270213e-07 4.760215395198615e-09 5.270384701634036e-07 -2.3572276077274437e-07 -4.3822533227230906e-07 -5.111696346359779e-07 -8.436504176841442e-07 -9.924618275784824e-08 -5.453668749759706e-07 2.230131877769032e-08 -6.917463672481387e-07 1.2108318115169515e-05 -1.90674538712657e-07 9.273342194344747e-08 -4.4147052833140146e-08 1.5064299321417382e-07 -1.218167659191511e-07 2.6298026016933764e-08 1.918490761156523e-06
PC15 -1.934281770847239e-06 -7.307311229604278e-07 7.932903548574017e-08 -3.523917881042418e-08 -5.4219909829489643e-08 9.212284044066103e-08 -1.6537414860723743e-07 -5.519498994256805e-07 -4.5970780558832056e-07 4.165112049556719e-07 2.140465581521473e-07 3.6383312232180877e-07 -4.4358970233580774e-07 1.0056680880278871e-06 -1.9067453871265686e-07 1.141349829690022e-05 3.954447262822732e-07 -7.355286787251502e-07 -1.7791178214523763e-07 -1.4996972422507634e-07 5.4648946878427374e-08 -3.49111555245856e-07
PC16 5.856142561878765e-07 -6.535844709829252e-07 1.0650820642676196e-07 2.4318327184486893e-07 6.031642625120261e-08 -3.3852614438510494e-08 -1.2310485127806774e-07 5.375624423002013e-08 3.5925881160083983e-07 3.32862337296607e-07 -3.9028106851589884e-07 2.4421357842270867e-07 2.620966473494141e-07 2.953814643398822e-07 9.273342194344738e-08 3.954447262822734e-07 1.1720072488695132e-05 -4.960696869990572e-07 3.795638714541776e-08 -6.013801092006244e-07 -1.6518354575863844e-07 -1.4747888844005267e-06
PC17 -2.021280222526425e-06 2.615054789181491e-07 7.224785661366932e-07 -4.461318255962381e-07 3.046176272414199e-08 7.552669441418422e-07 3.0416215007610894e-07 -4.847954595495876e-07 1.2856435349267525e-07 5.433764810609617e-07 1.4538938731634373e-07 4.226921429683947e-07 -1.4450934980592933e-07 1.4855939243430258e-07 -4.414705283314037e-08 -7.355286787251501e-07 -4.96069686999057e-07 1.0482182598215708e-05 3.177777220507747e-07 -1.690913362692073e-07 8.199254822233687e-08 6.887758914194154e-07
PC18 -5.956592945750101e-07 4.49479092871747e-08 1.886716029741272e-07 -5.536766727027026e-07 -5.221580432292031e-07 -2.0303384363198357e-07 -4.1586284467216195e-07 9.571087747230002e-08 -8.269231971156428e-07 -4.7478654477006025e-07 2.2229495141252522e-07 9.149535155320119e-09 -1.7074382641504288e-07 -1.3829176031180512e-07 1.506429932141741e-07 -1.7791178214523768e-07 3.795638714541794e-08 3.177777220507746e-07 1.0518087409492328e-05 -1.8648327013672612e-07 4.098831653256701e-08 -9.418380527445295e-07
PC19 1.0208431598035897e-06 2.0771688316933094e-07 -5.672180295601572e-07 4.501813725951019e-07 -1.6080919136484104e-07 2.8908200014305364e-07 -2.3140666632214855e-07 8.548005331462952e-08 -2.1730870775995267e-07 -2.6620119722936714e-07 5.027602090611988e-07 6.804162240604658e-07 -1.6926320549124904e-07 1.9159186645144904e-08 -1.2181676591915122e-07 -1.4996972422507615e-07 -6.013801092006244e-07 -1.690913362692073e-07 -1.86483270136726e-07 1.0749958636722109e-05 6.297830035127003e-07 -4.324317786599376e-06
PC20 -8.980452435293498e-07 4.080695946807144e-08 -3.31397695412932e-07 1.3883534897087264e-07 1.409450409911883e-07 -9.748264766565986e-08 -5.262139548072724e-07 -4.635480551159926e-07 9.698022377032668e-08 -7.598483292040378e-07 1.5293286924615464e-07 1.9197082328400402e-07 -5.881405490145377e-07 1.0456396331706907e-07 2.629802601693368e-08 5.464894687842795e-08 -1.6518354575863828e-07 8.199254822233699e-08 4.098831653256735e-08 6.297830035127e-07 9.847267076762833e-06 3.299654040545909e-07
proband 4.640478375321496e-06 -2.8831228538689543e-06 1.0341168555857428e-06 7.78186068299819e-07 1.0624459923336547e-06 -1.7764079111581091e-06 2.5792368022600706e-06 -4.158747602341547e-07 4.113739067902381e-07 1.5052353434050871e-06 -9.195214612652329e-07 -3.77265493906756e-06 -6.091061376839999e-07 4.423637725941003e-08 1.918490761156524e-06 -3.4911155524585635e-07 -1.4747888844005248e-06 6.887758914194166e-07 -9.418380527445295e-07 -4.324317786599376e-06 3.2996540405459047e-07 0.0005358690049557317
