 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gpm gmp gmm
PC10 -1.0050466278623216e-06 1.4281829069764465e-07 -8.315675350663425e-08 -1.0818966256681891e-07 3.230867730433607e-07 -5.297449076844054e-07 7.176514014548929e-08 -1.4612368931681555e-07 4.658050771150837e-07 -2.502563081287969e-07 1.2770547539343265e-05 -5.272846648950375e-07 -4.8901039586984885e-09 -3.132304642380088e-07 -7.930688693093936e-08 2.283728071055425e-07 -3.666792014760824e-07 1.3091289441439596e-07 2.007842663505398e-07 5.045084650269923e-07 1.5689393229049815e-07 -1.6809427683187753e-06 2.5344163049395833e-06 3.981124235174634e-06 4.0069193228140945e-06 -8.113875278586106e-06 -3.6904627218746554e-06 -2.3668300524571302e-06
PC11 1.2671390212133597e-06 5.5324491967168306e-08 -1.0738546754403444e-07 4.2362231010382416e-07 3.028829947945311e-07 -9.563692657176792e-07 -4.2431248099280754e-07 1.329337375234394e-06 -8.676324894032105e-07 -6.6716616748125e-08 -5.272846648950378e-07 1.2382993828746128e-05 -1.8646014645857234e-08 -1.9105513966085875e-07 -5.596372544683834e-07 3.398751144737743e-07 2.594412104186269e-07 4.365487120169492e-07 4.6062931292896484e-08 6.799289565731749e-07 2.0220641572282158e-07 3.778685073002128e-07 -5.9228374406515205e-06 -9.325181446726894e-06 4.549502246754957e-06 1.688624777545664e-06 2.762487088555642e-06 4.329069828834839e-06
PC12 -2.0379281602606286e-07 6.146239130105297e-07 -1.257477134394832e-06 8.984802112702452e-08 -1.0154862586496586e-06 4.808027447074045e-07 -1.0958073350195225e-07 3.7778323845486403e-07 3.314956164711923e-07 -4.532963223025027e-07 -4.890103958698448e-09 -1.864601464585715e-08 1.125045374437736e-05 1.0215108883988468e-07 5.620294093015679e-08 -4.673376698802938e-07 2.8137773392274343e-07 -1.5842557797875477e-07 -1.6650870497655478e-07 -1.6035568934242712e-07 -5.767376256848437e-07 -4.486394991762119e-07 -5.049389524124735e-06 1.0194708697472908e-06 1.1435113386117286e-05 -6.211567052964365e-06 2.9710086985336643e-07 1.985549384750696e-06
PC13 -1.3354090226044405e-06 -1.3803943755419725e-07 8.980489374981891e-07 -7.833538681920326e-07 -6.842392464477494e-07 -1.4147896778023089e-06 -1.4480785063419408e-07 2.4395603859491173e-07 -6.127007112625909e-08 9.45653235369711e-08 -3.13230464238009e-07 -1.9105513966085859e-07 1.0215108883988484e-07 1.1595357359178461e-05 -6.875262186385471e-07 1.0168337690212603e-06 2.85693851082795e-07 1.479802501494319e-07 -1.0792472447241856e-07 1.5060648545525738e-08 9.617918127881319e-08 1.7087713965724694e-06 1.22639921014305e-06 -4.805355303231302e-06 -5.893579700692556e-06 -2.446288828657413e-06 1.7887257912682058e-06 6.004668890313379e-06
PC14 -1.2690805233442431e-06 -3.456736692689731e-07 -1.162489059491644e-06 1.493982466559982e-07 2.624460118199938e-09 5.066238137743039e-07 -2.1755915372781266e-07 -4.2766122967570695e-07 -4.6503965727001876e-07 -8.449341932892891e-07 -7.930688693093951e-08 -5.596372544683836e-07 5.62029409301566e-08 -6.875262186385469e-07 1.2232194061424247e-05 -2.1029075782577653e-07 5.897425028735088e-08 -2.194190083785241e-08 1.442471984353022e-07 -1.2104641304390955e-07 2.5417429851703513e-08 -1.1519085204066371e-06 1.2373732864492543e-06 2.26522405862947e-06 5.805261776963898e-06 -4.556796014245071e-06 -8.136249801597513e-06 1.2641541000683177e-05
PC15 -2.314027356723168e-06 -7.269669880554904e-07 6.468752469112406e-08 -5.622831805581111e-08 -8.222032187442831e-08 6.210256293059593e-08 -1.566873494120729e-07 -5.850471485405025e-07 -4.355778846097676e-07 4.454215461541063e-07 2.28372807105542e-07 3.398751144737745e-07 -4.6733766988029394e-07 1.0168337690212609e-06 -2.1029075782577645e-07 1.1479560043943371e-05 4.1069257646223065e-07 -7.588482236025805e-07 -1.8725771768035346e-07 -1.5321564357404796e-07 4.628914206347001e-08 -2.396564194810838e-07 5.157165237971202e-06 2.701084973986531e-06 -7.124574123077086e-06 -4.576248264193552e-06 -3.1630901037259694e-07 -4.9446296717080745e-06
PC16 5.046349432441935e-07 -6.247926785429918e-07 6.753077725576987e-08 1.8218250597770106e-07 1.761980799135159e-08 -5.36793126062033e-08 -1.2847781754815964e-07 2.7720103456610973e-08 3.6525967922423993e-07 3.143480837136187e-07 -3.666792014760823e-07 2.59441210418627e-07 2.813777339227434e-07 2.856938510827947e-07 5.897425028735118e-08 4.106925764622306e-07 1.1811410224702168e-05 -5.221637603703379e-07 2.7412221591352424e-08 -6.024084175074353e-07 -1.5527458939843835e-07 1.3664423655696667e-06 -1.5199249054222077e-06 5.094369944380041e-07 5.755965449273234e-06 -6.450583897381241e-06 -7.063138227376257e-07 -8.69196599562367e-06
PC17 -1.8738693000182089e-06 2.4879471805614617e-07 7.504345835335566e-07 -4.189070570372273e-07 4.887394096413632e-08 7.837798612657965e-07 2.9898594038633786e-07 -4.766127462468789e-07 9.574569251582268e-08 5.333329486347808e-07 1.3091289441439593e-07 4.3654871201694936e-07 -1.584255779787547e-07 1.479802501494316e-07 -2.1941900837852298e-08 -7.588482236025805e-07 -5.221637603703381e-07 1.054415931573385e-05 3.1492407445481924e-07 -1.744936658186996e-07 8.54414660937833e-08 -3.1381207996493803e-07 1.7680843026378356e-07 -2.5207526261183775e-06 1.9138699519695147e-06 4.9782313808572346e-06 -3.147544973071862e-06 5.736085955463398e-06
PC18 -3.951016885924039e-07 5.781814684413342e-08 2.1875147931677546e-07 -5.600381010090487e-07 -5.207768070980072e-07 -2.2186153636331227e-07 -4.463598120733435e-07 1.0220413029046042e-07 -8.034774499762633e-07 -4.828521533608756e-07 2.0078426635053955e-07 4.606293129289639e-08 -1.6650870497655462e-07 -1.0792472447241845e-07 1.4424719843530226e-07 -1.8725771768035325e-07 2.7412221591352146e-08 3.149240744548191e-07 1.0592427260349231e-05 -1.8562493883602314e-07 3.5373989500115664e-08 1.8799758286373395e-06 -4.418472558202359e-06 -6.498701532778624e-06 -3.237750525000944e-06 1.770753194411709e-06 5.082966866572123e-06 6.012335457353005e-06
PC19 1.0676791888228119e-06 2.0909198451972893e-07 -5.713402229623295e-07 4.526445875605952e-07 -1.5741740202094441e-07 2.9079909040586385e-07 -2.3088811608959697e-07 9.431693202669493e-08 -2.1506104312049797e-07 -2.710300101617446e-07 5.045084650269921e-07 6.799289565731752e-07 -1.6035568934242746e-07 1.5060648545525705e-08 -1.2104641304390974e-07 -1.5321564357404756e-07 -6.024084175074354e-07 -1.7449366581869962e-07 -1.8562493883602335e-07 1.0778893884902674e-05 6.308953528774022e-07 -4.340060155016137e-06 -1.3640704483279847e-06 6.814915759942464e-07 1.0544275759974567e-06 1.360863941299825e-07 5.468084378355726e-07 -3.176980187703996e-07
PC20 -8.040745980854993e-07 3.976154362886744e-08 -3.3484693338530147e-07 1.285906778918889e-07 1.4693655942208271e-07 -9.057903322050406e-08 -5.208139271633726e-07 -4.6768397097816584e-07 8.443639397490186e-08 -7.641707985907615e-07 1.5689393229049828e-07 2.0220641572282158e-07 -5.767376256848441e-07 9.61791812788132e-08 2.541742985170356e-08 4.628914206346989e-08 -1.5527458939843846e-07 8.544146609378342e-08 3.537398950011563e-08 6.308953528774023e-07 9.883297240488726e-06 1.8027249024897588e-07 -3.6345017981702395e-07 -7.678103932890924e-07 4.625164397431833e-06 -1.52326501620649e-06 2.1947552334552644e-06 -2.0038854530570613e-06
proband 1.0267584835458324e-05 7.636089654315588e-07 1.169003306763799e-06 -3.0349622380287616e-06 -1.9297328850142667e-06 -3.522316366265176e-06 -1.3310420751664156e-06 -1.3288016216789856e-06 1.1666770823207223e-06 -1.6400519760819172e-06 -1.680942768318773e-06 3.778685073002182e-07 -4.4863949917620695e-07 1.7087713965724683e-06 -1.1519085204066395e-06 -2.3965641948109306e-07 1.3664423655696612e-06 -3.138120799649313e-07 1.8799758286373404e-06 -4.340060155016137e-06 1.8027249024897937e-07 0.0009982302150747361 -0.0005103869644177308 -0.0005114772423417347 1.9965778066779628e-05 5.575650780093799e-05 -1.2037175473574051e-05 8.531772393419564e-06
paternal -5.9003223337259064e-05 -4.453898695058038e-06 3.3887587951806945e-07 1.209228233021062e-07 -8.750190681190547e-07 -3.4033948221904998e-06 5.904829418192465e-06 -7.206217377893294e-06 2.205210190570451e-06 9.50733846170393e-06 2.5344163049395794e-06 -5.922837440651521e-06 -5.0493895241247315e-06 1.226399210143053e-06 1.2373732864492568e-06 5.157165237971207e-06 -1.5199249054221943e-06 1.7680843026377384e-07 -4.418472558202359e-06 -1.364070448327988e-06 -3.6345017981703713e-07 -0.0005103869644177302 0.0017748313024091328 0.00043884082840582253 -0.0011188932480841506 -0.000993001641154066 0.00021645536012800725 -0.00044269351577747945
maternal -3.534485225003552e-05 -2.206719818016423e-06 -6.801633503587529e-06 3.018929923964432e-06 -4.914204804889615e-07 1.2976482866667923e-06 5.123819742532785e-06 2.2785226858216053e-06 6.69863231734876e-07 1.3561681236439226e-06 3.981124235174633e-06 -9.325181446726894e-06 1.0194708697472934e-06 -4.805355303231303e-06 2.2652240586294824e-06 2.7010849739865476e-06 5.094369944380065e-07 -2.5207526261183847e-06 -6.4987015327786225e-06 6.81491575994245e-07 -7.678103932890972e-07 -0.0005114772423417344 0.00043884082840582253 0.0016237696613772504 9.782253259035298e-05 -0.00028086824393569714 -0.0009491417166942467 -0.0008688328681587345
gpp 9.012029134789494e-05 -3.2925898847739005e-07 -5.634777244503092e-06 -2.623524132502744e-06 -3.9477624859996226e-07 3.5893615197006883e-06 1.1232958202532137e-06 3.5694834562061623e-06 -3.125109632412487e-06 -9.095796818515519e-06 4.0069193228141e-06 4.549502246754959e-06 1.143511338611729e-05 -5.8935797006925615e-06 5.805261776963897e-06 -7.124574123077082e-06 5.755965449273227e-06 1.913869951969518e-06 -3.2377505250009484e-06 1.0544275759974647e-06 4.625164397431845e-06 1.9965778066779228e-05 -0.0011188932480841508 9.782253259035344e-05 0.0034252491447655515 -0.0005777968606651305 -0.0007229558126112073 1.1514548107933118e-05
gpm 1.8291591087724139e-06 2.699564101065014e-06 5.981232135885036e-06 8.495528128888833e-06 8.327278496054323e-06 1.2521667534470538e-05 -5.540431644182792e-06 9.485373596835407e-06 -1.3540967951468926e-05 -5.9377616295935666e-06 -8.113875278586103e-06 1.6886247775456612e-06 -6.211567052964376e-06 -2.4462888286574105e-06 -4.556796014245068e-06 -4.576248264193549e-06 -6.450583897381252e-06 4.97823138085724e-06 1.7707531944117134e-06 1.3608639412997804e-07 -1.5232650162064815e-06 5.575650780093749e-05 -0.0009930016411540653 -0.0002808682439356971 -0.0005777968606651308 0.002956119831651286 -0.00026985852297855336 0.00034648419617223274
gmp -6.986055930832266e-07 -1.8386537538742614e-07 5.828130353392659e-06 -3.1733168975348005e-06 8.214420173744037e-06 4.0373176078302156e-07 2.937379863408635e-06 -1.5524538596966196e-06 -1.021479345622907e-06 8.682046372511133e-06 -3.690462721874661e-06 2.7624870885556345e-06 2.971008698533622e-07 1.788725791268207e-06 -8.136249801597513e-06 -3.163090103726049e-07 -7.063138227376247e-07 -3.1475449730718647e-06 5.082966866572125e-06 5.468084378355734e-07 2.194755233455266e-06 -1.2037175473573741e-05 0.00021645536012800682 -0.0009491417166942474 -0.0007229558126112072 -0.00026985852297855303 0.0036249467224186453 -0.0010393855768151335
gmm 7.841744609988783e-05 -4.339187001015016e-06 6.478327942569174e-06 7.455163532967187e-06 2.503202526652703e-07 -3.633643100113458e-06 -3.964888525885267e-06 2.8071542269226863e-06 7.153627542365591e-06 -2.525957031110612e-06 -2.3668300524571273e-06 4.329069828834844e-06 1.9855493847506896e-06 6.004668890313383e-06 1.2641541000683166e-05 -4.94462967170809e-06 -8.69196599562368e-06 5.73608595546341e-06 6.012335457353012e-06 -3.176980187703975e-07 -2.003885453057058e-06 8.531772393418862e-06 -0.00044269351577747864 -0.0008688328681587345 1.1514548107932993e-05 0.000346484196172232 -0.001039385576815134 0.0032106296132875804
