(Intercept) covarSEX covarYOB covarYOBsq covarSEX_YOB covarSEX_YOBsq covarPC1 covarPC2 covarPC3 covarPC4 covarPC5 covarPC6 covarPC7 covarPC8 covarPC9 covarPC10 covarPC11 covarPC12 covarPC13 covarPC14 covarPC15 covarPC16 covarPC17 covarPC18 covarPC19 covarPC20 proband
covarPC8 1.6369339409988e-05 -0.0592767442284307 0.00516786794884334 -0.00518045680167252 0.117197370130466 -0.0579137092087842 5.67186593534919e-05 2.82539618335236e-05 -2.50810430793144e-05 -0.000135079257656028 2.58017178736554e-06 1.17505632717392e-05 7.68538831570998e-05 0.00138708531851201 6.46147168637742e-06 4.19534278830507e-05 -7.88677071914328e-05 2.5373077830325e-05 -7.34764563668336e-06 1.84554387305375e-05 -3.24740068943484e-05 2.36169297817318e-05 2.72924175588114e-05 -1.1299850233893e-05 -1.82304370877254e-05 3.22800769638558e-05 2.67639969304637e-06
covarPC9 9.07984203050447e-07 -0.131215765475713 -0.00171802822307958 0.00176698474441083 0.264880037466902 -0.133707896309008 -8.11609961333117e-06 -1.17330623650621e-05 -0.000177705774865176 9.06858914239982e-05 -1.63573447319433e-05 3.37199677694182e-05 -2.5480643048385e-05 6.46147168637742e-06 0.0013725110027041 -9.10747602176588e-06 -4.30166964578457e-05 -2.08610089364999e-05 -4.83431314420254e-05 -3.12800685415332e-05 9.14382078637533e-06 1.56011332015574e-05 4.8851303856405e-05 -6.01058288450451e-05 -3.66417496767044e-06 -2.07248087741059e-05 1.78104934536174e-05
covarPC10 -1.42515894133266e-05 0.279569964709922 0.00518683302117613 -0.00514999592947873 -0.557061723601715 0.277524914512478 3.4132538248534e-05 -3.22235754107086e-07 7.52188042139336e-06 4.42365431620882e-05 -2.68342409280563e-05 3.74580074638399e-06 -2.40025329378447e-05 4.19534278830507e-05 -9.10747602176588e-06 0.00132565774685378 -7.00541022025002e-05 4.50702743578089e-05 -7.11434211189404e-05 -3.3557822009877e-05 -1.98857581667657e-05 -5.46653545512387e-05 1.61709334291321e-05 6.33020314035717e-05 4.20870418006743e-05 -3.73680390374339e-06 -6.13525041289998e-06
covarPC11 -1.45159548929301e-05 -0.0926513086819865 -0.000236756584656386 0.000256044917191745 0.183727573602119 -0.091079279737183 -3.41835201363792e-05 1.693063346975e-05 9.13901557547587e-05 6.63543042159747e-05 -8.90850113389732e-05 -5.08750256038698e-05 0.000109458295629416 -7.88677071914328e-05 -4.30166964578457e-05 -7.00541022025002e-05 0.00138023004253568 -1.8126678299386e-07 -2.81942380412061e-05 -4.42317377164193e-05 2.05101783689509e-05 1.3696838945239e-05 6.91664284221741e-05 -1.18138194581582e-05 3.1984019860788e-05 5.77744494503996e-05 1.80758684863119e-06
covarPC12 1.11294683149149e-06 0.0341151601418338 0.00243054753030701 -0.00244403088722992 -0.0654450857043525 0.0313556728804115 0.000176515146452988 -3.72526606809445e-05 3.0364093113936e-05 -8.97240918349331e-05 6.06043080530959e-05 3.25097090281234e-06 1.25609014995867e-05 2.5373077830325e-05 -2.08610089364999e-05 4.50702743578089e-05 -1.8126678299386e-07 0.00129536268726853 -2.57730584336292e-06 -2.2974013206369e-06 -1.5911148392002e-05 -4.29660197625815e-05 -1.56088501016651e-05 1.11862368813061e-05 -1.20696289042222e-05 -3.53597470820487e-05 1.87333553150606e-05
covarPC13 2.98642666474967e-05 -0.040859172252512 -0.000819745452227207 0.000818155722427496 0.0832740349036933 -0.0423925135629142 -4.15759714547117e-06 -1.28591041487922e-06 -9.4259198024947e-05 1.67781457131718e-05 -9.07050048890605e-05 -4.96744053262043e-05 9.9275634209595e-05 -7.34764563668336e-06 -4.83431314420254e-05 -7.11434211189404e-05 -2.81942380412061e-05 -2.57730584336292e-06 0.00127921175665704 -1.57149607361439e-05 6.62861913970318e-05 3.4610868860631e-05 2.07410811874821e-05 -5.10554215043648e-05 2.51015309292177e-05 9.33547211393628e-06 2.34703142723764e-05
covarPC14 3.74936417313421e-05 -0.480318251672214 -0.000944003455388152 0.000863675831224166 0.958435736045771 -0.478175221538789 -8.07460358717985e-05 -4.01651093238481e-05 1.86105513012931e-05 -4.88191377733078e-05 7.0507723817155e-06 2.34035112381274e-06 -2.31828243885311e-05 1.84554387305375e-05 -3.12800685415332e-05 -3.3557822009877e-05 -4.42317377164193e-05 -2.2974013206369e-06 -1.57149607361439e-05 0.00130966388215484 -1.30807089668661e-05 -1.4528274758547e-05 -1.4733418060871e-05 2.70265075499591e-05 3.13661814910461e-05 -1.61466769546843e-05 -6.23823161556057e-06
covarPC15 2.66486675743419e-05 -0.272878133277518 -0.0134392593831022 0.0134169305152297 0.546895787108738 -0.274012334323326 -0.000155475290120314 1.97148238253675e-05 9.70260467508494e-06 -1.50987310387484e-05 1.1562471091999e-05 -1.08296859206464e-05 -5.04266388201165e-05 -3.24740068943484e-05 9.14382078637533e-06 -1.98857581667657e-05 2.05101783689509e-05 -1.5911148392002e-05 6.62861913970318e-05 -1.30807089668661e-05 0.00132245899847432 4.22632009109997e-05 -5.60099019122727e-05 -5.16865188891526e-05 3.07053050053891e-05 3.34031326159627e-05 3.07086440054707e-05
covarPC16 -3.35426282571736e-06 -0.288172920905653 -0.0149354432961807 0.0149410647179216 0.57538882942613 -0.28723864242226 -0.00013102722941989 -1.72129855754552e-05 -5.84180989374419e-06 3.34848221625552e-05 -2.31279350819546e-05 -4.29693214276559e-06 -2.87023064261379e-05 2.36169297817318e-05 1.56011332015574e-05 -5.46653545512387e-05 1.3696838945239e-05 -4.29660197625815e-05 3.4610868860631e-05 -1.4528274758547e-05 4.22632009109997e-05 0.00132255994708959 -6.94999675333369e-06 -3.41207898889663e-05 -5.83245473740807e-05 -8.1723270014401e-06 -2.89554009754231e-05
covarPC17 1.9190565986588e-05 0.242433725891102 0.00715495646513103 -0.00719378553965224 -0.484601383762079 0.242233805800871 2.21166995136158e-05 3.79214149788756e-05 -5.28653177868794e-05 1.21479734391403e-05 8.24350575241611e-05 5.86565700787471e-05 -1.15309277683825e-05 2.72924175588114e-05 4.8851303856405e-05 1.61709334291321e-05 6.91664284221741e-05 -1.56088501016651e-05 2.07410811874821e-05 -1.4733418060871e-05 -5.60099019122727e-05 -6.94999675333369e-06 0.00129268264306633 -1.47047534174138e-05 -3.77548099194814e-05 -2.17923113977165e-05 -7.38981673639106e-06
covarPC18 -1.62442602017517e-05 -0.18389136816603 0.00530464813129527 -0.00529844923687336 0.366896119307616 -0.183006612010417 5.56598562405875e-05 -1.71088705859555e-06 -6.91184390204268e-05 -4.59332550954807e-05 -3.09037662284091e-05 -1.76500979869569e-05 2.09501213756763e-05 -1.1299850233893e-05 -6.01058288450451e-05 6.33020314035717e-05 -1.18138194581582e-05 1.11862368813061e-05 -5.10554215043648e-05 2.70265075499591e-05 -5.16865188891526e-05 -3.41207898889663e-05 -1.47047534174138e-05 0.0012715564796692 3.68954201123707e-06 2.07415744181351e-06 3.79407454366296e-06
covarPC19 -1.46549831815755e-06 0.185907108334396 0.00401531700032497 -0.00404086568102274 -0.375078868941042 0.189179126466575 4.21500453617695e-05 8.40515015531934e-06 5.93004335956693e-05 -3.18613801112947e-05 1.07035428918288e-05 -7.21530602236593e-07 -1.1564516972478e-05 -1.82304370877254e-05 -3.66417496767044e-06 4.20870418006743e-05 3.1984019860788e-05 -1.20696289042222e-05 2.51015309292177e-05 3.13661814910461e-05 3.07053050053891e-05 -5.83245473740807e-05 -3.77548099194814e-05 3.68954201123707e-06 0.00130174890852091 3.19877125593113e-05 5.68590814453733e-05
covarPC20 1.42302402438242e-05 0.26365315435544 -0.00320203353193379 0.00320939812863943 -0.527569620420477 0.263938889488678 -9.03567000443011e-06 6.18546911689279e-06 2.41414827254366e-05 7.89696140875955e-06 2.43871977008235e-05 -3.31159531069194e-05 -2.33728167254201e-05 3.22800769638558e-05 -2.07248087741059e-05 -3.73680390374339e-06 5.77744494503996e-05 -3.53597470820487e-05 9.33547211393628e-06 -1.61466769546843e-05 3.34031326159627e-05 -8.1723270014401e-06 -2.17923113977165e-05 2.07415744181351e-06 3.19877125593113e-05 0.00125417692941437 2.97971171266284e-06
proband -7.30399084057196e-06 0.132097686244543 -0.00511191616334615 0.00511533367632705 -0.264427796999008 0.132344208849029 5.1198135482067e-05 4.3368957044114e-06 3.3573780024219e-05 -1.79576759192266e-05 3.33227606021574e-05 3.28374775663895e-05 -2.90399121814914e-05 2.67639969304637e-06 1.78104934536174e-05 -6.13525041289998e-06 1.80758684863119e-06 1.87333553150606e-05 2.34703142723764e-05 -6.23823161556057e-06 3.07086440054707e-05 -2.89554009754231e-05 -7.38981673639106e-06 3.79407454366296e-06 5.68590814453733e-05 2.97971171266284e-06 0.00115090242661451
