 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband maternal gpm gmm
PC10 -4.795013972658258e-07 1.4513957798387807e-07 -3.094633719899588e-08 1.3720723860641468e-08 1.678060902089225e-07 -2.4909385561214623e-07 1.9035011384851353e-08 -7.946869521889972e-08 2.122170660787683e-07 -5.459843869041938e-08 6.986721613797845e-06 -1.9008703956452338e-07 2.3194600410545676e-07 -3.1718306191445897e-07 -5.5469045903865294e-08 -1.3219965986244716e-07 -3.6349161283646373e-07 1.7111344950691237e-07 2.1197149696929054e-07 2.3591177504920314e-07 -1.6220556519079413e-08 -5.969972717872067e-07 1.3244961500177633e-06 2.2096433748666972e-06 -1.920277156093665e-06
PC11 5.064634926723026e-07 -8.842056202839391e-08 -8.800622719968969e-08 1.7481573017060784e-07 -1.0914674735534906e-08 -6.627150353213875e-07 -1.5598378143860253e-07 5.921702114943483e-07 -2.3743436694343497e-07 -1.7021501533539262e-07 -1.900870395645234e-07 6.901255074829601e-06 -1.7908562051443298e-07 3.377391477220109e-08 -2.8757912411164443e-07 1.7977203692839637e-07 1.6010004456390132e-07 1.53705924202298e-07 -1.6140561251439485e-08 2.779952377763922e-07 2.2115264261295652e-07 7.50372410617375e-07 -2.7874110010633773e-06 4.2149327116194105e-06 1.6477113300244576e-06
PC12 -3.50079642004491e-07 3.289478482748056e-07 -2.415283702291687e-07 1.3438337079547946e-07 -4.389690427161587e-07 3.675261666797547e-07 1.1112703806346612e-07 1.0389780112513857e-07 2.4929586301673464e-07 -1.340922915559115e-07 2.3194600410545668e-07 -1.7908562051443296e-07 6.4545169752467365e-06 -2.5809033486542183e-10 -7.09908108204046e-08 -1.8046752536731525e-07 -1.0551381483033467e-09 -7.265742311427002e-08 -1.8163323044653554e-08 6.156536244727624e-08 -9.618272034986735e-08 9.296842450201882e-07 1.0944852604704306e-06 -2.3599576662543134e-06 -1.1667777996310651e-09
PC13 8.613154304158897e-07 -8.711741038113352e-08 2.843097696740054e-07 -4.31441361444637e-07 -2.072224875406417e-07 -5.673212410438179e-07 -2.6515814004277797e-07 2.9510957565092306e-07 -3.7371395874157734e-09 3.969383051853747e-09 -3.171830619144588e-07 3.3773914772201095e-08 -2.5809033486545647e-10 6.48384534214915e-06 -2.04330768219967e-07 4.72491893373456e-07 2.2893773410229212e-07 6.508516052936104e-08 -1.751575345977795e-08 -7.466062770824012e-10 4.052464015263463e-08 7.408159620187714e-07 2.3168789348963123e-06 -3.6657396122679093e-06 3.715730219291062e-08
PC14 3.30060838130668e-07 -1.457718472066338e-07 -3.7378047744976045e-07 -7.187663710550019e-08 -8.09765610485991e-08 2.48999007589388e-07 -4.40983994727645e-08 -4.263928159890552e-08 -5.5803735127381254e-08 -2.603813734526978e-07 -5.5469045903865446e-08 -2.875791241116445e-07 -7.099081082040458e-08 -2.0433076821996698e-07 6.742264129275495e-06 -4.782742947009753e-08 -9.891083319611795e-08 -2.8417657574019098e-08 1.9258242623472734e-07 1.1060190556995705e-07 -4.0561953609676314e-08 -4.877701119780204e-07 3.1438469255778693e-06 -9.057264649726103e-07 -3.2075534173408735e-06
PC15 -9.48020227867581e-07 -3.227352979105813e-07 2.943675646925331e-07 -6.8442815953773735e-09 -4.108236580904844e-08 -1.1741891933859798e-08 4.2378905822898244e-08 -3.7309773140193683e-07 -2.0797387318597474e-07 1.6247224678242352e-07 -1.3219965986244703e-07 1.7977203692839642e-07 -1.8046752536731533e-07 4.72491893373456e-07 -4.782742947009761e-08 6.4635539321394085e-06 2.1591694117204773e-07 -2.305960704609571e-07 -4.439088633338301e-08 4.4993771345025546e-08 6.245051601826574e-08 1.4082432316015348e-06 -6.847506015938264e-08 1.387409461240506e-07 -8.77442989611842e-07
PC16 -3.534935380882946e-07 -2.5770325742524595e-07 -1.2637509455600883e-07 1.8941872124167738e-08 7.94042659278859e-08 -9.656013190357562e-08 -2.3658105679082433e-08 -5.323656575161889e-10 9.910174110278284e-08 2.940981342764818e-07 -3.6349161283646346e-07 1.6010004456390142e-07 -1.0551381483033886e-09 2.2893773410229198e-07 -9.891083319611806e-08 2.1591694117204776e-07 6.454454079364926e-06 4.777775233611118e-08 -2.288546852187004e-07 -2.7533651262369755e-07 -1.2228449496884441e-07 -9.462278736433492e-07 -1.2586106568719124e-06 -7.270043914483941e-07 2.078869614443987e-06
PC17 -5.189181671377487e-07 -5.531737858464012e-09 6.730984983312628e-07 -1.3583174495885937e-07 1.3437019963685544e-07 4.2144903504760674e-07 2.849871422594722e-07 -4.0538350402736685e-08 8.332851708011751e-08 2.933240329645886e-07 1.7111344950691247e-07 1.5370592420229807e-07 -7.265742311427009e-08 6.508516052936098e-08 -2.8417657574019058e-08 -2.3059607046095708e-07 4.7777752336111296e-08 6.173323683438673e-06 1.8737538511153996e-07 -1.445748536829541e-07 8.81956070681118e-09 2.220606109472636e-07 2.6999369455056136e-07 -2.1403192563349626e-06 3.6657599460217273e-07
PC18 5.748813301385362e-07 -1.6919609223021988e-08 7.374233123608503e-08 -3.331504965233882e-07 -1.734418455065692e-07 -1.4258535837631427e-07 -9.846138135748541e-08 5.114513120521952e-08 -1.4933552452348084e-07 -1.9008735707981287e-07 2.1197149696929047e-07 -1.6140561251439495e-08 -1.8163323044653614e-08 -1.7515753459777845e-08 1.9258242623472745e-07 -4.4390886333382963e-08 -2.2885468521870032e-07 1.8737538511154e-07 5.986486634018334e-06 -9.171853877955745e-08 5.5767809875922795e-08 9.991608091678668e-07 3.146105698404275e-07 1.2843493400212728e-06 -2.211608622817717e-06
PC19 1.349811123280564e-06 9.958345085824092e-08 -3.085643164976466e-07 2.1803672095107816e-07 -1.2743124760756577e-07 3.28527733237672e-07 -2.4751726026358075e-08 5.676237020325743e-09 -2.241023065412889e-07 -1.59284651844208e-07 2.3591177504920328e-07 2.7799523777639205e-07 6.156536244727638e-08 -7.466062770822498e-10 1.1060190556995703e-07 4.499377134502562e-08 -2.753365126236975e-07 -1.4457485368295404e-07 -9.171853877955756e-08 6.206726747634575e-06 1.8583142863861894e-07 6.282223443063915e-07 3.5371141787562848e-06 -1.660620641802311e-06 -1.007205315047606e-06
PC20 3.5909212688751927e-07 1.1759743447911019e-08 1.0602125636711207e-07 7.054951196801169e-08 1.6253556919757802e-08 1.1331719454688108e-07 -2.609912532816349e-07 -1.6176032103984794e-07 1.6244155069207343e-07 -2.161841400065793e-07 -1.6220556519079337e-08 2.2115264261295652e-07 -9.618272034986747e-08 4.052464015263473e-08 -4.056195360967632e-08 6.24505160182656e-08 -1.222844949688444e-07 8.819560706811112e-09 5.576780987592288e-08 1.8583142863861894e-07 5.679718830690028e-06 1.9857884100426345e-08 -3.0727866764588604e-07 1.6473881943227122e-06 -1.8514358818249326e-06
proband -6.265803229114286e-07 4.1647138118964883e-07 -2.3887464713398137e-06 3.3371240443178465e-07 -5.214980303194488e-07 1.294147239297056e-06 1.2158764409494665e-06 -1.4077112627698258e-06 2.690272532050982e-07 1.7450749606294114e-06 -5.969972717872069e-07 7.503724106173749e-07 9.296842450201879e-07 7.4081596201877e-07 -4.877701119780191e-07 1.4082432316015358e-06 -9.462278736433495e-07 2.2206061094726353e-07 9.991608091678683e-07 6.282223443063924e-07 1.985788410042675e-08 0.000395613328039303 -0.0001585640100376402 -3.698982495947285e-05 -4.422699236343017e-05
maternal 1.520436777556729e-05 1.4779530265716023e-06 -1.118232309587552e-06 -6.021701966402928e-07 -1.5247805163087996e-07 1.5265416297904364e-06 -1.489401057439812e-06 5.191451431939433e-07 1.377273214518931e-06 2.2922937224690605e-06 1.324496150017764e-06 -2.787411001063375e-06 1.0944852604704315e-06 2.316878934896318e-06 3.143846925577861e-06 -6.847506015937914e-08 -1.2586106568719127e-06 2.699936945505649e-07 3.146105698404246e-07 3.537114178756282e-06 -3.072786676458908e-07 -0.00015856401003764008 0.0015323155308563702 -0.0011070962756101217 -0.0009606651182507377
gpm -9.227845879328743e-06 1.19821626796877e-07 5.825919488419754e-07 -7.952411204527452e-07 -2.7996688657269708e-06 6.920714948492356e-07 -1.1932625527045713e-06 5.0514890360029175e-06 -1.4602954797429375e-06 6.557372275744441e-07 2.2096433748666947e-06 4.214932711619406e-06 -2.3599576662543143e-06 -3.6657396122679093e-06 -9.057264649726027e-07 1.3874094612404692e-07 -7.270043914483919e-07 -2.1403192563349656e-06 1.2843493400212738e-06 -1.6606206418023046e-06 1.6473881943227152e-06 -3.6989824959473225e-05 -0.0011070962756101206 0.002857898317401697 -0.0005590593052241315
gmm 8.173857799009902e-06 2.408931348271147e-07 3.982156184241419e-06 3.890773844272531e-06 2.324989926672268e-06 -4.781487267633942e-07 3.642051202071342e-06 -4.705188279324508e-06 2.050782883884417e-06 -4.938382590470673e-06 -1.920277156093663e-06 1.6477113300244565e-06 -1.166777799631394e-09 3.715730219290721e-08 -3.207553417340868e-06 -8.774429896118452e-07 2.078869614443986e-06 3.6657599460217093e-07 -2.211608622817714e-06 -1.007205315047604e-06 -1.8514358818249288e-06 -4.4226992363430104e-05 -0.0009606651182507377 -0.0005590593052241312 0.0024460603974898565
