 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gmp gpm gmm
intercept 0.0004654009802162903 1.5718245706777844e-06 -1.3038937588857454e-07 2.4056638663132305e-07 1.2057590255226186e-06 -6.715787203099144e-07 1.2116471348039144e-06 1.2576001931833586e-07 1.013440449998323e-06 1.1004486361626957e-06 1.047317424022913e-07 3.031979740201123e-06 -2.362736556387465e-06 1.3838695589042664e-06 -1.1640791107499228e-06 -1.6586421518190118e-06 -2.032577809499118e-06 -9.576008949579543e-07 -3.784805139916905e-07 2.2151929446033003e-06 5.704735893625412e-07 -2.146094881204163e-06 4.540621890441659e-05 2.9214344617498568e-05 -7.714744616975819e-05 2.153694078855088e-06 -4.512278813973261e-05 2.7382044789018326e-05
PC1 1.5718245706777849e-06 1.6193660693276139e-06 -1.360600643833094e-06 -1.5827786578135655e-07 -4.854201084014782e-08 -2.1740924541209024e-07 2.4444341605630374e-08 1.2201188953374443e-07 1.1648138877344979e-07 -3.616569056430572e-08 7.777099856564322e-08 -3.0918607432725877e-08 4.570512824531952e-07 -1.0705764135037397e-07 -2.767988973419987e-07 -5.151425487354797e-07 -4.6939341497065136e-07 1.4717437987755384e-07 -4.814987743315688e-08 1.5404327721871417e-07 -6.695296650461526e-08 -1.1813860869460744e-07 -1.302701852484041e-06 2.2839286229739144e-06 5.185017459183483e-07 3.6489666683245876e-06 3.2560594521288344e-07 8.555286886718592e-08
PC2 -1.3038937588857234e-07 -1.3606006438330936e-06 3.555485568789886e-05 7.702764349818143e-07 1.0081527282935958e-06 -4.05354605500054e-07 3.068981912335305e-08 -2.0893201201068066e-07 8.637291401643461e-07 -3.1173055112990075e-07 2.875199593931895e-07 -4.1844394485716176e-07 -6.633079864037522e-07 4.512932525466354e-07 -7.444874958582525e-07 2.85595428162057e-07 -2.0131111312912184e-08 5.892596964931538e-07 2.8758773092893295e-07 -3.6279559430078643e-07 -2.536952834991431e-07 -5.328872585060389e-06 7.691778491192488e-06 -7.402175974466522e-07 1.7953841394145794e-06 -5.5958044250033485e-06 -3.837081935405456e-06 5.246162424077237e-06
PC3 2.4056638663132363e-07 -1.5827786578135642e-07 7.70276434981814e-07 3.1327502146297596e-06 9.283326549660785e-08 8.164662464648322e-07 4.324179956273106e-08 2.4935531200499293e-07 -7.549125563703679e-08 -7.436713405299252e-07 8.127038469288788e-08 2.217678900748878e-07 4.603882689205794e-08 -4.597616227985175e-07 3.441772282912177e-08 -2.318085915285399e-08 1.3556323042065437e-07 -2.6067471448608576e-07 -3.739599175538383e-07 2.827500376061518e-07 7.065379240800971e-08 -1.0663112118268668e-06 3.7837363690892467e-07 5.858994226827533e-07 2.7398245935032356e-06 -1.862594609150572e-07 -5.175013670160707e-06 5.8231192498165356e-06
PC4 1.205759025522618e-06 -4.854201084014777e-08 1.008152728293595e-06 9.283326549660776e-08 6.057782592998899e-06 1.2365425666914707e-06 -2.685275487657565e-07 1.0132273433033384e-07 -8.868119636833251e-07 3.232928941801582e-07 1.9673792051325286e-07 1.5862555056064326e-07 -6.912432315330931e-07 -3.8876497567915747e-07 -6.350230249153267e-08 -1.1786717782797819e-07 6.424360423192459e-08 7.165849719499066e-09 -3.42518089617345e-07 -1.2217712927038468e-07 1.043317834620067e-07 1.8881463482803128e-07 -4.994452439925868e-06 1.8124295990197165e-06 -1.7090259765035834e-06 8.34286812025553e-06 -7.057423136265785e-06 7.904489002626069e-07
PC5 -6.71578720309916e-07 -2.174092454120902e-07 -4.053546055000547e-07 8.164662464648324e-07 1.236542566691471e-06 1.165539151816111e-05 2.8297214405963953e-07 8.471415404045604e-07 -5.725935252199759e-07 -2.728624580799921e-07 -1.9915364701507578e-07 -8.029533175940271e-07 3.6652288307359764e-07 -8.153970167189172e-07 4.771154218518292e-07 -5.8577009568883085e-08 -1.42812345567832e-07 5.20507108674331e-07 -2.4490975088538695e-07 2.1303118491663756e-07 7.34602539362445e-08 1.1926467566121147e-06 -3.02298014136221e-08 3.4966465068722496e-06 -7.142752687387711e-07 4.93348698116389e-06 5.215192159595892e-07 -4.3279890105791525e-06
PC6 1.211647134803916e-06 2.444434160563048e-08 3.0689819123353485e-08 4.324179956273096e-08 -2.685275487657567e-07 2.8297214405963927e-07 1.1107481749865762e-05 -3.548820516360549e-08 2.703929338887196e-07 1.0542105006423014e-07 3.54486286033119e-08 -3.1832279855625897e-07 1.3424891678545112e-07 -2.1595029582478127e-07 -2.3920291754294337e-07 4.200894057138528e-09 -6.043840513372177e-08 2.1369402200506082e-07 -3.116515166522695e-07 -1.2175442480314893e-07 -3.915666252108418e-07 -1.0725150716777433e-07 1.920113249805908e-07 -4.75067889169469e-06 7.449286784397035e-06 -6.598626362004059e-06 -1.7981496948804002e-06 6.703254920711695e-06
PC7 1.257600193183345e-07 1.220118895337445e-07 -2.0893201201068095e-07 2.4935531200499315e-07 1.0132273433033369e-07 8.471415404045605e-07 -3.54882051636053e-08 9.275228409307764e-06 5.211460104529428e-07 -1.2935804032384092e-07 -7.998879308642275e-08 8.997251885632112e-07 9.365936077584946e-08 3.030185875773094e-07 -1.2712877065954478e-07 -2.846342942009246e-07 -2.476786493528797e-07 -1.2795620822814692e-07 1.1907714935491325e-07 1.2648312747181056e-08 -1.8580033175365584e-07 -9.983412613367552e-07 1.2156975927929059e-06 2.4392449891917813e-06 -8.767651776784826e-07 -1.151653437269757e-06 9.438579494620542e-06 -1.1525423828133375e-05
PC8 1.0134404499983232e-06 1.1648138877344979e-07 8.637291401643465e-07 -7.549125563703681e-08 -8.868119636833254e-07 -5.725935252199754e-07 2.7039293388871986e-07 5.211460104529425e-07 9.97930925411707e-06 2.5072735777057273e-07 7.095981470674772e-08 -5.484060565905654e-07 1.1278529797362315e-07 5.981130073080426e-08 -1.0460785836141048e-07 -3.9553502273037804e-07 7.760639404146557e-09 8.846871676005531e-08 -3.8610174681363325e-07 -2.1546788343580174e-07 1.9094498932133498e-07 -1.1890367724023681e-06 2.5614178666083593e-06 5.340348587025243e-06 1.1969081118590153e-06 -1.5750264739318173e-06 -7.20960231405313e-06 3.3239746365873942e-06
PC9 1.100448636162695e-06 -3.616569056430572e-08 -3.1173055112990096e-07 -7.436713405299249e-07 3.2329289418015797e-07 -2.7286245807999235e-07 1.0542105006423033e-07 -1.293580403238409e-07 2.5072735777057246e-07 8.812191639370554e-06 -2.7424663223128803e-07 1.6713104376812125e-08 -3.411887621235979e-07 -4.4805930244547255e-08 -5.538393814130046e-07 2.3020066349127197e-07 3.7643526896069666e-07 4.826649048412551e-07 -1.3188548917142223e-07 -1.2053744620397582e-07 -4.0304391105893903e-07 2.56267018372761e-06 1.0058654906433179e-06 3.0851915175171794e-06 -1.0001361165620802e-05 1.8435689329889156e-06 2.1130860293056457e-06 -6.842897928010393e-06
