 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband
PC11 -1.752687768179113e-07 -4.247336837367725e-08 4.857575750044258e-08 1.204438189387681e-07 8.697177340562234e-08 -2.8189147227152015e-07 -1.4324373158223228e-07 3.08573978878706e-07 -2.0372122964603916e-07 -1.3054459687848145e-07 -1.7851179785052742e-07 4.311366653855719e-06 -7.137701349105778e-08 -4.288439413507901e-08 -8.893310462835376e-08 8.69383631909935e-08 9.047195605965404e-09 1.576220950403041e-07 -2.426052537602813e-08 7.558237681172178e-08 1.5006788321871033e-07 -9.414099596117803e-08
PC12 5.119038618418019e-08 2.2205395560590393e-07 -8.151156082096139e-08 7.174644327844488e-08 -2.1457320328920063e-07 1.6241901611807417e-07 1.1334122582597589e-08 6.459855412347029e-08 1.0890537904071521e-07 -2.3693178795590515e-08 1.1119003445051653e-07 -7.137701349105773e-08 4.181206592967861e-06 2.0996283368636503e-08 -2.635498748668247e-08 -9.755690643577626e-08 -7.761282288446099e-08 -4.228738341122568e-09 3.9560176439080983e-08 -4.665613625900889e-08 -6.240461751139799e-08 3.616284303526319e-07
PC13 2.488456820291855e-08 -3.192646107969354e-09 6.711888190663217e-08 -1.6264519664662652e-07 1.8370099501242315e-08 -2.218371981414997e-07 -1.3806763468405143e-07 2.4117464190111577e-07 -6.133435570209264e-08 -1.0887033336541157e-07 -1.7912288801293152e-07 -4.2884394135078986e-08 2.0996283368636573e-08 4.0029341305221325e-06 -9.546983737615358e-08 1.8122564614207066e-07 5.2739100187736924e-08 1.4433554048242704e-08 -9.620119223847519e-08 3.895162988422679e-08 3.024228287811533e-08 3.5814808302287994e-07
PC14 1.9141825035965112e-07 -9.764070503029633e-08 -2.1301368447542725e-07 1.640924460507006e-09 -6.907651184115023e-08 4.199663702758591e-08 -2.776241451151049e-08 -5.385606349562916e-09 4.157801390544055e-08 -3.752173961571158e-08 -1.0297322867175732e-07 -8.893310462835386e-08 -2.6354987486682436e-08 -9.546983737615357e-08 4.304724405047589e-06 -7.1275490631960375e-09 -9.421417663162151e-08 -2.2707733481071087e-08 6.76283986859899e-08 1.1159012548595062e-07 3.741697935874132e-09 -1.6650418864882648e-07
PC15 -4.960626655835578e-07 -1.7479621182867642e-07 1.233747493791456e-07 -1.6898887783689866e-08 -3.459046567702243e-08 6.160367978112461e-08 5.435178014312965e-10 -1.5024246707237156e-07 -8.73864168833897e-08 5.12181372004581e-08 -8.10495461307021e-08 8.693836319099341e-08 -9.755690643577632e-08 1.8122564614207056e-07 -7.127549063196018e-09 4.058976541918981e-06 1.1119218034486688e-07 -1.4977491394330897e-07 -7.01423897358121e-08 8.881493445489043e-08 8.280657416580944e-08 7.993896320823546e-07
PC16 -1.2115690914175236e-07 -1.5801142144743233e-07 -1.4893503408558902e-07 7.003472736822702e-09 4.517655122527757e-08 -3.5143214318832606e-08 -2.2230275975309635e-08 -8.345534163793054e-08 4.892630612355832e-08 1.1039983627592171e-07 -1.5153192006470438e-07 9.04719560596543e-09 -7.761282288446111e-08 5.273910018773696e-08 -9.421417663162147e-08 1.1119218034486688e-07 4.20736099823742e-06 -1.2058267242610691e-08 -3.9909168487575846e-08 -1.1181905887760877e-07 -7.280940897723997e-08 -7.846936798770026e-07
PC17 3.4879527853083795e-07 2.8516139779700538e-08 1.326468091400312e-07 -1.0014600129609919e-07 3.886232127002678e-11 2.1675779922869604e-07 2.2625454330857248e-07 -3.674547472976021e-08 6.191046364627578e-08 1.254321121538519e-07 2.4660046476039602e-08 1.576220950403041e-07 -4.228738341122628e-09 1.4433554048242683e-08 -2.270773348107113e-08 -1.4977491394330897e-07 -1.2058267242610722e-08 3.829528769356469e-06 -2.0479074351640048e-08 -1.7838184420276936e-08 1.2311657452922168e-08 1.4547535223998993e-07
PC18 -1.4123494100050852e-07 5.048479773595057e-08 -2.39199791905597e-08 -1.3399294363812964e-07 -7.756435069488062e-08 -1.0054597702674623e-07 -4.637141772866944e-08 6.467108292925776e-08 -3.771450728560773e-08 -1.6592704957068503e-07 1.4962867356960782e-07 -2.4260525376028093e-08 3.9560176439080997e-08 -9.620119223847519e-08 6.762839868598995e-08 -7.014238973581208e-08 -3.990916848757585e-08 -2.047907435164003e-08 3.852568241219356e-06 -2.087995209441418e-08 4.63707953344931e-08 1.1446510622448857e-07
PC19 5.890998208132159e-07 3.102434566596445e-08 8.004047686952667e-09 1.1588884932080986e-07 -6.422779312846434e-08 7.628535583006665e-08 -1.489472440902346e-08 -3.0620537476459455e-08 -5.281828014596609e-08 -6.742986165177249e-08 1.3782523001141268e-07 7.55823768117218e-08 -4.665613625900895e-08 3.8951629884226794e-08 1.1159012548595062e-07 8.881493445489047e-08 -1.1181905887760881e-07 -1.7838184420276976e-08 -2.0879952094414266e-08 3.867845668085619e-06 1.0772435872182263e-07 7.343256291678549e-07
PC20 3.2748101865851105e-07 2.1480366646286352e-08 -1.3748452342122853e-08 4.133541659766825e-08 -3.039130328664206e-08 6.685078699427909e-08 -1.0401394916779313e-07 -1.094468597976742e-07 8.70125849710437e-08 -7.997236516206232e-08 3.605792185353715e-08 1.5006788321871033e-07 -6.240461751139802e-08 3.0242282878115315e-08 3.74169793587415e-09 8.280657416580945e-08 -7.280940897723992e-08 1.2311657452922186e-08 4.6370795334493175e-08 1.0772435872182264e-07 3.5977661385193797e-06 -3.3800915515374707e-07
proband -9.868392251579046e-07 6.163164693017617e-07 4.172944734639517e-08 5.304981506822458e-07 -7.407176079809241e-08 9.599114633921084e-07 8.831925755879224e-07 -8.000770992623419e-07 4.187110215152764e-08 6.879865856621579e-07 1.0357092526622657e-07 -9.41409959611792e-08 3.6162843035263243e-07 3.581480830228799e-07 -1.6650418864882638e-07 7.993896320823547e-07 -7.84693679877003e-07 1.4547535223998874e-07 1.1446510622448795e-07 7.343256291678554e-07 -3.3800915515374717e-07 0.0002022739931632583
