 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal gpp gmp
intercept 0.001900838718824704 -2.3774609722675375e-06 0.0005797791246788787 0.0005880814465179584 -6.13994852434282e-05 -1.6879717200316177e-05 1.5348568652136776e-07 1.931549544619861e-06 -1.852437926077686e-08 -0.001156578771858859 0.0008896593185433857 -0.0025885275929921196 0.0005215654167874558 0.0016273877158189639 -0.0008529072070217379 -0.0018588004943778283 6.760582362715426e-05 -0.0005509729132099813 -0.0014071280120915364 -0.0007149186967146607 -0.001223178949232267 -0.001013479332926507 0.00097883856892706 -0.0007393556822001773 0.00046821136661555265 -2.7831110177407814e-05 -0.00010223596556805474 0.0018082792743904215 0.00046193709306309455 6.096866005952213e-06 1.832105705287337e-05 2.4108560546692653e-07 -2.620917547578938e-05
yob -2.377460972282261e-06 1.3146725820412411e-06 3.023145085591363e-06 -6.411835435284612e-07 -7.756857391963138e-08 -3.843712958894096e-08 2.40145278900689e-10 -2.8024822153156084e-09 6.510932175233917e-11 -9.87080652640272e-06 0.00023078071321606778 4.75986167374206e-05 -3.886287693595056e-05 7.371543585611099e-05 -0.00012663651419210652 -2.2795224203497867e-05 -9.222102102558695e-05 9.525373312008889e-05 -1.9248009612135777e-05 -0.00013603743502157848 5.518381139784399e-05 -9.076811933322555e-05 2.7777762889903646e-05 0.00013150233724388983 7.684466120420815e-05 3.795551439338633e-05 3.2445675125145145e-05 0.0001106867444893215 -0.00020465755214086554 1.4500258840610426e-07 1.2534524597476536e-07 1.9440782189359913e-07 -2.2740703949624984e-07
age 0.0005797791246897653 3.0231450857107355e-06 0.0010597497817401139 0.012968240659895368 -0.0010451623591271491 -2.653719828160004e-05 2.0997978239799459e-07 2.62426249626635e-05 -2.0767176007240042e-07 -5.378353991962636e-05 0.00035957256982061333 -0.00027558920769308877 -0.00037563490518951 0.00019588337922769755 -0.0006201640878268612 -7.677379960153587e-05 0.0002214621320688898 0.00025604547288323083 0.0005110893127621222 -0.0008751445155035343 0.00017437814261985854 0.0007853576665778512 0.0002963162777623426 0.0002496035573327269 -0.00016914430943206141 0.0004349869218765205 8.772372612461249e-05 0.0008358751234479815 -0.0007646416400467012 6.7172906697740915e-06 4.163396193221008e-06 2.0216582050900517e-05 -2.3902441999956125e-05
sex 0.0005880814467851727 -6.41183542358674e-07 0.012968240660077478 0.27640302051654286 -0.02183686945743825 -0.00031873083253467307 2.477570495603268e-06 0.0005398355408776884 -4.218174006662428e-06 -0.0006929624860478842 -0.0036023196091451385 0.002723740860259031 -0.0027278570755541374 -0.006670646024150038 0.0005453898708414887 0.004158685576303788 -0.004547703720989694 -0.008207178689117679 0.00531522227306982 -0.01518326081686582 0.007374088833367476 0.0064153040538620296 0.0032330001360691752 0.0019103374150746767 -0.0074613685419928424 0.006812578322946192 0.0014026416536556125 -0.00031040913496037083 -0.004181175174695492 5.9382642802802694e-05 -4.777058802562425e-05 0.0004193608826746471 -0.00028253349536822063
age_sex -6.139948526571703e-05 -7.756857401525308e-08 -0.001045162359142663 -0.0218368694574453 0.0017682375348678236 2.62476652820022e-05 -2.077532972978869e-07 -4.461994713948697e-05 3.5469656824328587e-07 6.01041779681378e-05 0.0004216774839301679 -0.00010762367160025507 0.00013694223763348104 0.0004533107008526569 -6.983112446019446e-05 -0.0003444974233850632 0.0002967989592361509 0.0005475573988722546 -0.0004819240606942199 0.0013614328926172675 -0.0006377161200879817 -0.00045900533059626576 -0.0001195861755193091 -2.046930711640075e-05 0.0005399946871129537 -0.000373056991541711 1.7791594229906707e-06 2.5957854057486678e-05 0.00023123132639309502 -4.442247494626197e-06 1.2327989335895033e-06 -2.692179353932689e-05 2.063128280995337e-05
age2 -1.687971720062921e-05 -3.843712959052659e-08 -2.6537198281608794e-05 -0.00031873083253014897 2.624766528161637e-05 6.789757333056563e-07 -5.469903747347675e-09 -6.723972885831133e-07 5.416613209540597e-09 1.7521983372814078e-06 -4.120733187401246e-07 1.1225111216605961e-05 7.929609415220888e-06 4.0777008429885667e-07 1.028679740074114e-05 4.792420978475684e-06 -9.075878391586244e-06 -3.94390514297814e-06 -1.3867517183961565e-05 1.9229779160884428e-05 -2.6790811183480173e-06 -2.0744251130218532e-05 -6.304111303637028e-06 -4.245129413221084e-06 6.3190809698943136e-06 -6.616771124015406e-06 1.0214653809143914e-06 -1.9993188511228474e-05 1.4936439273144722e-05 -1.6725606259695535e-07 -1.6431275479370376e-07 -4.1847549308107104e-07 6.243079251980511e-07
age3 1.5348568652399187e-07 2.401452789088248e-10 2.0997978239810478e-07 2.4775704955674054e-06 -2.077532972948265e-07 -5.469903747348703e-09 4.479955155695709e-11 5.416610683234179e-09 -4.435699543838361e-11 -2.2320902412649184e-08 -4.2662597337103546e-09 -1.129808733675341e-07 -5.2926135115061174e-08 -1.9886779275469815e-08 -6.907720272601262e-08 -6.472127446846284e-08 7.922145323128917e-08 1.2943131783352412e-08 1.0380169052590269e-07 -1.5924150883245462e-07 1.8805127137746923e-08 1.484566659325769e-07 3.8674011049844275e-08 4.9379987116900124e-08 -5.7649341348702376e-08 2.81272219194883e-08 -2.7720419800229682e-08 1.6772432597694577e-07 -1.3256168581941236e-07 1.3202123867201542e-09 1.7506894325744804e-09 2.7370273806808113e-09 -5.203067662618886e-09
age2_sex 1.9315495451979737e-06 -2.8024822131139046e-09 2.6242624963072166e-05 0.0005398355408780253 -4.461994713949991e-05 -6.723972885932922e-07 5.416610683314967e-09 1.1474927409512434e-06 -9.276839455408274e-09 -1.6224064030544862e-06 -1.3130954401978234e-05 5.054640451514045e-07 -1.7787011941019983e-06 -1.0073522847740655e-05 2.8640157351600782e-06 9.087113087162936e-06 -7.160677659478021e-06 -1.3688584512960765e-05 1.180044414204355e-05 -3.589947701960787e-05 1.8085699113164553e-05 1.055111184458502e-05 -2.59697159273243e-06 4.4184591949078965e-07 -1.3072690384283358e-05 5.8930079449835215e-06 -3.903752196450191e-06 -3.6895849980293715e-06 -6.513489846835839e-06 9.875629720607627e-08 2.9753063184112035e-09 5.729548712597298e-07 -4.93064600313195e-07
age3_sex -1.8524379265471123e-08 6.510932173324307e-11 -2.0767176007576748e-07 -4.218174006666147e-06 3.5469656824347344e-07 5.416613209624512e-09 -4.435699543904997e-11 -9.276839455410413e-09 7.61968437862321e-11 1.4343503799074803e-08 1.2070332075144701e-07 1.0445098637330686e-08 3.0481150647603044e-09 7.431444206705985e-08 -2.969443671595741e-08 -7.694656636790062e-08 5.513226523886106e-08 1.2230674076333185e-07 -8.228101985640375e-08 2.98093803737193e-07 -1.6031925848460018e-07 -7.530231206165012e-08 7.46394725591591e-08 -1.993789799472657e-08 1.1334622135767071e-07 -2.3407452576017765e-08 6.710743601124239e-08 6.573213482737296e-08 7.131258130581198e-08 -6.75564201804666e-10 -2.1018262836538836e-10 -3.994335695885683e-09 3.83872130170902e-09
PC_3 -0.0011565787718596295 -9.870806526408629e-06 -5.378353991659706e-05 -0.0006929624859700021 6.0104177961735544e-05 1.75219833720424e-06 -2.232090241202972e-08 -1.6224064028905517e-06 1.4343503797755713e-08 0.27593785328730186 -0.00815642316381669 -0.036127440070288126 0.05541991343148398 -0.012708735362410146 0.01910344479372548 0.017750873149470377 -0.07743239168512007 -0.014257526838214223 -0.08734209523445088 0.04912349879079611 0.07220497726638352 0.051873260523412956 -0.043988588333497405 -0.18540316556903347 -0.02223406867531096 -0.011994034414604962 0.038975323555550626 -0.03877027434834571 0.0923763697546538 7.819807448555688e-05 1.6270821679854804e-05 -5.252413588751007e-05 7.381226027090458e-05
PC_4 0.0008896593185345706 0.00023078071321604347 0.0003595725698026159 -0.003602319609408448 0.00042167748395173846 -4.120733182822286e-07 -4.266259737385616e-09 -1.3130954402528206e-05 1.2070332075585876e-07 -0.008156423163813868 0.9941281090966088 0.013657404670945063 0.19551207619633632 -0.12123780675675849 -0.048692354004219215 -0.01699459078062567 0.004808199202521933 -0.12700618104217118 0.06639726052368781 0.10323199084763826 -0.14580741036784362 -0.06081503050711561 0.16418779466082611 0.04677734869658515 -0.0066242680351275745 0.06541813132357151 -0.018303818981710504 -0.06965056451745119 0.14008651477633569 -4.540253872674775e-05 0.00014790171925675057 9.030775113985449e-05 -0.00038087334546954484
PC_5 -0.002588527592992227 4.759861673742034e-05 -0.0002755892076862645 0.002723740860408248 -0.00010762367161285875 1.122511121642718e-05 -1.129808733660747e-07 5.054640454813395e-07 1.0445098634624896e-08 -0.0361274400702889 0.013657404670940043 1.2700327743024082 -0.044101923823884025 -0.06998510134956368 -0.11370461923509984 0.07484779581559108 -0.1331738603036418 -0.08460976352932334 -0.12063312472312568 0.05937654692787594 -0.047759457322598946 -0.03579283809249525 0.012165345877232102 -0.1258260745260536 -0.04089640271028194 -0.04862131148877065 -0.053919947933239114 -0.1825132084947038 0.06935158091532419 -0.00010057506016806303 0.00027689557554499825 -0.0002186575454782326 0.0002677091747436946
PC_6 0.0005215654167880379 -3.886287693596215e-05 -0.0003756349051790746 -0.0027278570753325325 0.00013694223761515398 7.929609414952997e-06 -5.2926135112901346e-08 -1.7787011936309413e-06 3.0481150609566885e-09 0.05541991343148364 0.19551207619632982 -0.04410192382388409 1.6675604944991884 0.07893474645380597 0.13887407993175516 -0.09778616126641533 -0.026684058053680144 0.11459338565082 -0.2992400737604642 -0.08068075917847144 0.28991145894763054 -0.23828616936327485 0.07031079775940606 0.06437849360458008 0.04186735797136952 0.02456018589480021 -0.09184736340819455 -0.02696267642966461 -0.11005224451949899 -1.7322315935196456e-05 0.00027866335655359796 0.00032469356188660406 -0.0005031531420350912
