 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband sibling paternal maternal
intercept 2.913643585360487e-05 3.986406879908649e-07 1.565186212458196e-06 -3.534760667814652e-08 2.549799551474557e-10 7.384193156948094e-05 -0.00012991427440005887 -6.556578249100785e-06 -0.00013158711391932936 3.3418674245352635e-05 -0.00014730374506891964 0.00020238265195786717 -0.00012901764182791575 -1.6268036258822815e-05 -0.0002120065923259839 3.7042561066142584e-05 -4.123438708899134e-05 -0.0001589392765603309 -4.436480055133223e-05 -8.011329071891771e-05 -5.8202525009951545e-06 7.277304179766401e-06 -9.608635882822115e-05 -0.00015153773076025435 0.00014449351326195015 -6.330648720203579e-07 -1.6293557401154378e-07 2.6193122887399276e-07 4.5557311933265665e-08
yob 3.986406879908915e-07 3.1726570199477953e-07 1.6580669791873014e-07 2.2215766402279648e-09 -1.654416529164053e-11 3.1622661294729616e-06 2.360347529248902e-05 1.0089475767059046e-05 -2.5482827935271568e-05 -1.7730379613793902e-05 -5.185675870270772e-06 4.043984996308262e-06 -1.4102606837821106e-05 1.79107291879229e-05 -1.1674061427895714e-05 -2.1145496176079815e-05 2.6927485215922974e-05 -2.028023648541837e-05 -9.13968726801929e-06 3.1427005603212084e-05 1.233718739075569e-05 1.4002470176413459e-07 -4.7468335044084185e-06 1.8996333066790208e-05 -4.1027633957561155e-05 -3.1890909661612225e-08 -2.1498424295782917e-08 1.4284306499429708e-08 -5.4011765242351216e-08
age 1.5651862124573567e-06 1.658066979186394e-07 1.7719025862751266e-05 -3.7420791218552283e-07 2.4168704898214176e-09 -8.667135840418087e-07 -1.4927168274817933e-05 5.789713329651164e-06 -3.471227466892717e-05 1.5240054884570868e-05 -1.4584453044410385e-05 -3.3546720313316855e-06 -3.568025555825102e-05 1.9565341608491928e-05 2.6424248758929528e-05 2.551695630282631e-05 -5.322159387509714e-07 2.4854448799773173e-05 -2.2941635976177106e-05 3.310818229120611e-05 1.3285830227643743e-05 -3.679711516065516e-05 2.104044632015524e-05 2.1473563116108247e-05 3.4855416623242007e-05 -8.55004555855826e-08 -1.3664536070579833e-07 -1.3390140695281325e-07 2.1676432488464466e-07
age2 -3.5347606678120125e-08 2.2215766402299e-09 -3.742079121855198e-07 8.31649772312563e-09 -5.530194262263699e-11 2.068430153734757e-07 1.1042382062908758e-06 2.7691926799747634e-08 2.370842413371536e-07 -3.2402038074834886e-07 2.7274181543881147e-07 -6.592225855917868e-08 3.1112458877760585e-07 7.747259821721872e-09 -8.588629456534216e-07 -8.888095310800952e-07 4.374229863466337e-07 -7.36028440588167e-07 4.2758072394200175e-07 -1.1648577175474269e-07 2.65537398281246e-07 8.19435792922457e-07 -5.053740210614903e-07 -3.637017715139543e-07 -1.6298835003952477e-06 -1.1535214673759463e-10 9.261188690492813e-10 3.4542567909587797e-09 -3.908682545691556e-09
age3 2.5497995514679146e-10 -1.654416529165364e-11 2.4168704898213865e-09 -5.530194262263675e-11 3.763220852748061e-13 -2.3838200984474603e-09 -8.044860834159799e-09 1.1389163697241423e-10 -1.8258185118270352e-09 2.054863884514894e-09 -2.809963706686424e-09 1.4411424998778484e-09 -1.0900194695052143e-09 -7.294650437838896e-10 5.1207412661416465e-09 5.60180752593413e-09 -2.9534684591210386e-09 4.077541615871481e-09 -3.827249213289007e-09 6.333432328116528e-11 -3.745205618033144e-09 -5.574591750207201e-09 2.8004947171143015e-09 2.8349496281857615e-09 1.2249065546455043e-08 3.4479661746646034e-12 -1.9162273238576687e-12 -1.8029697419164852e-11 2.319512972623206e-11
PC_3 7.384193156948186e-05 3.1622661294729528e-06 -8.66713584036472e-07 2.06843015373358e-07 -2.383820098446678e-09 0.06957223041165461 0.0014352449408946452 0.00558071679453631 0.0024071324063082537 -0.013629788927459755 0.0037076382346078224 0.013102415795583697 -0.007149445721354686 -0.002303961518660637 -0.0009420901170586714 0.004678112160711831 0.012789738188697981 0.008342945759966428 -0.004806138222895911 -0.025285544393945765 0.0011727646241707186 9.065418737764395e-05 0.00620176984568009 -0.004680038279414692 0.017331964497857417 4.302961823543586e-06 -2.5187108443812166e-07 -5.244016000692323e-06 2.0228088674040645e-05
PC_4 -0.00012991427440004732 2.360347529248936e-05 -1.4927168274822827e-05 1.1042382062910003e-06 -8.044860834160687e-09 0.001435244940894652 0.2364717097575045 -0.015789369801637015 0.012908403451681236 -0.018208816683641882 -0.003482692404285024 -0.007887420234628502 -0.002863580245541965 -0.019159486815876224 0.006924958923005765 0.014654765128418198 -0.03020041160090087 -0.016820896241996716 0.01617486615724594 0.012508631634826144 -0.004799572922501305 0.009408687831218074 -0.007588976556974083 -0.002073000098773763 0.01027350843630834 2.9356687538139223e-05 3.0836073836821315e-05 -0.00010592588809489537 -7.947888308202786e-05
PC_5 -6.556578249100197e-06 1.0089475767059036e-05 5.789713329654034e-06 2.7691926799683723e-08 1.1389163697283203e-10 0.005580716794536311 -0.015789369801637015 0.3216582359681661 -0.009384313875894296 -0.019075164201060996 0.00022425250509877702 0.015581667256571967 -0.02210897910999093 -0.001886868510716793 -0.02129786606622499 -0.02034886538403957 -0.001494269369569546 -0.02767063264204776 0.02334577178185687 -0.038996124008947364 0.009497680283934325 0.009011899790785101 0.002705210728051618 -0.006941189240546039 0.03085476337399691 -1.114822435221067e-05 -1.0191683474246337e-05 2.8215817756652196e-05 -1.433637018672913e-06
PC_6 -0.0001315871139193275 -2.548282793527137e-05 -3.4712274668935676e-05 2.370842413373483e-07 -1.8258185118283694e-09 0.002407132406308262 0.01290840345168131 -0.009384313875894295 0.3855543356386609 0.008150639169176516 0.025352322321704892 -0.03655346099371398 -0.008584154574611135 0.010366243406210283 -0.021514037584820553 -0.0005060334857050329 -0.0005680089738653094 -0.03366646120531506 0.022032169119196122 0.04129030136796649 -0.014469355600555385 -0.0038844229197290874 -0.01394416079360417 -0.0032400924248851917 -0.020568279096319992 8.004044766482206e-06 2.4365536030582602e-06 -2.7852188542698903e-05 -1.4734823970119333e-05
PC_7 3.3418674245350406e-05 -1.7730379613793983e-05 1.5240054884573064e-05 -3.2402038074839963e-07 2.0548638845152415e-09 -0.013629788927459767 -0.01820881668364187 -0.019075164201060996 0.008150639169176528 0.480444968511293 0.024898293271140036 -0.000827831067163753 -0.025104958568663877 0.028874388705626572 0.001395455900590157 0.047625169288743684 0.012931925164604103 -0.05251107517510417 -0.04261000134979711 0.0432963223134732 -0.013705897652846232 -0.019988546008179817 -0.0007343539629323394 0.01790829151638264 -0.02833524434853455 3.1322626212824185e-05 4.1373792941936286e-05 -1.5680779193442213e-05 -4.636418352604494e-06
