 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband
intercept 2.0371470848385064e-05 -1.2550381040431321e-07 -5.646009446735318e-07 9.455298792420521e-09 -3.570386237464356e-11 1.5235024871969861e-05 -3.5992613575846934e-05 -1.3311493911063585e-05 -7.644560308135566e-05 0.00010435683402579643 -0.00012791950532987616 9.6491099497641e-05 -7.377238229483664e-05 -2.320105791035862e-05 -0.0001438022526290105 5.291405337819436e-05 -6.444556548150339e-05 -8.17692751939485e-05 -4.493210786191774e-05 -8.754149668048456e-05 -3.174575672450472e-05 -8.487876459049978e-06 -6.609312603016748e-05 -0.00014921788399878112 0.0001449288286824804 -3.622432178594073e-07
yob -1.2550381040430808e-07 2.2409019608160857e-07 4.029672141675149e-08 3.6332109689428744e-09 -2.523811608685315e-11 -3.286809282706395e-07 2.3026030252214314e-05 8.821296785733626e-06 -1.591165094248428e-05 -5.899601165759804e-06 -7.170295987689221e-06 -3.0628876364092885e-07 -9.928870966613808e-06 1.2893076773677981e-05 -5.441079827010507e-06 -1.4039240762892013e-05 1.6350657671151514e-05 -1.1939670086837457e-05 -6.806184554462507e-06 2.186464758692301e-05 7.4922614272758975e-06 -1.5070018884039447e-06 -1.659043424732892e-06 1.2752469922480937e-05 -2.812510435551661e-05 -3.7996425162456914e-08
age -5.646009446743692e-07 4.029672141685239e-08 1.0473674433122898e-05 -2.2704824565526154e-07 1.501223452948881e-09 -1.078314543788711e-05 1.8246744453620255e-05 1.0191971255754245e-05 -2.0626085445858226e-05 3.4859124046203674e-05 -2.5135527597344972e-05 -8.171278937140736e-06 -2.5057945566232177e-05 1.3070529423971473e-05 4.0173105194661995e-06 1.7202929249343098e-05 -6.062143676978709e-06 1.8824988804919073e-05 -2.1647302972054652e-05 1.0123900370219698e-05 -1.5419832628741497e-06 -1.9491235666644562e-05 -1.0244113214792605e-05 -4.0363399961423825e-06 3.4020853413984476e-05 -3.689884786708706e-08
age2 9.455298792425959e-09 3.6332109689406663e-09 -2.2704824565526805e-07 5.214438604903751e-09 -3.555668028849107e-11 2.9453150218544757e-07 2.793128622861087e-07 -2.6955069947558722e-08 1.2599618599417826e-07 -6.387972645987233e-07 3.756131453749894e-07 6.19351284097828e-08 2.024805471968168e-07 1.3416365877975588e-08 -2.3013198703356762e-07 -5.909606252494858e-07 3.627915468940545e-07 -5.729056201696392e-07 3.868914975817662e-07 2.0903060473902842e-07 3.3986089855461145e-07 3.9641865718899724e-07 1.5005239862141957e-07 2.1371203914048646e-07 -1.3346840380823844e-06 -5.71946983207959e-10
age3 -3.570386237465514e-11 -2.5238116086838538e-11 1.5012234529489516e-09 -3.555668028849167e-11 2.4855336767333175e-13 -2.3688036603248807e-09 -2.6511386684649787e-09 1.82986322003718e-10 -1.076276873249721e-09 3.827558438900266e-09 -2.7758642527116383e-09 2.5408367479438384e-10 -6.513523385868309e-10 -4.5564480144358017e-10 1.1364304996721144e-09 3.5935696646027975e-09 -2.191800943319336e-09 3.3674924029361932e-09 -3.012137092663414e-09 -1.7804070853447654e-09 -3.2685694170393245e-09 -2.6686731192560006e-09 -9.978433902971056e-10 -1.1100343623690702e-09 9.64292358350189e-09 7.448943502806092e-12
PC_3 1.5235024871970676e-05 -3.286809282707764e-07 -1.0783145437888715e-05 2.9453150218547504e-07 -2.3688036603250316e-09 0.051791707706072124 0.0016233200714783952 0.0023853797101030818 0.001038355333202496 -0.007246197439397917 0.0035639252476617513 0.008419836841149497 -0.006333812703145187 -0.0021804137952502315 -0.0019190375660200875 0.0038059065453306526 0.008354975768147649 0.0063928322252026545 -0.004299525125067736 -0.01757875222804239 -0.0004970557400647379 -0.0016437933311171653 0.00494756591411732 -0.0032473911913104138 0.011288188390833863 6.113955664878796e-06
PC_4 -3.599261357584613e-05 2.30260302522143e-05 1.8246744453608467e-05 2.793128622863763e-07 -2.6511386684668167e-09 0.0016233200714784182 0.17896502110886453 -0.008314189647573498 0.009227701790697289 -0.010218833711342426 -0.0004885154212315941 -0.0055218156469146115 -0.0013914132382168785 -0.014465434535603939 0.004124956675369137 0.009898077976273017 -0.019583972040457875 -0.0115901610319316 0.013183746998478577 0.011019040830735039 -0.005279133823739134 0.006140755413783615 -0.005798396932213959 -0.000589287681328304 0.007662375440996371 -2.5416741366730774e-05
PC_5 -1.3311493911063587e-05 8.8212967857337e-06 1.0191971255750494e-05 -2.6955069947469083e-08 1.8298632200308566e-10 0.0023853797101030844 -0.008314189647573505 0.2340561972477979 -0.003865039231731998 -0.007218610855615408 0.0006502999379958816 0.005419586859629714 -0.015778272059072923 -0.0016645319942777004 -0.018389514466569064 -0.013318138358942298 0.0004555558247573602 -0.017149235757523584 0.014044000766293557 -0.02664741132089984 0.007032067350002043 0.004529651290476006 0.00042878765663261365 -0.004686816284973548 0.01765873765988248 6.417486964201153e-06
PC_6 -7.644560308135568e-05 -1.5911650942484425e-05 -2.0626085445850782e-05 1.2599618599399962e-07 -1.0762768732484653e-09 0.0010383553332024842 0.009227701790697311 -0.0038650392317319975 0.2912601209819072 0.0035822119074559616 0.014448110057044796 -0.014368895286819146 -0.009421140601518932 0.007397955421144623 -0.014716958423152288 -0.0009394423934489525 -0.0004036798920749927 -0.025140732132894094 0.014341637275714535 0.030011711898644728 -0.008035533868089407 -9.989153482619192e-05 -0.0091497116586237 -0.002783967818302243 -0.01391291332090367 -9.17609016307182e-06
PC_7 0.00010435683402579617 -5.8996011657594626e-06 3.485912404620591e-05 -6.387972645987543e-07 3.827558438900423e-09 -0.007246197439397912 -0.010218833711342246 -0.0072186108556154425 0.0035822119074559802 0.36405375618209823 0.015210816088605977 -0.0009187715826832237 -0.016719063507149322 0.020052520357354987 0.005084148647252042 0.03316420224564309 0.011185555292322359 -0.03822202579416808 -0.02580548966113332 0.02918088030958908 -0.009792742362011437 -0.012362114602608361 0.0003313083457407371 0.010332879968602916 -0.016961566800087046 3.220705369647965e-05
PC_8 -0.00012791950532987567 -7.170295987689515e-06 -2.5135527597341035e-05 3.7561314537488237e-07 -2.7758642527108385e-09 0.003563925247661747 -0.0004885154212316983 0.0006502999379958768 0.014448110057044798 0.015210816088606041 0.3909296178913104 0.019517302733699646 0.01332241959615986 -0.009152311755405805 -0.00395916518989172 -0.01964615667572448 0.01632172158899679 0.03361642162542005 -0.019756445149530517 0.012729006564557591 0.024186066587291784 0.006873227118440191 -0.006658272268420372 0.004809323504351433 -0.014930693334893608 6.056709062637139e-05
PC_9 9.649109949764102e-05 -3.0628876364103563e-07 -8.171278937137858e-06 6.193512840971451e-08 2.540836747948529e-10 0.008419836841149494 -0.0055218156469146904 0.005419586859629729 -0.01436889528681916 -0.0009187715826831943 0.019517302733699733 0.5253732680305176 0.012137086938371662 -0.00026029190350226937 -0.0312234791305275 0.02435430500931318 -0.004379050590810191 -0.002193800590398323 -0.02327626671703571 -0.012530491868023698 -0.012080527852747458 -0.004737651570653848 -0.003328477546646439 -0.013390074394252896 0.029076925307255204 7.739739469084986e-05
PC_10 -7.37723822948367e-05 -9.928870966613983e-06 -2.505794556622511e-05 2.0248054719664568e-07 -6.513523385856218e-10 -0.006333812703145202 -0.0013914132382168664 -0.01577827205907289 -0.009421140601518937 -0.016719063507149228 0.013322419596159825 0.012137086938371731 0.6198306217870988 0.027773957714837608 -0.005611749301718342 -0.0057102722115255815 -0.00252982885926747 0.018869873116093883 0.0031369562502982277 -0.006855738760968644 0.021296315855995906 0.006743523727318159 -0.01402543606234522 0.006007689440047755 -0.012076776739222004 3.990468284016126e-05
PC_11 -2.3201057910358384e-05 1.289307677367806e-05 1.3070529423964746e-05 1.3416365878132172e-08 -4.556448014446646e-10 -0.002180413795250219 -0.01446543453560396 -0.001664531994277695 0.007397955421144621 0.020052520357354928 -0.009152311755405769 -0.0002602919035022853 0.02777395771483764 0.5861428446287044 0.006182804836186106 -0.006105594711798034 0.030520417311403533 0.028147146248357527 -0.008911936957357008 0.020081326017313255 -0.027784395485311263 -0.01841038663774615 -0.0008949969546792123 -0.00697212675039581 0.046193800872168005 3.385197927175089e-05
PC_12 -0.0001438022526290108 -5.441079827010448e-06 4.017310519467857e-06 -2.301319870336033e-07 1.1364304996723464e-09 -0.0019190375660200903 0.004124956675369162 -0.01838951446656907 -0.014716958423152298 0.005084148647252157 -0.003959165189891795 -0.03122347913052744 -0.0056117493017183665 0.006182804836186114 0.6591773265477933 0.03141476445640152 -0.013129673203545349 -0.024062548601469128 0.008736856356425592 0.03340204339395761 0.02747519143298012 0.018308800223390712 0.021973567552851767 0.02061074442342251 0.010260757427650471 1.4957684975850042e-05
PC_13 5.291405337819365e-05 -1.4039240762891829e-05 1.7202929249346557e-05 -5.909606252495516e-07 3.5935696646032e-09 0.0038059065453306504 0.009898077976273102 -0.013318138358942284 -0.0009394423934489716 0.03316420224564321 -0.019646156675724495 0.024354305009313144 -0.005710272211525601 -0.006105594711798011 0.031414764456401525 0.6873887288233249 0.035026210998566766 -0.0025229616842567756 -0.012120521183979303 0.02868757062145557 0.027458723824573147 0.008861299090783063 -0.0336172081993873 -0.025296046748124065 -0.014964293916603357 3.0240037351723157e-05
PC_14 -6.444556548150348e-05 1.6350657671151457e-05 -6.06214367698508e-06 3.6279154689419323e-07 -2.191800943320259e-09 0.008354975768147662 -0.019583972040457837 0.0004555558247573464 -0.00040367989207497275 0.011185555292322291 0.016321721588996824 -0.004379050590810186 -0.0025298288592674463 0.030520417311403522 -0.013129673203545363 0.03502621099856676 0.6676236130286467 -0.0026160616968391487 -0.0017877027013533857 0.01448572869399567 -0.0035169321372286815 -0.005762688702894868 -0.0014541676466754006 -0.05126510801623066 0.020408013205492778 -1.8455254984394952e-05
PC_15 -8.176927519394949e-05 -1.193967008683732e-05 1.8824988804922322e-05 -5.729056201697033e-07 3.3674924029365853e-09 0.006392832225202657 -0.011590161031931591 -0.01714923575752358 -0.025140732132894125 -0.03822202579416807 0.03361642162542004 -0.0021938005903983063 0.018869873116093904 0.02814714624835754 -0.02406254860146914 -0.0025229616842567734 -0.0026160616968391574 0.7699275263525963 -0.011262250044629843 0.01236699882537537 0.006365891432212639 -0.0049145380089526776 0.0029025385690406697 0.0033264074085166246 -0.024073613114644173 -1.730602494164669e-05
PC_16 -4.493210786191695e-05 -6.806184554462708e-06 -2.1647302972053737e-05 3.8689149758173113e-07 -3.0121370926631204e-09 -0.004299525125067741 0.013183746998478539 0.014044000766293559 0.014341637275714528 -0.025805489661133326 -0.019756445149530538 -0.02327626671703569 0.003136956250298254 -0.008911936957357019 0.008736856356425609 -0.012120521183979308 -0.0017877027013534126 -0.01126225004462981 0.819483601990612 0.018174476124837517 0.005466525296089575 0.013839312571954749 0.022596762716813525 0.032717640543970826 0.01340115855876838 2.8813190236372814e-05
PC_17 -8.75414966804846e-05 2.1864647586923033e-05 1.0123900370210264e-05 2.0903060473924322e-07 -1.7804070853462336e-09 -0.017578752228042355 0.011019040830735008 -0.026647411320899837 0.03001171189864472 0.029180880309589024 0.012729006564557624 -0.012530491868023698 -0.006855738760968622 0.0200813260173133 0.03340204339395761 0.02868757062145554 0.014485728693995675 0.012366998825375359 0.01817447612483754 0.8842880073096114 -0.032024986378971415 -0.01970946943200988 -0.02728690360006487 -0.016151248679628253 -0.05811278106565776 3.755645979999806e-06
PC_18 -3.174575672450362e-05 7.492261427275762e-06 -1.5419832628814285e-06 3.398608985547699e-07 -3.2685694170403804e-09 -0.0004970557400647459 -0.005279133823739361 0.0070320673500020294 -0.008035533868089376 -0.009792742362011057 0.02418606658729181 -0.012080527852747613 0.02129631585599584 -0.027784395485311232 0.027475191432980127 0.027458723824573136 -0.003516932137228694 0.0063658914322125846 0.005466525296089524 -0.03202498637897145 0.8701536232781133 0.037090449546950434 -0.028976591321147552 -0.015223192725016366 0.011323702422611232 0.00014397558037439315
PC_19 -8.487876459048714e-06 -1.5070018884040832e-06 -1.9491235666643966e-05 3.9641865718897204e-07 -2.668673119255787e-09 -0.0016437933311171553 0.006140755413783643 0.004529651290476013 -9.989153482618896e-05 -0.012362114602609331 0.006873227118440052 -0.004737651570653641 0.006743523727318138 -0.018410386637746252 0.01830880022339069 0.008861299090783082 -0.005762688702894876 -0.004914538008952623 0.013839312571954785 -0.019709469432009886 0.03709044954695049 0.8623610822767533 -0.001355175526512594 0.01422848975682093 0.01834697598047223 -0.00023251929542235646
PC_20 -6.609312603016748e-05 -1.6590434247329987e-06 -1.0244113214792261e-05 1.5005239862140353e-07 -9.978433902969685e-10 0.004947565914117326 -0.005798396932214108 0.00042878765663261967 -0.009149711658623697 0.0003313083457402415 -0.00665827226842027 -0.003328477546646408 -0.01402543606234519 -0.0008949969546792448 0.021973567552851746 -0.0336172081993873 -0.0014541676466754098 0.0029025385690406923 0.022596762716813552 -0.02728690360006487 -0.028976591321147688 -0.0013551755265127168 0.8655984424881905 0.052388791423787294 0.0018250351802924104 -9.884384292750207e-05
PC_21 -0.00014921788399878104 1.2752469922480932e-05 -4.036339996145286e-06 2.1371203914054956e-07 -1.1100343623695024e-09 -0.003247391191310414 -0.0005892876813283572 -0.004686816284973556 -0.002783967818302251 0.010332879968603038 0.0048093235043513176 -0.013390074394252858 0.00600768944004775 -0.0069721267503958274 0.020610744423422523 -0.025296046748124097 -0.05126510801623065 0.003326407408516599 0.03271764054397082 -0.01615124867962825 -0.015223192725016368 0.014228489756820943 0.05238879142378729 0.9692986173108135 0.000994667405340682 6.274205770252808e-05
PC_22 0.00014492882868247895 -2.812510435551622e-05 3.402085341399907e-05 -1.3346840380826861e-06 9.642923583503834e-09 0.011288188390833839 0.007662375440996388 0.017658737659882514 -0.013912913320903714 -0.016961566800086914 -0.014930693334893688 0.02907692530725524 -0.012076776739222054 0.046193800872168046 0.010260757427650468 -0.014964293916603378 0.020408013205492785 -0.024073613114644205 0.013401158558768349 -0.058112781065657725 0.011323702422611256 0.01834697598047221 0.0018250351802924067 0.0009946674053407027 0.938849284287209 3.7885678644326676e-05
proband -3.6224321785940113e-07 -3.799642516245581e-08 -3.689884786704715e-08 -5.719469832087799e-10 7.448943502811537e-12 6.113955664877891e-06 -2.541674136671347e-05 6.41748696419993e-06 -9.176090163071428e-06 3.220705369653606e-05 6.056709062639123e-05 7.739739469084434e-05 3.99046828401607e-05 3.385197927175322e-05 1.495768497585356e-05 3.0240037351725237e-05 -1.8455254984396304e-05 -1.7306024941650846e-05 2.8813190236366746e-05 3.755645979999927e-06 0.00014397558037439616 -0.0002325192954223398 -9.8843842927502e-05 6.27420577025326e-05 3.7885678644324724e-05 1.6446271517706167e-05
