(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband paternal gpp gmp
(Intercept) 0.0039841147248351 0.00209721791236376 -0.00102735698360835 0.00226489847608556 0.000120684737747355 0.000110574406895227 -0.000238219514604019 -3.86011857397129e-05 -3.18180471366372e-05 2.66787603158216e-05
covarage 0.00209721791236376 0.00460264165283293 0.0046027791179631 -0.00737748611742341 -1.71368672339297e-05 0.00016969606204443 -2.79981978877776e-05 -9.26221249666227e-05 -1.73030122270794e-05 0.000167116824844942
covarsex -0.00102735698360835 0.0046027791179631 0.0121482324054237 -0.0180619859810144 8.14127736146804e-06 8.24315472251845e-05 -2.23278195118786e-05 -0.000141836092445767 -5.08536573359444e-05 0.000275758040237599
covarage_sex 0.00226489847608556 -0.00737748611742341 -0.0180619859810144 0.0295966951808579 1.27434170893452e-05 -6.01378824034107e-05 -8.80570088372372e-06 0.000144621416018592 4.30431640485293e-05 -0.000339778741698874
covarPC_3 0.000120684737747355 -1.71368672339297e-05 8.14127736146804e-06 1.27434170893452e-05 0.00127343520055631 -8.84148637528621e-06 2.00969386504793e-05 -2.12829696269482e-05 -2.83282586703631e-05 5.61025612401708e-05
covarPC_4 0.000110574406895227 0.00016969606204443 8.24315472251845e-05 -6.01378824034107e-05 -8.84148637528621e-06 0.00132336094038425 -1.01159152290779e-05 2.64770345693104e-05 -4.66575809966671e-05 -4.20858632787308e-06
proband -0.000238219514604019 -2.79981978877776e-05 -2.23278195118786e-05 -8.80570088372372e-06 2.00969386504793e-05 -1.01159152290779e-05 0.00149096654021462 -0.00079383691515073 0.000108816219154003 -4.29697378097494e-05
paternal -3.86011857397129e-05 -9.26221249666227e-05 -0.000141836092445767 0.000144621416018592 -2.12829696269482e-05 2.64770345693104e-05 -0.00079383691515073 0.00802910829903721 -0.00673964571565954 -0.00611082022617604
gpp -3.18180471366372e-05 -1.73030122270794e-05 -5.08536573359444e-05 4.30431640485293e-05 -2.83282586703631e-05 -4.66575809966671e-05 0.000108816219154003 -0.00673964571565954 0.0237884624552685 -0.0106650655995913
gmp 2.66787603158216e-05 0.000167116824844942 0.000275758040237599 -0.000339778741698874 5.61025612401708e-05 -4.20858632787308e-06 -4.29697378097494e-05 -0.00611082022617604 -0.0106650655995913 0.0229566226243623
