 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband
PC_4 3.7680403059648535e-05 1.0674182474059075e-05 2.0743127999840515e-05 0.00034788821666504455 -7.688272544189679e-06 2.468042167466974e-07 -3.318322233259624e-09 -5.5488675625663574e-08 1.385243759021308e-09 0.0023200352737444384 0.14300970873596075 -0.0012271197730093523 0.008727482296497464 -0.007829116812802829 -0.008131224222603269 -0.0038337711622581897 -0.0013927511532713568 -0.008086424992556308 0.005002543298630628 0.012840747531118525 -0.01867494426518354 -0.005512431692541266 0.013621593123994191 0.009225119889234709 -0.006409053290881744 0.0019152207120184139 0.0006679642824887091 -0.00779166237410784 0.010420127462113246 -1.4701926995943604e-05
PC_5 -0.00015773785750354945 -5.023345872070636e-06 -6.707075918870494e-06 0.0005982794680064639 -2.4053782222190004e-05 3.905682443972622e-07 -4.4794128795279276e-09 2.1315082091574234e-07 1.548814579140742e-10 -0.0033311529182308117 -0.001227119773009365 0.19532841429890835 -0.012532122967209793 -0.005349887787115402 -0.006894509238002734 0.011171334705670154 -0.01526707733504778 -0.004370190696931074 -0.00952818231531123 0.0007325593433823942 -0.006662491463858171 -0.011960443657490556 0.004496579515140299 -0.013910411925298011 0.004553800806518462 -0.0012463305790845203 -0.00016770381741894886 -0.0124836402980201 0.004915439109198593 -2.598688684551312e-06
PC_6 2.0178931221919358e-05 -1.0853165394399919e-06 3.884178371166518e-06 0.00016157723381501722 -7.837984748895959e-06 2.4862249032286607e-08 -5.799769362826498e-10 1.1232300283370593e-07 -5.477990126929407e-10 0.002728105155307286 0.008727482296497462 -0.012532122967209784 0.24084674881400736 0.010426773352235075 0.006281424430126675 -0.023832816780216398 -0.010580320319831488 0.014535347661112424 -0.030367007647251306 -0.0039026243567193168 0.01714719394275213 -0.026663853992549492 0.01580483872802201 0.0010292775575938048 0.007678239489867729 0.007474564452036058 -0.004356884975590346 -0.008216746023724474 -0.004826901666082287 -2.1752866998493715e-06
PC_7 0.00022743215437634316 5.936714829179204e-06 7.382724842887823e-05 0.00025801396446071574 -1.3856780638045673e-05 -1.1794244760967707e-06 7.50782781023594e-09 2.3291965314109852e-07 -1.3953979302862813e-09 -0.008423975927555534 -0.00782911681280282 -0.005349887787115368 0.010426773352235066 0.29680052963961107 0.019722111229699774 -0.002721319293811649 -0.017475333642562835 0.004821645950618737 0.0061398393951637865 0.023750376530264967 -0.0007879842664019336 -0.03314160349438261 -0.024077620930835944 0.03100960148391433 -0.003490557103917279 -0.004722290014923621 0.010870515082725362 0.019103048044328406 -0.017545840302865108 4.363386309586423e-05
PC_8 -8.7613866480306e-05 -5.71283711046976e-06 -2.714055484139529e-05 -0.0002964913615731313 1.2080883079754229e-05 2.2893949997940582e-07 -8.629963115303465e-10 -1.3718668876014415e-07 3.685934036962438e-10 0.0022638941371126782 -0.008131224222603203 -0.006894509238002752 0.006281424430126692 0.019722111229699593 0.32064279478995494 0.015142225395146014 0.011425268707142605 -0.00932020325328746 -0.008973962149393722 -0.02872460977888555 0.0038936823429999543 0.02824650493000493 -0.01576228785946916 0.0043394421577794065 0.025691089588475796 0.006951824159458541 -0.01280553897850643 0.008110160743012115 -0.0106589469976549 5.018254939852967e-05
PC_9 8.890979888178014e-06 -2.587383604897191e-06 1.4648752380845268e-05 0.00048220616581650413 -3.463075748389694e-05 -3.726319249143722e-07 2.3186162543906793e-09 7.484041663864723e-07 -4.897250565057873e-09 0.0013825553217520232 -0.0038337711622582287 0.01117133470567018 -0.02383281678021639 -0.002721319293811648 0.015142225395146086 0.43092352412930957 0.014116490607170476 -0.009620744553911417 -0.010678943831099004 0.005135997117138853 -0.02736072388377379 -0.0015420902937006726 -0.03826781983373774 0.01150541688125068 -0.018775022337028668 -0.0130438518871706 0.0016513386184985816 -0.0038430499805860636 0.002834721973617403 4.4963151859607805e-05
PC_10 -0.00013375131516435987 -5.644933921791969e-06 -2.4922990281795994e-05 -0.0005681821670838574 2.5924069179459657e-05 2.075338901717543e-07 -7.730314848657961e-10 -3.905865064944076e-07 1.9627336925318596e-09 -0.008177022636614796 -0.001392751153271361 -0.015267077335047851 -0.010580320319831471 -0.01747533364256283 0.01142526870714263 0.014116490607170438 0.5113770532223828 0.029482753082094058 -0.021679718857250705 -0.005810129980068665 0.010841283564067486 0.031563183674183606 0.006032740407564117 -0.02008927806452752 0.019541917542015164 0.010825391547593703 -0.008885430281936519 -0.0009530917422149707 -0.00930674882453597 2.159857325215161e-05
PC_11 6.871535186066885e-05 5.549446255324104e-06 9.44780578566923e-06 7.596538533674679e-05 -4.946783409929695e-06 -8.716985321260727e-08 6.989813369141661e-10 8.54133073050148e-08 -3.1651654679546373e-10 0.0018337063002858357 -0.008086424992556305 -0.004370190696931042 0.014535347661112431 0.0048216459506187385 -0.009320203253287404 -0.009620744553911377 0.02948275308209406 0.47721438462509963 -0.0025916659074370317 -0.010666640816809264 0.021989715733964594 0.03416628255966052 0.0014433411550733174 0.014002726449485024 -0.019182895308309734 -0.009422794117537376 -0.0013657905485902862 -0.0009927793137686403 0.04231020417097219 2.8208311227517633e-05
PC_12 -0.00025508764759266556 -8.804905813066248e-06 1.3378382080923381e-05 0.00027178248850245657 -2.181107223234381e-05 -5.270676554363376e-07 3.0632171146260968e-09 5.043863194055367e-07 -3.4461978219837604e-09 -0.008453338074301051 0.005002543298630608 -0.009528182315311252 -0.030367007647251334 0.0061398393951637735 -0.00897396214939371 -0.01067894383109911 -0.0216797188572506 -0.002591665907437054 0.517406250065329 0.028052743405401315 -0.002777633277176039 -0.014632175642777998 0.021884329149808594 0.036794678026522545 0.012225229736805248 0.014976789012617066 0.020743874273112483 0.01538978811805264 0.011496663521022688 6.394268454642211e-06
PC_13 -9.903302372872458e-05 -5.94884934784153e-06 -1.111253523025716e-05 -0.0005127922055492673 3.3421760380761384e-05 2.4210054552751206e-08 2.3023798721920987e-10 -5.768951090678691e-07 2.728844184088099e-09 -0.00022754835483232566 0.012840747531118525 0.0007325593433823273 -0.003902624356719321 0.023750376530265044 -0.02872460977888544 0.005135997117138861 -0.005810129980068685 -0.010666640816809233 0.028052743405401242 0.5602060336392714 0.014866487114718448 -0.008318249996970357 -0.031637663046361876 0.025083995690083672 0.015306810376160123 0.0011252198091313993 -0.038263741169353487 -0.027842486573579957 -0.018727994406996584 5.0085669933482284e-05
PC_14 -4.765738589731661e-06 5.5759028683644004e-06 -1.5650312691757044e-05 4.225059979305062e-05 9.778930955954972e-07 3.6481762335852497e-07 -2.039268725051583e-09 -7.625987180925642e-08 8.033764673613905e-10 0.014587922276351285 -0.01867494426518351 -0.006662491463858164 0.017147193942752128 -0.000787984266401862 0.003893682342999903 -0.027360723883773794 0.010841283564067512 0.021989715733964597 -0.0027776332771760476 0.014866487114718456 0.5372297969931382 -0.009968681097044161 -0.005074652643344204 -0.007555562922927977 -0.004176020814438482 -0.004902707014296021 -0.0025664172453047167 -0.04846709020789672 0.01889423424982765 -2.3581956626050452e-05
PC_15 -0.00012373814064301752 -4.608488717822113e-06 -8.390415306992743e-06 -0.0002575833885912026 1.1381398992660901e-05 -3.8561077392461776e-08 7.254189711474969e-10 -1.2058476310151595e-07 3.896668514972957e-11 0.0030608723479781086 -0.005512431692541266 -0.01196044365749061 -0.026663853992549506 -0.03314160349438262 0.028246504930004922 -0.00154209029370072 0.03156318367418362 0.03416628255966048 -0.014632175642778043 -0.008318249996970312 -0.00996868109704416 0.639902009448531 -0.037180681652794825 0.003498007037955772 0.008595048667604584 -0.004591421982901979 0.009558108417661412 -0.004499055206025895 -0.01786976225987663 -1.4658461193641426e-05
PC_16 1.9778030518925765e-05 -2.7619480267753787e-06 -4.92347614540097e-05 -6.445089550300439e-05 4.525247080412881e-06 1.0970870305187524e-06 -7.909975598540294e-09 -1.4859355956962767e-07 1.3431141588909649e-09 -0.0035989735294561067 0.013621593123994217 0.004496579515140291 0.01580483872802202 -0.024077620930835986 -0.015762287859469103 -0.038267819833737775 0.006032740407564149 0.0014433411550733035 0.021884329149808528 -0.03163766304636184 -0.0050746526433442275 -0.0371806816527948 0.6161796579483465 -0.0014409344387563412 0.008619765439978281 0.008642575728597546 0.007865932266938339 0.0054287939703648235 0.04010588967404678 1.6372504010477557e-05
PC_17 -0.00012410961777350473 9.363940549157612e-06 -1.7047963547657113e-05 -0.00034901176680521707 3.3136924406393476e-05 7.451949050523647e-07 -6.241115343266494e-09 -8.062490064343949e-07 5.670382899580788e-09 -0.01859813495988911 0.009225119889234773 -0.013910411925298058 0.0010292775575937955 0.03100960148391431 0.0043394421577794265 0.011505416881250634 -0.02008927806452748 0.01400272644948503 0.03679467802652239 0.025083995690083693 -0.007555562922927997 0.0034980070379557297 -0.0014409344387563976 0.7101508503070484 -0.0418135079155858 -0.035433373587498 -0.020279576422595653 -0.014582419005395447 -0.06287796120636895 9.02264589374013e-06
PC_18 0.00011609759767957843 5.354928821213327e-06 3.3203846779379445e-05 0.0002464674351642239 -1.4552497868400282e-05 -5.122600363108644e-07 3.3063794625424e-09 3.4656371767516465e-07 -2.7526830753897818e-09 0.0034436140371034095 -0.0064090532908817775 0.004553800806518484 0.007678239489867733 -0.0034905571039172156 0.02569108958847573 -0.018775022337028616 0.019541917542015133 -0.019182895308309716 0.012225229736805357 0.015306810376160036 -0.004176020814438494 0.008595048667604608 0.008619765439978283 -0.0418135079155859 0.7195825827893713 0.02278356332977449 -0.010108816182116256 0.005507512547460455 0.004322747430842975 0.00011441033869369672
PC_19 7.283689910857332e-05 1.866710837299876e-06 -1.0670237951229698e-05 0.000549284828833996 -4.053823127764666e-05 2.738511682928118e-07 -1.7633217020840931e-09 8.738286484787258e-07 -5.7081644534789984e-09 0.0006012799406055392 0.0019152207120184024 -0.0012463305790844706 0.007474564452036028 -0.004722290014923974 0.006951824159458113 -0.013043851887170667 0.010825391547593781 -0.009422794117537416 0.014976789012617191 0.0011252198091314888 -0.004902707014296018 -0.004591421982901906 0.008642575728597654 -0.03543337358749788 0.02278356332977434 0.7295616446115758 0.0023253558544476466 0.011957578696321391 0.0038613927165956656 -0.00019508324514025884
PC_20 -1.0033391081495478e-05 -1.3243156108282022e-06 -2.4005473989750743e-05 0.00027483264159532133 -1.663547696935444e-05 4.79849869503242e-07 -2.974533761491859e-09 3.2537019224313924e-07 -1.9528583878936332e-09 0.0022674855816814618 0.0006679642824886999 -0.00016770381741892227 -0.004356884975590356 0.010870515082725308 -0.012805538978506495 0.0016513386184985235 -0.008885430281936463 -0.0013657905485903292 0.020743874273112528 -0.03826374116935341 -0.0025664172453047254 0.009558108417661484 0.00786593226693838 -0.020279576422595584 -0.010108816182116136 0.002325355854447631 0.7324663471964818 0.0182033866364888 -0.008729704849032119 -9.549228195842392e-05
PC_21 -7.656108919335603e-05 2.666906247047457e-06 -2.8363499777368063e-05 -0.00011639045180355273 1.830260269735076e-05 6.72098511950614e-07 -4.564002125171977e-09 -5.877544298626165e-07 4.8589566345445266e-09 -0.0017555662450369687 -0.007791662374107797 -0.012483640298020125 -0.008216746023724459 0.019103048044328434 0.008110160743012223 -0.003843049980586106 -0.0009530917422149571 -0.0009927793137686442 0.01538978811805252 -0.027842486573579947 -0.04846709020789679 -0.004499055206025907 0.0054287939703647845 -0.01458241900539542 0.005507512547460505 0.01195757869632129 0.018203386636488742 0.7707821471540539 -0.008895970325482823 4.5791222543694535e-05
PC_22 2.547490391209296e-05 -1.6591792961203384e-05 2.9137082202804394e-05 8.56983133030279e-05 -2.3457707204386932e-05 -1.370922545249594e-06 1.1204906215253609e-08 7.22783979817299e-07 -5.762044740276728e-09 0.007863350998722464 0.010420127462113198 0.004915439109198615 -0.004826901666082269 -0.0175458403028651 -0.010658946997654876 0.0028347219736174455 -0.009306748824536002 0.04231020417097218 0.011496663521022774 -0.018727994406996674 0.018894234249827693 -0.0178697622598766 0.04010588967404688 -0.062877961206369 0.004322747430842919 0.0038613927165957575 -0.008729704849032004 -0.008895970325482795 0.7711368431268548 5.558654019998195e-06
proband 4.752589664046343e-09 -1.0155929045515242e-08 4.867785453879233e-08 2.16795929083585e-06 -2.1682457003667919e-07 -1.7889314445966904e-09 1.5193053035840462e-11 5.253966040145835e-09 -3.8106983524938686e-11 3.7858615469523434e-06 -1.4701926995944714e-05 -2.5986886845516694e-06 -2.1752866998485266e-06 4.363386309587038e-05 5.0182549398556496e-05 4.496315185960929e-05 2.1598573252153448e-05 2.8208311227515786e-05 6.394268454642614e-06 5.0085669933479445e-05 -2.35819566260503e-05 -1.4658461193641204e-05 1.6372504010476934e-05 9.022645893738368e-06 0.00011441033869370628 -0.00019508324514024814 -9.54922819584243e-05 4.579122254369534e-05 5.558654019996235e-06 1.3947487891259037e-05
