(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband sibling paternal maternal
(Intercept) 0.000408358054269024 -8.15477642821448e-06 -3.51312296802581e-05 1.09836508176225e-05 1.81553093608149e-05 3.27234326948479e-06 -8.86164504590519e-06 -1.05706280715588e-06 3.52647059546955e-06 2.93737062243076e-06
covarage -8.15477642821448e-06 0.00041797306877623 0.000635362647780033 -0.00066092852810904 -6.37128203684438e-06 1.25864564684082e-05 -1.79066855534476e-06 -2.50866845255396e-06 1.15389336531007e-06 5.65016772313667e-06
covarsex -3.51312296802581e-05 0.000635362647780033 0.00162562377809543 -0.00158200383962796 -7.24465174177757e-06 1.90516543123071e-06 1.53642993552752e-06 4.38299234800362e-07 -1.09389318662377e-05 6.18776959544019e-06
covarage_sex 1.09836508176225e-05 -0.00066092852810904 -0.00158200383962796 0.00167363487405448 9.84722416352485e-06 -1.50072966422453e-06 -2.22070432579109e-06 -3.22675852569311e-09 8.67805752091617e-06 -5.93082044580034e-06
covarPC_3 1.81553093608149e-05 -6.37128203684438e-06 -7.24465174177757e-06 9.84722416352485e-06 0.000124857065374665 5.06285507249869e-06 5.30572698677651e-07 5.27742687893149e-07 -7.40752900724674e-07 1.57205072619964e-06
covarPC_4 3.27234326948479e-06 1.25864564684082e-05 1.90516543123071e-06 -1.50072966422453e-06 5.06285507249869e-06 0.000134211224394837 1.59308576505788e-06 2.64264540859576e-06 -4.55585168958783e-06 -5.95147137416484e-06
proband -8.86164504590519e-06 -1.79066855534476e-06 1.53642993552752e-06 -2.22070432579109e-06 5.30572698677651e-07 1.59308576505788e-06 0.000399700139162041 0.000184396973772607 -0.000381532138932779 -0.000358228246625668
sibling -1.05706280715588e-06 -2.50866845255396e-06 4.38299234800362e-07 -3.22675852569311e-09 5.27742687893149e-07 2.64264540859576e-06 0.000184396973772607 0.000473976701446817 -0.000429897508897776 -0.000404398213788713
paternal 3.52647059546955e-06 1.15389336531007e-06 -1.09389318662377e-05 8.67805752091617e-06 -7.40752900724674e-07 -4.55585168958783e-06 -0.000381532138932779 -0.000429897508897776 0.00120050799061607 4.4939313342308e-06
maternal 2.93737062243076e-06 5.65016772313667e-06 6.18776959544019e-06 -5.93082044580034e-06 1.57205072619964e-06 -5.95147137416484e-06 -0.000358228246625668 -0.000404398213788713 4.4939313342308e-06 0.0011230973371556
