(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband paternal gpp gmp
(Intercept) 0.00114451335886219 0.000933220759638898 0.000266828450628922 -0.000700735264550251 -2.31901771999223e-05 3.61099608194742e-05 -4.16094893812718e-05 -2.04590378573066e-06 6.80526353165651e-06 2.18235050373588e-05
covarage 0.000933220759638898 0.00179848990349293 0.00166299780309866 -0.00287499185480103 -2.93885592371304e-05 4.9738997353969e-05 -5.30468778671547e-06 -5.32774588792648e-06 -2.86273907867187e-05 3.88268437562789e-05
covarsex 0.000266828450628922 0.00166299780309866 0.00282729402943842 -0.00411150097772303 -1.13466927326039e-05 9.15459340661157e-06 1.14083638010591e-05 -2.71754280550345e-05 2.67371212452042e-05 2.01043108614403e-05
covarage_sex -0.000700735264550251 -0.00287499185480103 -0.00411150097772303 0.00705066205550475 1.0797814238768e-05 2.26596318692624e-06 -1.59271214572493e-05 1.55091075225e-05 -3.67400494793471e-05 -1.20016368489043e-05
covarPC_3 -2.31901771999223e-05 -2.93885592371304e-05 -1.13466927326039e-05 1.0797814238768e-05 0.000412751221995548 -1.20017852806297e-05 4.18950119103138e-06 -1.44152505458804e-07 2.74036158971715e-06 2.70950002675137e-06
covarPC_4 3.61099608194742e-05 4.9738997353969e-05 9.15459340661157e-06 2.26596318692624e-06 -1.20017852806297e-05 0.000410200320867223 -9.36228051912705e-06 1.26313150130527e-05 -1.75958988233132e-05 -6.46120172193482e-06
proband -4.16094893812718e-05 -5.30468778671547e-06 1.14083638010591e-05 -1.59271214572493e-05 4.18950119103138e-06 -9.36228051912705e-06 0.000484479841815841 -0.000244334574174777 8.31927536897772e-06 -1.34044937689139e-05
paternal -2.04590378573066e-06 -5.32774588792648e-06 -2.71754280550345e-05 1.55091075225e-05 -1.44152505458804e-07 1.26313150130527e-05 -0.000244334574174777 0.00251381011790801 -0.00206238876664881 -0.00194259141372701
gpp 6.80526353165651e-06 -2.86273907867187e-05 2.67371212452042e-05 -3.67400494793471e-05 2.74036158971715e-06 -1.75958988233132e-05 8.31927536897772e-06 -0.00206238876664881 0.00670683038346019 -0.00267173618619779
gmp 2.18235050373588e-05 3.88268437562789e-05 2.01043108614403e-05 -1.20016368489043e-05 2.70950002675137e-06 -6.46120172193482e-06 -1.34044937689139e-05 -0.00194259141372701 -0.00267173618619779 0.00657727521507771
