 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband
intercept 1.4094639718041636e-05 1.1272448196899888e-07 -6.921499194842317e-07 -8.580322796676725e-06 6.901448707618553e-07 1.4050670190715477e-08 -5.943764977070215e-11 -1.5809179569443856e-08 1.0993737544576215e-10 -2.2682830516494143e-05 -2.998942923125439e-06 -2.879782264783252e-05 -4.833766586028128e-05 0.00011256193373764631 -8.03236280457938e-05 5.7333079788659635e-05 -8.170345490736961e-05 3.8052210615450374e-06 -0.00010687741805344695 -7.221839048152346e-06 -5.368043979113618e-05 -7.447237017979589e-05 -1.053904355210187e-05 -6.411471895508514e-05 -9.6907557917051e-07 1.5360781291803026e-06 -1.2789370397438558e-05 -0.00010367262889516037 0.00010645526529145567 3.88882040281776e-08
yob 1.1272448196899303e-07 1.0916812344440782e-07 1.725860101045127e-07 6.612501624312531e-07 -5.7078301622145736e-08 -5.334163783312298e-10 -3.0959919882148997e-12 7.475389997896206e-10 -1.35503213938492e-12 5.877478254895307e-08 1.0763355252025043e-05 1.5280748981429525e-06 -6.498357217482434e-06 -3.5715020181634217e-07 -5.920384970232672e-06 3.616333811975441e-07 -5.307306956587536e-06 6.819521479133488e-06 -3.885349816216922e-06 -6.78275362065711e-06 6.014422162249387e-06 -5.727770281387626e-06 -2.303418866084238e-06 1.0471983430711669e-05 4.371686706535371e-06 5.462286845758501e-07 -1.1252317152249995e-06 3.9738424657205635e-06 -1.596576990034772e-05 -1.1163912309636487e-08
age -6.921499194982243e-07 1.7258601010453823e-07 2.4996496021789248e-05 0.00034452004193159124 -2.4647638039561793e-05 -5.231257952576957e-07 3.3814387294038557e-09 5.198625061520727e-07 -3.364147712678905e-09 -1.196742949257445e-06 1.4012060709597603e-05 1.0995642235770655e-05 -1.0538313885319022e-05 4.790783481722817e-05 -2.554152867650961e-05 1.5248175947704677e-05 -3.304677767154545e-05 1.599685261340017e-05 -7.30811609662902e-06 4.816910367411324e-06 -1.2157704061714737e-05 -1.4036043049010534e-05 -3.153633951615479e-05 -1.7117032086341382e-05 7.351793086334863e-06 -6.509284034863715e-06 -1.1864668971443452e-05 -1.6329015838788098e-05 2.900901342882852e-05 8.085026604020933e-08
sex -8.58032279662134e-06 6.612501624341225e-07 0.0003445200419314382 0.009256383437289014 -0.0006248839287823059 -6.964433169581118e-06 4.378772704868908e-08 1.2728322046286868e-05 -8.038539625027686e-08 9.897022540225e-05 8.462663624073615e-05 4.783209271528005e-05 0.0001934758310868445 0.00012697110441698708 -0.0001388326732508938 9.858890627346916e-05 -0.00038426109679622864 2.280101653526295e-05 7.70538031727805e-05 -0.00029746670951253436 -4.287030758415255e-06 -0.00038321532317019493 -0.00012067929904590105 -0.00026015279492290223 -1.2470320151022252e-05 0.00011315219762555655 0.00017429071242094113 7.557964385982143e-05 0.00017039321658557672 2.0286007572110375e-06
age_sex 6.901448707718751e-07 -5.707830162243141e-08 -2.4647638039540787e-05 -0.0006248839287820443 4.471821249157844e-05 5.190285809689767e-07 -3.3613540503179474e-09 -9.467165858146554e-07 6.149174948886857e-09 -9.901169460714106e-06 3.8221741764663695e-06 7.534727981139966e-06 -9.984352759772283e-06 -3.5356031184238216e-06 1.8395980104189017e-06 -1.0234951460849712e-05 1.5161219202284719e-05 -1.4386824673720917e-06 -9.666778770292228e-06 2.154842524125393e-05 4.979047503880542e-06 2.10382481227507e-05 9.15725318734157e-06 2.1689375664168733e-05 3.178384249261099e-06 -7.695384251041559e-06 -8.637428983392232e-06 -1.5552423803311348e-06 -2.3147111838382075e-05 -1.7005741892686094e-07
age2 1.4050670190567018e-08 -5.3341637834583e-10 -5.231257952576407e-07 -6.964433169582346e-06 5.190285809692781e-07 1.1385251726333093e-08 -7.562066713421302e-11 -1.1302187401455583e-08 7.504216406679056e-11 7.260244907677318e-08 2.6775432643119273e-07 7.886320501198202e-08 1.8598483594647432e-07 -7.865559293519853e-07 2.1471766360763245e-07 -3.3146234406060183e-07 3.6067316556948964e-07 -1.3789014559831482e-07 -5.539213040373819e-08 -2.9174673973192316e-07 3.6759055084850865e-07 6.800582615937696e-08 7.39285135027376e-07 6.873744703622322e-07 5.585998958581918e-08 1.7788188610864353e-07 2.2052015593386253e-07 4.05225095696944e-07 -1.2223979285838107e-06 -2.254540422527894e-09
age3 -5.943764977047046e-11 -3.0959919881396077e-12 3.381438729403136e-09 4.378772704868657e-08 -3.3613540503191637e-09 -7.562066713420584e-11 5.132940909977556e-13 7.502055013222982e-11 -5.087233348644022e-13 -1.0392417263431998e-09 -3.0925104550443064e-09 -1.8024674450747953e-09 -1.7111500993807698e-09 4.553961085672973e-09 -7.99817864017738e-10 2.215219717273914e-09 -1.5048455057585e-09 5.054906413748452e-10 8.627033610725275e-10 2.2199643105814644e-09 -2.583951615321467e-09 5.26898408099063e-11 -5.568509961392993e-09 -5.2677030435623784e-09 -1.0796513134444729e-09 -1.3636327425791504e-09 -1.1098433500350698e-09 -2.63105046215867e-09 9.899821043630502e-09 1.727006806181765e-11
age2_sex -1.5809179569320193e-08 7.475389997954294e-10 5.198625061514692e-07 1.272832204627704e-05 -9.467165858143496e-07 -1.1302187401445769e-08 7.502055013218178e-11 2.0649311180804412e-08 -1.3736871288702144e-10 2.338105512878343e-07 -2.0924445789361498e-07 -3.5144978457445896e-07 1.5588581807042425e-07 -3.0557770461457774e-09 5.974589306053936e-08 2.772864138463342e-07 -1.8102586242718365e-07 2.0499740753955062e-08 2.918308197347177e-07 -3.8362071941054544e-07 -1.6958900150226637e-07 -3.4645989548316663e-07 -2.4676697601075295e-07 -5.135881469174543e-07 -7.127984855576476e-08 1.5364417805792287e-07 1.8611726698144425e-07 -3.218443755704042e-08 6.596357694031752e-07 3.737273167200183e-09
age3_sex 1.0993737544716597e-10 -1.3550321393860372e-12 -3.3641477126740906e-09 -8.038539625019051e-08 6.149174948883275e-09 7.504216406670908e-11 -5.087233348639746e-13 -1.373687128869876e-10 9.329368046275545e-13 -1.4778554905635727e-09 1.901598005634234e-09 3.2912172192877447e-09 -6.994697438861916e-10 3.990451984604936e-10 -7.810527162797233e-10 -2.0987247492185954e-09 6.381941802757573e-10 -6.909781424518966e-11 -2.3706988406550053e-09 2.028330057599077e-09 1.3811527578532823e-09 1.7806572661607774e-09 1.8675886728175904e-09 3.527929956185108e-09 2.747249658255407e-10 -9.41907962916277e-10 -1.4894505059772013e-09 2.938138376074284e-10 -5.09098657675088e-09 -2.5375619519733274e-11
PC_3 -2.2682830516490633e-05 5.877478254883807e-08 -1.1967429493003782e-06 9.897022540131039e-05 -9.901169460650084e-06 7.260244907764999e-08 -1.0392417263487363e-09 2.3381055128653133e-07 -1.4778554905553855e-09 0.03407786177691278 0.00023583275085766782 0.00045956594224020946 0.0017104122844850197 -0.004936465989632294 0.0015318937235264203 0.0034240608432567635 -0.004831541560858547 -0.0026874742467213834 -0.003680647143746422 0.0034024896961967924 0.006658897238379313 0.004978931559049646 -0.0035810076676707514 -0.014101022608998832 0.00013726724591288657 -0.0009971073694486716 0.0025745658906166833 -0.0036546881868741573 0.010424893721944621 5.264187720585761e-06
