(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband paternal gpp gmp
(Intercept) 0.000973510111659847 0.000758578412470807 8.90041365725574e-05 -9.80900825271896e-05 -4.95047691868514e-05 3.16627106354225e-06 -2.9569341021096e-05 -4.15087838036258e-05 3.80105899236663e-05 5.8503250857339e-05
covarage 0.000758578412470807 0.00217138495048181 0.00241081076087892 -0.00346159031226972 -3.13051717359939e-05 8.63027463238765e-05 -2.70527262253838e-06 -1.26436984532954e-05 -7.67862428221138e-05 8.66700534358739e-05
covarsex 8.90041365725574e-05 0.00241081076087892 0.00604798346229494 -0.00793391322269295 -5.47703229451705e-07 2.85072140756575e-05 2.90273963678796e-06 -6.29811631366577e-05 -3.52652855586624e-06 7.65851156282362e-05
covarage_sex -9.80900825271896e-05 -0.00346159031226972 -0.00793391322269295 0.0112852169943053 6.68717015472861e-06 -2.19697745852754e-05 -1.72516749634993e-05 6.17136261261059e-05 2.85157526161467e-06 -8.26921337780177e-05
covarPC_3 -4.95047691868514e-05 -3.13051717359939e-05 -5.47703229451705e-07 6.68717015472861e-06 0.000510812287975537 -3.78069403965392e-05 8.52482819495256e-06 -1.3855921119125e-05 9.38756349105833e-06 2.67882967078567e-05
covarPC_4 3.16627106354225e-06 8.63027463238765e-05 2.85072140756575e-05 -2.19697745852754e-05 -3.78069403965392e-05 0.000509063148667824 -6.20635355960511e-06 4.06505202379855e-06 -4.23097921348294e-06 -8.58283224308173e-07
proband -2.9569341021096e-05 -2.70527262253838e-06 2.90273963678796e-06 -1.72516749634993e-05 8.52482819495256e-06 -6.20635355960511e-06 0.000634255124141232 -0.000317653666958388 1.53665410690743e-05 -1.87498210602198e-05
paternal -4.15087838036258e-05 -1.26436984532954e-05 -6.29811631366577e-05 6.17136261261059e-05 -1.3855921119125e-05 4.06505202379855e-06 -0.000317653666958388 0.00356290707539271 -0.00301507213198513 -0.00276978462217567
gpp 3.80105899236663e-05 -7.67862428221138e-05 -3.52652855586624e-06 2.85157526161467e-06 9.38756349105833e-06 -4.23097921348294e-06 1.53665410690743e-05 -0.00301507213198513 0.0136044429811484 -0.00768215933331007
gmp 5.8503250857339e-05 8.66700534358739e-05 7.65851156282362e-05 -8.26921337780177e-05 2.67882967078567e-05 -8.58283224308173e-07 -1.87498210602198e-05 -0.00276978462217567 -0.00768215933331007 0.0132453113664441
