 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband maternal gpm gmm
PC_4 1.9434744353369026e-05 9.758537001385703e-05 7.680942652650608e-05 5.097782718924261e-05 -3.6015206702558403e-05 -5.77528555993072e-07 1.0847767099146885e-08 1.7950463631512734e-06 -1.8145537906205108e-08 -0.004052283444937335 0.4106690957722864 -0.013534380406786055 0.04442575504277541 -0.02356473115559189 -0.005814357105885084 -0.00781268670452156 0.005195689197461136 -0.02277843069824224 0.01953464144242549 0.034274884246070364 -0.040957089003896184 -0.02353757884731888 0.034170072443832376 0.028689545474722924 -0.022436924390742456 0.013151719820446457 -0.01925533581592563 -0.001896585945772393 0.04415485793817859 -5.662067354501091e-05 7.83834483618314e-05 -0.00018658955852634025 -2.5794781141643794e-05
PC_5 -0.0002901061440160654 1.8608775094072254e-05 -5.711332813524629e-05 -0.0003730122771591054 3.833587067923712e-05 2.127570381896702e-06 -1.9036346753698735e-08 -9.523815686928992e-07 7.417381171198605e-09 -0.00011860833463890334 -0.013534380406785958 0.5129477047363632 -0.001859288672913848 -0.013143956668856564 -0.009329912196984333 0.014236674865843546 -0.023163530468989967 -0.021882372617775127 -0.037188203389105876 -0.00629559729872312 -0.005513635419464151 -0.019697364141776565 0.014385643264224653 -0.05820217418239027 -0.0056329718832508835 -0.0012251454812728583 -0.005188467613779908 -0.017697091167384615 0.04554781165942968 2.436490921301317e-05 -0.00017433797057968926 0.00023798442078264698 4.266558855837121e-05
PC_6 1.469719694367692e-05 -5.4219226240611976e-05 -2.320542847049251e-05 -0.00013301001280703424 -2.2866135560011866e-06 -9.456983410468826e-07 8.588138517166109e-09 3.5881806534024207e-07 -4.480238482653898e-09 0.010941294948328056 0.04442575504277542 -0.0018592886729138461 0.6794700895391598 0.003911737624455922 0.05482905210214029 -0.006190519107198005 -0.0022447871144569797 0.025657822067431734 -0.03312577201202681 -0.012046522405342633 0.04040172867796665 -0.07912223590176407 0.03155283172988189 0.07491274996599954 -0.0015750565323129366 -0.003538622240008977 -0.02959142442204645 0.01460001071886358 -0.04942756119970981 -6.012113852690117e-05 -2.1793730393910514e-06 -0.00015626459015574866 0.00011384714407406362
PC_7 0.0004353806908246179 5.695564113518489e-06 -9.145013233206486e-05 -0.0012078927881440812 0.00010936624872783898 3.994205522770878e-06 -3.7026708881728586e-08 -3.160305531205371e-06 2.7081250341795707e-08 -0.002239523170647572 -0.023564731155591944 -0.013143956668856583 0.003911737624455852 0.8570141325699697 0.02106942258460545 0.04685523310815285 -0.04511446180191209 0.06782085305812172 0.017296021656292435 0.04101901729438197 0.03560241808708854 -0.0954031301879056 -0.06214530357042044 0.07039780846440248 0.01752325305348211 -0.011406094773434853 -0.026659874627842455 0.028602620679835693 -0.073528878937509 3.634148100737673e-05 1.5290535738681415e-05 5.348641865365914e-05 7.156323190765364e-06
PC_8 -0.0006417634932205505 -4.6686353009365236e-05 3.2884022607737424e-06 0.0003492415149524088 -5.4350172165493165e-05 -1.6627024366490618e-06 1.1365303621857598e-08 1.7030450769724917e-06 -1.356673287601562e-08 0.012769684799554055 -0.005814357105884924 -0.009329912196984341 0.05482905210213999 0.02106942258460531 0.9621951621945726 0.07541219787285695 0.013623720254421472 0.01250350988816048 0.011024994499330129 -0.02527104336390299 0.037771356142377775 0.06575643496715655 -0.05372286061484135 0.03852627475187449 0.07477294501467908 0.01907536367595955 -0.0015622070821247483 0.02158444317597711 -0.03506004232229872 0.00010592991001482654 1.8105351033283618e-05 -3.591660498962499e-05 0.00014336996007428485
PC_9 -0.000248780705775713 -4.037737910936084e-06 -7.463441593873075e-05 -0.0004383153921576853 6.717237615776852e-05 2.6807552229300255e-06 -3.021632945329037e-08 -2.56065902481325e-06 2.9027063622273363e-08 0.011011397619787429 -0.007812686704521586 0.014236674865843605 -0.0061905191071975115 0.04685523310815294 0.07541219787285713 1.2381158295904982 0.0673623742072234 -0.0063055406278317095 -0.08155859573481475 0.07305865074656256 -0.005937918398740895 -0.006507261157251504 -0.07318198287233242 -0.00987015034365978 -0.06500930023908534 -0.035605265603656996 -0.0026135686339826994 -0.05413388534058937 0.08264928970811182 0.00018530238706700573 -0.00013880875999348056 0.00022835436177169247 0.0002401179623847232
PC_10 -6.099336630056123e-06 -2.4840751732035354e-05 -4.2529278459389524e-05 0.00014969814176859746 1.6757305788926633e-05 6.269469758494775e-07 -5.973998120093749e-09 -1.2313537921172603e-06 1.5605844168277932e-08 -0.02048246857109819 0.005195689197461417 -0.023163530468989346 -0.002244787114457098 -0.045114461801912024 0.013623720254421634 0.06736237420722402 1.5096569563194302 0.11186270276079018 -0.044012330642763914 -0.026409590580104537 -0.016775665804193735 0.008577100799325856 0.024725301833661374 0.010594690511981721 0.09370800675313823 0.03742130083466473 0.01119056237350411 -0.01484972525695012 -0.060762158303506404 8.68186565853481e-05 7.288955453037001e-05 -0.00032311574539010214 0.00016463448293072987
PC_11 -0.00015852806235226345 4.835410147675044e-05 -6.848137255716305e-05 -0.0014197922052516117 0.00017761114950140287 3.164701574861887e-06 -2.709469918737941e-08 -5.4892275788851e-06 4.959535718313521e-08 -0.015441693123070987 -0.022778430698241883 -0.021882372617774988 0.02565782206743124 0.06782085305812194 0.01250350988816059 -0.006305540627831855 0.11186270276079026 1.3755925561036524 0.028682358126050498 0.0681394498720373 0.04382332093514216 0.06731108927251216 -0.019191090727469724 0.026769424243918975 -0.10933581308718296 -0.05407071448376827 0.015991565853925666 -0.05696608585840243 0.15106328070114028 0.00020566713644878888 -4.674847742807881e-05 -0.00012222838800022778 0.0002420430194472204
PC_12 -8.026158058516822e-05 4.40329492252588e-06 4.125361245454097e-05 0.00018877517819094604 -8.212807682699447e-05 -2.668439105834728e-06 3.290408700351086e-08 3.5609532707757327e-06 -3.914752790225271e-08 -0.00985300135828642 0.01953464144242548 -0.03718820338910588 -0.033125772012026766 0.01729602165629246 0.011024994499330023 -0.0815585957348147 -0.044012330642763664 0.028682358126050536 1.6128220844123644 0.05535679367766162 0.0196852922581933 -0.04779309656098319 0.05752217507642772 0.06368639483661595 0.07357301705542682 0.028977022594501613 0.03167533014821329 0.03791890764992102 0.022410681305569974 1.0143350722104498e-05 -6.10616415264663e-05 -0.00020334252767644385 0.00021287181039926538
PC_13 0.00016714512739267958 -5.485883798893666e-05 -9.247175415260381e-05 -0.0005228428990739643 9.089692787864479e-05 2.3516566726107326e-06 -2.5947591180744913e-08 -3.098178634235792e-06 3.1400679764599196e-08 0.025235137114347404 0.034274884246070544 -0.006295597298723268 -0.012046522405342543 0.04101901729438199 -0.025271043363902523 0.07305865074656294 -0.026409590580103556 0.06813944987203742 0.055356793677661956 1.5819459901769495 0.1332188309445792 -0.06246650889803655 -0.028362950305896955 0.09187815521130106 0.10578852055349151 0.03398115392820491 -0.09358723963982686 -0.015652896847747365 -0.09404221524502308 -1.6088981054907175e-05 0.00020878399281020323 -9.633475511588885e-05 -0.00011414758714577325
