 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband sibling paternal maternal
intercept 0.0003215424627529451 1.6485750073028454e-07 7.482220525868777e-05 0.0005142108438875961 -7.326717431994311e-05 -2.736805032042926e-06 2.936550355029703e-08 2.696952387858844e-06 -2.9076347669685728e-08 -5.8535090034655e-05 -0.00010173390902970029 -5.410473442828054e-05 -5.810596941057685e-05 0.00013864937751527977 -0.00011122067435294138 2.2914419900319177e-05 -0.00016795934119892138 -0.00013488954498132668 -0.0002059112386302285 3.0212367559272797e-05 -0.00012067843806673771 -9.517011376729331e-05 -0.00014337826900808867 -7.364506593232494e-05 -5.0277201244913956e-05 -0.00023869984950020844 -0.000128754197888692 -0.00014807290652410642 0.0002397984235130829 -9.918015372297648e-07 -8.651308435718251e-07 2.2469273421402173e-06 -5.836681522365908e-07
yob 1.648575007333095e-07 3.033402630495158e-07 2.263086948266122e-07 1.0295216659474027e-07 -6.326404551920737e-08 2.105272830576358e-11 -2.0333778416726903e-12 2.018403671382657e-09 -1.328734717072239e-11 3.101482344464143e-06 2.335594925685221e-05 9.157490188543779e-06 -2.4886496789676594e-05 -1.670372568811558e-05 -5.761340906820112e-06 4.133753205872008e-06 -1.272136913265938e-05 1.8240403415348705e-05 -1.1037856334169849e-05 -2.0980745319385547e-05 2.510474001819411e-05 -1.886930748337011e-05 -7.574306081334077e-06 3.0041817986031526e-05 1.1698809456572914e-05 5.333557925509736e-07 -4.726619163381804e-06 1.833723706666636e-05 -3.93715364382089e-05 -2.465725052430426e-08 -1.4277396541127051e-08 -9.121061376722486e-11 -4.9076575066262756e-08
age 7.482220525957122e-05 2.2630869482331242e-07 0.0001173573603503183 0.0010128180593907275 -0.00011564118779596896 -3.4824942241543602e-06 2.9889516502288847e-08 3.451536565252371e-06 -2.9698014702660794e-08 -3.3691463608567985e-05 2.90592949066907e-05 -5.4653100538179304e-05 -1.735257413492489e-05 3.1138533312243525e-06 -2.395244672242373e-05 -3.7743566877543544e-05 -7.633975710828263e-05 -5.894321907125735e-06 3.853448712342377e-06 -2.1335617557947832e-05 -2.365331629386478e-05 -5.604517227233078e-05 -2.6195158572319654e-06 2.926086349122661e-05 8.789952950385707e-05 -0.0001503380089004243 -3.535445170281082e-05 5.6170491005049105e-05 1.7729491282009993e-05 4.631079158327517e-09 -3.6535592946157074e-07 -8.796507650468615e-07 1.3928686295911217e-06
sex 0.000514210843897008 1.0295216656526048e-07 0.001012818059393072 0.01294127579331969 -0.001220377145713009 -2.8465487140143575e-05 2.357255926828822e-07 3.2678375345176145e-05 -2.620716202550033e-07 -0.0003129089941431667 0.0001751828160298313 -0.0006202482388382626 0.00021773982991549532 -0.00033252203309526836 -0.00015048012328418541 -0.0001327273384200268 -0.00023889201544164418 -0.00028787360789127243 -0.00022543563869373084 -0.0002161864266947977 -0.0002675595505763645 -0.0007373166314148495 0.00020905880119333748 -0.00019893358970912554 0.0007003469064953444 -0.0009720995839776671 -0.0007671353531914589 0.0001847967221475531 0.00014223342054528427 1.0181370410611965e-06 -3.5639010783960187e-07 -9.117724806784747e-06 9.764421145076095e-06
age_sex -7.326717432088729e-05 -6.326404551561007e-08 -0.00011564118779603652 -0.0012203771457111507 0.00013124654034200203 3.4517208143021894e-06 -2.9706876038410548e-08 -3.7871869718840603e-06 3.188463301593945e-08 3.373057928483523e-05 -4.057501708163369e-05 5.9262547520357506e-05 -1.8316507657101783e-05 7.115636232370776e-06 1.1460254355006472e-05 3.695392608347325e-05 4.8247850654877146e-05 2.547130622967615e-05 2.2065979778971137e-05 4.1665567810227624e-05 2.4182158063641724e-05 7.581321875177558e-05 -1.8266549118578147e-05 1.4179111686180415e-06 -7.712159754021925e-05 0.00011992658817166855 4.939817038708537e-05 -3.476863264511607e-05 1.0502663287263563e-05 -5.3979154476542515e-08 2.267355762209108e-07 7.404790215212877e-07 -1.187612389403343e-06
age2 -2.7368050320660345e-06 2.1052728408852858e-11 -3.482494224149194e-06 -2.8465487140025207e-05 3.4517208142947038e-06 1.0869664924696737e-07 -9.669959410924777e-10 -1.0804020652954708e-07 9.62765812303796e-10 8.96769954198078e-07 -6.960402367587532e-07 1.6990612404033719e-06 4.4865666698115836e-07 -8.318886755596682e-08 6.817851322160362e-07 1.1887437572575852e-06 1.8887684666586376e-06 2.0145924866466776e-07 -3.555439359747985e-07 8.760134142201633e-07 5.408522477786311e-07 2.0282572243376358e-06 1.0315738385564865e-07 -6.922450157122536e-07 -2.2162326763848422e-06 4.744927279544462e-06 8.426431199283385e-07 -1.7372428247844815e-06 1.3884394207139886e-08 -2.116826267224918e-09 6.214401310027204e-09 2.8872260610356125e-08 -3.979408720006124e-08
age3 2.936550355047249e-08 -2.033377842645607e-12 2.988951650220546e-08 2.3572559268150104e-07 -2.97068760383052e-08 -9.669959410913124e-10 8.85511426677919e-12 9.629295980445363e-10 -8.828178495585653e-12 -7.506237738548894e-09 9.822009293178853e-09 -1.4108219568442274e-08 -7.837910828365279e-09 5.577791068652243e-10 -7.216115732879746e-09 -1.1472214395431871e-08 -1.6098357274895094e-08 2.759571063416786e-10 2.1651548995730487e-09 -1.1231371058953295e-08 -8.408769344166766e-10 -2.138001599457255e-08 -3.809927512569727e-09 8.84412114074157e-09 1.8253719505301282e-08 -4.446550908867883e-08 -8.29323521015187e-09 1.6190800914820708e-08 -7.480820193980853e-09 1.68534798331716e-11 -3.2202290660850624e-11 -2.481352179837394e-10 3.171935125084541e-10
age2_sex 2.6969523878836027e-06 2.0184036712714308e-09 3.451536565248784e-06 3.2678375345068816e-05 -3.7871869718781426e-06 -1.0804020652960105e-07 9.629295980462112e-10 1.1554065645739074e-07 -1.0130080165580728e-09 -7.158337237618335e-07 1.694586506518551e-06 -1.6672627498794269e-06 -1.753570520907247e-07 -1.475819544307497e-07 -4.7481363294495567e-07 -1.2856632313755485e-06 -1.6922613138952374e-06 -1.9239387358879866e-07 -4.770277890940185e-07 -1.6428387588139594e-06 -1.525298555644436e-07 -2.6413683997475337e-06 3.016847673831125e-07 5.96709787539667e-07 2.4860201207173744e-06 -4.0432256705639035e-06 -1.2203518245334945e-06 1.3723388463611154e-06 -1.4639358806741402e-06 1.5253548256707142e-09 -4.9432645251925606e-09 -2.563251693477955e-08 3.594867079404598e-08
age3_sex -2.9076347669874372e-08 -1.3287347169720842e-11 -2.9698014702588154e-08 -2.6207162025370407e-07 3.188463301584484e-08 9.627658123029903e-10 -8.828178495589048e-12 -1.013008016556758e-09 9.171300219952674e-12 5.341301601098785e-09 -1.7100938111956132e-08 1.4218646119899215e-08 5.7806233798755085e-09 9.32564989763889e-10 4.906684645011232e-09 1.303044733938297e-08 1.5620403647525573e-08 -9.75386376011214e-10 2.815669869532755e-09 1.5971597071496112e-08 -1.7947430982098191e-09 2.467193492483251e-08 1.854418547434917e-10 -8.847988758423061e-09 -2.1791146502928433e-08 3.960140407822803e-08 1.0382419935345477e-08 -1.3338183868541596e-08 1.8454162253126578e-08 -1.0342419432115104e-11 2.773876658180229e-11 2.3094380265179567e-10 -2.9419078010568773e-10
PC_3 -5.853509003486019e-05 3.101482344464931e-06 -3.3691463608568534e-05 -0.000312908994142547 3.3730579284814755e-05 8.967699541993279e-07 -7.506237738568869e-09 -7.158337237626013e-07 5.3413016011155745e-09 0.06630247293025204 0.00044480497409479466 0.005066208582940543 0.0033630355267117245 -0.011900803670593395 0.0035181899373950875 0.011579487149988394 -0.006136137935006513 -0.0028928515343870677 -0.0009618525126149632 0.005969168531487427 0.011208851410623132 0.008701975831529055 -0.00438843903473285 -0.024343678745348582 -0.00036166559919651494 -0.0002269192741702737 0.005758880549623785 -0.005193722739149241 0.01816034774300399 5.369782769855357e-06 4.201437209511899e-06 -9.799986187183076e-06 1.504418861174432e-05
PC_4 -0.00010173390902946366 2.3355949256850952e-05 2.9059294906607866e-05 0.00017518281602843958 -4.057501708153426e-05 -6.960402367579208e-07 9.822009293184396e-09 1.6945865065173218e-06 -1.7100938111958845e-08 0.0004448049740948187 0.22366111434471198 -0.01409272509990581 0.013889333194910305 -0.017008479190518615 -0.0036774439078733705 -0.007953125016049499 -0.00261667211213934 -0.017715890207181187 0.007438918233439724 0.015650373061485867 -0.028049310596368005 -0.016069704237832844 0.015507992572494566 0.010838313272537061 -0.005180667958603068 0.0079253035697541 -0.0062503021412218755 -0.0027787990342860907 0.01190160409590623 2.0131816071355688e-05 2.8863673331750383e-05 -6.683178423148857e-05 -9.759151118164829e-05
PC_5 -5.410473442868654e-05 9.157490188545383e-06 -5.465310053816462e-05 -0.0006202482388369548 5.926254752030544e-05 1.6990612404053942e-06 -1.4108219568478167e-08 -1.6672627498805845e-06 1.421864611992939e-08 0.005066208582940539 -0.01409272509990583 0.30367557269246914 -0.008889478615630013 -0.019715242149531454 -0.002093435532630819 0.016005455764939645 -0.01954689206313374 -0.004119104898416654 -0.017980679448351876 -0.01487646213555397 -0.0037887564351875044 -0.02409214980772591 0.021143206670219437 -0.03710713617299944 0.006838378229421752 0.007524379417148346 0.003326018473173403 -0.0088682240778882 0.03185535489115686 -1.3469412598649282e-05 -1.6193528075130714e-05 4.925084540190321e-05 -5.047939400773812e-06
PC_6 -5.8105969410371035e-05 -2.4886496789676103e-05 -1.7352574134543312e-05 0.00021773982991899778 -1.8316507657496876e-05 4.486566669698463e-07 -7.837910828268888e-09 -1.7535705207909978e-07 5.7806233797769905e-09 0.0033630355267116243 0.013889333194910404 -0.008889478615630197 0.36589158531041843 0.007696366619095286 0.025024238140633388 -0.03472902332372722 -0.006793713009377216 0.010625080403816363 -0.019280341929636485 -0.0011788646170413594 0.0028081499042161605 -0.03210625832204347 0.0202150843587642 0.03820423380549716 -0.011066915419251953 -0.002921317983797401 -0.012723579136781684 -0.0005785327016494295 -0.02126150894291683 5.5189091185101595e-06 8.113618927251618e-06 -1.9669521677545682e-05 -2.187600723562812e-05
PC_7 0.00013864937751518206 -1.6703725688115616e-05 3.113853331110704e-06 -0.0003325220330963422 7.1156362324960405e-06 -8.318886755237348e-08 5.577791068329208e-10 -1.475819544345983e-07 9.325649897978828e-10 -0.011900803670593377 -0.017008479190518747 -0.0197152421495314 0.007696366619095293 0.45740950454711665 0.022945474736250124 0.0034741433819173405 -0.025849897231187396 0.028294581273872722 0.0017543284599856619 0.041287952264241416 0.01143589266788769 -0.050923262212748656 -0.04015909033217117 0.04212301003916582 -0.00906799608220785 -0.01698354119528897 -8.402555384451897e-06 0.018782055158624293 -0.03233775179404132 2.480494195834884e-05 2.631416898057965e-05 1.7462192526932466e-05 -1.1334221716218183e-05
PC_8 -0.00011122067435298565 -5.761340906819407e-06 -2.395244672229048e-05 -0.0001504801232825982 1.146025435485497e-05 6.817851322127703e-07 -7.2161157328570205e-09 -4.748136329412619e-07 4.906684644985682e-09 0.003518189937395035 -0.0036774439078733133 -0.0020934355326308876 0.025024238140633436 0.022945474736250093 0.48649649733472056 0.03149156761318454 0.013351023643415056 -0.013026978202440347 -0.0010164937106960006 -0.031744321171477186 0.01975138756532661 0.04012799975238926 -0.026080161046849633 0.020553810211978385 0.03605728934213689 0.009611330576236645 -0.006647134732436805 0.010861701869540797 -0.022768451180291877 1.2752109145424043e-05 2.256329901957479e-06 8.067919289531599e-05 6.0517341325923204e-05
PC_9 2.291441990013581e-05 4.133753205873266e-06 -3.7743566877375405e-05 -0.00013272733841772388 3.69539260832761e-05 1.188743757254257e-06 -1.14722143954155e-08 -1.2856632313714995e-06 1.3030447339362073e-08 0.011579487149988358 -0.007953125016049572 0.0160054557649396 -0.034729023323727126 0.003474143381917354 0.03149156761318439 0.6698791482979392 0.006827464556595281 -0.001655649122872803 -0.046322082871934324 0.03586350694204783 -0.004933372364478761 -0.0005150783401285764 -0.026408605799551985 -0.013758033277857734 -0.0178037663203629 -0.0061356654569085485 -0.0005263822357849838 -0.013974801565761552 0.0475340814316243 -1.313170011883377e-07 -2.755235534218193e-05 0.0001084852926838074 0.00011663505713466596
PC_10 -0.00016795934119941117 -1.272136913265775e-05 -7.633975710832126e-05 -0.000238892015440753 4.8247850654881774e-05 1.8887684666624924e-06 -1.609835727494939e-08 -1.6922613138983846e-06 1.562040364757478e-08 -0.006136137935006505 -0.0026166721121392753 -0.019546892063133765 -0.006793713009376989 -0.025849897231187448 0.013351023643415337 0.0068274645565952865 0.7638948817184764 0.03520855833165071 0.004718513812273653 -0.001540115495994153 -0.008267106217634141 0.02774803267540402 -0.0009692767201978565 -0.005673372347557909 0.029249699165360767 0.007606112117072157 -0.01719827289875321 0.009117487002480778 -0.018898956815018596 4.201909646070285e-06 -6.777870349649177e-05 7.592248778342657e-05 8.88990372748419e-05
PC_11 -0.0001348895449814989 1.824040341534881e-05 -5.894321907285401e-06 -0.00028787360789246034 2.547130622983105e-05 2.0145924866989978e-07 2.759571062932381e-10 -1.9239387359393067e-07 -9.753863759634263e-10 -0.0028928515343870165 -0.017715890207181263 -0.004119104898416548 0.010625080403816404 0.028294581273872677 -0.013026978202440299 -0.0016556491228725127 0.03520855833165052 0.7306140862769603 0.008449063762914768 -0.009542507202734718 0.05325986039874997 0.036604282176512265 -0.014242609984520323 0.022168835233415916 -0.037384604105942874 -0.025039742552933685 -0.002454447619614926 -0.016449759567068404 0.066706592817266 3.580222109491059e-05 4.4298043294283355e-05 -3.4793124751843937e-05 1.259191047802862e-05
PC_12 -0.00020591123863032923 -1.1037856334169842e-05 3.853448712218102e-06 -0.0002254356386948401 2.206597977910004e-05 -3.555439359709583e-07 2.1651548995390338e-09 -4.770277890979555e-07 2.815669869567394e-09 -0.0009618525126149247 0.007438918233439678 -0.017980679448351806 -0.0192803419296365 0.0017543284599856501 -0.0010164937106959741 -0.04632208287193423 0.0047185138122736925 0.008449063762914823 0.8372154041307944 0.04144768097305923 -0.03508178919662053 -0.03878151680352661 0.005599008313860308 0.0531375658343045 0.026759698194609834 0.02223005165623496 0.03337094086561086 0.026301414160559054 0.01540422070543643 -7.2075983588500005e-06 -9.649093469039116e-06 2.966971277571613e-05 2.238587526199506e-05
PC_13 3.0212367559081246e-05 -2.0980745319384195e-05 -2.1335617557787583e-05 -0.0002161864266926684 4.1665567810044786e-05 8.760134142169981e-07 -1.123137105893883e-08 -1.6428387588102706e-06 1.5971597071477735e-08 0.005969168531487411 0.015650373061485943 -0.014876462135553997 -0.0011788646170412076 0.04128795226424139 -0.03174432117147677 0.03586350694204804 -0.0015401154959944485 -0.009542507202734647 0.041447680973059176 0.8707915398146043 0.05840783754681908 0.009503039799222936 -0.011020877583855778 0.042292144031283875 0.03543059869511949 0.010949434417855803 -0.04930604377324157 -0.033862235731174355 -0.026727181485909288 -2.1798670206737057e-06 3.9031522485572385e-05 1.370270805888479e-05 6.801574626290732e-05
PC_14 -0.0001206784380670557 2.510474001819425e-05 -2.3653316294159343e-05 -0.00026755955057858376 2.4182158063931982e-05 5.408522477883623e-07 -8.408769345070982e-10 -1.525298555740856e-07 -1.7947430981199234e-09 0.011208851410623187 -0.028049310596368112 -0.003788756435187365 0.002808149904216262 0.011435892667887679 0.019751387565326736 -0.004933372364478595 -0.008267106217633862 0.05325986039874996 -0.03508178919662055 0.05840783754681921 0.8371159095589792 -0.0021314839198153584 0.0028663821572431475 0.017478537646919454 -0.003643664314131327 0.0023319506479165353 -0.004840887839198509 -0.07824394685212432 0.03085531209544877 -5.5846584690375225e-05 -5.382450375773224e-05 8.983234117895186e-05 2.3923579696747478e-05
PC_15 -9.517011376763011e-05 -1.8869307483367772e-05 -5.6045172272028195e-05 -0.0007373166314107429 7.581321875142115e-05 2.02825722433154e-06 -2.1380015994542595e-08 -2.6413683997402226e-06 2.467193492479441e-08 0.008701975831528987 -0.01606970423783274 -0.024092149807726056 -0.032106258322043245 -0.05092326221274877 0.040127999752389384 -0.000515078340128623 0.027748032675403957 0.03660428217651218 -0.038781516803526636 0.009503039799223081 -0.002131483919815576 0.9449241037760322 0.003199767956754201 0.02521869842096058 0.0035154203994564553 -0.006579872824234461 0.006509896180582611 0.003441372827680741 -0.03867229926900835 -2.2089413003921605e-05 -2.5442780573408395e-05 -3.173631503179886e-05 2.5861565311759503e-05
PC_16 -0.00014337826900775723 -7.574306081334021e-06 -2.619515856832808e-06 0.00020905880119681874 -1.8266549118992377e-05 1.0315738384312355e-07 -3.809927512457685e-09 3.0168476739597606e-07 1.8544185462921823e-10 -0.004388439034732949 0.015507992572494609 0.02114320667021927 0.020215084358764183 -0.04015909033217112 -0.026080161046849692 -0.02640860579955224 -0.0009692767201982285 -0.014242609984520342 0.005599008313860295 -0.01102087758385593 0.0028663821572430985 0.0031997679567539214 1.0632611100410614 0.025713965727137796 0.020244792930780707 0.010947542525999669 0.03602878300415764 0.05529059560096199 0.028798839060609004 2.7769049786573692e-05 -2.6801336795099313e-05 3.488008014665312e-05 -1.2140155207593452e-05
PC_17 -7.364506593233552e-05 3.004181798603078e-05 2.926086349099944e-05 -0.00019893358971150596 1.4179111688609428e-06 -6.922450157062065e-07 8.844121140695164e-09 5.967097875332479e-07 -8.847988758374208e-09 -0.02434367874534853 0.010838313272536978 -0.03710713617299933 0.03820423380549708 0.042123010039165854 0.020553810211978402 -0.013758033277857535 -0.005673372347557807 0.02216883523341598 0.053137565834304526 0.042292144031283965 0.017478537646919493 0.02521869842096067 0.025713965727137734 1.1215728889918941 -0.04861364474968079 -0.030420850252793785 -0.0345180439994828 -0.01209181174651375 -0.08596000976632837 -5.118721898767217e-05 -9.943298994078683e-05 8.392498691979202e-05 0.00013768937184654192
PC_18 -5.027720124411006e-05 1.1698809456570676e-05 8.789952950412935e-05 0.0007003469064962226 -7.712159754046226e-05 -2.216232676396868e-06 1.825371950543368e-08 2.4860201207286844e-06 -2.179114650305615e-08 -0.000361665599196566 -0.005180667958603014 0.00683837822942166 -0.011066915419252194 -0.00906799608220777 0.036057289342137006 -0.017803766320363314 0.029249699165359508 -0.03738460410594286 0.026759698194609875 0.03543059869511932 -0.003643664314131111 0.0035154203994560203 0.020244792930780433 -0.04861364474968067 1.1205137268606795 0.009438584953809195 -0.04419903856439232 -0.012220462944358593 0.025646544426190805 0.00020622369806666722 2.0616902974209924e-05 -6.259573671477005e-05 4.467364264880426e-06
PC_19 -0.00023869984950077014 5.333557925555171e-07 -0.00015033800889972733 -0.0009720995839685004 0.00011992658817085449 4.744927279529343e-06 -4.446550908859178e-08 -4.043225670546098e-06 3.960140407812352e-08 -0.00022691927417045664 0.007925303569754382 0.00752437941714797 -0.0029213179837970314 -0.016983541195289147 0.009611330576236657 -0.006135665456908823 0.007606112117072722 -0.025039742552934004 0.022230051656234737 0.010949434417855779 0.0023319506479161636 -0.006579872824234449 0.010947542526000243 -0.030420850252793848 0.009438584953809599 1.1412327037497338 0.0006093142293339914 0.014847775380034154 0.013157001930900962 -0.00039063111486183034 -0.0001194271383279489 0.00018451024168112496 7.806850020524647e-05
PC_20 -0.0001287541978889381 -4.7266191633807895e-06 -3.535445170279834e-05 -0.00076713535319064 4.939817038705013e-05 8.426431199294839e-07 -8.293235210172122e-09 -1.220351824533995e-06 1.0382419935362482e-08 0.005758880549623798 -0.006250302141221594 0.0033260184731734393 -0.012723579136781519 -8.402555384462996e-06 -0.006647134732436654 -0.0005263822357850545 -0.017198272898753166 -0.0024544476196148484 0.033370940865610814 -0.049306043773241805 -0.004840887839198593 0.006509896180582662 0.03602878300415777 -0.03451804399948296 -0.04419903856439225 0.0006093142293340826 1.0589673374773612 0.08831210711803933 0.010919327637609305 -1.312551649235332e-05 1.2081706752578043e-05 -6.458674660412761e-05 -0.00021405687085844735
PC_21 -0.00014807290652379265 1.8337237066664806e-05 5.617049100494525e-05 0.00018479672214560374 -3.476863264498152e-05 -1.7372428247836526e-06 1.61908009148307e-08 1.372338846359579e-06 -1.3338183868546786e-08 -0.005193722739149212 -0.00277879903428607 -0.00886822407788815 -0.0005785327016496059 0.018782055158624328 0.010861701869540677 -0.013974801565761523 0.009117487002480785 -0.016449759567068335 0.0263014141605591 -0.03386223573117432 -0.07824394685212419 0.0034413728276806482 0.0552905956009618 -0.012091811746513678 -0.012220462944358723 0.014847775380034109 0.08831210711803902 1.2236057661651634 -0.0033457869813959228 4.5196144153744e-05 4.040179117626395e-05 1.667901674776281e-05 2.5455204630406857e-05
PC_22 0.00023979842351330374 -3.9371536438207887e-05 1.7729491282513486e-05 0.00014223342054987297 1.0502663286746762e-05 1.388439419240831e-08 -7.480820193856955e-09 -1.4639358806590632e-06 1.845416225300026e-08 0.01816034774300389 0.011901604095906257 0.03185535489115668 -0.021261508942916868 -0.03233775179404136 -0.022768451180291922 0.04753408143162423 -0.01889895681501953 0.06670659281726593 0.015404220705436395 -0.026727181485909548 0.030855312095448666 -0.03867229926900859 0.028798839060609076 -0.08596000976632824 0.025646544426191204 0.013157001930900459 0.01091932763760904 -0.0033457869813956955 1.1899058025833962 0.00016912567219341457 7.060351355006216e-05 -0.00011308725391516339 -0.0002598459922806731
proband -9.918015372296246e-07 -2.4657250524314603e-08 4.631079157866285e-09 1.0181370410556154e-06 -5.39791544760022e-08 -2.1168262672132187e-09 1.6853479833084986e-11 1.525354825657011e-09 -1.0342419432015412e-11 5.369782769855542e-06 2.013181607127517e-05 -1.3469412598634475e-05 5.518909118504341e-06 2.4804941958360042e-05 1.2752109145397795e-05 -1.3131700126032574e-07 4.201909645927593e-06 3.5802221094900316e-05 -7.2075983588492035e-06 -2.179867020634563e-06 -5.584658469037121e-05 -2.2089413003917976e-05 2.776904978656805e-05 -5.1187218987679664e-05 0.0002062236980666534 -0.000390631114861807 -1.3125516492358308e-05 4.5196144153748846e-05 0.0001691256721934182 6.112642862782769e-05 3.0843748758507225e-05 -5.905520708714426e-05 -5.457563752418725e-05
sibling -8.651308435757766e-07 -1.4277396541119135e-08 -3.6535592946477533e-07 -3.563901078634963e-07 2.2673557622411629e-07 6.2144013101362985e-09 -3.2202290661885867e-11 -4.943264525301555e-09 2.7738766582836973e-11 4.20143720951406e-06 2.8863673331753995e-05 -1.619352807512037e-05 8.11361892724955e-06 2.6314168980580663e-05 2.256329901936434e-06 -2.7552355342146095e-05 -6.777870349664286e-05 4.429804329427191e-05 -9.649093469031406e-06 3.9031522485588275e-05 -5.3824503757730834e-05 -2.5442780573407836e-05 -2.6801336795103125e-05 -9.943298994079333e-05 2.061690297419377e-05 -0.00011942713832783701 1.2081706752477043e-05 4.040179117626364e-05 7.060351355007345e-05 3.0843748758507124e-05 7.562639202890719e-05 -6.794495843946764e-05 -6.426638749419031e-05
