 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal
PC_4 3.7510205346068435e-05 1.0690945198568949e-05 2.0489934016380236e-05 0.00034328902528148094 -7.377910136178126e-06 2.523389736988058e-07 -3.355521265062963e-09 -6.18788483201534e-08 1.4263354428393692e-09 0.002318249428557393 0.14304229368220142 -0.0012339898554175725 0.00874437433039089 -0.007855774236991221 -0.008178193025279275 -0.0038716655177455633 -0.0014164037940603313 -0.008097753797948748 0.004986561791637763 0.012800183814786838 -0.01868061154413735 -0.005494250541375485 0.013648375634357867 0.009194661878998459 -0.006401506366536806 0.001913800860338608 0.0007296384471613856 -0.0078117820305897 0.010467320105659478 7.737652059138062e-06 -1.795410448502561e-05 -3.082210201288296e-05
PC_5 -0.00015741370826330807 -5.018671907020545e-06 -6.675427647247492e-06 0.0005995409652545115 -2.4216446295978103e-05 3.894392989649433e-07 -4.470719649312152e-09 2.168913826053492e-07 1.3113114401160724e-10 -0.003330970871088842 -0.0012339898554175595 0.19535468033090286 -0.012535705862590637 -0.0053367153828639885 -0.00687208250843116 0.011184293548138274 -0.015245519577710375 -0.004362836687876284 -0.009529283015367948 0.0007437812424582389 -0.006635165110578617 -0.011974540640434494 0.0044856546420034326 -0.013893270623416392 0.004542877039751201 -0.0012483992013911612 -0.00015687228091106113 -0.012482912559915474 0.004883393183484663 -1.3398639408496485e-05 3.1388275517604396e-05 -7.975624533896912e-06
PC_6 2.0083145965210612e-05 -1.074398843254284e-06 3.7235785826419564e-06 0.0001586925021752614 -7.646383387363175e-06 2.835752205500932e-08 -6.034195216279213e-10 1.0839270485425915e-07 -5.224998709202016e-10 0.002726974006257849 0.008744374330390867 -0.012535705862590627 0.2408662005853322 0.01041031242306497 0.006252553748420513 -0.023856457056653388 -0.010594647828244066 0.01452901556740508 -0.030377576761534096 -0.003928163805409714 0.01714480576129646 -0.026652805849874773 0.015821444929017853 0.0010107969120143729 0.007682825934265891 0.007473644306244516 -0.004317424286666579 -0.008229388834400332 -0.004798448970342851 1.1637956784027663e-05 -1.0131225450536005e-05 -1.9898021261874495e-05
PC_7 0.00022770285519901654 5.923500643664916e-06 7.406491591093079e-05 0.0002625722715947055 -1.4192714709316954e-05 -1.1847640856419285e-06 7.543967380545116e-09 2.399761736218282e-07 -1.4406352424755475e-09 -0.008422352609826246 -0.007855774236991183 -0.005336715382863964 0.010410312423064932 0.2968391081721373 0.01977238567527348 -0.0026832900640625075 -0.017446082541820715 0.00483414852464168 0.006153908226430046 0.023790759628316335 -0.0007725987311827385 -0.03316291606008482 -0.024105010317871454 0.03104289219693869 -0.0035014556776075015 -0.004722134483600279 0.010819520272836627 0.0191211665527712 -0.017599197675975554 1.986408974189009e-05 2.7371211598184923e-05 2.4273432752817975e-05
PC_8 -8.714993106256165e-05 -5.736483549873033e-06 -2.6717373729687316e-05 -0.0002884140310864417 1.1489593340280736e-05 2.194389143233584e-07 -7.985702888867398e-10 -1.2478307439302465e-07 2.8903999605935645e-10 0.0022671125534812217 -0.008178193025279466 -0.006872082508431262 0.006252553748420499 0.019772385675273417 0.3207418264021783 0.015209619727285944 0.01147614305975862 -0.009298967078086794 -0.008949359659194687 -0.028653314865774222 0.0039189948991636275 0.028209392328246766 -0.015811116659734652 0.004398335503339977 0.0256727270649223 0.0069528141735469935 -0.01289676304901171 0.008142562647021344 -0.010752845049939758 8.181721135636996e-06 4.72484162625574e-05 4.401083272728504e-05
PC_9 9.185799003671014e-06 -2.6088367043013892e-06 1.4997971054675753e-05 0.0004886481715613499 -3.508153563525501e-05 -3.8034706778460703e-07 2.370642340939024e-09 7.577678148861105e-07 -4.957427923731259e-09 0.001385153763878527 -0.003871665517745362 0.011184293548138342 -0.023856457056653353 -0.0026832900640623033 0.015209619727285935 0.43099117168973305 0.014152631186546078 -0.009604827573000735 -0.0106579055050065 0.005193267728008044 -0.02734810755212566 -0.001569483239926962 -0.03830608089810234 0.011549628002432965 -0.018787576137049445 -0.013042180707022632 0.0015705086968290309 -0.0038158759765525756 0.002765407936705106 1.2682868085384749e-05 3.04975955449913e-05 3.9657418989727384e-05
PC_10 -0.00013334984892856698 -5.65201878238704e-06 -2.472889016177433e-05 -0.0005640228469545323 2.557518936721369e-05 2.029086500967334e-07 -7.410243728071262e-10 -3.830622032720712e-07 1.914637216826475e-09 -0.008175609983084546 -0.0014164037940604239 -0.015245519577710392 -0.010594647828244052 -0.017446082541820708 0.011476143059758583 0.014152631186546168 0.511427450604796 0.029496206532396627 -0.021669813810028336 -0.005772721142156831 0.010868900218442987 0.0315379587011532 0.006005831279752871 -0.02005369330498128 0.019527192462164163 0.010824379117301 -0.00891659579303226 -0.0009392363192786203 -0.009365979051502056 -2.705135883711938e-06 3.954771832086693e-05 1.322547279405705e-05
PC_11 6.885398938964775e-05 5.545112939032731e-06 9.542868363997158e-06 7.786838708224775e-05 -5.095305425152413e-06 -8.935315345958702e-08 7.138768307562407e-10 8.857400032749021e-08 -3.367758260452398e-10 0.0018343694328743746 -0.00809775379794875 -0.004362836687876264 0.014529015567405067 0.004834148524641703 -0.009298967078086815 -0.009604827573000744 0.02949620653239659 0.47723606472904717 -0.0025868161190971233 -0.010650366309070158 0.021998688147743604 0.03415684015453663 0.0014314982521447417 0.014017908276472322 -0.01918851542142032 -0.009423284555176175 -0.0013834378225323248 -0.0009856831842448976 0.04228638552001221 1.7890321553610778e-05 1.4120653271157594e-05 8.291242619150514e-06
PC_12 -0.00025506379135594516 -8.816891242101861e-06 1.3540254298974772e-05 0.00027448864367198716 -2.1972973940159257e-05 -5.304828497368556e-07 3.085899302764829e-09 5.076186905387953e-07 -3.4671033182870223e-09 -0.008452202298013432 0.004986561791637793 -0.009529283015367988 -0.03037757676153411 0.0061539082264300046 -0.00894935965919463 -0.010657905505006652 -0.021669813810028273 -0.0025868161190971306 0.5174351187568281 0.028076562678294663 -0.0027819465858849204 -0.014640441322761653 0.02186943575345712 0.03681045051773298 0.012223412148826274 0.01497800495955078 0.020700192214205517 0.015403275415742487 0.011474420617360492 -5.4517881754778435e-06 3.3144596792492337e-06 2.245396708238506e-05
PC_13 -9.875176616053477e-05 -5.972827692135423e-06 -1.0733250432558375e-05 -0.0005058856882393896 3.294845688463506e-05 1.5894289597934847e-08 2.8616258364577977e-10 -5.671132195551395e-07 2.665968254370893e-09 -0.00022471877275117883 0.012800183814786804 0.000743781242458242 -0.003928163805409721 0.023790759628316192 -0.02865331486577427 0.0051932677280081075 -0.005772721142156824 -0.010650366309070151 0.028076562678294604 0.5602848150873057 0.014877173134172342 -0.008345920222690774 -0.03167778360502483 0.025130506972086412 0.015295304679342396 0.001127468252770945 -0.03835393170644523 -0.027812674884682198 -0.018800055866377036 1.61043080490422e-05 2.9237831975190948e-05 4.4622550717988344e-05
