(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband paternal gpp gmp
(Intercept) 0.00108535529336934 0.000990700518284164 0.000282658498601234 -0.000445999943222124 -7.67551043592042e-05 4.3015954883038e-05 -1.19190668120069e-05 -3.21077276424427e-05 4.81729925080686e-05 2.66930293950015e-05
covarage 0.000990700518284164 0.00258887807160848 0.00279729858593416 -0.00414386690051364 -3.1178655279925e-05 9.20233597712295e-05 9.13363215515591e-07 -2.09691169674075e-05 4.91654532777447e-05 -1.59152901420036e-05
covarsex 0.000282658498601234 0.00279729858593416 0.0053146927996737 -0.00736041501328051 -1.0702810424603e-06 4.60078422701455e-05 2.25686934440446e-06 -6.16838931126897e-05 0.000186240580518341 -9.35885154974145e-05
covarage_sex -0.000445999943222124 -0.00414386690051364 -0.00736041501328051 0.0110515210351839 1.24906243442214e-05 -3.86687136068525e-05 -1.82704870373861e-05 5.6071753633354e-05 -0.000215478896059258 0.000116668133690473
covarPC_3 -7.67551043592042e-05 -3.1178655279925e-05 -1.0702810424603e-06 1.24906243442214e-05 0.000419203326033792 -1.91389524384219e-05 5.16355596712931e-06 -3.79098918471389e-06 -6.86269296131209e-06 1.67797184330613e-05
covarPC_4 4.3015954883038e-05 9.20233597712295e-05 4.60078422701455e-05 -3.86687136068525e-05 -1.91389524384219e-05 0.000443798759390619 -5.71647229822807e-07 7.05518459004293e-06 -3.51863010553661e-06 -1.11499771407363e-05
proband -1.19190668120069e-05 9.13363215515591e-07 2.25686934440446e-06 -1.82704870373861e-05 5.16355596712931e-06 -5.71647229822807e-07 0.000534067132372593 -0.000267050372150598 -4.2131195755314e-06 1.22701817978745e-07
paternal -3.21077276424427e-05 -2.09691169674075e-05 -6.16838931126897e-05 5.6071753633354e-05 -3.79098918471389e-06 7.05518459004293e-06 -0.000267050372150598 0.00283394271834241 -0.00241232743694852 -0.00217015477539497
gpp 4.81729925080686e-05 4.91654532777447e-05 0.000186240580518341 -0.000215478896059258 -6.86269296131209e-06 -3.51863010553661e-06 -4.2131195755314e-06 -0.00241232743694852 0.00969973655998373 -0.00494677351353563
gmp 2.66930293950015e-05 -1.59152901420036e-05 -9.35885154974145e-05 0.000116668133690473 1.67797184330613e-05 -1.11499771407363e-05 1.22701817978745e-07 -0.00217015477539497 -0.00494677351353563 0.00931382060582569
