 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal gpp gmp
intercept 0.020212476064549328 2.7605828780604187e-06 -0.0287171508354116 0.0005010416535668109 -2.8673656945871574e-06 -0.005829588754051313 0.006584772023436244 0.00048451005959782977 -0.007445043971560398 0.01695464071717164 -0.0007723413307477685 0.005265917551235144 0.00020069759235355638 0.004241884651740087 -0.018470888886588297 0.00020108476660563444 -0.004499103336641091 -0.0043563799202798 0.003372858918401531 -0.012933447645447098 -0.0006775370404300227 0.013314135239547959 -0.008831660650815254 -0.0027437723974911526 0.0022192782726113787 -5.103653630273909e-05 -3.937767651109653e-05 -0.0029355105544155596 0.002978496399388979
yob 2.7605828780621072e-06 5.7198697291017454e-06 -1.726889027097634e-05 3.6300093838565936e-07 -1.9335980765166433e-09 0.00021705555193086176 0.0002906635673417512 0.0001260882963055166 -0.0007268563492324852 2.9252162275366976e-05 -0.00013497463296603237 0.00011995401341470629 -0.000318458959813488 0.0006541179302820614 -2.059843552297319e-06 -0.0003644746292771123 0.0007356789273969682 -0.0009051109749519966 0.00014081763293274262 0.00045163202412636544 0.0005096841853998373 9.897453141191068e-05 0.00018018228369638917 0.00015378168262097211 -0.0009719123282733198 -1.3343973619053795e-07 1.302030811590415e-06 4.3664989106871874e-05 -4.642352268441712e-05
age -0.028717150835418218 -1.7268890270935234e-05 0.061083601115385605 -0.001122714016184573 6.799694769846184e-06 0.003968030254650481 -0.004250943878705241 -0.004042075359871737 0.015433412548694844 -0.008602407497980942 -0.006868526685388357 -0.007158768734971876 -0.003548892901755185 -0.0060664863749912016 0.01992371335567814 -0.00046231122146474826 -0.010444059184833907 0.004872884028626337 -0.00142979109360727 0.011911919517010691 -0.010789653778851386 -0.01591954781623511 0.008198092767734968 0.004120650354777565 -0.0025017342503086443 5.509242625949423e-05 1.591533515159503e-05 0.00328820141546285 -0.0032151295342343735
age2 0.0005010416535669358 3.630009383851251e-07 -0.0011227140161845994 2.0750228441539322e-05 -1.2636782335967764e-07 -6.263427367799815e-05 7.186129712928127e-05 8.335662721043698e-05 -0.0002864641182295985 0.00012257793017608065 0.00013223334652985932 0.00011738318651029822 6.566280124946368e-05 0.00010274142232021165 -0.000336187364148986 8.090905429844405e-06 0.00023149339793188017 -9.241695732921086e-05 1.5374661401750563e-05 -0.000196625918819195 0.0002257176666898132 0.0002665440409999662 -0.00013390633356809607 -6.230042810991271e-05 5.453179782414073e-05 -9.463438674000352e-07 -1.8219380882200227e-07 -5.39154286675821e-05 5.240313425141285e-05
age3 -2.867365694587993e-06 -1.9335980765130654e-09 6.799694769846503e-06 -1.263678233596806e-07 7.738982103065653e-10 3.305700044490886e-07 -3.55201905554851e-07 -5.496265162105121e-07 1.6795283888176873e-06 -5.078248832164831e-07 -8.513485865784982e-07 -6.500097737306436e-07 -4.261145799759342e-07 -5.0536955157523e-07 1.851552544617783e-06 -7.309322884730131e-08 -1.5852210596093472e-06 4.911998612433997e-07 2.3282493205015634e-09 1.0872612379034725e-06 -1.4678886376251289e-06 -1.4463205527554414e-06 7.345239085506765e-07 3.5910847162039404e-07 -4.49020841737111e-07 5.274425687863838e-09 9.255127962423362e-10 2.910660302857931e-07 -2.8122380133655393e-07
PC_3 -0.005829588754049591 0.00021705555193085818 0.003968030254646289 -6.263427367791765e-05 3.305700044485906e-07 0.6526025362391249 -0.0020247666260603966 -0.012864499368427165 -0.1331754383730002 0.005640161209604737 0.13881345717440624 -0.03469827853069769 -0.20721637701662496 -0.04388033461493378 -0.08566845122012058 0.09363197154945108 0.09845674861126938 0.08543854277436365 -0.07995317435654678 -0.3263568313612291 -0.023704117763518398 -0.02936906718377669 0.1449012636228713 -0.06561503563094524 0.16063982770446406 0.00011641052050888958 0.00027744129549062233 0.016970900460568875 -0.016796074870377153
PC_4 0.00658477202343694 0.00029066356734174935 -0.004250943878704995 7.186129712928013e-05 -3.552019055548593e-07 -0.002024766626058606 2.337720434053043 0.1595704890215811 0.20491100376199645 0.29421261683031663 -0.05736083803245248 -0.22250477700043578 0.12283442336298732 -0.31762897975877474 0.011124900440329806 0.2557185546761966 -0.06036337645480866 -0.18643566947171167 0.28760249641503643 0.06532633022251534 -0.25355689903995526 0.06196749137817914 -0.21105370899959822 0.0599694041381999 0.36148665798141566 -0.0006012025095856541 -9.064879042400694e-05 -0.01169846541511696 0.012296979138790142
PC_5 0.00048451005959949917 0.0001260882963055156 -0.004042075359874287 8.335662721048162e-05 -5.496265162107725e-07 -0.012864499368424653 0.1595704890215827 2.7971697512405163 0.029646220266426514 0.09759906822130185 -0.2135577223497022 -0.0567486848334224 -0.369096169875108 0.060614909801843385 -0.4973153575595865 -0.12797820727450757 0.004007257019833713 0.020061160319888968 0.13129420288510513 -0.35171119087344965 -0.3720743838410718 -0.19876638708323996 -0.05061363669726407 -0.08109729888194725 0.190601380578191 0.0005937661336796208 0.00032037300172257476 0.03413105042828913 -0.03431577720455278
PC_6 -0.007445043971561283 -0.0007268563492324764 0.015433412548693556 -0.0002864641182295673 1.6795283888174573e-06 -0.13317543837300413 0.20491100376199894 0.029646220266426996 4.12043112466759 0.1464276983743439 -0.47937848556755014 0.4422586772171214 -0.10546123179472576 0.17073071411498625 0.03039666457763227 -0.023465233518510462 0.14086906584694822 -0.5749290755342852 0.15674445158284941 0.4914696535373347 -0.035232164686920316 0.09235430135269197 -0.3331112542210846 -0.031829030240821704 0.07415949922700292 -0.00038912793450201696 -0.0008792776249095282 -0.03966009265545924 0.04171124635658737
PC_7 0.016954640717169428 2.9252162275362222e-05 -0.008602407497974042 0.0001225779301759497 -5.078248832156716e-07 0.00564016120960339 0.29421261683031663 0.09759906822129884 0.1464276983743465 5.3122152548133705 -0.13502733662051702 0.07023177542076439 -0.4052450843317083 0.21735277773381095 0.8341839986472188 0.19136704049174744 0.44235854082878295 -0.5919998733084227 -0.0818435882319333 0.6301104289086523 -0.32294822020916364 -0.3619407931563633 -0.1248099960159262 0.23269882641266776 -0.3221861710742765 0.0006606940295868829 -0.0022147456890630316 -0.012225067498220223 0.01667837080376029
