 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gpm gmp gmm
intercept 0.005091913984786474 -5.880171900345651e-06 0.0008424684302023921 0.0010854227426499831 -0.00016055191435114787 -2.875859883291725e-05 2.9780950938485546e-07 6.360394449727899e-06 -7.173626540514926e-08 -0.0014483902344766544 -0.0001429120667510456 -0.0010861389143954152 0.001220823155005408 -0.0008977927922315792 -0.0002720635460218435 0.0019399921971039894 -0.00010408979524886189 -0.0005755921850144291 -0.0010011831216818789 -0.0002712590576250716 -0.002196001575849804 -0.000988385278286506 -0.0029982336666481185 -0.0011893923116156262 -0.0019397585344941208 -0.002028706217528945 -0.0011138836958794565 0.005436018210784019 0.004081618860373355 1.2776298033182148e-05 -2.2392281129181893e-05 -2.6770628474808084e-05 4.259303900419208e-05 -4.429435864239797e-06 1.695666337673661e-05 -8.316296872551935e-07
yob -5.880171900343594e-06 1.2332113738939545e-06 -3.688281394001366e-07 9.577382073628756e-07 -3.426111345782041e-07 3.70801139676181e-08 -3.586473786773921e-10 6.769951229949295e-09 -1.1782288306502618e-11 8.936920003161409e-06 0.00020618242258130855 3.517298739079987e-05 -0.00014579399047068135 7.347275406209168e-05 -0.00017298819962588194 -2.9278075939746993e-05 -7.547763943953058e-05 0.00014798028186512708 -4.702160330540806e-05 -0.00012255914097077266 9.257632313561025e-05 -8.396899114868993e-05 -2.1638794852824658e-05 7.918720489519795e-05 6.924667861390523e-05 -3.537437976307813e-05 -5.111367836872018e-05 2.3243367428813287e-05 -0.00015317395038132642 3.261844493337989e-07 -7.002661552909736e-07 -2.1214402601450476e-07 3.5719816543640737e-07 1.7843252988365294e-07 -8.218903481892029e-07 4.1886353549034885e-07
age 0.0008424684302014348 -3.688281394064777e-07 0.0005303613073518612 0.005409271544280326 -0.000527829281051036 -1.5724346246622137e-05 1.438062140893835e-07 1.563831785653193e-05 -1.4303132609077453e-07 -0.0002942646481632529 0.00011578962464017647 -0.00035090261369594887 7.887478172368461e-05 -0.0009712278190082285 0.00047675970070868324 0.0003393536809859593 -9.774275308636279e-05 -0.0002645109425539669 0.0007847666426652094 0.000543428079744008 -0.0005419296442806367 2.494436975507617e-05 0.00013856904898868497 -0.0004373685199449993 0.0007210619158592414 -0.0004839734609657565 -0.0007360599412173478 0.0011109008710788455 0.0012984472158482465 8.25032883315183e-06 2.1099246881429035e-06 -9.708403143707257e-06 1.140904994426881e-05 -2.0406564781287002e-05 1.010048504792526e-05 -5.682614127640993e-06
sex 0.0010854227426295667 9.57738207182516e-07 0.005409271544274634 0.11165225266339894 -0.010196510439592693 -0.0001549998700816766 1.3817818404997025e-06 0.00028725259228823847 -2.527337462885399e-06 -0.0016000386950533424 0.007054539364234938 0.0012764545806951946 -0.00883137081892348 -0.01287442397507431 0.00471601044252155 0.00943704351381672 -0.0008570952976655988 -0.0029538715725043684 0.00882105365710802 0.010297721608868146 -0.007816523458159145 -0.00396430176244305 0.00010344413123640867 -0.02299897011431568 0.0069229435849367995 -0.003262397462257093 0.005489841384233837 0.0007015602932104871 0.007966699973815643 9.402134969670824e-05 1.4340546125198155e-05 -0.00011547252284775205 0.00025136463427057607 -0.00031807656808538145 0.00016496721038227757 -5.8477583592381996e-05
age_sex -0.00016055191434920135 -3.426111345540577e-07 -0.000527829281050614 -0.010196510439595238 0.0009706647581796937 1.564092410222778e-05 -1.4311116572039001e-07 -2.8252256733455787e-05 2.550347716272189e-07 0.0001106058355882061 -0.0007101330951958953 -0.00020569600815583896 0.0008678666055002038 0.0011812677825613165 -0.0004893261856976448 -0.0009519137577319753 0.00020940836954302697 0.0003973264090667656 -0.0008305362538828257 -0.0008774599624860587 0.00044077085173934816 0.00027394813631726546 9.33301423408643e-05 0.002141959757429684 -0.00047794791740380033 0.0007526058402837499 -0.0003853386003642308 -0.00021229187874927775 -0.0008634091000822755 -8.850950542243718e-06 -8.601563426119114e-07 8.945345587684924e-06 -2.3547619491901682e-05 3.067881366143322e-05 -1.3936646235059526e-05 9.051320389892819e-06
age2 -2.8758598832875067e-05 3.708011396694636e-08 -1.572434624662469e-05 -0.00015499987008189077 1.56409241022445e-05 4.807048280275829e-07 -4.503556389654608e-09 -4.772701833727211e-07 4.472119268871911e-09 7.903203075098855e-06 -9.749622490616063e-07 9.263435139294952e-06 -5.079945330345299e-06 3.243648389126723e-05 -1.7833574212118003e-05 -1.2743899240536814e-05 4.7532559979011144e-08 1.0052639783574287e-05 -2.5032681168939146e-05 -1.6794428669734e-05 1.5138323786499538e-05 -3.452051511726659e-06 -6.819825613855938e-07 1.5181808344122525e-05 -1.0264971364025136e-05 2.1967660999168098e-05 1.5791067794289695e-05 -3.890485388155763e-05 -3.894464570753318e-05 -2.473980591043256e-07 -2.8460045090109508e-08 2.691892647489743e-07 -3.9280874951380155e-07 6.288124572130979e-07 -2.898584744112803e-07 2.0837466109948267e-07
age3 2.9780950938455726e-07 -3.586473786788282e-10 1.4380621408942658e-07 1.3817818405020703e-06 -1.4311116572058205e-07 -4.5035563896552365e-09 4.308277475337255e-11 4.472780440542828e-09 -4.279311490065962e-11 -6.776251535124256e-08 3.269889340628084e-08 -7.528408845454468e-08 3.9948133067650266e-08 -3.03966792013153e-07 1.5827056391397738e-07 1.3988787728631415e-07 9.466293256475923e-09 -7.79996060317013e-08 2.2468122953664035e-07 1.3785921697688316e-07 -1.2463855107223658e-07 3.402951172079337e-08 -3.809598529646498e-08 -1.5308643037182054e-07 2.7747694601811363e-08 -2.6277944250998553e-07 -1.0842221029813957e-07 4.050747602365079e-07 3.5611320504620534e-07 2.385244043997066e-09 -2.3833090775181317e-10 -2.5197542908115452e-09 3.922532109970633e-09 -5.507880790807518e-09 2.5455763296409095e-09 -2.0448453267977077e-09
age2_sex 6.360394449665479e-06 6.76995123010743e-09 1.563831785652378e-05 0.00028725259228838315 -2.8252256733462668e-05 -4.772701833723464e-07 4.4727804405382574e-09 8.461704092389895e-07 -7.822645968708106e-09 -2.327632952258566e-06 2.2042256831554308e-05 7.598494574265341e-06 -2.4870017363375248e-05 -3.4156907425711926e-05 1.5943087179119727e-05 2.9747526064359868e-05 -7.670673011102795e-06 -1.2536317290172671e-05 2.4170207453089105e-05 2.362114235519484e-05 -7.420674944440367e-06 -4.020625080677857e-06 -4.6507218886811864e-06 -6.0330980417859074e-05 9.066272707064488e-06 -3.2789445713857275e-05 9.408463980746256e-06 9.501787797272415e-06 2.890121304283658e-05 2.666414837669363e-07 -2.3258823239095113e-08 -2.365702769294927e-07 6.560794133257752e-07 -8.438360760802467e-07 3.817995769518756e-07 -3.221867945824728e-07
age3_sex -7.173626540466962e-08 -1.178228829566631e-11 -1.4303132609072808e-07 -2.527337462887328e-06 2.550347716273401e-07 4.472119268869485e-09 -4.279311490062703e-11 -7.82264596870982e-09 7.386111802028516e-11 1.2025160263114784e-08 -2.0816762520149967e-07 -7.474035565011257e-08 2.131713807261181e-07 3.1390747387447647e-07 -1.5850100693611124e-07 -2.845099408068539e-07 7.227045232420466e-08 1.0844267680143596e-07 -2.2011506625034965e-07 -1.9881270719718095e-07 3.511012921980983e-08 5.267342936666759e-09 5.556368770155889e-08 5.326713293393239e-07 -4.443011248544133e-08 3.6677206404280186e-07 -8.122787786017393e-08 -1.1874049875826046e-07 -3.0834868607126515e-07 -2.6266486561206342e-09 7.579082804225548e-10 2.2357404237339683e-09 -5.748893043910629e-09 6.966675463465175e-09 -3.376111379240433e-09 3.1550415380139387e-09
PC_3 -0.00144839023447648 8.936920003161546e-06 -0.0002942646481633899 -0.0016000386950572078 0.00011060583558855279 7.903203075102445e-06 -6.776251535127326e-08 -2.3276329522682164e-06 1.2025160263198453e-08 0.27113151064741264 -0.042160720017698924 0.014107041023350688 0.03806606492382031 0.01639680669213041 0.009979553588089522 0.024695356688579168 -0.05068418795066261 -0.028187401160652076 -0.02951655284605367 0.05720807428638227 0.01044080740947398 0.08258299003210093 0.014161847948375075 -0.15536823202773978 -0.04117590509772361 -0.020983200976691915 0.03970634414953156 -0.04960206390063356 0.10884675315912995 0.00010148992241415414 7.97873023575585e-06 -0.0002293541838999836 0.000215144411477947 -0.000271483791495012 8.282449792874369e-05 0.00027610641251952405
