(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband maternal gmm gpm
(Intercept) 0.000780239130018168 0.000615654303659351 0.000170299888772948 -0.000446454729413831 -1.12780374290816e-05 3.32139541929658e-05 -2.79452208484393e-05 -8.55387693777862e-06 7.23082898863001e-06 3.16702917871245e-06
covarage 0.000615654303659351 0.00123955242709127 0.00118122864883954 -0.00198758985006329 -1.46170578289381e-05 2.95037793370378e-05 4.02499356793793e-07 -1.52148238748047e-05 1.62083626320637e-05 1.21940097394597e-05
covarsex 0.000170299888772948 0.00118122864883954 0.00203456666194196 -0.00288733283676825 -1.05756663159708e-05 6.44420678749641e-06 1.04821691475438e-05 -1.70001706685373e-05 3.57505096058892e-05 4.40836249276368e-06
covarage_sex -0.000446454729413831 -0.00198758985006329 -0.00288733283676825 0.00485985751531814 9.99732949459543e-06 9.34535133879722e-06 -2.46903849269656e-05 3.19031024610306e-05 -5.41369216492299e-05 -5.82559400332811e-06
covarPC_3 -1.12780374290816e-05 -1.46170578289381e-05 -1.05756663159708e-05 9.99732949459543e-06 0.000305178625168181 -3.50125528657697e-06 -8.30661181957698e-07 -3.65747277002054e-07 2.42799639500882e-07 4.18548071564287e-06
covarPC_4 3.32139541929658e-05 2.95037793370378e-05 6.44420678749641e-06 9.34535133879722e-06 -3.50125528657697e-06 0.000320684195239359 -2.06155436588121e-06 5.53190162029973e-06 -8.83660886785556e-06 -9.34437349890543e-06
proband -2.79452208484393e-05 4.02499356793793e-07 1.04821691475438e-05 -2.46903849269656e-05 -8.30661181957698e-07 -2.06155436588121e-06 0.000363979336277152 -0.000181519911826415 4.76930983524766e-07 -5.73846399718921e-06
maternal -8.55387693777862e-06 -1.52148238748047e-05 -1.70001706685373e-05 3.19031024610306e-05 -3.65747277002054e-07 5.53190162029973e-06 -0.000181519911826415 0.00169635999961638 -0.00125193340848266 -0.00141335148170795
gmm 7.23082898863001e-06 1.62083626320637e-05 3.57505096058892e-05 -5.41369216492299e-05 2.42799639500882e-07 -8.83660886785556e-06 4.76930983524766e-07 -0.00125193340848266 0.00331855499886037 -0.000840646309144118
gpm 3.16702917871245e-06 1.21940097394597e-05 4.40836249276368e-06 -5.82559400332811e-06 4.18548071564287e-06 -9.34437349890543e-06 -5.73846399718921e-06 -0.00141335148170795 -0.000840646309144118 0.00368314672291234
