 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband
PC11 1.0967043705448052e-06 7.462030707130238e-09 -1.737317051034165e-07 4.6621688791020756e-07 2.8261952745147703e-07 -1.03685998389366e-06 -3.2524260685119304e-07 1.3705348770636594e-06 -8.831577436202117e-07 3.4950543940258266e-09 -5.232843490450323e-07 1.1994712989170566e-05 -6.748269892482952e-08 -2.0887365414354128e-07 -5.669084396022803e-07 4.4251273434237334e-07 2.3324347461419576e-07 4.578744860816347e-07 -6.58177973405026e-08 6.787820097633277e-07 1.7461629993847934e-07 -1.4472169756799766e-06
PC12 -3.957632431111344e-07 6.330013547145214e-07 -1.23579128500351e-06 2.7533116649754156e-08 -9.80927002709976e-07 4.853803591224134e-07 -1.3877012048147555e-07 4.286023635560271e-07 2.502692637927657e-07 -4.582804219100871e-07 1.839964566908693e-08 -6.748269892482942e-08 1.1008397391335059e-05 1.301813031330263e-07 3.355600780572145e-08 -4.3689627783627007e-07 2.0564625759296567e-07 -1.4750020075693953e-07 -1.3752384687161946e-07 -1.3266309054458036e-07 -6.268850966906866e-07 1.6982734262501228e-06
PC13 -1.1117377329638707e-06 -1.7830477556435747e-07 8.045811268738144e-07 -7.401111939330127e-07 -6.32769191348822e-07 -1.3443597175349516e-06 -1.9415212119849616e-07 2.7978984336405233e-07 -2.00812691015039e-07 1.2640571639544718e-07 -3.4097612206526335e-07 -2.0887365414354134e-07 1.301813031330261e-07 1.1407842109858089e-05 -6.227515126031831e-07 9.927628085344113e-07 2.704136434774921e-07 1.725090722353009e-07 -1.9178870735943715e-07 5.722772184383586e-08 1.5521303302451688e-07 -3.7465174680994144e-06
PC14 -1.3813581747328346e-06 -2.7740026955829345e-07 -1.1433371052496631e-06 8.705081222301654e-08 3.0993986084126235e-08 5.518847460516083e-07 -2.48231903390583e-07 -4.5280523799189683e-07 -5.118344955513798e-07 -9.110379467537685e-07 -9.86137376501702e-08 -5.669084396022802e-07 3.355600780572152e-08 -6.227515126031828e-07 1.185200277449017e-05 -1.9709850834607424e-07 1.1374314591665367e-07 -5.761435642908202e-08 1.3514911506909047e-07 -1.2720963496289902e-07 5.354083361860993e-09 4.412675524826909e-08
PC15 -2.166206709798438e-06 -7.013289417711606e-07 4.8019229439792336e-08 -2.181187344534116e-08 -1.1770750904890224e-08 8.691157752977721e-08 -1.6538979576104748e-07 -5.224741310473344e-07 -4.899176354510222e-07 4.1215089274593565e-07 1.8866641895139602e-07 4.4251273434237313e-07 -4.368962778362704e-07 9.927628085344115e-07 -1.9709850834607416e-07 1.1294491073930625e-05 4.511748940594626e-07 -7.250489608393655e-07 -2.285903287780625e-07 -1.6914836588697757e-07 4.7573579707015656e-08 1.5884216638860319e-06
PC16 7.65989198137953e-07 -6.414231967603672e-07 1.9985643988872284e-07 2.2532242488836512e-07 8.593188872455194e-08 -1.0526578180732808e-07 -9.280359266934087e-08 4.1029629551649565e-08 4.140854561458233e-07 3.3409238018750583e-07 -3.599559030778544e-07 2.3324347461419597e-07 2.0564625759296612e-07 2.7041364347749204e-07 1.1374314591665371e-07 4.511748940594624e-07 1.1540997822439564e-05 -4.891856323586703e-07 -2.5230606947790315e-08 -5.863552003469791e-07 -1.0842666154588671e-07 1.743073591120069e-06
PC17 -2.304262725432521e-06 2.9240088929282855e-07 7.496234848418776e-07 -4.85082621296985e-07 3.377112799410415e-08 8.154966456530445e-07 3.0069164729953173e-07 -5.660699617742651e-07 7.431941970819765e-08 5.311625044340352e-07 1.4537589480068082e-07 4.5787448608163484e-07 -1.475002007569397e-07 1.7250907223530088e-07 -5.761435642908225e-08 -7.250489608393651e-07 -4.891856323586702e-07 1.0424321916322997e-05 3.6269791666223195e-07 -1.8547574898438746e-07 8.728071074745115e-08 2.804263997579274e-07
PC18 -9.752300956792397e-07 4.79658210164156e-08 1.1155698746018347e-07 -5.467557702408854e-07 -5.418990344413162e-07 -2.452742608061683e-07 -3.536749507659845e-07 8.204368593832869e-08 -8.495780435529964e-07 -4.888728986160278e-07 1.9031711890967768e-07 -6.581779734050266e-08 -1.3752384687161962e-07 -1.9178870735943697e-07 1.3514911506909037e-07 -2.285903287780624e-07 -2.5230606947790087e-08 3.62697916662232e-07 1.036014567837484e-05 -1.8712723264403425e-07 6.502602865564916e-09 -5.782336891143875e-07
PC19 1.1705289241630057e-06 1.8650370589349435e-07 -6.41906048506639e-07 4.7457440771075413e-07 -1.6435329972208456e-07 2.9232568345701534e-07 -2.6704362392550706e-07 1.1196494238158023e-07 -1.985143591821914e-07 -2.2205967530392003e-07 4.693341897855093e-07 6.787820097633274e-07 -1.326630905445805e-07 5.722772184383575e-08 -1.27209634962899e-07 -1.6914836588697746e-07 -5.863552003469792e-07 -1.8547574898438765e-07 -1.8712723264403388e-07 1.0599740162942993e-05 6.567477195383927e-07 8.896421243897312e-08
PC20 -1.3476207247153403e-06 4.258054684235464e-08 -2.9091865643063516e-07 1.140754415395965e-07 1.0732965238889232e-07 -3.871572994746097e-08 -4.895061975859756e-07 -4.906062225051017e-07 1.256223472556907e-07 -7.484560513120376e-07 1.7888874919802757e-07 1.7461629993847919e-07 -6.26885096690686e-07 1.5521303302451701e-07 5.3540833618608556e-09 4.757357970701559e-08 -1.084266615458868e-07 8.728071074745096e-08 6.5026028655650215e-09 6.567477195383929e-07 9.737894362075013e-06 8.207098053808735e-07
proband -7.621860860981344e-06 5.522123466267015e-06 3.3427882976125164e-06 -4.981090165963371e-06 1.953970277432723e-06 -3.531115184299368e-06 4.3034552868358403e-07 4.6174630389985196e-07 2.8269327637892356e-06 -1.8276441875064746e-06 2.0281125925001044e-06 -1.4472169756799755e-06 1.6982734262501206e-06 -3.7465174680994153e-06 4.412675524826922e-08 1.5884216638860283e-06 1.7430735911200675e-06 2.804263997579272e-07 -5.782336891143883e-07 8.896421243897304e-08 8.207098053808736e-07 0.0005460638052034907
