 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal gpp gmp
PC10 -3.1733835887603613e-07 -3.2929171451865424e-08 5.548873219574919e-07 1.675540828115395e-07 2.411716285287205e-08 -5.750236103219681e-08 -1.9690344200752132e-07 -6.912890024215002e-08 5.622663016384892e-07 -1.2933690708550605e-06 1.6225953850438465e-05 -5.668366909256333e-07 2.6347442333518244e-07 -5.01592847741693e-07 -4.672203776673256e-07 3.441518708158738e-07 -4.0707657352704653e-07 -3.090305357081956e-07 4.773720411837543e-07 7.692185271724896e-07 2.104210421123582e-07 -9.61015409265903e-07 5.142699168662097e-06 -6.742122460266662e-06 -8.234945321901888e-06
PC11 5.842466251855006e-06 -3.574636844889355e-07 5.33973648271411e-07 3.5517873628929256e-07 5.40149811564542e-07 -1.2785222491985645e-06 -2.413331570936426e-07 1.4453185174257026e-06 -8.950279828992442e-07 -1.1374305363723822e-07 -5.668366909256334e-07 1.3396251720423218e-05 -4.790207312912583e-07 -1.1777873222700525e-07 -5.075522505681071e-07 2.964105572506565e-07 -3.9859598410422593e-08 -1.3050619465709857e-07 -9.345029877915604e-08 3.121734487062745e-07 5.415943832664084e-07 -1.1832713206994863e-06 -7.18394769383559e-06 9.431987249660074e-06 -4.436618302369508e-06
PC12 -4.1328217185892815e-06 8.277918157095081e-07 -8.421031558984477e-07 1.1315042468433088e-07 -1.0212389480758597e-06 6.8783690600984e-07 -1.8678677759655154e-07 3.5101572717696486e-07 -1.480151051875425e-09 -4.002360550576929e-07 2.634744233351827e-07 -4.79020731291258e-07 1.2942438679584251e-05 3.857416622978016e-07 -3.701517205038998e-07 -8.641076369774305e-07 -1.4809458039871714e-07 8.573532587342467e-08 5.480606144620359e-08 5.579247711888037e-08 1.1397941603205442e-07 2.4564007688179972e-06 2.9499516952989026e-06 -7.302319209578586e-06 -4.952728113155548e-07
PC13 2.6383331846170744e-06 1.7290775004724188e-07 -1.1845476454225153e-07 -7.512331488368133e-07 -1.7089240504252937e-07 -1.51988224702741e-06 -8.59430231746799e-07 1.2858389135369372e-06 4.622041419429934e-07 -4.770255729878745e-07 -5.015928477416934e-07 -1.1777873222700547e-07 3.8574166229780175e-07 1.2792306253942972e-05 -2.3717944971306298e-07 1.2333640721294851e-06 -1.2149598578020678e-07 2.0008782434394965e-07 -8.653549297318599e-07 -2.9129359210240217e-07 2.9865647663150984e-07 7.875914694659608e-07 4.052252942359754e-06 4.41291789683533e-06 2.7154592220523964e-06
PC14 -2.9857812341384536e-06 -5.596757362515333e-07 1.048003344285245e-06 -5.724750194831518e-08 -1.3075230452654898e-07 6.87121865574612e-07 1.430570056997927e-07 -4.3689065415343455e-07 -1.652310260284793e-07 -3.327099311552649e-07 -4.6722037766732624e-07 -5.075522505681072e-07 -3.7015172050389986e-07 -2.3717944971306362e-07 1.296231811362359e-05 -4.508082547061912e-08 1.7389374849170482e-07 -1.4111126303793315e-08 3.2101904073007375e-07 8.821371452663988e-08 -9.391222456891184e-08 -1.6388512348741253e-06 -1.016921186139185e-06 6.2778244185951615e-06 -6.18920797201363e-06
PC15 -1.929431637437887e-06 -7.479070891443443e-07 -2.87566858180902e-07 -4.3767759249110757e-07 2.7668597110293183e-07 4.4777066383174093e-08 -2.1083808987358547e-07 -5.964420236259141e-08 -1.2174615836636518e-07 -1.2920368826816664e-07 3.441518708158736e-07 2.964105572506566e-07 -8.641076369774298e-07 1.233364072129486e-06 -4.508082547061859e-08 1.3505829888613076e-05 6.312276546643516e-07 -1.004064858719718e-06 -4.0815717043080955e-08 -4.772433963155066e-07 -9.990087774838399e-08 2.7871120366785263e-06 -5.661045741755852e-06 2.1797318757316524e-06 5.202243606235636e-06
PC16 3.0426530639241885e-07 -7.662093079094075e-07 -1.3723186073813059e-06 1.3842048935947707e-07 3.494726102001903e-07 -4.7031693469762866e-07 -5.523978720434308e-07 -5.192429182769832e-07 -9.992123403042796e-08 7.567073204960578e-08 -4.070765735270465e-07 -3.9859598410422627e-08 -1.480945803987166e-07 -1.2149598578020633e-07 1.7389374849170495e-07 6.312276546643516e-07 1.3833042250850225e-05 -6.513915416727633e-07 2.130053980568707e-07 -7.705012777602082e-07 6.070487635889801e-08 1.728345298406009e-06 -4.085063329107555e-06 -1.534730270523639e-07 4.590564025854537e-06
PC17 1.661668049385003e-06 1.7103077697730836e-07 1.259907278304303e-06 -5.702366409395795e-07 -4.0294288030480225e-08 9.379091810019807e-07 1.2512022154275834e-06 -2.414083147869647e-07 -3.379104412968211e-08 5.510143885490708e-07 -3.0903053570819556e-07 -1.3050619465709913e-07 8.573532587342467e-08 2.0008782434394962e-07 -1.4111126303793401e-08 -1.0040648587197182e-06 -6.51391541672763e-07 1.2323247344500335e-05 4.891503380360093e-07 3.265192420110283e-07 -2.1429347243657305e-07 -4.230699145881472e-06 7.685313509778177e-07 8.602649411826062e-06 -5.766142033737798e-06
PC18 1.1924773546587858e-06 -9.880044339797454e-08 -3.708431826348591e-07 -3.5904615229797147e-07 -2.126630247504748e-07 -4.6049103961918355e-07 -4.888192150054443e-07 3.108857070068801e-07 -1.1471751455928673e-06 -5.798942210829466e-07 4.773720411837543e-07 -9.345029877915594e-08 5.480606144620319e-08 -8.653549297318595e-07 3.210190407300738e-07 -4.0815717043080564e-08 2.1300539805687038e-07 4.891503380360088e-07 1.2534312044957645e-05 1.3259903413843483e-07 7.419140307766363e-07 9.505588858391229e-07 -1.223210793766701e-06 -1.2303454676364647e-05 3.606160545246237e-06
PC19 3.845141145527415e-06 1.694102017938445e-07 -4.844208990234791e-07 4.1110154952189244e-07 -2.130618417800364e-07 -3.5460117216545697e-09 -4.938720527360425e-07 -2.0496409138378152e-07 -4.932999703635397e-08 -4.837514685210977e-07 7.692185271724896e-07 3.121734487062748e-07 5.5792477118880145e-08 -2.912935921024021e-07 8.821371452664015e-08 -4.772433963155067e-07 -7.705012777602085e-07 3.2651924201102825e-07 1.3259903413843488e-07 1.2986001528838929e-05 1.0471034969525483e-06 -3.6795003616105363e-06 4.407850858135095e-06 -5.910938249369485e-06 1.2948444524452388e-06
PC20 -7.001277190712341e-07 2.2790171550337505e-08 -4.4986244111978025e-07 2.589044678037997e-07 -4.195992676332168e-08 -9.04300542264105e-09 -4.3021593859197876e-07 -3.931631338241948e-07 4.6054692277740407e-07 -4.965755113734416e-07 2.1042104211235754e-07 5.415943832664086e-07 1.1397941603205456e-07 2.986564766315093e-07 -9.391222456891155e-08 -9.990087774838468e-08 6.070487635889821e-08 -2.1429347243657303e-07 7.419140307766367e-07 1.0471034969525488e-06 1.2023006028827326e-05 -5.660639587995314e-06 -1.0082115023166005e-06 1.2851550269812094e-05 6.056888476260855e-06
proband 1.7011751670238385e-05 6.494555199356142e-06 -2.848107301928402e-06 1.4444492261020083e-06 -2.4387016126824955e-06 -3.435897178833361e-06 -1.1731222466722304e-06 -1.3757724713950763e-06 -3.850368457144704e-06 4.5298962004601575e-08 -9.610154092658998e-07 -1.1832713206994842e-06 2.456400768817995e-06 7.875914694659657e-07 -1.6388512348741266e-06 2.787112036678526e-06 1.7283452984060075e-06 -4.23069914588147e-06 9.50558885839119e-07 -3.6795003616105354e-06 -5.660639587995308e-06 0.0009259065420138698 -0.000530180319449567 4.7188469577830046e-05 6.272884075296754e-05
paternal -9.059986485832892e-05 -4.541921787740659e-06 -7.99163853260062e-06 7.414428725465508e-07 6.550442925857148e-06 -1.3965661083120048e-06 1.2654714507431856e-05 -1.0316176758092594e-05 4.202616696940203e-06 1.1935415861969486e-05 5.14269916866208e-06 -7.183947693835595e-06 2.9499516952988903e-06 4.052252942359744e-06 -1.0169211861391793e-06 -5.661045741755853e-06 -4.085063329107556e-06 7.685313509778156e-07 -1.2232107937667074e-06 4.4078508581350755e-06 -1.0082115023166372e-06 -0.0005301803194495664 0.002862091811243788 -0.0022097303959615353 -0.0015649301396423972
gpp 0.00011079582203151566 9.318520101375956e-06 4.3158213607417964e-05 -1.3480558303799247e-05 -9.03364667511543e-06 1.0569216627949535e-05 -1.123431349555228e-05 9.356817735479277e-06 3.2381341221427033e-06 2.5776900663919396e-06 -6.7421224602666595e-06 9.431987249660076e-06 -7.302319209578584e-06 4.412917896835367e-06 6.2778244185951665e-06 2.1797318757316533e-06 -1.5347302705236512e-07 8.602649411826066e-06 -1.2303454676364657e-05 -5.910938249369463e-06 1.285155026981213e-05 4.718846957782983e-05 -0.0022097303959615357 0.006346101798986547 -0.001880576005387261
gmp 8.244241030787756e-06 9.505001802984111e-06 -2.2197756868206605e-05 1.9714182057664535e-05 -6.484207279840875e-07 -8.552966796548228e-06 -6.989583266596757e-06 1.0275231507443008e-05 -2.233002058352395e-06 -1.2910733034910627e-05 -8.234945321901864e-06 -4.436618302369511e-06 -4.952728113155283e-07 2.7154592220523807e-06 -6.189207972013646e-06 5.202243606235638e-06 4.590564025854541e-06 -5.766142033737798e-06 3.606160545246258e-06 1.2948444524452502e-06 6.056888476260891e-06 6.272884075296679e-05 -0.0015649301396423955 -0.0018805760053872628 0.004828319323720529
