 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband
PC_4 -2.2917363759062096e-06 6.974292760724895e-06 -2.3690961894083e-06 9.644858003189343e-05 2.1538118167721339e-07 3.8327156048565027e-07 -3.2551766060673235e-09 -9.519453934807798e-08 1.0304242596890403e-09 0.0007127441738256655 0.08754384823890529 -0.0024211206511193565 0.005212816404897722 -0.0032819447978219146 -0.0005910304379675897 -0.003257680630742074 -0.0006850384635397102 -0.0060656791532424465 0.0016104560242268038 0.004400099755756549 -0.008486266091341567 -0.005964497539765141 0.006266321721899309 0.005149215512760354 -0.002731363361530194 0.0022056211397547014 -0.0039684967557710536 -0.0003008048800945046 0.003213800355810831 6.4237798397978445e-06
PC_5 4.105921591818441e-06 5.630019679782088e-07 -5.964067658107032e-06 -4.047415299855044e-05 9.878105119088085e-06 2.4696116697567314e-07 -2.1145612057338495e-09 -3.05917073416973e-07 2.475252971911508e-09 0.0018247564038025084 -0.0024211206511193595 0.1153232151912087 -0.002886201692475924 -0.004506727276593066 -0.0010068776182136502 0.004956543928271834 -0.00836329097799405 -0.0013900577296532646 -0.008899851729176417 -0.006561411300232125 -0.0004324985715351672 -0.008018365572941007 0.006908169574796336 -0.01416145107251662 0.004986327728240326 0.0034035736164318487 -0.0013444309644483048 -0.0014893103058140106 0.008602658437202754 -1.3879129010868546e-05
PC_6 -3.8598315552907004e-05 -6.818900230530947e-06 -1.6981502079757075e-05 0.00010650154922338101 -5.303456841688107e-06 2.1430989137200556e-07 -1.5197278197346306e-09 8.657597921288374e-08 -4.4983519096135473e-10 -0.0003471822074919331 0.005212816404897714 -0.0028862016924759313 0.14562166542243674 0.003011705345886346 0.004577035946667163 -0.006578028863056943 -0.004503543410638315 0.0029089273047904225 -0.006672779502434468 0.0010988861245317218 0.0002732107499021342 -0.01172471519366691 0.007354630079757637 0.0132830082041729 -0.0039029696333589274 -0.0006210862005769124 -0.00642200019240254 -0.001884841292955452 -0.004953386477142415 3.433814659139906e-06
PC_7 4.8426501024709487e-05 -1.6667840622820493e-06 7.11786510810046e-06 -3.795080355866605e-05 1.6086792187447139e-06 -1.1481909296074415e-07 7.449499632883609e-10 -3.224525979764432e-08 2.5046288304362217e-10 -0.00447875675946636 -0.0032819447978218977 -0.004506727276593024 0.003011705345886343 0.18254299082112416 0.0065639056507652924 -0.0012459889036586871 -0.007774110270330544 0.007221386853988886 0.005464696144999431 0.0176627045152002 0.005179682433398131 -0.01764990256439411 -0.012819876363356467 0.015396046190402602 -0.007326347534539125 -0.006027657996911758 -0.0015647867607517186 0.006553964911286662 -0.007940032393709592 3.015495419031496e-05
PC_8 -6.915851214842332e-05 -3.0980279170559154e-06 1.4858697455613387e-05 0.00017511253855798103 -1.7515729426303085e-05 -4.280301202868254e-07 2.7800727933012932e-09 4.4795653337430637e-07 -3.277854808479845e-09 0.001884504168081285 -0.0005910304379675848 -0.0010068776182136417 0.004577035946667153 0.0065639056507653245 0.19554207752174907 0.008024337462189866 0.007932377010903926 -0.003171818384617529 -0.0028864927168263214 -0.008841054586156092 0.006128453924565646 0.01706237635716068 -0.010650713962295008 0.006336200192614228 0.012442189105554514 0.0028335948737449653 -0.00010314794533761469 0.0007956696009722657 -0.00862474511050662 -9.653460073288586e-06
PC_9 4.707465279388116e-05 1.6519740802631177e-07 1.0806427130020266e-05 0.00020908410513005134 -1.315680963758585e-05 -2.406472017289922e-07 1.6371583665920756e-09 2.5892605279713665e-07 -1.5069883100392982e-09 0.0037211092536760778 -0.0032576806307420612 0.004956543928271837 -0.006578028863056931 -0.0012459889036586437 0.008024337462189874 0.26204314090287323 0.008141521018943651 0.001104904868574422 -0.014559626887312717 0.006756565010480145 -0.0021062560379656718 -0.0023802269156701296 -0.01027715979207199 -0.005701316725116027 -0.004786312003186712 -0.000498403887552366 -0.00016789965688723303 -0.00663797195404882 0.012542012967229524 -6.98261149714094e-06
PC_10 -4.1013472828616425e-05 -2.499868201931524e-06 2.552110038007932e-06 8.434546614862847e-05 -8.396377835702052e-06 -1.9808321113785942e-07 1.6951230611702236e-09 1.9834193448478384e-07 -1.341301395450554e-09 -0.003999389575535497 -0.0006850384635397123 -0.008363290977994046 -0.004503543410638306 -0.007774110270330445 0.007932377010903902 0.008141521018943625 0.31841682820876666 0.01655263248573249 -0.00794862358714584 -0.0035678383586706507 -0.0007452962432126511 0.01017173585312369 0.0025232820972432516 -0.0029046236943759823 0.010063059945553477 0.0031691126079643212 -0.0020205557224812214 -0.0020307736787106867 -0.008579703813852734 2.0206346481805597e-05
PC_11 -5.012841270167487e-06 4.576524259482086e-06 2.883497250524216e-06 0.000257002939117689 -1.2159686118905247e-05 1.3148689715376574e-07 -1.4198585448569328e-09 1.7663625598567614e-07 -8.232407518802997e-10 -0.00031724080401900035 -0.006065679153242458 -0.0013900577296532667 0.002908927304790425 0.007221386853988941 -0.0031718183846175126 0.0011049048685743972 0.01655263248573251 0.2977239068034507 0.003228127016730153 -0.002150426068516203 0.01158622325144642 0.014766791150505571 -0.0038745077641454805 0.009426787212879274 -0.009051374720579295 -0.004830365342794975 -9.366957924825482e-06 -0.0020339372788005226 0.019328126415703525 2.5424271811560265e-05
PC_12 -7.390781214768849e-05 -1.696256573759073e-06 1.3363338464839723e-05 0.00017550132884093712 -1.4868405515629904e-05 -4.183013894186029e-07 3.002670398984799e-09 3.783837438303669e-07 -2.868415447131584e-09 -0.001299445734531979 0.001610456024226792 -0.008899851729176412 -0.006672779502434495 0.0054646961449994905 -0.0028864927168263063 -0.01455962688731272 -0.007948623587145844 0.003228127016730153 0.3333971645025265 0.015132022894166038 -0.0010101803213516626 -0.010128898886104624 0.005736904523077464 0.017518087754938554 0.010230438829448251 0.00956537826924123 0.008607993473450894 0.010803143888749676 0.004057008313730496 3.3180123217040842e-06
PC_13 -5.608847847650864e-06 -4.282340218650665e-06 -7.041850906076789e-06 -0.00040365604383669075 2.338729211938627e-05 -7.071351826790116e-08 1.1494231192944379e-09 -3.5546950929200446e-07 1.5557936970068534e-09 0.0005365462972553666 0.004400099755756542 -0.006561411300232122 0.001098886124531705 0.01766270451520017 -0.008841054586156123 0.0067565650104801644 -0.003567838358670679 -0.002150426068516166 0.015132022894166002 0.3484540093615244 0.014119684137008677 -0.0004162247708322167 -0.00704017179058044 0.01691019849712494 0.009770310977192997 0.002078424823298152 -0.017816523415161094 -0.013427664016146488 -0.005551783674835559 2.411687834532987e-05
