 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband maternal gpm gmm
intercept 0.0006144188290568499 -1.8731617338055153e-06 9.40468412973745e-05 -0.0001872430602061983 1.272792898389412e-05 -3.319318135065049e-06 3.389779029802205e-08 -2.6311541728017863e-07 1.6754781371203772e-09 -0.00038619530443307384 -8.748659644217237e-05 -0.000584602494173231 -0.0004297299338311478 0.0007508139607026386 -0.0008737222694597438 5.151823419280307e-05 -0.00021914495366243044 0.0003790081638571196 -0.00015048729666997942 0.00039656369019816306 -0.0001708290036777717 -0.00017734168037928562 -0.0002643896532253429 -0.0007735793981966875 -0.0007140064443721295 -0.0002725743681220933 -0.0006983465881772823 -0.0010183793237982615 0.001755664212594228 1.8492866340036934e-07 6.576296380254292e-06 -3.617736818114749e-06 -8.933628242559753e-06
yob -1.8731617338048108e-06 8.006823205950617e-07 1.235665404764108e-06 2.201282596912914e-06 -2.84305317435218e-07 -9.813831827751844e-09 5.111027739124566e-11 5.3717943240482065e-09 -2.2098828441838578e-11 -6.78491950530731e-06 0.000191616669865992 5.937135530642988e-05 -6.298610703509926e-05 1.0195949487088493e-05 -9.373067424298639e-05 -1.0800387445788787e-05 -4.92733696970157e-05 7.892025656216433e-05 -9.844941033666078e-06 -8.717466195499028e-05 5.1957953939297106e-05 -5.509445837096693e-05 3.6381290987882982e-06 9.147313653121148e-05 4.4905823533907075e-05 -3.4894737768416585e-06 -2.6143764026747884e-06 6.821152533817218e-05 -0.00015905393238923823 -2.675757683019016e-08 -1.040588295448703e-07 1.4943663026784592e-07 1.0080389694541324e-08
age 9.404684129703432e-05 1.2356654047638356e-06 0.0001263636607376696 0.001297683308758361 -0.0001241512796572865 -3.4792683273933857e-06 2.927776068950775e-08 3.4492313122830297e-06 -2.901942709269929e-08 -5.007394030520788e-06 0.0001527852411576162 1.555053870681223e-05 -0.00016449521843657123 -2.380442989837106e-05 -0.00019817074464550304 3.7055888832346005e-05 -0.00025402907341463095 0.00022339939251983152 -6.643615194768727e-05 -9.636706802756067e-05 0.00023098389295142356 0.00013583263539178637 -9.65272675187968e-05 -0.0001396110507040433 -7.903861064424024e-06 -0.00017050704527952408 -0.00011649258841575963 -4.549085067345675e-05 -3.4856776411145494e-06 4.3399282755990135e-07 -8.631980792619496e-07 6.844333773560118e-06 -4.2572655402322656e-06
sex -0.00018724306021238369 2.2012825968269832e-06 0.0012976833087547455 0.028451433076335457 -0.0024719534433385822 -3.3911913549681054e-05 2.736826306791128e-07 6.491771353535143e-05 -5.269090386244051e-07 -8.890410096314454e-05 -0.0008506441550193239 -0.0012191320731851456 0.0007783806315332746 -0.0011493969609621514 -0.0003535864886962758 -0.0006427162398312333 -0.0019343352905061874 0.0011319378189347433 0.00018601128978879957 -0.0016610436678416466 -6.480847097702277e-05 0.0005612852509900942 -0.0018372653610971858 -0.0004952207291955951 -0.0011008536616670616 -0.0011168938304819663 0.00197672716083787 -0.0005293487132711559 -0.0008442847288389644 -1.8152810425880158e-06 -2.076996299468148e-05 7.872245939462958e-05 -2.930964932473493e-05
age_sex 1.272792898452398e-05 -2.8430531743133706e-07 -0.00012415127965693956 -0.0024719534433387015 0.00023288984122637283 3.4453808143658227e-06 -2.9012433344734324e-08 -6.4548423797970175e-06 5.444069561671982e-08 1.3482442871726795e-05 0.00010513758569547066 0.00015310150910182455 -3.143223879239286e-05 0.0001800613317423365 4.546880473724922e-06 5.3925646997534314e-05 7.584158329742458e-05 -0.00013551714195781062 -5.247382490377376e-05 0.00016123533173940463 4.8298162737764085e-05 -0.00012250750049323632 0.00014325372306554627 2.1562742793595036e-05 0.0001868111978513331 0.00013399765644437066 -6.375840781106264e-05 7.224362485962736e-05 6.387690038549694e-05 -2.3760409192228245e-07 2.071981087819677e-06 -6.147351349356935e-06 1.4434489604384469e-06
age2 -3.3193181350557296e-06 -9.813831827617334e-09 -3.47926832739308e-06 -3.391191354978103e-05 3.4453808143754937e-06 1.0089114768054841e-07 -8.785810990159978e-10 -1.0008195355445417e-07 8.709062887381866e-10 7.230341732454982e-08 1.7428295329257315e-06 2.8121533952387472e-06 3.1488420567213615e-06 4.829026836453569e-06 1.203608168259089e-06 -5.321644874823127e-07 3.691965748710715e-06 -5.125126818462266e-06 -3.764599231220214e-07 1.0094695118800656e-06 -5.423094797177834e-06 -5.895281819038525e-06 2.235715823598521e-06 5.117557028811494e-06 3.047337802630903e-06 4.797925433314002e-06 2.833334621485822e-06 2.126719256743335e-06 -3.665078369074204e-06 -1.5256638456366932e-08 2.2250977867595444e-08 -1.7851449740747627e-07 1.0905241396905358e-07
age3 3.389779029793971e-08 5.111027739013027e-11 2.9277760689503552e-08 2.736826306799605e-07 -2.9012433344816427e-08 -8.785810990159522e-10 7.859116294457675e-12 8.710017194265362e-10 -7.783799678979643e-12 -4.089280508969136e-09 -1.504981773219396e-08 -3.219156508204462e-08 -2.8526364419360603e-08 -5.769559850880032e-08 -7.217688383560635e-09 -3.4540284565149223e-09 -2.0829095266936052e-08 5.1184500478615256e-08 1.6468386407037934e-08 -1.2640123312552099e-08 4.337507763655611e-08 5.2418578139062176e-08 -1.7749232586199733e-08 -3.6661356446613806e-08 -3.740685680366051e-08 -4.2820148822752427e-08 -2.546877928053757e-08 -1.4873043920903595e-08 3.163105560751986e-08 1.406071064094372e-10 -1.6800370350254998e-10 1.4200287558111991e-09 -8.611349533454763e-10
age2_sex -2.631154172968354e-07 5.371794323778654e-09 3.449231312272941e-06 6.491771353535531e-05 -6.454842379797031e-06 -1.0008195355417492e-07 8.710017194241632e-10 1.862827168864351e-07 -1.620406463489245e-09 -8.925955255068376e-07 -2.8966800552529167e-06 -4.8517458832719825e-06 2.9921805123783947e-07 -6.560201756220609e-06 5.4519460891002025e-08 -1.7582451360558157e-06 -6.501945434771455e-07 4.529437424089383e-06 2.0399537932724036e-06 -4.221397748553555e-06 -2.3070917903125615e-06 4.777824096652735e-06 -3.950632097915449e-06 1.474983208858826e-07 -6.428129712290065e-06 -4.655555515350814e-06 -2.8222452362797836e-07 -2.14072776993757e-06 -2.1212901631750948e-06 8.04682786444515e-09 -6.511692316938355e-08 1.5880587959593655e-07 -1.7154166784402265e-08
age3_sex 1.6754781372725453e-09 -2.2098828439423643e-11 -2.901942709261044e-08 -5.269090386244319e-07 5.4440695616719074e-08 8.709062887357326e-10 -7.78379967895877e-12 -1.6204064634892188e-09 1.445717432776188e-11 1.2372213553580745e-08 2.3968335175139782e-08 4.342904330297333e-08 -1.1477837701990992e-10 6.552005323129401e-08 8.390149480670185e-10 2.0715099693787398e-08 -1.1958434921321446e-09 -4.3671195445792845e-08 -2.079920341920065e-08 3.6802668325537435e-08 2.847617569160578e-08 -5.015956470468804e-08 3.4845819519097556e-08 -7.0482454489573745e-09 5.972455015248116e-08 4.575100305612355e-08 1.5698578468866153e-08 1.5611786251026415e-08 2.1952717815145774e-08 -7.228128336128943e-11 6.040868213595314e-10 -1.3163058680113846e-09 3.6876053094934565e-11
PC_3 -0.0003861953044329894 -6.7849195053058695e-06 -5.007394030267085e-06 -8.89041009593049e-05 1.3482442871343004e-05 7.23034173172187e-08 -4.089280508905248e-09 -8.925955254957704e-07 1.2372213553484516e-08 0.16333817248932406 -0.005440645787043738 -0.013457093183359047 0.025758470014968088 -0.003056402907294597 0.018485579302238278 0.021211027172893075 -0.03952454416431101 -0.03266683524846798 -0.025739625782608033 0.04519738921507463 0.030438754676876432 0.0475311101522814 -0.0354049440929751 -0.08953583582203849 -0.024072269233267034 -0.01865194070808183 0.02566882154031069 -0.0412118124866571 0.07244851532586831 -6.732346846015681e-05 -9.058730049917442e-05 7.167061793596163e-05 -0.00010948449009427653
PC_4 -8.748659644182359e-05 0.00019161666986599712 0.0001527852411587941 -0.0008506441550010937 0.00010513758569372316 1.742829532892659e-06 -1.5049817731912627e-08 -2.896680055203946e-06 2.396833517472385e-08 -0.005440645787043708 0.6234148678713798 -0.012349269797914618 0.08444912955667529 -0.06479851117585779 -0.002123983972689742 -0.010375879392890655 0.009809188346565361 -0.055853973718689144 0.03276768664594481 0.05700727375545181 -0.10271027371673462 -0.014863503581830289 0.08048242388942174 0.0473456810834695 -0.026301971158443335 0.030830751049079484 -0.02174363871063708 -0.023205914658207864 0.0727208077630594 3.09345097366492e-05 -0.00015272608198339113 0.00017757167257771524 0.000180335111185497
