 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gmp gpm gmm
PC_8 -0.003432270365054005 -0.00026401835957582574 -0.0005145796167329833 1.1859421719408243e-05 -1.3091332306155921e-07 0.04014567755895452 -0.12499706763828501 -0.2251025613848992 0.25233000955043666 -0.031642977459758234 3.947751353329078 0.46339985579876075 -0.08702732329844959 0.2662725184343823 0.282583069527771 0.13962142686682594 0.2659658573396133 0.2738439877769057 -0.38053766523178006 0.34039015532992634 0.4767913338506891 0.10797254266840779 0.26787074902414826 0.03005211261408266 -0.21456224340336735 -0.00048723629032615824 -0.0005377064393624296 0.0009546210318454066 0.002428674414336082 -0.00047762057946008045 -0.0017984842847858023 -2.0564879866662857e-05
PC_9 -0.0001797883187107922 -4.9358138398483304e-05 -0.0004379480170016452 1.3491989510015621e-05 -1.2774871577111522e-07 0.021200152266231346 -0.012034334538206699 0.279150420046214 -0.1373328035118232 0.42770167724662894 0.46339985579876175 5.148592052032161 0.352152339926563 -0.023899062157289545 -0.5164337250743563 0.3826312776436364 0.06607095760140584 -0.06447689164981382 -0.1642593325198923 0.04078101933749565 -0.3227226326828423 -0.19319723509201236 -0.10896342766418837 -0.36703167698025807 0.40627464115598866 -9.507350467774815e-05 -0.0012758107415409244 -0.0002533131446223681 0.003277035329932479 -0.00044591587460739575 -0.000993889429685368 0.0007964570030517269
PC_10 0.0027684961166345866 -0.00016575400207429275 0.00018790357103765163 -1.6077556600913928e-05 1.9236263615933382e-07 -0.08982626422942562 0.047995090244390144 -0.14508773198053324 0.2510496826185598 -0.1920990498380737 -0.08702732329844988 0.352152339926565 6.600131113719294 0.9104892060738905 -0.40369282661147843 0.057772404768701026 -0.16625184271514334 0.003559660240741325 0.2099155444948926 0.3182979013093443 0.4300546865642517 0.42311423624409555 0.02982367120589583 -0.20637555709167357 -0.6201365520803411 0.00024643450671479834 0.0007714145075931604 0.0004310269360846812 -0.003652636192644783 0.0014490552580190073 0.001184881256039458 -0.0008384239018683214
PC_11 0.0014825587997637489 0.0002652680595268707 0.0009573296758680822 -2.5141990063996314e-05 2.4315635116140346e-07 -0.05598144867090633 0.06623452231897982 -0.3532232579698134 0.13126784933705932 0.38625839034297715 0.26627251843437943 -0.02389906215729029 0.9104892060738906 5.437784538550212 0.3712004340535043 0.795728528522475 0.3450113445121799 0.01882754240623481 0.024877821296481008 0.18613932457350196 -0.29619980059069645 -0.13771569842506826 0.07524204437156164 -0.6401303332280598 0.3803643126277004 -5.065298118575875e-05 -0.0005235722302665971 0.0005239232537435091 -0.0022191420988686953 0.004119965467875513 0.0005209795591113049 -0.0001410471211497799
PC_12 -0.004712263271429813 -1.651740539295526e-05 -0.0001307793284682308 3.0387339745556854e-06 -3.7698273569364505e-08 -0.03402134698322694 0.10445843983409915 -0.1509005242174649 -0.11102564052894376 0.27116229677724313 0.28258306952776835 -0.5164337250743575 -0.40369282661147887 0.3712004340535038 7.066783401218209 0.3211939219691532 0.24530217435176616 -0.12087274828644833 0.25161990849093846 0.5489653924795305 0.3338122772651285 -0.011442444419474215 0.01304961455317742 0.20407817030116074 -0.023949346307890692 -0.000740793012866549 0.001159683327534872 0.000905523164698029 -0.00028849929609850623 -0.0015000407759358486 -0.0001582802426461816 -0.0001222393362768724
PC_13 0.0028410838141681564 -0.00023607054248488834 0.000379895374924167 -1.6669069521907646e-05 1.6115667809898571e-07 0.09708876194457483 0.16561681091321154 0.006579678089678527 0.14173937361657676 0.2045692191800291 0.1396214268668267 0.3826312776436378 0.05777240476869998 0.7957285285224776 0.32119392196915514 6.611160620290108 1.1535513711477503 -0.20819670621346925 0.0748787386334449 0.8998626539860669 0.3382081061738863 0.1251795678643021 -0.29837000214365356 -0.14040165704790727 -0.5363851647897335 -0.00010112190597144185 0.0021340804020490234 -0.0010704826272724265 -0.0005026509221872377 -0.0013303168815324163 0.0017418821066354573 -0.00038521378795454214
PC_14 -0.0043195091830238634 0.0001972243156628207 -0.00020035528777610648 1.2421213472177701e-05 -1.3492153204825406e-07 0.03067049552449192 -0.0711829100823358 -0.15743861435555156 0.392206661934757 0.06637668914524768 0.26596585733961525 0.06607095760140622 -0.16625184271514176 0.3450113445121819 0.24530217435176604 1.1535513711477534 6.82544726963037 0.4007778177843456 -0.39856990984593094 0.35566667663439866 0.27597092856333355 0.0003716331746829637 -0.14388983963438332 -0.5259372177620204 0.4770226679298448 -0.0003248305099377216 -0.0008957198554598324 0.0012931056725077892 0.0022288855932736393 -0.0011568685168809314 -0.0010627458800922074 -0.0021272834666001402
PC_15 -0.0035859107794575943 -0.00013866384631331142 0.00024438068441618067 -4.464267684423989e-06 -1.0718205525510306e-08 0.1548105673151762 -0.19215436397865968 -0.09115643790888357 -0.4443760163620435 -0.4149063186853876 0.27384398777690666 -0.06447689164980924 0.00355966024074119 0.018827542406234576 -0.12087274828644581 -0.20819670621346936 0.40077781778435007 6.930237026865239 0.04776001548199727 0.07276094975803077 0.21621971925868344 -0.14265849716515625 0.29697939651406186 -0.1365276601649058 -0.628696080818879 -0.0004140256765228888 0.0008902931856636956 0.00016507687309161144 -0.0009475455847584252 0.0001798251348002114 -0.0005431483691812027 0.0004028312682432129
PC_16 -0.006316798825262182 -2.8023912714578245e-05 -0.0001873381976869456 9.102251441275816e-06 -1.4069818601197426e-07 0.004611347358694936 0.13327462373199866 0.07091971916197147 0.12223392141995709 -0.22214842886403185 -0.3805376652317814 -0.16425933251989078 0.20991554449489316 0.02487782129648019 0.2516199084909403 0.07487873863344677 -0.3985699098459293 0.047760015482002496 8.595563771831054 -0.11221401650147951 0.01864632016947651 0.29477131841551124 0.2520189243825143 0.1698381103761425 -0.08289562297005927 0.00020532612273288332 -0.0007231758082463278 -0.0017410192638749673 0.00045487950812511625 -0.0003193396541611608 0.0005579626892305952 -8.340202681934012e-05
PC_17 -0.0024677255709431825 0.00012180408407620048 0.001023841242966174 -2.681143609682046e-05 2.1278508441992796e-07 -0.2046234575269681 0.0699180389965696 -0.42688668745694214 0.3200267867879027 0.6310500397921224 0.3403901553299239 0.0407810193374969 0.3182979013093445 0.1861393245734999 0.5489653924795275 0.89986265398607 0.35566667663439894 0.07276094975803467 -0.11221401650147636 9.167806758965716 0.31104988526600263 0.21715024874411007 -0.3444505476457298 -0.2513560164984401 -0.2779359325161425 -0.0004930412845846623 0.00024477186691964975 -0.002599354082809199 0.0011179016513188655 -0.00012816131770401607 0.003493423137284793 0.0019649888263031843
