 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal gpp gmp
intercept 0.0012168235105184861 -2.7986834308464314e-06 0.00015614573696956963 -5.687234108649535e-06 6.002734264917138e-08 -0.0007681979729204713 7.443339569901351e-05 -0.0005564793778754651 0.00013053253683720963 0.0012360395419814484 -0.0005718128777260136 -0.0004424757517436357 -0.00016380692929305091 -0.0002722068521879478 -0.0007639392656647437 0.0004082772300888967 -0.0007530776980721659 -0.0006175037249437138 0.00043532471673440903 -0.0009320869861464198 0.0002281320922827114 0.0005604959755287739 0.00015943498883096271 0.0010181399125114782 0.0016072891698334572 2.000596287870451e-06 3.3918912107586577e-07 1.146007391127925e-05 -4.853281246529611e-06
yob -2.79868343084522e-06 1.0753747398130524e-06 -8.38099862556648e-08 1.7973022980013654e-08 -1.0364712077197541e-10 1.6316510167607403e-05 0.00012826399400599033 4.443701173327279e-05 -0.00010152506596352684 1.2856317818337296e-05 -8.500652004858615e-05 1.0204735675502362e-06 -4.739076823274296e-05 9.3850273638975e-05 6.520849449548271e-06 -9.59027025608742e-05 8.887031502478535e-05 -8.165180785193927e-05 -9.97307525393814e-06 9.218827684903417e-05 4.8985724514229216e-05 -2.1409351142509754e-05 5.069680757106261e-07 4.4397080317887393e-05 -0.00015876306805429868 -1.2447190343655855e-07 6.935338329188944e-08 -5.7284298418249445e-08 -1.0183839626030074e-07
age 0.00015614573696959183 -8.380998625610366e-08 5.837514801159809e-05 -1.7424565316874844e-06 1.5584327734847517e-08 -5.9331717128957764e-05 -6.765421991383126e-05 -0.00015806371376891746 -2.4020647165658242e-05 0.000209680885492523 -0.00011009118397973603 -6.716008053736154e-05 -0.00010493268282868227 0.0002394145161148389 7.957926506784059e-08 0.0001865520298028412 -8.65339758691519e-05 0.00018818216034983251 1.2734410508181816e-05 0.00026540385976066695 0.0001376959934834759 0.00012706037840029243 -2.3030960803786204e-05 5.5619072621378716e-05 0.0002486279910054297 -2.5224875783986757e-07 -7.434830570400991e-07 4.176865767907774e-06 -2.2092857318854474e-06
age2 -5.68723410865019e-06 1.7973022980027677e-08 -1.7424565316874517e-06 5.46396250456102e-08 -5.0443684867695e-10 1.7384565209488694e-06 4.966744672486109e-06 5.775703512476411e-06 -1.5269774261778748e-06 -3.684352209827015e-06 9.234261368547294e-07 1.6859682893021725e-06 7.957330237536648e-07 -4.332700182493218e-06 -2.0711895547489756e-07 -5.967824675283013e-06 3.7952640315654194e-06 -4.72378845797938e-06 -2.2056040421388094e-06 -5.105455071498492e-06 -2.602128513999154e-06 -4.7646752175857865e-06 -7.914270227740771e-07 -4.014625313881819e-06 -8.055109137356862e-06 -3.4832195069820042e-09 3.112542035119179e-08 -1.3609408922930146e-07 6.569463571167862e-08
age3 6.002734264917625e-08 -1.0364712077208182e-10 1.5584327734846998e-08 -5.044368486769429e-10 4.788986016999217e-12 -1.6247604661009097e-08 -3.556959319945475e-08 -5.145580294286428e-08 1.0252349179158444e-08 2.877720360715723e-08 -8.523943849634075e-09 -1.7882911267678062e-08 -9.55070309006837e-10 3.5021432637353275e-08 2.060843001814411e-09 4.2415353048747053e-08 -2.973517010810756e-08 2.264778124142854e-08 2.9138928125827003e-08 3.6952338193841135e-08 2.4517607056338208e-08 4.4918439886841553e-08 1.616381263150815e-08 5.913810996348509e-08 5.6990035341660444e-08 8.01256248430084e-11 -2.849783862264181e-10 1.2165153596449605e-09 -5.682712192234924e-10
PC_3 -0.0007681979729203984 1.631651016760753e-05 -5.933171712893121e-05 1.738456520948046e-06 -1.6247604661001662e-08 0.21218009835813803 -0.013056151510222975 0.007599925068901997 0.017215321663923845 0.0022628249385808364 0.020832801647554872 0.03017915078794542 -0.04552663251561402 -0.022095238391144075 -0.02167866725904114 0.033779374589320385 0.011478032578232848 0.044018923765939855 -0.012635607708748284 -0.0915959066877257 -0.02092751931294224 -0.014993810133201918 0.026519474437171897 -0.03237693059734173 0.06167969271649303 -2.3653181015299347e-05 1.3420220614700902e-05 4.1647857763252716e-05 -0.00030463224029880136
PC_4 7.4433395699079e-05 0.0001282639940059911 -6.765421991379109e-05 4.966744672484938e-06 -3.5569593199444554e-08 -0.013056151510222843 0.6817980143868538 -0.001983551517787356 0.11376803202687752 -0.04045064560447295 -0.021280734458327392 -0.0013658764173455546 0.0033987773913170516 -0.03651958848644794 0.032725215867879576 0.0532324853713064 -0.056276283692143055 -0.0687847560058857 0.06842711589607046 0.04639593456965436 -0.0242953273103198 0.025950755186728448 -0.041783752809570196 0.005848089051246762 0.09289765280232268 -5.988533412200421e-05 4.4208892319958675e-06 0.00028216371340523093 -0.00017527253851452255
PC_5 -0.0005564793778754716 4.4437011733274056e-05 -0.000158063713768897 5.775703512475874e-06 -5.145580294286007e-08 0.007599925068902196 -0.0019835515177873604 0.8856085819447729 -0.007486752753249822 -0.05577752102679527 -0.05273618899648878 0.05447215745187135 -0.07916810671758405 -0.08692596493537266 -0.08758397160937331 -0.010656372292505718 -0.03575739421167144 -0.04568202044129901 0.04197882844529818 -0.15171310475883754 -0.01926966838829086 0.002174701062503855 -0.01626307751583818 -0.04652587436697877 0.09420043743827963 -0.00017995859603905354 -4.052424634325843e-05 0.0004377963040215757 -0.00023989972988485396
PC_6 0.00013053253683709034 -0.00010152506596352678 -2.4020647165700556e-05 -1.5269774261765725e-06 1.0252349179146638e-08 0.017215321663923935 0.11376803202687756 -0.007486752753249807 1.166400072311162 0.04739884923928749 0.08934210480770706 -0.007978735521747094 0.023502594075448566 0.03147481669868967 -0.06080391294730546 0.01769344409932078 0.10865450223039642 -0.15881627876152066 0.03448814740468327 0.1450485839220777 -0.028002634024149226 0.02012600912677446 -0.08388240052562922 0.025285115944694552 -0.056393323322119646 2.449195384830958e-05 3.408031392388203e-06 0.00034164585616429003 -0.0003480315106491736
PC_7 0.0012360395419814168 1.2856317818336354e-05 0.00020968088549250315 -3.684352209826426e-06 2.877720360715225e-08 0.002262824938580801 -0.04045064560447278 -0.0557775210267956 0.047398849239287506 1.561944370347705 -0.008313459786423581 0.10242060875119223 -0.08148996131715334 0.1290972451152225 0.11825368630027638 0.10816715768221694 0.03068328814591721 -0.1927434237760857 -0.07691962698591555 0.17094060349164056 0.01191691469431976 -0.013166867299738674 -0.06410350501260058 0.0478028981588553 -0.15503799225336765 3.14983577224184e-05 0.00028565358866217236 9.762383229177505e-05 0.00010147736711470545
