(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband paternal maternal gpp gpm gmp gmm
(Intercept) 0.00536401844365265 0.0036449022831168 -0.000105597680973446 5.04709247883882e-05 -0.000186706099355914 -7.22372134198029e-05 -0.000268826861778121 -0.000231209366146789 -8.12517826394764e-05 0.000228792046422854 0.000406546385272587 4.62976781068709e-05 6.74201219196161e-05
covarage 0.0036449022831168 0.00659033467780176 0.0058514988843339 -0.0104560311739159 -0.000105042719766861 0.000116858940158847 -6.75181363587855e-05 -0.000110280822177459 2.42703058896054e-05 6.39466718134651e-05 0.000191532853032088 -0.000149918710649903 4.4559818062978e-05
covarsex -0.000105597680973446 0.0058514988843339 0.0126863910803059 -0.019814533668118 -3.22433473856637e-08 1.21600289145079e-05 -0.000115030712653826 -0.000148885733238308 -2.93034936283327e-05 6.35518008516621e-05 0.000178077704494828 0.000270874775960019 -0.000138845663852271
covarage_sex 5.04709247883882e-05 -0.0104560311739159 -0.019814533668118 0.034442915982675 -2.14048870012614e-05 7.23496934450019e-05 0.000100368578291761 0.00017072703460897 7.81028654763924e-05 -0.000104097620874862 -0.000208552924458201 -0.000290042619658742 0.000140398273508705
covarPC_3 -0.000186706099355914 -0.000105042719766861 -3.22433473856637e-08 -2.14048870012614e-05 0.00140694123477738 -0.000191944290305823 -8.69473709155314e-07 -4.88429642153816e-05 -0.000108368501071437 5.46526949536246e-05 -9.74963086840598e-05 0.000146375491117888 -5.41946690130218e-05
covarPC_4 -7.22372134198029e-05 0.000116858940158847 1.21600289145079e-05 7.23496934450019e-05 -0.000191944290305823 0.00129219396344077 -5.85576879443754e-05 4.26225076374525e-05 2.03569978365841e-05 0.000165547436418767 -0.000184730139791755 -1.66595869830286e-05 5.15425057529268e-05
proband -0.000268826861778121 -6.75181363587855e-05 -0.000115030712653826 0.000100368578291761 -8.69473709155314e-07 -5.85576879443754e-05 0.00263728798037181 -0.00134368583762909 -0.00126665468946757 0.000197626171765162 -9.74816818739065e-05 -8.94555309635683e-05 3.58547701137753e-05
paternal -0.000231209366146789 -0.000110280822177459 -0.000148885733238308 0.00017072703460897 -4.88429642153816e-05 4.26225076374525e-05 -0.00134368583762909 0.00817465806192273 0.000492216326269844 -0.00689661628196962 -0.00528663888276099 7.31618954175351e-05 0.000241071449926856
maternal -8.12517826394764e-05 2.42703058896054e-05 -2.93034936283327e-05 7.81028654763924e-05 -0.000108368501071437 2.03569978365841e-05 -0.00126665468946757 0.000492216326269844 0.00748363572434322 -1.26536310548095e-05 0.000282828102142982 -0.00555957024546185 -0.00534747739970551
gpp 0.000228792046422854 6.39466718134651e-05 6.35518008516621e-05 -0.000104097620874862 5.46526949536246e-05 0.000165547436418767 0.000197626171765162 -0.00689661628196962 -1.26536310548095e-05 0.0285981688144123 -0.0150142631713747 -0.000210496236663689 -0.000291375855111381
gpm 0.000406546385272587 0.000191532853032088 0.000178077704494828 -0.000208552924458201 -9.74963086840598e-05 -0.000184730139791755 -9.74816818739065e-05 -0.00528663888276099 0.000282828102142982 -0.0150142631713747 0.0253812359969751 -4.28188612937508e-05 -0.000331226081177897
gmp 4.62976781068709e-05 -0.000149918710649903 0.000270874775960019 -0.000290042619658742 0.000146375491117888 -1.66595869830286e-05 -8.94555309635683e-05 7.31618954175351e-05 -0.00555957024546185 -0.000210496236663689 -4.28188612937508e-05 0.015977913385621 -0.00485226932192351
gmm 6.74201219196161e-05 4.4559818062978e-05 -0.000138845663852271 0.000140398273508705 -5.41946690130218e-05 5.15425057529268e-05 3.58547701137753e-05 0.000241071449926856 -0.00534747739970551 -0.000291375855111381 -0.000331226081177897 -0.00485226932192351 0.0154007535424896
