 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gmp gpm gmm
PC_4 0.002581025113681896 0.00029479362264977414 0.000439981917277298 0.0014805988401465882 -0.0002841164509027925 -1.156844165219868e-05 1.5745420360063432e-07 1.2591754762371351e-05 -1.455778040635178e-07 -0.06907799290751311 1.2990467312310516 -0.028092294975502193 0.2908795123863122 -0.12411157094291071 -0.09700248545927524 -0.033576210712553636 0.02657548029701229 0.06935921950514497 0.08906571768961465 0.1566569786641829 -0.033721891062221586 -0.19563244671467836 0.0968413508718321 0.0938697186110199 -0.07763328119212522 -0.023774641596329412 -0.05231807834896327 0.044208041280636906 0.1725267605324138 -0.00042919150116143466 0.0001837655016510147 -7.350341413010803e-05 0.0005318397230452205 -0.0007327500739425581 0.00016007063501220613 0.00016611214826087894
PC_5 -0.0013142104666934123 3.296912156164325e-05 -0.00018816518524688344 0.0016216173386797506 -0.0003049567770691398 4.6283482616950836e-06 -3.8422574660586407e-08 1.1990524554722393e-05 -1.2020686793364366e-07 0.041405462610990235 -0.028092294975499203 1.809520478905966 -0.11674416235598677 -0.2840679252688436 -0.23283341367979285 0.27297072067344696 -0.10625708700530703 -0.29456673209519235 -0.07540872468021609 0.07805879685304916 -0.14175236086960247 -0.10746897917520017 0.11441731822004485 -0.3871892983524712 -0.08987016895018513 0.0009289447578778437 -0.01997870299861648 -0.10375764601701781 0.3072597174660277 -0.00020205692185525903 0.0004990675876252725 -0.0004950615464047343 0.000549682007534649 -0.0013004089088287946 8.295569216870608e-05 4.788667190200661e-05
PC_6 0.00036728317898411647 -0.00023611577754715192 8.621445846941011e-05 -0.0020123430566718506 0.0002701618823845057 -7.128802306769946e-06 5.8209383354169034e-08 -8.003751496284734e-06 5.6788563705255146e-08 0.07154123615102025 0.29087951238630827 -0.11674416235598781 2.341978556092062 0.12785398959701744 0.2682515127467156 -0.21095586159479968 0.22109000392078185 0.09064132626377196 -0.05150799360692065 0.14976445980036007 0.32477980829430475 -0.35525026635667234 0.14942776929640184 0.33275815109149237 -0.029893127357827565 0.033940349958195545 -0.17045840198128487 0.22244107399261748 -0.1914274571229114 4.577350655061213e-05 -0.00029515942286848494 -0.000265779912551641 0.0008134441868806544 -3.5828777958626796e-05 -0.00014960223913672432 -0.00027387741153013517
PC_7 9.02787793354414e-05 9.611694810428139e-05 -0.00042523268926809984 -0.006249628081516711 0.0006617861978788003 2.141213586889204e-05 -2.2901383760535746e-07 -2.2128785958040426e-05 2.3186154414518283e-07 0.010212771628571222 -0.12411157094291306 -0.28406792526884117 0.12785398959701272 3.226037995094289 0.04261334032805971 0.38874752801189605 -0.21268566591048596 0.33445161369205234 0.18006153519665755 0.17367841731611294 -0.002611245184607818 -0.409043427889052 -0.22903506550709776 0.47480441403298923 0.17864875039846406 0.040178833114319586 -0.33116912018857864 0.03359244021813131 -0.5210564806899157 -0.00018179444610287024 0.0014910063778780453 0.0008512693275989868 -4.8908662069604984e-05 0.00013658238981417725 2.6296465148590237e-06 -0.00022787971137790242
PC_8 -0.002402952021307291 -0.00024380744931763157 -0.00016951880012424812 0.0006249887818121927 -0.0001969487358919529 -1.3172594764195827e-06 1.3890263745974173e-08 9.949977075851526e-06 -1.2381554579709587e-07 0.012742754677140209 -0.09700248545927348 -0.23283341367979257 0.26825151274671694 0.042613340328056554 3.4613054823865688 0.45016994082901296 0.00631098659442091 0.24932839208447963 0.37786506530737746 0.0411563452760337 0.19311682058246885 0.2298841976246865 -0.21452429572303547 0.285902870742535 0.42070651269714665 0.06713031748764585 0.27853635628973006 0.1731438920426817 -0.20765287062910134 -1.2382974809110745e-07 -0.0007927784518335732 0.000941594953020723 0.0019605367025404673 -0.00036686271647974286 -0.0018577985308501205 8.738816596422828e-05
PC_9 0.0012191284143328483 -3.637902883290996e-05 -0.0004239891123547908 -0.000602598128977366 3.66336448758019e-05 1.0417929675339684e-05 -7.67043243616176e-08 7.083991870972561e-07 -1.6298027458009813e-08 0.04259867230203601 -0.03357621071255325 0.2729707206734483 -0.2109558615948004 0.388747528011895 0.4501699408290135 4.429984616460698 0.24558369993990106 0.10240089876108205 -0.3765778803917397 0.30709958022865236 -0.006444889053467198 0.028528490865845087 -0.13806781015131686 0.0794592265835694 -0.28121024939361966 -0.11440175890446443 0.02497049067403928 -0.2073205427743675 0.3924603861638139 -9.190151492873173e-05 0.00025515714084399564 7.233372459748847e-05 0.0007107582382346626 -0.0008549996011008156 -0.0009624828095843626 0.0015606131083206335
PC_10 -0.00016822535426353296 -9.571100210189355e-05 -0.00017822441593108238 -0.0019749082382597843 0.0003940163321426163 6.795593288865321e-07 1.2991752736936278e-08 -1.3983544652388342e-05 1.283329623744345e-07 -0.07280539093739141 0.026575480297010266 -0.10625708700530827 0.2210900039207825 -0.21268566591047983 0.006310986594419713 0.24558369993990134 5.665401120470615 0.7362814724369867 -0.2933732716730084 0.02015319417876841 -0.10717263580749428 0.17019498700185884 0.09382800142296821 0.2993092652567543 0.40755210317086454 0.28102177929952926 0.09099180172874576 -0.16764455218146612 -0.5095955667625519 0.00035134162953551624 0.0002906212040358982 0.0008492430785599505 -0.002385672743463628 0.0010906544980062705 0.0004883463978255011 -0.0005019964989346552
PC_11 0.00020624989985218754 0.00025421553298409844 -0.00035178928976085656 -0.010791105372718596 0.0012600733934259247 1.529965961186952e-05 -1.1645764787537413e-07 -3.8205819955567844e-05 3.294098309509354e-07 -0.05612498979223142 0.06935921950513557 -0.29456673209518947 0.09064132626376539 0.33445161369206133 0.24932839208447738 0.10240089876108469 0.736281472436984 4.822563483945338 0.4326721909851811 0.5672158879717176 0.4374547751231137 0.05342022217191021 -0.06690754077948641 0.08418831946307782 -0.1080486185614228 -0.04221650775384004 0.0419056377106723 -0.5773828455740779 0.4800476262469448 -1.617604520072181e-05 -0.0007240542019303144 0.0014979869499382311 0.0011576833091517852 0.0012567888428555462 -0.0007290853026830138 -0.00025728328272630105
PC_12 -0.003426569814146268 -8.604363339821822e-05 0.000146785225443454 -0.0006980483546995276 -6.6422951967328e-05 -8.70374606529375e-06 7.97269361383839e-08 4.7161440036624595e-06 -5.940469228579512e-08 -0.021823286974525104 0.0890657176896157 -0.07540872468021663 -0.05150799360691855 0.18006153519665924 0.3778650653073776 -0.3765778803917383 -0.2933732716730075 0.43267219098518517 6.207274927751672 0.2892840382219441 0.15072322167474028 -0.17402542863400036 0.22559151077944964 0.6043077677840913 0.1686341148967608 0.03874028593757124 0.1505592596131234 0.1750784712660233 0.0966700760201848 -0.0004488636796766905 0.0007127812663947122 0.0007797411775155713 0.0009030838308980636 -0.0013814184649370653 0.00018324253284471127 -0.0016277453829898515
PC_13 -0.0010031533470209798 -0.00021266683595159907 -7.739071005332669e-05 -0.002343600862692484 0.0002866535119332909 -3.136136135428393e-07 -1.4014429924550289e-08 -8.447097984601734e-06 7.725284345527939e-08 0.08105583934164494 0.15665697866418346 0.07805879685304959 0.14976445980035805 0.17367841731611378 0.04115634527603356 0.3070995802286531 0.020153194178765228 0.5672158879717152 0.2892840382219398 5.8168351226972925 1.1161638700498913 -0.11558308261528286 0.0617239745203734 0.8538388118590198 0.25312786792319436 0.020152071913707204 -0.37330625234996995 -0.15019658956041784 -0.4110213208023602 0.00038737707038584564 0.0008025904762449323 -0.0003270333063553994 -0.00266513774036499 0.001386154137868113 5.1999659612819105e-05 0.0009167140613438284
