 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gpm gmp gmm
intercept 0.013748586590744117 -8.595201228171338e-06 0.0009800640669706154 -4.1747377814128865e-05 5.006052877777402e-07 -0.0032158081232825453 0.004732707761847786 0.004239124920903132 -0.0038931138978657897 -0.0064286484412057745 -0.0010142916656479346 0.006147694681574944 -0.00215116368416736 -0.00943318951153845 -0.0021038794652932036 -0.005304307600786331 -0.00931929696368159 -0.015658359525645843 -0.01941903257178704 -0.01107457591822963 -0.014304120674143342 -0.018592237004587408 0.0030848617117662843 0.017756302967323553 0.01797829059874334 1.5710220723918784e-05 8.74539795613851e-05 -6.067408706136235e-05 0.0001023174738567163 -9.012404204689703e-05 2.156972093419885e-05 2.230137197648566e-05
yob -8.595201228149247e-06 4.456140429010491e-06 3.877952387549166e-06 -1.3397630263042237e-08 -1.4693778089467505e-12 6.194408626973172e-05 0.0006254282749778768 -5.451308485820378e-05 -0.0003220794345049304 6.857960890937531e-05 -0.0004065182520633131 -5.802977376156994e-05 -1.9729445840955666e-05 0.0006705174120942076 -0.00035128711519899535 -0.00040684751220159836 0.00040713890426465586 -0.00022589031209830932 8.77634996729338e-05 0.00035038268956215975 0.00030816596572698916 2.377915557882533e-05 -0.0002421249156558365 0.00011044348000492703 -0.000476937299727924 -2.3690628389264656e-07 8.607487517727974e-07 -3.99796470911612e-07 -3.155786412023267e-07 -3.2383050592051225e-07 1.315242894270908e-06 6.93673310761676e-07
age 0.0009800640669710102 3.877952387546365e-06 0.00016660275985409128 -5.78316766019519e-06 5.9179288793990847e-08 -0.0001376328568754955 0.0011400337252615573 0.00026749705408748656 -4.024800939795758e-06 -0.001515980669748373 -0.0009203234622923699 -0.0007239249153941876 -0.0007137273870526942 -0.001067669080434642 0.0004940273065141359 -0.0005768787275155356 -0.0002645915529378942 -0.001194484713011749 -0.0003036722784170041 -0.00024393459582795873 -0.00018464692250182602 -0.002636652070079642 -0.0010027986532809032 0.0013931041302784894 0.0005151383042950924 4.8188709090607585e-06 9.978299139874945e-06 -1.1227682283707247e-06 2.0733982584525737e-05 -3.287529469866603e-05 5.922532949569345e-06 -5.880213806227842e-06
age2 -4.1747377814139754e-05 -1.3397630262936677e-08 -5.783167660194678e-06 2.146107053578387e-07 -2.2814680444109335e-09 4.459437183357735e-06 -2.788268280048544e-05 -1.611606055438114e-05 -4.082787162227068e-06 5.784092485866087e-05 1.0368908693215003e-05 1.3324055741548653e-05 1.8433728192912332e-05 5.169706893573869e-05 -3.230042466499205e-05 1.188577521119054e-05 2.235778824304064e-05 4.491330499741229e-05 2.3041973735736816e-05 9.551182550852787e-06 2.5839666219960046e-05 9.973070111252643e-05 1.6322300705041804e-05 -5.627203851720627e-05 -2.279860794210586e-05 -1.6802235950739703e-07 -4.1963057325715017e-07 -1.0646960028693362e-08 -5.985958618588603e-07 1.088279275438614e-06 -7.711262185770037e-08 1.871170219078094e-07
age3 5.006052877778306e-07 -1.4693778101535957e-12 5.917928879398155e-08 -2.2814680444107917e-09 2.4979746593067832e-11 -5.127569071204691e-08 3.195583849296005e-07 1.9287415357841022e-07 -1.737470606127591e-08 -5.794484562967149e-07 -4.610072708182892e-08 -4.352920912941021e-08 -1.4361791788456344e-07 -5.017390721393926e-07 3.227844245162873e-07 -1.4165835455214359e-07 -2.666026102223364e-07 -5.340419494360532e-07 -3.856206984512534e-07 -9.930728090695743e-08 -3.6590838686333346e-07 -1.0696546212948205e-06 -7.170300386707805e-08 6.644024260119789e-07 2.609682183090702e-07 1.6272823642012637e-09 4.972096466957211e-09 -6.04702445963291e-11 5.123807845003022e-09 -1.0484690234729476e-08 4.2541044295961245e-10 -1.5275138821715705e-09
PC_3 -0.003215808123282636 6.194408626973433e-05 -0.00013763285687546655 4.459437183356918e-06 -5.127569071204234e-08 0.8654672161000897 -0.15036168580635115 0.12311013958263338 0.18010633256766237 -0.04014465039450042 -0.021246533644592325 0.029593866910655273 -0.1014462069056598 -0.23226193003364742 -0.032113047892136704 0.16299854075748269 -0.07772330009384137 0.2396816545840763 0.1242279092946948 -0.40460146699880273 -0.09401067432974698 -0.040596945362465185 0.13481605948563347 -0.07478298370454048 0.5100442479774161 -1.3264022765407537e-05 -0.0006886475624901293 -0.0007693551532829071 -0.0004168072759272818 -0.00022089749668311988 -0.00027032853158751166 0.0005059163434130705
PC_4 0.004732707761851615 0.0006254282749778635 0.0011400337252617982 -2.7882682800497026e-05 3.195583849297421e-07 -0.1503616858063516 2.4127280655547123 -0.09710508372460756 0.5756587320900376 -0.2403478485884925 -0.18170910101875326 -0.08963160305218369 -0.007280948537348573 0.06418153922857413 0.21237861661140656 0.43885338389210476 0.03801069665275824 -0.37606006139053044 0.2985901694855384 0.104297498037419 -0.0397396378684 -0.06183661121550333 -0.2147934033684277 0.015458036436603175 0.3580224932962723 -0.0013581680381499603 0.0009114479755871972 4.170389473843935e-05 -0.00025639305417504173 3.3750382427990467e-06 -0.000404683632331465 0.0018831079415368571
PC_5 0.0042391249209023174 -5.451308485821304e-05 0.0002674970540872256 -1.611606055437287e-05 1.928741535783311e-07 0.12311013958263364 -0.09710508372460874 3.4713898418909372 -0.22397181437054237 -0.7232734992575289 -0.5614462167443746 0.5881492244858314 -0.11052950879044332 -0.4954547008120856 0.12864408219214588 0.27855073548307374 -0.3673697656721434 -0.08210417003848423 0.2263212196861754 -0.5024853510313346 -0.41004143075609795 -0.019152209798651156 0.07507884980646659 -0.1949495319674996 0.7649271666061749 0.00034759786979032657 0.0030479418335816323 -0.000997921213256868 -0.0012884562790393193 -0.00296926989285576 -0.002182806303042522 0.0009551241268305901
PC_6 -0.00389311389786505 -0.00032207943450492967 -4.024800939696532e-06 -4.082787162230948e-06 -1.7374706061234e-08 0.18010633256766287 0.5756587320900385 -0.22397181437054173 4.4054218282709385 0.25896645956573655 0.6595574769459875 -0.5830016536430075 0.4349717235863315 0.15036734705127455 0.05217332839588561 0.15773216528924733 0.7744970621864471 -0.6095088488333072 0.43046385995967523 0.6788889144240792 0.13482502424426657 -0.007170594874995359 -0.20921369033623052 0.6938438202230973 -0.4608003878776814 -0.0006992642396264224 -0.0007828162143404863 -0.0011353832397726568 -0.0015893830935121778 0.003664687802168117 3.965303870365574e-06 -2.0127152130947043e-05
PC_7 -0.006428648441209058 6.857960890940397e-05 -0.0015159806697482895 5.784092485866206e-05 -5.794484562967706e-07 -0.040144650394499874 -0.24034784858848962 -0.7232734992575293 0.2589664595657379 5.899807640809551 0.25928196281574073 0.7992846262316039 -0.6344325907676394 0.5805435226794596 0.09644504815701836 0.13210616639490436 0.0054183017248528 -0.6448213030588464 -0.4662170219265505 1.1249224998887883 0.5119042132618907 0.01193393238430529 -0.47255372042489224 0.08114087097666829 -1.1444426586969363 0.0011380392816534015 4.505206554484218e-05 0.0020280882290911093 0.0002873074360085213 0.0015753834345639236 -0.00018548642311967383 -0.0009461582921772328
