 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband
intercept 0.0016778833084369062 -1.0163464490082812e-06 -0.0015243984823264496 2.3509625152325246e-05 -1.1859176703705565e-07 -0.000234213748897705 -0.00028606689707074925 -0.00020017801480225889 -0.00014434088128270175 0.0007503966700731093 -0.00039933056650083353 0.000329628912653154 -0.00039641096372049857 0.0001447950401412636 -0.0003742776605887789 8.117824287376605e-05 -0.00022956150433977617 -6.373403909271932e-05 -0.00033929210117274606 -0.0004723932970273354 -0.0004711547675130898 0.00024001260992191438 -0.0002455692570623782 -0.0006994819723310048 0.0002836638495025198 1.7343460335368555e-06
yob -1.0163464490121462e-06 3.384833435459364e-07 1.5493299233853652e-06 -2.013594779695897e-08 1.0392973954629295e-10 6.7897082811671326e-06 2.472563808676743e-05 6.726657722898682e-06 -3.469726671060914e-05 -1.5575175055554344e-05 -1.483750105088131e-06 1.6785324142625658e-06 -1.3650769278763474e-05 1.8596852717847263e-05 -9.866178312020187e-06 -2.543088278988398e-05 3.308000315965803e-05 -2.8933085725082505e-05 -7.318610044765331e-06 3.530742835940003e-05 1.4464732710931508e-05 1.1479737369908942e-06 -8.388828471079005e-06 2.2057473401070415e-05 -4.650197663983635e-05 -7.251053136154247e-08
age -0.001524398482326787 1.549329923382877e-06 0.0014754638529621683 -2.308485761326954e-05 1.1810653825142379e-07 0.00024138457927405925 0.00035856357557317197 0.0002641171388507997 2.9014414959175736e-06 -0.0005609717457697158 0.0002152268062008748 -0.00019909343946138467 0.00023670916230319043 -0.00018401533976604222 0.0002336076027010553 -2.4399089917447797e-05 9.649253359092082e-05 -9.545596728549435e-05 0.0002627378275667779 0.00042765435820760466 0.00040328864506016454 -0.000265424985993792 0.0001272505497468292 0.0005934749895652283 -0.00016845190975171913 -1.8719528072281395e-06
age2 2.3509625152332978e-05 -2.0135947796908537e-08 -2.3084857613271253e-05 3.629225199004501e-07 -1.865338018489903e-09 -3.4652569984593936e-06 -5.283238167889423e-06 -4.304208246307302e-06 -4.2961929861303644e-07 8.465379311268419e-06 -3.2771214296306292e-06 3.094393581840374e-06 -3.961376650982698e-06 3.3925555926662187e-06 -4.09124532885397e-06 -5.579720162038847e-08 -6.883826872669573e-07 1.0572985207102987e-06 -4.0040009957118605e-06 -6.2983691377729005e-06 -5.679227583906114e-06 4.386583506740084e-06 -2.0910315713355075e-06 -9.273816916133315e-06 1.901401889173995e-06 2.714062005227301e-08
age3 -1.1859176703710016e-07 1.0392973954620139e-10 1.1810653825144175e-07 -1.8653380184900467e-09 9.632128868290793e-12 1.620832496739905e-08 2.704344243103255e-08 2.3390747619806257e-08 1.4673546420283315e-09 -4.19156678045161e-08 1.5506365877198802e-08 -1.5371757295131206e-08 2.085127459553414e-08 -1.8986585126709693e-08 2.183312298298673e-08 9.147315677170908e-10 1.2842665180229153e-09 -5.01206702118438e-09 1.9044630220467893e-08 3.200879147948089e-08 2.6078989533808086e-08 -2.3694675796846613e-08 1.0469430417755277e-08 4.827315666517332e-08 -7.769404529354749e-09 -1.2936213635233528e-10
PC_3 -0.0002342137488974463 6.78970828116639e-06 0.00024138457927375237 -3.4652569984543114e-06 1.6208324967371582e-08 0.06405039767682953 0.001975057795647393 0.0021942900421041186 -0.0048194842303983165 -0.013668758786301423 0.0057476203341985735 0.007818164965097402 -0.010298477626019268 -0.0011977771186473037 -0.0007249262398900058 0.0030437492203335306 0.015199738829247416 0.006351743173826679 -0.006375225062175515 -0.022671099074855913 0.002156835227442414 -0.000666593434142546 0.007718918092122639 -0.0024672090094099695 0.013592636924080878 -4.6203359090111194e-05
PC_4 -0.00028606689707113284 2.472563808676726e-05 0.00035856357557346845 -5.283238167893675e-06 2.7043442431052236e-08 0.0019750577956475124 0.2284361219405891 -0.010139587976957767 0.006974936621012268 0.0005444439135642038 -0.004944406992270399 -0.011274397899179077 -0.0006727268843636734 -0.02120391807142916 0.004859558512251221 0.01894277142857908 -0.029146678108113663 -0.011003737234305703 0.017105939893668477 0.01483135051594722 -0.01008431930438211 0.005540965135647349 -0.007474156762307861 -0.0004940334269716248 0.008781960454774041 9.075706842520328e-06
PC_5 -0.00020017801480266294 6.726657722898429e-06 0.00026411713885113336 -4.3042082463122255e-06 2.3390747619829865e-08 0.002194290042104208 -0.010139587976957746 0.3006841515452239 -0.003571693299347604 -0.0015485526463527395 -0.0012028269162308927 0.004816839613246331 -0.02612211259759786 0.009328262071986287 -0.027313223983063427 -0.022561734955968228 0.0015661094694957621 -0.021105930862824272 0.02025915217039102 -0.03491603490785594 0.013195107949068646 0.008593291780579226 0.0012792981922169092 -0.003196213315893899 0.025019153173726664 -5.445297217006165e-05
PC_6 -0.00014434088128249356 -3.469726671060933e-05 2.9014414957060686e-06 -4.29619298609677e-07 1.4673546420108669e-09 -0.004819484230398348 0.006974936621012227 -0.0035716932993476395 0.3728112874085042 0.011560892848267654 -0.0048811162601372984 -0.017206144585499666 -0.017582508830431817 0.011601043357255439 -0.014434924352151091 -0.00048210909376683895 -0.008800027393556124 -0.035642044969437 0.023100118348530378 0.03759202437800073 -0.009864798782670742 -0.0004850136132754985 -0.009204787862915283 -0.003467511236342653 -0.017462405148541676 1.2936904877924175e-05
PC_7 0.0007503966700733426 -1.557517505555346e-05 -0.0005609717457698202 8.465379311269434e-06 -4.1915667804517974e-08 -0.013668758786301539 0.0005444439135642912 -0.0015485526463526998 0.011560892848267577 0.45837326851417604 0.015132113345982667 -0.01418557686647094 -0.029368631868178705 0.018375456294962622 0.012745904832440457 0.04689390704454075 0.014682546075603271 -0.04275008169897063 -0.02936312273174579 0.04373610885542882 -0.018995447929861943 -0.019874603644669028 0.0036267738360293306 0.008301274782657101 -0.017240615531569605 4.283323356694087e-05
PC_8 -0.0003993305665007592 -1.4837501050885936e-06 0.00021522680620075584 -3.277121429628513e-06 1.5506365877186623e-08 0.005747620334198573 -0.004944406992270481 -0.0012028269162309001 -0.004881116260137261 0.0151321133459827 0.485648462027233 0.0051583221046689895 0.028693684747390036 -0.0016489305953608236 -0.012709316024296886 -0.032030080817508376 0.01216499644929475 0.050716907084337126 -0.02223465056044134 0.01341141678192667 0.027802339417876378 0.012562140416857671 -0.008708119342347952 0.011589755462831973 -0.019934787927877635 -2.867697234991268e-05
PC_9 0.0003296289126530645 1.6785324142629133e-06 -0.0001990934394612563 3.0943935818381237e-06 -1.53717572951184e-08 0.007818164965097373 -0.011274397899179004 0.004816839613246416 -0.017206144585499687 -0.014185576866471017 0.005158322104668991 0.6614105793843208 0.03281297898593409 -0.004999494582968007 -0.0352036000340709 0.016722191589316045 -0.005419301474276526 -0.010897620797155417 -0.02442670295081728 -0.02593090692668602 -0.008610584193927283 0.003617023006030893 -0.003230107743250946 -0.017010293211096057 0.038555800294685964 -1.4551931016005345e-05
PC_10 -0.0003964109637205406 -1.3650769278764057e-05 0.00023670916230318206 -3.961376650982233e-06 2.0851274595530205e-08 -0.01029847762601916 -0.0006727268843636919 -0.0261221125975979 -0.017582508830431786 -0.02936863186817875 0.028693684747390105 0.03281297898593406 0.8231686683666973 0.03487011158238649 -0.03132150435874619 -0.026572034031225825 0.0004865463975562728 0.035687419414491585 0.0038011556332150005 -0.021364634937053182 0.024754246664350065 0.0037215698873165485 -0.014472037421935535 -0.002265116788900516 -0.02403163180963416 6.313082784578875e-05
PC_11 0.00014479504014161085 1.8596852717847307e-05 -0.00018401533976633678 3.3925555926705953e-06 -1.8986585126730833e-08 -0.0011977771186473714 -0.021203918071429177 0.009328262071986317 0.011601043357255406 0.018375456294962733 -0.0016489305953608807 -0.00499949458296795 0.03487011158238623 0.7469379182552247 -0.01784209283764523 -0.015883762870809625 0.021068460148807124 0.05627302530729624 -0.012250121184990404 0.032873670728482345 -0.031081963628916732 -0.01782874649621889 -0.004742541397476492 -0.008892422012139216 0.061938519477914886 5.00609789791452e-05
PC_12 -0.0003742776605888816 -9.866178312020351e-06 0.00023360760270110047 -4.091245328854365e-06 2.1833122982987115e-08 -0.0007249262398899265 0.0048595585122511815 -0.027313223983063448 -0.014434924352151062 0.01274590483244045 -0.012709316024296851 -0.03520360003407093 -0.03132150435874617 -0.017842092837645186 0.8172978219316289 0.040303864647931835 -0.0015010454055834877 -0.019250015906136345 0.005061582847154474 0.039767481079058156 0.03379407308124252 0.01975566894538693 0.023914034155022485 0.024221542305871452 0.006507127158955171 2.0990573020719796e-05
PC_13 8.117824287383647e-05 -2.5430882789883873e-05 -2.4399089917518575e-05 -5.579720161927168e-08 9.147315677112874e-10 0.003043749220333572 0.01894277142857907 -0.022561734955968155 -0.0004821090937668597 0.04689390704454078 -0.03203008081750837 0.016722191589316072 -0.02657203403122586 -0.01588376287080984 0.04030386464793188 0.874139163054228 0.014025591199019308 -0.01875829525303189 -0.02426934956107775 0.03756864519424673 0.036976532323263436 0.007271610239958522 -0.04500407891055335 -0.04031029916922798 -0.01846152888647698 0.00010838060836276375
PC_14 -0.0002295615043396126 3.308000315965785e-05 9.649253359075093e-05 -6.883826872642373e-07 1.2842665180086635e-09 0.015199738829247364 -0.02914667810811371 0.0015661094694958304 -0.008800027393556129 0.01468254607560334 0.012164996449294712 -0.0054193014742765135 0.0004865463975559247 0.02106846014880718 -0.0015010454055835367 0.01402559119901947 0.851596549789103 -0.007925713016514834 -0.0029868615054606173 0.013959611299306665 -0.024412362532233903 -0.006237174216565802 -0.00583122066035846 -0.07127959405772057 0.012921567090210697 -0.00010139096988495207
PC_15 -6.373403909265737e-05 -2.893308572508241e-05 -9.545596728554024e-05 1.0572985207109441e-06 -5.012067021187276e-09 0.00635174317382661 -0.011003737234305708 -0.02110593086282417 -0.035642044969437015 -0.042750081698970606 0.050716907084337175 -0.01089762079715539 0.03568741941449119 0.056273025307296255 -0.019250015906136383 -0.018758295253031975 -0.007925713016514837 1.0374375195383823 -0.04050436205754162 6.55380726579209e-05 0.02820127850657017 0.0033432549846332416 0.012521751347174499 0.00932218535456756 -0.03555941752865228 -7.595536803532455e-05
PC_16 -0.0003392921011724438 -7.318610044765987e-06 0.00026273782756642465 -4.0040009957060126e-06 1.9044630220436255e-08 -0.006375225062175494 0.017105939893668362 0.020259152170390912 0.023100118348530384 -0.02936312273174567 -0.02223465056044134 -0.024426702950817253 0.0038011556332149146 -0.012250121184990312 0.005061582847154395 -0.0242693495610778 -0.0029868615054605857 -0.040504362057541564 1.000192744664883 0.028168128108510406 0.011249023297705765 -0.011053879257059205 0.018886847670486505 0.04206527784988922 0.027220181808728004 -2.435620746943171e-05
PC_17 -0.00047239329702771247 3.53074283593996e-05 0.00042765435820788395 -6.298369137776817e-06 3.200879147949846e-08 -0.022671099074855768 0.014831350515947228 -0.03491603490785602 0.03759202437800079 0.04373610885542875 0.013411416781926727 -0.025930906926686068 -0.02136463493705301 0.03287367072848238 0.0397674810790582 0.037568645194246755 0.013959611299306736 6.553807265791986e-05 0.02816812810851053 1.1036695474572527 -0.06397314834060293 -0.029068995127440374 -0.03309314586214915 -0.024756897962768205 -0.08280930426512567 4.4614213881041265e-05
PC_18 -0.00047115476751278276 1.4464732710930345e-05 0.00040328864505978073 -5.679227583899617e-06 2.6078989533772497e-08 0.002156835227442459 -0.010084319304382278 0.013195107949068972 -0.009864798782670705 -0.018995447929861752 0.027802339417876323 -0.008610584193927245 0.0247542466643503 -0.031081963628916576 0.03379407308124253 0.03697653232326366 -0.024412362532234014 0.028201278506570157 0.01124902329770586 -0.0639731483406032 1.1566023684907438 -0.02299429986773688 -0.021561179397286617 -0.006804523693714882 0.02854414100409663 0.00019984478632497661
PC_19 0.00024001260992221007 1.1479737369911968e-06 -0.00026542498599402216 4.386583506743378e-06 -2.3694675796861674e-08 -0.0006665934341427872 0.005540965135647286 0.008593291780580225 -0.000485013613275571 -0.01987460364466905 0.012562140416857666 0.003617023006030958 0.00372156988731692 -0.0178287464962189 0.019755668945386797 0.0072716102399573886 -0.006237174216565894 0.0033432549846332785 -0.011053879257059295 -0.029068995127440433 -0.02299429986773676 1.1982872951784131 -0.0018049783148592542 0.0068003701282022 -0.005461423604245855 -0.0003809647052108137
PC_20 -0.0002455692570621844 -8.388828471079427e-06 0.00012725054974660854 -2.091031571331885e-06 1.0469430417735829e-08 0.007718918092122642 -0.007474156762307945 0.001279298192216706 -0.009204787862915268 0.003626773836029401 -0.008708119342347952 -0.003230107743250933 -0.014472037421935435 -0.0047425413974764045 0.023914034155022426 -0.04500407891055358 -0.0058312206603584205 0.012521751347174533 0.018886847670486488 -0.03309314586214921 -0.02156117939728659 -0.0018049783148591707 1.139944550937593 0.03164544764377134 -0.021377629007527495 -5.9311192451362974e-05
PC_21 -0.0006994819723313729 2.2057473401069548e-05 0.0005934749895654556 -9.273816916136209e-06 4.827315666518455e-08 -0.0024672090094097947 -0.0004940334269716955 -0.003196213315893897 -0.0034675112363425622 0.008301274782657072 0.01158975546283205 -0.017010293211096143 -0.002265116788900594 -0.008892422012139153 0.024221542305871466 -0.040310299169227806 -0.07127959405772047 0.009322185354567554 0.0420652778498894 -0.024756897962768244 -0.006804523693714701 0.006800370128202241 0.03164544764377144 1.2099608317095256 0.009321095632519422 8.378638678897048e-05
