(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband paternal gpp gmp
(Intercept) 0.00114196429226617 0.000934182835034356 0.000268678578333376 -0.000704162705289389 -2.30088194258379e-05 3.51272466836104e-05 -2.75908973929359e-05 1.08845597022475e-05 5.18945150348467e-06 -4.99194109676553e-07
covarage 0.000934182835034356 0.00180109313451768 0.00166548191283934 -0.00287928508062709 -2.99655843262636e-05 4.86776739014716e-05 -9.83367972285459e-06 6.60027525105487e-06 -5.49198212739792e-05 4.55165382767174e-05
covarsex 0.000268678578333376 0.00166548191283934 0.00282847201431827 -0.00411451723468329 -1.16035797914674e-05 8.74824817926498e-06 4.58407023428514e-06 -7.86740173180069e-06 -2.50202165481428e-05 2.93430489139873e-05
covarage_sex -0.000704162705289389 -0.00287928508062709 -0.00411451723468329 0.00705511933720806 1.21348980385826e-05 3.25206607707526e-06 -1.37327369925577e-06 3.94950178979518e-06 3.20246082639214e-05 -3.14996367516613e-05
covarPC_3 -2.30088194258379e-05 -2.99655843262636e-05 -1.16035797914674e-05 1.21348980385826e-05 0.000411905238643152 -1.17422441124335e-05 -5.24658052065536e-06 -5.65837539595548e-06 1.12956426685251e-05 -2.57508428851228e-05
covarPC_4 3.51272466836104e-05 4.86776739014716e-05 8.74824817926498e-06 3.25206607707526e-06 -1.17422441124335e-05 0.000409906015083357 -5.67360921910992e-06 5.35056733084272e-06 1.24930958113491e-05 -1.46144527573858e-05
proband -2.75908973929359e-05 -9.83367972285459e-06 4.58407023428514e-06 -1.37327369925577e-06 -5.24658052065536e-06 -5.67360921910992e-06 0.000482366686909889 -0.00024060711307069 -1.0833456233936e-05 -6.80869083832517e-06
paternal 1.08845597022475e-05 6.60027525105487e-06 -7.86740173180069e-06 3.94950178979518e-06 -5.65837539595548e-06 5.35056733084272e-06 -0.00024060711307069 0.0024832782614164 -0.0020785428075043 -0.00185434674620841
gpp 5.18945150348467e-06 -5.49198212739792e-05 -2.50202165481428e-05 3.20246082639214e-05 1.12956426685251e-05 1.24930958113491e-05 -1.0833456233936e-05 -0.0020785428075043 0.00680911192516944 -0.00271303583325516
gmp -4.99194109676553e-07 4.55165382767174e-05 2.93430489139873e-05 -3.14996367516613e-05 -2.57508428851228e-05 -1.46144527573858e-05 -6.80869083832517e-06 -0.00185434674620841 -0.00271303583325516 0.00638657996871663
