 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal
intercept 0.0016780989264907568 -1.0176054084410364e-06 -0.0015246271532751308 2.3513275949558458e-05 -1.1861092593592353e-07 -0.00023649532909092913 -0.0002852750533771792 -0.00020090227840858604 -0.00014382085318316386 0.0007555510908452514 -0.0003994428630896057 0.0003303448099218932 -0.00039280823217712954 0.00014960938874447014 -0.00037304183991292215 8.240279021742738e-05 -0.0002284321814927494 -6.641179532341342e-05 -0.0003438781610897302 -0.00046872384813618383 -0.00046964163176031883 0.00023606491279011942 -0.00024537980251735205 -0.0006993190835164041 0.00027511536586886703 -6.542125463252729e-07 3.888007402182261e-06 1.2124096300572501e-06
yob -1.017605408441439e-06 3.385616401370868e-07 1.5521131600134778e-06 -2.0182044314695248e-08 1.0418002058312466e-10 6.839462239000732e-06 2.473678926928741e-05 6.7700098222459265e-06 -3.47206755190991e-05 -1.569378226371818e-05 -1.4580921065510892e-06 1.682926733611452e-06 -1.3692724761860228e-05 1.850979380148756e-05 -9.864548339397769e-06 -2.5500495575430434e-05 3.31379932295852e-05 -2.8926190057892303e-05 -7.232773277388236e-06 3.5372336661816825e-05 1.4496253323056876e-05 1.2270374265735799e-06 -8.332193437644025e-06 2.203282915975649e-05 -4.641007781027143e-05 -3.857127621566431e-08 2.733998706566348e-08 -1.0045807772560062e-07
age -0.001524627153275568 1.5521131600128461e-06 0.001475732462323431 -2.3089181113276085e-05 1.1812941190729195e-07 0.000244437202479487 0.0003580007055253592 0.0002655721869320295 1.993717817149061e-06 -0.0005679994674775811 0.00021580643018852174 -0.00019969675683554464 0.00023254065988980832 -0.00019014340861621604 0.00023246223658092815 -2.6800069285878962e-05 9.645837575417465e-05 -9.275691396458875e-05 0.00026862408162026233 0.00042532910135887134 0.00040240297245873143 -0.0002602770100926136 0.00012808093452094273 0.0005928837815569846 -0.00015868382834554945 1.0040408314760321e-06 -3.2121024092069876e-06 -2.9405808822761117e-06
age2 2.3513275949567904e-05 -2.018204431467059e-08 -2.308918111327823e-05 3.6299217074231144e-07 -1.8657068296412012e-09 -3.514744417409447e-06 -5.274480749338088e-06 -4.328154933073624e-06 -4.1473530870971884e-07 8.579422997697523e-06 -3.2868348290509033e-06 3.1038911853161056e-06 -3.894266027543771e-06 3.4916991668541164e-06 -4.073034055854066e-06 -1.629167850489238e-08 -6.889385108438957e-07 1.0141708366404923e-06 -4.099249463781603e-06 -6.262620360697289e-06 -5.6657068608723556e-06 4.303226581248004e-06 -2.1053246890202476e-06 -9.263928118472973e-06 1.744221315509844e-06 -1.9253791477129723e-08 5.0583737295594643e-08 4.867824321058925e-08
age3 -1.186109259359823e-07 1.0418002058304454e-10 1.181294119073137e-07 -1.8657068296413716e-09 9.634083470537106e-12 1.6472168505528487e-08 2.6998669263124544e-08 2.3520302375540725e-08 1.3871053773087407e-09 -4.252424918877557e-08 1.5559766196254893e-08 -1.542088198859314e-08 2.0495937816765595e-08 -1.9514104431936433e-08 2.173788139754247e-08 7.010642987157638e-10 1.2930232374529236e-09 -4.7854785492674644e-09 1.9551529458337314e-08 3.182838051248138e-08 2.6011307868056397e-08 -2.325072479453044e-08 1.0549960354948414e-08 4.821878401962321e-08 -6.9375102272800535e-09 1.1678344096328313e-10 -2.61884647264258e-10 -2.6479898943510404e-10
PC_3 -0.00023649532909072446 6.83946223900039e-06 0.00024443720247921733 -3.5147444174048907e-06 1.6472168505503407e-08 0.06408980318974804 0.001971615562037278 0.0022194986457584696 -0.004834023367999006 -0.013768916387839846 0.005759729831308392 0.007813154659927546 -0.010350685595204842 -0.0012819299297930915 -0.0007363323274290524 0.0030028973405527445 0.015213099949503449 0.006381473471451146 -0.006294105232505765 -0.022678632769763875 0.00215515768788152 -0.0005946679042982008 0.007741178031258982 -0.0024794962358938534 0.01371509516907126 -8.587735258806079e-06 -2.62053861118405e-05 -5.438455343358178e-05
PC_4 -0.0002852750533776787 2.473678926928738e-05 0.000358000705525748 -5.274480749343712e-06 2.6998669263150964e-08 0.0019716155620374018 0.2284306651977427 -0.010134659769195545 0.006973126619023289 0.000549877122756761 -0.004939557819002692 -0.011269105713932295 -0.0006595982483952695 -0.021192365036425364 0.0048676474779145995 0.018934972614513036 -0.029127070396634085 -0.011017611714886707 0.017095601006469955 0.014866912127759844 -0.010067944337231245 0.005533916775562225 -0.007460772270691079 -0.0004980298883188686 0.008749941250756406 1.9057688858556987e-06 2.9482207638596214e-05 -1.431038927009658e-05
PC_5 -0.0002009022784090129 6.770009822245848e-06 0.00026557218693236086 -4.328154933078432e-06 2.3520302375563264e-08 0.002219498645758574 -0.01013465976919553 0.3006898686815535 -0.0035834270591375388 -0.0016091593537746905 -0.0011899230563972324 0.004818878195493509 -0.026142948105897817 0.009283067804933204 -0.027312061787249195 -0.022594598959020086 0.0015934449687735478 -0.02109933985736268 0.020303159042319364 -0.034885744226202095 0.013208913066643783 0.008633342046509949 0.0013065910657664472 -0.0032080039139353645 0.025068913537463097 -3.6718674723437545e-05 1.1102785194025486e-05 -4.928620371056437e-05
PC_6 -0.00014382085318265648 -3.4720675519099615e-05 1.9937178166442832e-06 -4.1473530870175334e-07 1.3871053772676275e-09 -0.004834023367999078 0.00697312661902316 -0.0035834270591376216 0.3727972238555587 0.011596017277284949 -0.004887009878960549 -0.017206497140064232 -0.017566792376697633 0.011628243554944023 -0.014433645632544158 -0.0004641544595402572 -0.008812422083415069 -0.03564543861636968 0.023073148156450354 0.03757868010869637 -0.009870947607024066 -0.0005091554586628405 -0.009218344610390079 -0.0034604850323844976 -0.017494947676583685 1.8413583325933228e-06 -2.5019617999230566e-06 2.6357426527743086e-05
PC_7 0.0007555510908451451 -1.5693782263717172e-05 -0.0005679994674773172 8.579422997692437e-06 -4.2524249188745954e-08 -0.013768916387839909 0.0005498771227569837 -0.0016091593537745428 0.011596017277284753 0.4585827637514963 0.01510197775194408 -0.014174075100793469 -0.029246590509924703 0.018570657529998532 0.012769491144762382 0.046990224215169955 0.014645187109287791 -0.04281450301826728 -0.02955132499858575 0.043745518533586554 -0.018994095024378644 -0.020041035577009706 0.0035705136678213217 0.008332318034848145 -0.017520187710794246 -4.382063514216015e-05 5.4638822575956366e-05 0.00013106745546337712
