(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband maternal gmm gpm
(Intercept) 0.000777140756206346 0.000614857622182077 0.00017129707173709 -0.000447741414882439 -1.04019302411479e-05 3.2243690890977e-05 -2.1124818101512e-05 1.29731675264444e-05 -2.05739949769383e-05 -8.03886997084653e-06
covarage 0.000614857622182077 0.00123723464863882 0.00117885138183167 -0.00198329928400728 -1.44213981634364e-05 2.89524412190043e-05 -5.47575872014195e-06 -1.01396352887977e-05 6.78450405321879e-06 5.5458624036284e-06
covarsex 0.00017129707173709 0.00117885138183167 0.00202946257317554 -0.00287951584305105 -1.09009488453513e-05 6.57265255267749e-06 3.0342798293744e-07 -1.47130997449079e-05 3.36664173525305e-06 2.52537437336701e-05
covarage_sex -0.000447741414882439 -0.00198329928400728 -0.00287951584305105 0.00484658486560831 1.0911563003139e-05 9.52720791272035e-06 -9.82419446797829e-06 9.99184689276217e-06 2.19421142283684e-06 -1.71815346822708e-05
covarPC_3 -1.04019302411479e-05 -1.44213981634364e-05 -1.09009488453513e-05 1.0911563003139e-05 0.000304508060518494 -3.45123497810855e-06 -4.15803565600263e-06 -4.29501384782914e-06 -4.14072093526439e-06 -2.8202257705045e-06
covarPC_4 3.2243690890977e-05 2.89524412190043e-05 6.57265255267749e-06 9.52720791272035e-06 -3.45123497810855e-06 0.000320304495185452 5.96992532869971e-08 -5.24309645901912e-06 6.2569827036203e-06 2.67376656192747e-06
proband -2.1124818101512e-05 -5.47575872014195e-06 3.0342798293744e-07 -9.82419446797829e-06 -4.15803565600263e-06 5.96992532869971e-08 0.000363344621474182 -0.000185689336600825 -1.25277243611519e-05 5.23251603534642e-06
maternal 1.29731675264444e-05 -1.01396352887977e-05 -1.47130997449079e-05 9.99184689276217e-06 -4.29501384782914e-06 -5.24309645901912e-06 -0.000185689336600825 0.00168334170388789 -0.00128453657247027 -0.00132941630129858
gmm -2.05739949769383e-05 6.78450405321879e-06 3.36664173525305e-06 2.19421142283684e-06 -4.14072093526439e-06 6.2569827036203e-06 -1.25277243611519e-05 -0.00128453657247027 0.00351247994373827 -0.000954904502766927
gpm -8.03886997084653e-06 5.5458624036284e-06 2.52537437336701e-05 -1.71815346822708e-05 -2.8202257705045e-06 2.67376656192747e-06 5.23251603534642e-06 -0.00132941630129858 -0.000954904502766927 0.0035814802081425
