 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal
intercept 1.1625598644741483e-05 3.5328728899532834e-08 -4.618766415886478e-06 -2.7945093903665843e-05 1.7381021383968977e-06 8.953730439910021e-08 -5.300798260162558e-10 -3.3976176663738574e-08 2.1048883192445531e-10 -5.376795040779702e-06 2.6374171738260167e-06 2.906276181140267e-06 -3.5364927461287195e-05 5.6748629522942475e-05 -7.436749386127474e-05 4.87983079555597e-05 -4.591695335908443e-05 -9.919237159413257e-06 -8.491243727125876e-05 -1.0960809486265904e-05 -1.609061890384679e-05 -5.567789232300377e-05 5.679930228368131e-06 -3.7414562723097325e-05 -9.744773759251904e-06 6.540215690609809e-06 -4.778338954104478e-05 -5.7142809937087365e-05 7.663973373415425e-05 2.80061457768361e-07 -8.230783029394945e-08 -2.3956397088075736e-07
yob 3.53287288996717e-08 1.0782557942370696e-07 2.2368372043162903e-07 8.907820648877675e-07 -7.814784301870796e-08 -1.7547069306358924e-09 5.5176203131121054e-12 1.241381614488997e-09 -4.7505639137080845e-12 1.0945680865263284e-06 7.678290778259659e-06 5.059130583524658e-07 -7.430211620574718e-06 -2.024891894356532e-06 -3.454092577390725e-06 3.038030202731233e-07 -2.9343321186577082e-06 5.556178721077192e-06 -2.1914607214183197e-06 -4.77674067681713e-06 6.446754501898373e-06 -5.783261043008917e-06 -2.417617323265199e-06 9.316740995690654e-06 3.1064451778226607e-06 3.044559502903792e-07 -2.2000642986688894e-06 3.3493399777732533e-06 -1.3020743444879207e-05 -2.6728908406390416e-09 -5.1938595119251535e-09 -1.6810382976060605e-08
age -4.61876641584433e-06 2.2368372043429142e-07 5.608815601025912e-05 0.0008423016320597908 -5.547443404319584e-05 -1.11470481097382e-06 6.9180159852325195e-09 1.1074751324768679e-06 -6.878511650332047e-09 7.6214973935685615e-06 1.5990241335209334e-06 -6.169802834812278e-06 -3.111878348816604e-05 1.0150934700950558e-05 1.9386028395819892e-05 7.173396786908849e-06 2.837966066796086e-06 1.3221439852306405e-05 1.4998176298184894e-05 -7.416840959744772e-06 -1.8176975537075474e-05 -9.55981741438254e-06 -3.72951078280266e-05 1.7332022516369495e-05 1.692893848273564e-05 -6.144008558611591e-06 -3.7231516514527455e-05 -3.182305050859701e-05 -7.6311474241041e-06 -2.475000852407393e-07 2.5444230990911552e-08 3.424962782671729e-07
sex -2.7945093904498914e-05 8.907820649269091e-07 0.0008423016320602304 0.02155203542392203 -0.0013896284129653836 -1.6462949381209704e-05 1.0070891197763312e-07 2.7368758810460636e-05 -1.6828310768351032e-07 7.715994367339641e-05 0.00018829018726802485 -5.611456317582633e-05 2.0865091150343154e-05 5.028529121220724e-05 0.00024481890841910686 0.00015262452007680437 -3.0064278150471987e-06 0.00043578889811540366 0.0002028482033558571 -0.0003733411706541558 3.076779786308573e-05 -0.0001664217107471555 -9.393813672973167e-05 1.5951789276250033e-05 0.0004027306016627312 0.0005344816439026167 -0.0003572097759388019 -0.0002146722248656602 -0.0003272273963667604 -5.201800977370311e-06 -1.2225576171390428e-06 8.457118664050671e-06
age_sex 1.738102138380371e-06 -7.814784302175227e-08 -5.547443404325199e-05 -0.0013896284129659687 9.209824604855654e-05 1.106106511906315e-06 -6.871954450132332e-09 -1.8505807808650447e-06 1.1556191239097773e-08 -5.965931057964628e-06 -4.768443757377054e-06 1.2645237750551089e-05 -3.0944765158521915e-07 -3.3292482652512366e-06 -2.330686695126736e-05 -9.543923842233741e-06 -4.50966670591918e-06 -2.392690211463357e-05 -1.622451050037673e-05 2.183457278501259e-05 -1.8658879584917921e-06 1.2235159068053634e-05 8.762963291708609e-06 2.586016835029346e-06 -2.4377267786546065e-05 -3.331201064000374e-05 2.8068780653718392e-05 1.644826873194165e-05 1.7353091526576026e-05 3.153915377696072e-07 -2.0449499662028313e-08 -5.067253367649501e-07
age2 8.953730439846917e-08 -1.7547069306824945e-09 -1.1147048109742003e-06 -1.6462949381208867e-05 1.1061065119057422e-06 2.260406577044566e-08 -1.4246143202845635e-10 -2.2469018433922197e-08 1.4165280783847674e-10 -5.4282368678211744e-08 3.610310626509246e-07 2.762359473156021e-07 4.793898098076722e-07 -1.6045911034726675e-07 -5.373062747165047e-07 -1.7171626696704088e-07 -2.4836454135776e-07 -3.5357541871580055e-08 -4.7151792082338813e-07 -8.139677290520907e-08 5.036780713292353e-07 2.5614771654434236e-09 7.961430466190651e-07 -4.016186351149468e-08 -1.7175738532307604e-07 2.1195470671644494e-07 6.940615693254208e-07 6.907767404869317e-07 -3.570975254986558e-07 3.83893095840688e-09 -1.0779564969908786e-09 -6.681357146995545e-09
age3 -5.300798260123748e-10 5.517620313394405e-12 6.918015985236716e-09 1.0070891197766925e-07 -6.871954450131496e-09 -1.4246143202849298e-10 9.100090260652335e-13 1.4163134380654231e-10 -9.048107963608602e-13 -2.9654068891185984e-10 -3.3037513972583784e-09 -2.4195086347617474e-09 -3.1876367732423733e-09 9.839975020013976e-10 3.49157634139453e-09 1.2299788134066615e-09 2.2281978702822378e-09 -5.274156113002755e-10 3.4142218027441634e-09 1.2741229943874138e-09 -3.3544924593203783e-09 3.8245454557708823e-10 -5.663595387043908e-09 -6.036802183415508e-10 3.628393131293726e-10 -1.8225462985109774e-09 -4.372308041214712e-09 -4.229767320009208e-09 4.024519087039163e-09 -1.7049126272642324e-11 8.196666245531854e-12 4.0238863195112504e-11
age2_sex -3.397617666324416e-08 1.2413816145592e-09 1.1074751324784885e-06 2.7368758810483225e-05 -1.8505807808657637e-06 -2.2469018433943307e-08 1.4163134380661878e-10 3.783200969445836e-08 -2.397545127039898e-10 1.1444032475424705e-07 -1.4523144920251579e-08 -3.8846168426150654e-07 -1.2539235101882204e-08 5.159419304682315e-08 5.721080837624195e-07 1.9187987743934442e-07 1.4497310547279687e-07 3.9837237423140244e-07 4.1240388742494815e-07 -3.212382343459745e-07 4.588780918853317e-08 -2.438040274529063e-07 -2.580632829649136e-07 -1.3186239260583675e-07 4.719608131369577e-07 6.005605058090524e-07 -6.231653401572882e-07 -3.512204277580848e-07 -2.618577840224657e-07 -5.752924701771925e-09 1.6364192458273833e-09 9.539626925886711e-09
age3_sex 2.1048883192739785e-10 -4.7505639141010446e-12 -6.878511650344766e-09 -1.6828310768371223e-07 1.1556191239106286e-08 1.4165280783866224e-10 -9.048107963616711e-13 -2.397545127040707e-10 1.540157460391816e-12 -5.29548911437354e-10 6.235693342203695e-10 3.1020994236980513e-09 2.0980556683889862e-10 -1.782647142987172e-10 -4.066392229636956e-09 -1.1328512436771998e-09 -1.1659897575536158e-09 -2.109070235456893e-09 -3.1513009650422467e-09 1.2860504442352344e-09 -3.531379597591459e-10 1.5296831369015785e-09 2.129566289911158e-09 1.1671687777008593e-09 -2.9482970401950805e-09 -3.3044456960555706e-09 4.217894170213138e-09 2.000815349872338e-09 1.2484650665741584e-09 3.171106030062498e-11 -1.476295618711323e-11 -5.661237027287025e-11
PC_3 -5.376795040775175e-06 1.0945680865265035e-06 7.621497393534377e-06 7.715994367263493e-05 -5.965931057910666e-06 -5.428236867748137e-08 -2.9654068891664446e-10 1.144403247530956e-07 -5.295489114298021e-10 0.028505476170253827 0.000502207651313996 0.0016499315694014775 -0.0005149833243669889 -0.004398069973019396 0.0020051797725885822 0.0035307490501532432 -0.004593348280123957 -0.00045462763008530976 -0.00179853362974303 0.0010325803095473298 0.005466117736096655 0.0031792503990475795 -0.0020627910846986713 -0.010788376213989025 0.0006580358296172487 -0.0007880044328718627 0.0037445954645656866 -0.0009117168431135189 0.005625976824759248 -2.342058481320416e-06 -1.975314636683604e-05 -1.8712730335856566e-05
PC_4 2.6374171738409892e-06 7.678290778259203e-06 1.5990241333196868e-06 0.000188290187263826 -4.768443757096987e-06 3.6103106265496366e-07 -3.3037513972836385e-09 -1.452314492591434e-08 6.235693342559416e-10 0.0005022076513139775 0.09588881411546002 -0.00214895702461327 0.006401024706391181 -0.002679156055126149 -0.000840957718481123 -0.003439191076407964 -0.00030654320552588976 -0.006505228299439241 0.0018300081001852205 0.0055613803257141044 -0.009047071329087851 -0.006492623917380617 0.007133008311429517 0.005626625094043454 -0.004161894577185651 0.0018641787845276418 -0.004367610850885735 -0.00033404483681749223 0.0041049964381544134 1.748173600829359e-07 8.818782519970147e-06 6.5110490501608844e-06
PC_5 2.906276181153591e-06 5.059130583516721e-07 -6.169802834963183e-06 -5.611456317912845e-05 1.264523775076515e-05 2.762359473185378e-07 -2.4195086347796336e-09 -3.884616842657184e-07 3.1020994237238465e-09 0.0016499315694014532 -0.002148957024613315 0.12570924869481195 -0.0027642847659898663 -0.0044313475811990095 -0.001753588944145392 0.0053568580831004475 -0.008886288101855438 -0.002034686410494127 -0.009835807181935025 -0.006396190894783776 -0.0009433002793564408 -0.008819017955967965 0.007109547280777751 -0.016373063915732938 0.005287782598538011 0.003204341186107507 -0.0019021075689549711 -0.0019040236175508678 0.00991472468609332 -1.0525505384322999e-05 7.589904682113547e-06 -1.8820258698211097e-05
PC_6 -3.536492746129497e-05 -7.430211620574724e-06 -3.1118783487943085e-05 2.0865091155323633e-05 -3.094476519169615e-07 4.793898098031806e-07 -3.187636773214247e-09 -1.2539235095184687e-08 2.098055667968896e-10 -0.0005149833243669828 0.00640102470639115 -0.002764284765989925 0.15997544979961728 0.003578218486404091 0.0035452033659333047 -0.005934264752600571 -0.004815877332537089 0.0042167173678609015 -0.007428443924259267 0.0008002861953890791 0.0008732328401238435 -0.013616273229496165 0.007970460379085068 0.013218167156323532 -0.003190375725852966 0.0002162529707741321 -0.008095776614051895 -0.0015757587145978865 -0.005746280116369301 2.7935200506275626e-06 -3.255101210069922e-07 1.9816375784102523e-06
PC_7 5.6748629522950735e-05 -2.0248918943568075e-06 1.015093470058472e-05 5.0285291202799074e-05 -3.329248264619921e-06 -1.6045911033989092e-07 9.839975019551387e-10 5.1594193034003725e-08 -1.7826471421792056e-10 -0.004398069973019381 -0.0026791560551261595 -0.004431347581198867 0.00357821848640405 0.2015394307159253 0.0062787322231394474 5.360470989460631e-05 -0.008415932388450354 0.008082088834570938 0.007553047606943541 0.017569472715723806 0.005815963886085285 -0.01974308650731605 -0.012414382539691855 0.01700687960118881 -0.007553042345842307 -0.006286423748788402 -0.0023009955462156262 0.007849816370771695 -0.009544705236275163 -3.6934025568941763e-06 5.4622798787849084e-05 2.9723196099362947e-05
