 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gpm gmp gmm
PC10 -1.218762848994544e-06 1.6178610589910266e-07 3.6946439199807876e-08 -1.224046091578192e-07 3.5116248303067015e-07 -4.697700190947741e-07 6.625228312380666e-08 -1.3551251499000948e-07 3.938803406031536e-07 -2.0392612625352602e-07 1.2672598922659446e-05 -4.910410324697707e-07 -2.1233144193547063e-08 -3.031643234898362e-07 -4.806096130939136e-08 1.900319249057041e-07 -3.5687139359498746e-07 9.994264773181818e-08 1.7298095089647078e-07 4.700138977494092e-07 1.422060761287102e-07 4.3072002165751155e-07 -1.017921021732605e-06 2.2526642918229834e-06 1.0722533683435682e-05 -8.988937195091294e-06 -5.030058158475578e-06 1.7682958830799905e-06
PC11 4.912572925358653e-07 -3.203927807371882e-08 -9.224527272772313e-08 3.832588176124432e-07 2.952268602811666e-07 -9.311735678091336e-07 -3.486288665088591e-07 1.3035377742517334e-06 -8.346930861988283e-07 -7.5586159717407e-08 -4.910410324697707e-07 1.2314456251465771e-05 2.031397755445542e-08 -2.0846345692196534e-07 -4.877898993677912e-07 4.275769633548187e-07 2.5806339345170154e-07 4.470487736256677e-07 1.2835499743476248e-08 6.356702926412373e-07 2.1219392178513094e-07 2.1096588756970534e-06 -9.666470220504475e-06 -4.88725140107291e-06 1.2421259451851566e-05 3.1158845536936063e-06 2.424273490125621e-06 -3.768149000967544e-06
PC12 -7.811628720427261e-07 5.785548778895222e-07 -1.082640843502005e-06 3.6288159575071494e-08 -9.981752819881523e-07 5.509148940719889e-07 -9.069947201543138e-08 4.0953295243521167e-07 2.787013897810929e-07 -4.772218994149584e-07 -2.1233144193546544e-08 2.0313977554455533e-08 1.1201005072320548e-05 5.309954833010373e-08 1.8189854540013447e-08 -4.3326021991691836e-07 2.771785024379838e-07 -1.6767383803070433e-07 -1.3368064473996253e-07 -1.9545917628287465e-07 -6.230296503196637e-07 4.7613183841726755e-07 -6.75667038199749e-06 3.663708881855833e-07 6.043807389157043e-06 1.2679189686395911e-06 1.7253717926297815e-06 -4.483431919887614e-06
PC13 -1.524445856471335e-06 -2.5559315493498996e-08 8.337604322817111e-07 -7.126434362016603e-07 -6.896676927741972e-07 -1.3879454697389697e-06 -1.6338248185332624e-07 2.720097712690837e-07 -9.337913468231866e-08 1.3216157948417726e-07 -3.031643234898364e-07 -2.0846345692196502e-07 5.309954833010363e-08 1.1628672314922856e-05 -6.705620109519691e-07 1.0112595300890938e-06 2.1908251236063196e-07 1.8676188071615985e-07 -1.823193028953371e-07 1.193740679998804e-08 2.0125197898474527e-07 1.341008099042217e-06 1.0562908114584648e-06 -1.4293970898970388e-06 4.494791464542047e-06 3.1036947054344358e-06 5.794119640896155e-07 7.376418402455329e-06
PC14 -2.016208114588133e-06 -3.0006245530834065e-07 -9.72519286340322e-07 7.148780429953125e-08 5.6394580817079356e-08 5.21880015529771e-07 -2.563524272769854e-07 -4.508641919087293e-07 -5.475762964507623e-07 -8.849986134327357e-07 -4.806096130939112e-08 -4.877898993677915e-07 1.81898545400137e-08 -6.705620109519692e-07 1.2087273230237395e-05 -1.8084243361174388e-07 1.0667705759124005e-07 -3.6137432372590815e-08 1.795678369503832e-07 -1.0372682017631287e-07 4.030077832038789e-08 -9.667695405455822e-07 2.825523794024073e-07 1.0737848405040191e-07 4.226939348451076e-06 -8.26907549776058e-06 7.838522383083676e-06 -4.897970135380416e-06
PC15 -2.031628014082885e-06 -6.925022182251205e-07 1.409107329191914e-08 -9.636495763111982e-09 -6.55783274900162e-08 7.860901350300335e-08 -1.3008276082217252e-07 -4.91637049685465e-07 -4.650420075102672e-07 4.00394622120245e-07 1.9003192490570454e-07 4.275769633548187e-07 -4.332602199169182e-07 1.011259530089094e-06 -1.8084243361174406e-07 1.1458698391941976e-05 4.5442084461252087e-07 -7.487103836556308e-07 -1.4655104188007318e-07 -1.791635377316602e-07 5.755598942273465e-08 4.884177463972618e-06 -1.0389938108976387e-05 -9.202633124685278e-07 3.3561954420370157e-06 1.1055232598620506e-05 2.164929921970789e-06 -2.1621114819210035e-06
PC16 5.724042909436545e-07 -6.702689521316402e-07 2.1455571588251738e-07 2.535488206516268e-07 5.142586779138852e-08 -7.211035139788115e-09 -1.0119872068212982e-07 9.702584377580412e-08 3.0524827511959544e-07 3.43273086489742e-07 -3.5687139359498767e-07 2.5806339345170176e-07 2.771785024379837e-07 2.190825123606322e-07 1.0667705759123981e-07 4.5442084461252103e-07 1.1730733972178341e-05 -5.272058533504473e-07 4.618577429778475e-08 -6.448110535709325e-07 -2.2661742793313944e-07 2.900340197098704e-07 -8.22820689669776e-06 5.076468203284998e-06 4.4108670733618845e-06 1.431361558941249e-06 -2.2977150002972568e-07 -4.0605189960643485e-06
PC17 -1.9428625884103806e-06 2.550428800808546e-07 6.536043394614686e-07 -4.375373439936137e-07 1.8413408202409837e-08 7.530448033155586e-07 2.897672514619966e-07 -4.791371189346303e-07 1.7129520897965283e-07 5.117137183751686e-07 9.994264773181816e-08 4.470487736256679e-07 -1.6767383803070449e-07 1.867618807161604e-07 -3.6137432372591066e-08 -7.48710383655631e-07 -5.272058533504475e-07 1.058221604512358e-05 3.2377048683599453e-07 -1.4860656775980223e-07 1.5982287866348736e-07 -6.011516700626832e-06 6.160262792783961e-06 -3.355293024702865e-06 1.488059402688001e-06 2.860583373627602e-07 9.036003126432162e-08 2.7148322523252915e-06
PC18 -8.317025878998942e-07 -2.819531673757415e-08 2.216028407036693e-07 -5.543862301059269e-07 -4.843080440247772e-07 -1.6099131361705285e-07 -4.25180953601114e-07 6.906301456472113e-08 -8.398073346934718e-07 -5.350942001643408e-07 1.7298095089647038e-07 1.2835499743476518e-08 -1.3368064473996266e-07 -1.8231930289533737e-07 1.79567836950383e-07 -1.465510418800733e-07 4.6185774297784936e-08 3.2377048683599453e-07 1.0544609028792608e-05 -2.1478171387647315e-07 5.174879424755329e-09 -2.580957252833839e-06 -1.8807631048417888e-06 1.839684056445399e-06 -5.339264525538846e-06 1.4511216520561603e-06 4.93067027347377e-06 -5.688219029906916e-06
PC19 1.5486673688994036e-06 1.4949480351947075e-07 -5.693521712200318e-07 4.2151094652293735e-07 -1.5703745478000774e-07 2.7803415405456855e-07 -2.24470764466622e-07 5.570140015945392e-08 -2.3352222689515217e-07 -2.5134435636898836e-07 4.700138977494093e-07 6.356702926412374e-07 -1.9545917628287455e-07 1.1937406799988044e-08 -1.0372682017631291e-07 -1.791635377316603e-07 -6.448110535709326e-07 -1.4860656775980255e-07 -2.1478171387647305e-07 1.072727969388147e-05 6.366253639540204e-07 5.845577019642406e-07 2.452741390282382e-06 -3.3816730363006414e-06 -4.332392219564556e-06 -3.3659228291941945e-06 -3.831086628867125e-06 7.83628895632204e-06
PC20 -8.291873599542218e-07 7.176782069264321e-08 -4.0465585474364884e-07 1.1754325616755291e-07 9.15335702255684e-08 -1.3024574548112188e-07 -5.060274682781857e-07 -4.800312658969123e-07 1.6213356809237353e-07 -7.254948933836813e-07 1.422060761287103e-07 2.121939217851308e-07 -6.23029650319664e-07 2.0125197898474508e-07 4.0300778320387936e-08 5.7555989422734876e-08 -2.2661742793313934e-07 1.5982287866348741e-07 5.174879424755333e-09 6.366253639540196e-07 9.939602666927425e-06 -2.4947310021239705e-06 2.211607677814281e-06 -4.5813496037828364e-06 6.375519427265941e-06 1.0574683634615565e-06 -2.525638331583776e-06 9.891332475598131e-06
proband 1.2904037268825205e-05 3.701513703924855e-07 -6.359049014340338e-06 4.111205200313066e-07 -1.863490799637741e-06 -1.984300354256694e-06 5.951996702725594e-07 -8.633223287574468e-07 2.7266087861789144e-07 -2.1681804639333844e-06 4.3072002165751155e-07 2.109658875697057e-06 4.761318384172656e-07 1.3410080990422125e-06 -9.66769540545585e-07 4.88417746397262e-06 2.9003401970987023e-07 -6.011516700626839e-06 -2.5809572528338335e-06 5.845577019642407e-07 -2.494731002123968e-06 0.0009964287647710051 -0.0005402077114717906 -0.0004898130552120129 2.417951643160299e-05 5.7353378763500833e-05 -6.794231221142451e-06 -1.0915624748822872e-05
paternal 1.3550538380762471e-05 5.464070597214654e-06 4.057009131146377e-06 4.6301333088092765e-06 4.92193209228711e-06 -4.883837594092127e-06 -1.6583484106980442e-06 -3.855220302491658e-06 4.592788555057297e-06 6.2648796187477144e-06 -1.0179210217326023e-06 -9.666470220504478e-06 -6.7566703819974915e-06 1.0562908114584729e-06 2.8255237940241307e-07 -1.0389938108976399e-05 -8.228206896697769e-06 6.160262792783973e-06 -1.8807631048417985e-06 2.4527413902823854e-06 2.2116076778142845e-06 -0.0005402077114717905 0.0018913676929038848 0.00039614535804951965 -0.0012562559928944168 -0.001020972075606253 8.991822808131717e-05 -9.36076790729887e-05
maternal -1.5676203258383276e-05 4.910256044648729e-06 1.4889423127675651e-05 3.7766805695554176e-06 6.539097045639731e-07 2.134237914478698e-06 9.883447587142587e-07 6.60615518504874e-06 -2.053309836080169e-06 8.264833417232947e-06 2.252664291822982e-06 -4.887251401072907e-06 3.6637088818559737e-07 -1.4293970898970426e-06 1.0737848405040457e-07 -9.202633124685364e-07 5.0764682032850016e-06 -3.35529302470286e-06 1.8396840564453997e-06 -3.3816730363006478e-06 -4.581349603782843e-06 -0.0004898130552120128 0.0003961453580495198 0.0017662189170645208 8.321827380897146e-05 -0.00022812611663527242 -0.0011428915949895598 -0.0009941265359073202
gpp -9.299607910984159e-05 3.5190739267288142e-06 9.987744121182601e-06 -1.2192544384687215e-05 1.2010386010526272e-06 -5.067496040893554e-07 -1.3025041320145058e-06 1.1640802465128876e-07 -2.270150796454458e-06 2.316083552220963e-06 1.0722533683435677e-05 1.2421259451851571e-05 6.043807389157046e-06 4.49479146454204e-06 4.226939348451075e-06 3.356195442037022e-06 4.41086707336189e-06 1.4880594026879967e-06 -5.339264525538845e-06 -4.332392219564557e-06 6.375519427265944e-06 2.4179516431602774e-05 -0.001256255992894418 8.321827380897155e-05 0.004234730087295696 -0.0009361457062052203 -0.0007448831665502173 -0.0001623620921663929
gpm 3.4881205829184494e-05 3.828621889006475e-06 -2.332450873702698e-05 8.500840521545278e-06 -8.022888994657776e-06 -1.2938075376355148e-06 6.178401240020332e-06 1.147307510217591e-05 4.4836327474844385e-06 -2.33416680232044e-06 -8.988937195091292e-06 3.115884553693599e-06 1.2679189686395899e-06 3.103694705434441e-06 -8.26907549776059e-06 1.1055232598620511e-05 1.4313615589412525e-06 2.8605833736275643e-07 1.4511216520561633e-06 -3.3659228291942005e-06 1.0574683634615503e-06 5.735337876350077e-05 -0.001020972075606252 -0.00022812611663527204 -0.0009361457062052218 0.0031102877807512477 -4.8995410895288105e-05 0.000321871244190828
gmp -8.948803294411549e-05 1.486917330265425e-06 7.115176911867845e-06 3.22261314409627e-06 6.5436582688192184e-06 -1.0477496963587813e-05 -6.7812931268794765e-06 -1.06158765302414e-05 -5.691984203575421e-06 -1.4327884069357362e-05 -5.030058158475574e-06 2.424273490125617e-06 1.7253717926297715e-06 5.794119640896267e-07 7.838522383083683e-06 2.1649299219708016e-06 -2.2977150002972706e-07 9.036003126431384e-08 4.930670273473767e-06 -3.831086628867119e-06 -2.5256383315837686e-06 -6.7942312211428154e-06 8.991822808131721e-05 -0.001142891594989561 -0.000744883166550217 -4.899541089528805e-05 0.003839608991403557 -0.0007688718732823802
gmm 0.00010256761114425903 7.240417744215679e-07 -1.5032873060451067e-05 1.5066189219791451e-06 -1.2115586326657743e-05 6.469624293000644e-07 -8.206871252496175e-07 -1.0880544627158034e-06 1.0188851770615973e-06 3.1478738251135657e-06 1.7682958830799869e-06 -3.76814900096755e-06 -4.483431919887628e-06 7.37641840245533e-06 -4.897970135380424e-06 -2.1621114819210023e-06 -4.060518996064353e-06 2.714832252325297e-06 -5.6882190299069134e-06 7.836288956322041e-06 9.891332475598131e-06 -1.0915624748823326e-05 -9.360767907298834e-05 -0.0009941265359073189 -0.00016236209216639335 0.0003218712441908281 -0.0007688718732823817 0.0032379061142986444
