 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gpm gmp gmm
PC10 -1.225509355530294e-06 1.7031425658115002e-07 1.0226733809450345e-07 -1.2420804055311983e-07 3.562260247315486e-07 -3.6326473070505645e-07 9.917133491565284e-08 -1.4806515144226032e-07 3.4490826499080846e-07 -1.7109071777004606e-07 1.2063889079843343e-05 -4.593716949263669e-07 -4.997938688483715e-08 -3.2148394301954375e-07 1.2528914661218277e-09 1.5356815399936075e-07 -3.282841742412543e-07 7.691115910451242e-08 1.3084774928818268e-07 4.016082391903013e-07 1.0258413525097195e-07 1.0532799606118929e-07 -1.1326377073349431e-06 2.056044113067985e-06 1.0562873621946453e-05 -8.459805657254433e-06 -5.148505868408804e-06 1.8032280101800577e-06
PC11 -2.7404415776572305e-08 -3.7316605329585614e-08 -1.468343412406565e-08 3.651391978542513e-07 2.516365688419917e-07 -8.356524990740366e-07 -3.393750346345953e-07 1.1700995897524258e-06 -7.564416602602455e-07 -8.171984055997937e-08 -4.593716949263665e-07 1.1826273210422613e-05 2.8672050928174938e-08 -1.4684119786988805e-07 -4.145371097634599e-07 4.0260639361558487e-07 2.579173147882961e-07 4.3019459042444714e-07 4.128530828537534e-08 5.984154440230882e-07 2.3109119492338344e-07 1.816943442306712e-06 -9.013109892040368e-06 -4.567624094295177e-06 1.1719468261686097e-05 3.4307017268141127e-06 3.1941307485503184e-06 -3.620304131548421e-06
PC12 -7.432854959974533e-07 5.453767402331874e-07 -9.299919275281276e-07 9.989446071955114e-09 -9.709226343965133e-07 5.647117363833198e-07 -3.6433135270675664e-08 3.963849611012583e-07 3.1849249739375406e-07 -4.493646236934528e-07 -4.997938688483728e-08 2.8672050928174802e-08 1.0768477517374057e-05 -1.016548019517968e-08 -1.9666370899146267e-08 -4.578206336738383e-07 2.259627698822013e-07 -1.65545781803984e-07 -1.282821309366081e-07 -1.7076579779477555e-07 -5.877930780697108e-07 3.9734675863656685e-07 -6.5088542608770875e-06 1.845114601843222e-07 5.892995991848834e-06 1.1201089525728725e-06 1.497552093842821e-06 -4.041941251494276e-06
PC13 -1.7944007809257018e-06 -3.461141959363068e-08 7.687541875139131e-07 -6.63519571746665e-07 -6.578173854967492e-07 -1.2228142937998192e-06 -1.645538153300775e-07 2.5528339261526283e-07 -1.105568092064404e-07 1.2129849066711633e-07 -3.2148394301954423e-07 -1.4684119786988776e-07 -1.0165480195179654e-08 1.1151997618068857e-05 -6.112020113695412e-07 9.502281460094356e-07 1.75060028711733e-07 1.7655281831827703e-07 -1.4467961526114812e-07 1.917495976712827e-08 2.2828731380690286e-07 1.4748527050111198e-06 8.789211856367319e-07 -1.5660052842000756e-06 4.392859153867824e-06 2.89152604647547e-06 6.140002866673536e-07 6.6373260699542305e-06
PC14 -1.8347782896663082e-06 -2.6687427004237487e-07 -8.627691598571935e-07 6.390882669193047e-08 9.391005516672648e-08 4.609866662155385e-07 -2.1976332562047516e-07 -3.628113463673801e-07 -5.126093226262081e-07 -8.242093942453702e-07 1.2528914661216383e-09 -4.145371097634601e-07 -1.9666370899146098e-08 -6.112020113695411e-07 1.1535321134981319e-05 -1.1725659812643695e-07 7.065334670321906e-08 -4.505579277111412e-09 1.7549490336692484e-07 -8.33640094283555e-08 1.0313735338499933e-07 -8.138853300180067e-07 -5.448380894834414e-08 5.896772563901207e-08 5.010499682160365e-06 -7.80127867023689e-06 7.949310834429711e-06 -5.161730261126984e-06
PC15 -1.8668403880549881e-06 -6.446388298907898e-07 4.579216029118739e-09 -7.578812169300777e-09 -2.8019388965126743e-08 4.316469343256374e-08 -9.64449520487366e-08 -4.41158764565516e-07 -4.378367457071833e-07 3.870554100856061e-07 1.5356815399936088e-07 4.026063936155853e-07 -4.578206336738381e-07 9.502281460094353e-07 -1.1725659812643699e-07 1.0933692647242102e-05 4.2297568160508984e-07 -6.855292204997096e-07 -1.0951195415524384e-07 -1.440488472957585e-07 9.606208454055442e-08 4.802851500906087e-06 -9.11571790213603e-06 -8.879334191490058e-07 2.345191473681925e-06 9.487634583521689e-06 2.710084477652825e-06 -2.008320985680847e-06
PC16 8.161578881082229e-07 -6.177527437247114e-07 2.247824251533419e-07 2.551539810133801e-07 4.477025810313699e-08 -4.282141680705141e-08 -6.877900979774082e-08 1.3962634594060686e-07 3.058130452165553e-07 3.5849155889889917e-07 -3.282841742412539e-07 2.5791731478829605e-07 2.259627698822012e-07 1.7506002871173302e-07 7.065334670321941e-08 4.229756816050899e-07 1.1188531525530036e-05 -4.3776887909928146e-07 2.1876130203091004e-08 -6.232966280303396e-07 -2.2938346166056716e-07 3.4363806128805164e-07 -8.141449039722827e-06 4.581151667189316e-06 4.1187461852830456e-06 1.924024792604378e-06 -5.092901987909764e-07 -3.0956035494893908e-06
PC17 -1.479186779572481e-06 2.2592596233829416e-07 6.745166446270422e-07 -3.7109573427749616e-07 -3.01703062071489e-08 7.296499437098921e-07 2.6462341670794717e-07 -4.0835957934980247e-07 1.457361144269027e-07 4.3764901014724234e-07 7.691115910451258e-08 4.3019459042444714e-07 -1.6554578180398392e-07 1.7655281831827695e-07 -4.5055792771111885e-09 -6.855292204997101e-07 -4.3776887909928194e-07 1.013049403252719e-05 3.2479533957076593e-07 -1.616444619437424e-07 1.657352742932266e-07 -5.965275996171474e-06 6.063721537334011e-06 -2.3776822428170195e-06 1.938751616554115e-06 3.0271141184859194e-07 -1.3629303097576613e-06 2.0601964134954764e-06
PC18 -8.462853650526333e-07 -3.2209735890400134e-08 1.9544934325446957e-07 -5.155006641196045e-07 -4.202814745110441e-07 -1.4028879809501936e-07 -4.080846352605597e-07 5.155077110259251e-08 -7.484804028550346e-07 -5.49552339923449e-07 1.3084774928818295e-07 4.1285308285375387e-08 -1.2828213093660806e-07 -1.4467961526114825e-07 1.7549490336692452e-07 -1.095119541552441e-07 2.187613020309085e-08 3.24795339570766e-07 1.0089160979312045e-05 -2.3540562493049727e-07 1.2067882167130344e-08 -2.441107977140579e-06 -1.2543585157629969e-06 2.043189379746715e-06 -5.6886456705691645e-06 4.860305276847938e-07 4.7182592881205064e-06 -5.672592291914064e-06
PC19 1.255734451970735e-06 1.4935728303714774e-07 -4.858363575223349e-07 3.788766684488974e-07 -1.358695381819832e-07 1.9530711221794647e-07 -2.219798054265538e-07 3.4465370878435486e-08 -2.464729619172919e-07 -2.5143173066583576e-07 4.016082391903015e-07 5.984154440230879e-07 -1.7076579779477547e-07 1.917495976712801e-08 -8.336400942835565e-08 -1.4404884729575878e-07 -6.232966280303402e-07 -1.6164446194374245e-07 -2.3540562493049732e-07 1.0219997432496377e-05 5.606368954944249e-07 1.2098213255311024e-06 2.2493415080870725e-06 -3.367270177016363e-06 -4.1083865965682215e-06 -3.547304646124994e-06 -3.254475512195899e-06 7.552904084368546e-06
PC20 -5.789045885691869e-07 5.746591785593791e-08 -3.343995781670278e-07 1.0430817080453589e-07 7.255127616096443e-08 -1.4961937637359494e-07 -4.994203681240336e-07 -4.6203107957208776e-07 1.4586271213828062e-07 -6.694685027622783e-07 1.025841352509722e-07 2.3109119492338363e-07 -5.877930780697108e-07 2.282873138069028e-07 1.0313735338499925e-07 9.606208454055459e-08 -2.2938346166056737e-07 1.6573527429322662e-07 1.2067882167130261e-08 5.606368954944252e-07 9.521647701233546e-06 -1.8079428458932093e-06 1.7121495555746028e-06 -4.790437295476992e-06 6.1656034092176975e-06 9.004127552806485e-07 -2.26509774622305e-06 9.848648885252421e-06
proband 1.0552199994275836e-05 3.573983000792839e-07 -6.318697192700698e-06 4.5642825969033995e-07 -1.988757304979373e-06 -2.2103886486596794e-06 6.980697476680842e-07 -3.352480703049562e-07 3.400601708289718e-07 -2.334016094206972e-06 1.053279960611814e-07 1.8169434423067171e-06 3.973467586365717e-07 1.4748527050111143e-06 -8.138853300180056e-07 4.8028515009060864e-06 3.436380612880572e-07 -5.965275996171474e-06 -2.441107977140584e-06 1.2098213255311005e-06 -1.8079428458932136e-06 0.0008988754520485019 -0.00048517322348981903 -0.00044003654602640534 2.088330331909256e-05 4.734222261068729e-05 -3.526387661119332e-06 -9.31752927566032e-06
paternal 1.351481656226109e-05 5.708279956647836e-06 3.835604380182942e-06 4.851166407929862e-06 4.217058790583713e-06 -4.286347387972483e-06 -1.7307522318216603e-06 -4.2692399669546e-06 3.5433670244682386e-06 5.99919362070892e-06 -1.1326377073349332e-06 -9.013109892040383e-06 -6.508854260877083e-06 8.789211856367413e-07 -5.448380894835152e-08 -9.115717902136032e-06 -8.14144903972284e-06 6.0637215373340085e-06 -1.2543585157629958e-06 2.2493415080870754e-06 1.7121495555746064e-06 -0.0004851732234898191 0.001880581438806625 0.00037950522233793613 -0.0012483226859784109 -0.00103413196064565 8.925278400063634e-05 -0.00011213162573695986
maternal -1.0128434821720207e-05 5.1542250266359935e-06 1.4354058606575476e-05 4.024158181554894e-06 6.595812702630798e-08 1.950499202296945e-06 9.428997806889181e-07 6.352180654853564e-06 -2.1992906745753985e-06 7.614542618596797e-06 2.0560441130679953e-06 -4.567624094295192e-06 1.8451146018432737e-07 -1.5660052842000637e-06 5.896772563901248e-08 -8.879334191490071e-07 4.581151667189313e-06 -2.377682242817014e-06 2.043189379746723e-06 -3.3672701770163664e-06 -4.790437295476986e-06 -0.0004400365460264052 0.0003795052223379359 0.001776375290773422 6.151639619434399e-05 -0.00021728066869209 -0.0011684978306495176 -0.0010174970419707893
gpp -8.974231801867531e-05 3.573463927962409e-06 1.0261187280936123e-05 -1.1897416436618436e-05 1.6209541740827848e-06 -4.808622067429918e-07 -1.85893479182518e-06 8.182157390050342e-07 -2.1571161453168904e-06 2.715084565489445e-06 1.0562873621946457e-05 1.1719468261686109e-05 5.89299599184883e-06 4.39285915386782e-06 5.01049968216038e-06 2.345191473681924e-06 4.1187461852830515e-06 1.93875161655411e-06 -5.6886456705691645e-06 -4.108386596568225e-06 6.165603409217702e-06 2.088330331909261e-05 -0.0012483226859784113 6.151639619434334e-05 0.004274915249918205 -0.000950563709995664 -0.0007274899977386015 -0.00017372255662264537
gpm 4.051374119963336e-05 3.733338161722066e-06 -2.230074294949764e-05 8.41339528437223e-06 -7.431691720107387e-06 -1.1861279649281528e-06 6.086080981346396e-06 1.0658878347678302e-05 4.361772197157498e-06 -2.0594541473055063e-06 -8.45980565725444e-06 3.430701726814128e-06 1.1201089525728672e-06 2.8915260464754625e-06 -7.80127867023689e-06 9.487634583521695e-06 1.9240247926043956e-06 3.0271141184859093e-07 4.860305276847989e-07 -3.547304646124992e-06 9.004127552806448e-07 4.7342222610687433e-05 -0.0010341319606456505 -0.00021728066869208972 -0.0009505637099956638 0.0031579319699472377 -7.112141860415926e-05 0.0003701616445116849
gmp -9.382064774851213e-05 1.1382834802919665e-06 6.793500447358933e-06 3.3630911208447625e-06 6.838940784358123e-06 -1.0773754895026877e-05 -6.362092080030703e-06 -9.914420460795267e-06 -5.368294373648195e-06 -1.4703644086182126e-05 -5.14850586840882e-06 3.1941307485503167e-06 1.4975520938428298e-06 6.140002866673445e-07 7.949310834429704e-06 2.710084477652824e-06 -5.092901987909763e-07 -1.3629303097576598e-06 4.7182592881205005e-06 -3.254475512195904e-06 -2.2650977462230587e-06 -3.526387661119536e-06 8.92527840006371e-05 -0.0011684978306495174 -0.0007274899977386032 -7.112141860415873e-05 0.003918993316055855 -0.0007870290944479164
gmm 0.00010234455408686776 1.0833309396829997e-06 -1.4704529845025578e-05 1.3276593651756614e-06 -1.1940605911010338e-05 1.1068368102448925e-06 -3.398157829511367e-07 -1.5237596351173597e-06 9.340707018656188e-07 4.005254048389469e-06 1.8032280101800603e-06 -3.6203041315484036e-06 -4.041941251494294e-06 6.637326069954226e-06 -5.1617302611269775e-06 -2.0083209856808426e-06 -3.095603549489391e-06 2.0601964134954726e-06 -5.672592291914063e-06 7.552904084368551e-06 9.84864888525242e-06 -9.317529275660414e-06 -0.00011213162573696012 -0.0010174970419707888 -0.00017372255662264464 0.0003701616445116847 -0.0007870290944479161 0.003324308012734414
