 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband sibling paternal maternal
intercept 2.8988044822411188e-05 3.9996926555412624e-07 1.5754927552902287e-06 -3.5411687911560105e-08 2.5498393323792247e-10 6.412573865976037e-05 -0.00013180957982824101 -9.955659943048055e-06 -0.00012821161550446804 3.251605365959463e-05 -0.00014992882634634938 0.00019927803976332517 -0.00013446305812960267 -2.3971239321527654e-05 -0.00021052806534928084 4.077377849796113e-05 -4.463600554682426e-05 -0.0001573249517843238 -4.066497595380949e-05 -8.163440661854768e-05 -2.399248472952193e-06 -3.1318645962383465e-06 -9.840430903951855e-05 -0.00015467958779614145 0.0001497513304611176 1.2576983998447274e-06 2.2175481234388094e-06 -3.0349216831641706e-06 -3.0991682168300332e-06
yob 3.99969265554126e-07 3.1556474366631985e-07 1.6372278414703311e-07 2.241832557328264e-09 -1.6683077543463827e-11 2.1633832452558603e-06 2.325189470491297e-05 9.626308739100817e-06 -2.519260473440374e-05 -1.770359464588978e-05 -5.527024317121328e-06 3.9776149379892465e-06 -1.4485082134440345e-05 1.704498210112282e-05 -1.1573212859175909e-05 -2.062744336280522e-05 2.6559435392744682e-05 -2.0230698823485462e-05 -8.624857954234633e-06 3.1255102693980684e-05 1.2532223691972853e-05 -7.604121174549923e-07 -5.216525046430212e-06 1.8582121078885653e-05 -4.0596084572446366e-05 -4.17837672545163e-08 -1.3970077348341408e-08 -3.363818319723545e-08 -8.57018658885813e-08
age 1.5754927552886698e-06 1.6372278414712406e-07 1.7633162335181727e-05 -3.724319550094173e-07 2.4054965911040453e-09 -1.8824265434875958e-06 -1.5641764631127e-05 5.390288835150079e-06 -3.417181555989453e-05 1.5504583947409307e-05 -1.4547923843944212e-05 -3.1408326799781737e-06 -3.639418128858301e-05 1.866946738034026e-05 2.6204483401503344e-05 2.6465094565633185e-05 -1.2375522967841473e-06 2.4879514383952628e-05 -2.246750157560007e-05 3.223914951063091e-05 1.4048461828732956e-05 -3.858941392782954e-05 2.0519400375690194e-05 2.0790833072525903e-05 3.595158876762227e-05 4.3422461437762125e-07 4.942015319252735e-07 -5.876022377437254e-07 -7.780077876805243e-07
age2 -3.5411687911530704e-08 2.2418325573258514e-09 -3.7243195500942335e-07 8.277940380382618e-09 -5.504769521410212e-11 1.9020171523492157e-07 1.106770522640189e-06 2.028582755308556e-08 2.346730359720114e-07 -3.3155501446531597e-07 2.581962075685478e-07 -7.292496362062934e-08 3.0927744817258596e-07 -5.0522206040585835e-09 -8.52863795671372e-07 -8.896282932386537e-07 4.4227866868897157e-07 -7.364763829041799e-07 4.360039295296875e-07 -1.0389969909024471e-07 2.5728171073533243e-07 8.22346251554772e-07 -5.091174543658976e-07 -3.6189881252275153e-07 -1.6390104951382817e-06 -9.570992272288423e-09 -1.1126366051310062e-08 1.1553786195374348e-08 1.153023915889897e-08
age3 2.549839332377481e-10 -1.6683077543450977e-11 2.405496591104108e-09 -5.5047695214102616e-11 3.746033458856647e-13 -2.1793465958431987e-09 -8.030646695483687e-09 1.9583781658172487e-10 -1.8234321800109446e-09 2.1060545990655498e-09 -2.681951486132804e-09 1.4824763290831555e-09 -1.0370515703998145e-09 -5.703376523490407e-10 5.0853027434424135e-09 5.558269428423418e-09 -2.96838027156182e-09 4.086680551495913e-09 -3.923555768925694e-09 -8.170106130986649e-12 -3.7085945685404677e-09 -5.5099002269645195e-09 2.8679780966332124e-09 2.8461953620694363e-09 1.2285070591244535e-08 6.129094278768823e-11 7.546569372997535e-11 -7.473502653986043e-11 -6.072744005016675e-11
PC_3 6.412573865975805e-05 2.1633832452558103e-06 -1.8824265434926869e-06 1.9020171523503144e-07 -2.1793465958439262e-09 0.0709287975419618 0.0016075139505970794 0.0063385719543905894 0.002010179045649966 -0.013111587723711404 0.004825530238325102 0.013700926603447317 -0.0060149418813154835 -0.0005699438616604894 -0.0009571637241350052 0.004228095898636882 0.013010678648772131 0.00822562230217286 -0.00544784870190078 -0.02501238327486859 0.001473596433931368 0.0004035623208461456 0.0062515353897844754 -0.003630961182092749 0.01669717212293582 2.130080639661428e-05 1.1449966483262123e-05 0.00016600859071869077 0.0001518771252277149
PC_4 -0.00013180957982824682 2.3251894704912752e-05 -1.564176463114027e-05 1.1067705226404646e-06 -8.030646695485454e-09 0.001607513950597079 0.23434765929328674 -0.015624429233872724 0.012742882178001938 -0.01799896088310343 -0.0031049205906087387 -0.007391518484582839 -0.0025551492550395217 -0.018748890720588284 0.0069975415863505405 0.014662274309960689 -0.03000185005410835 -0.016844974055139746 0.016054363618903205 0.012515712991497166 -0.004443111563135906 0.008931695048410472 -0.00801256626996814 -0.001732619161041581 0.009997128345729297 -2.7249484706678097e-05 -2.8725814877775527e-05 2.404052579003936e-05 7.7106892344638e-05
PC_5 -9.955659943048375e-06 9.626308739100834e-06 5.390288835147429e-06 2.0285827553143274e-08 1.9583781658134936e-10 0.006338571954390598 -0.015624429233872713 0.3193821723549326 -0.009484567729839268 -0.01876699654564427 0.00072708347295001 0.015805027742692546 -0.02153964915041633 -0.0011665597471708132 -0.0211702653989487 -0.02030226394361029 -0.0013559553727502528 -0.027473371625135305 0.02295836313938954 -0.03868582186050642 0.009628612565578473 0.00893960642318937 0.0026752460366791858 -0.006470102156122089 0.030458664258731262 8.796714113611448e-06 2.247535914996356e-05 9.135622363972846e-05 1.4706212094514282e-05
PC_6 -0.00012821161550446842 -2.5192604734403926e-05 -3.417181555988829e-05 2.3467303597186493e-07 -1.823432180009936e-09 0.002010179045649953 0.012742882178001914 -0.009484567729839275 0.38245378486133824 0.00805474796748465 0.025074729567669526 -0.03638596522360402 -0.00870653571926964 0.009932918971171606 -0.02135933286005107 -0.0003594326754299335 -0.0006086549925653538 -0.033443989191089 0.02203342095726055 0.040970846893256425 -0.01438156282319162 -0.0040370588682985984 -0.013959875494618836 -0.003375697710375491 -0.02034108420445282 7.246292463489887e-06 2.5094576145937973e-05 -5.135449482126835e-05 -6.313254325455228e-05
PC_7 3.251605365959633e-05 -1.770359464588964e-05 1.5504583947413826e-05 -3.315550144654066e-07 2.106054599066116e-09 -0.01311158772371142 -0.01799896088310343 -0.01876699654564429 0.008054747967484642 0.4765219045995278 0.024813917567061836 -0.0008184578199214015 -0.024814719562921826 0.02898267561561726 0.0012747357230661542 0.04706029547203552 0.012963019415235692 -0.05203865713736857 -0.04252213959410553 0.04303877204750069 -0.013775640864865655 -0.01926577934927619 -0.0004260344025309585 0.017845020212316872 -0.028300994246883638 2.962690034108869e-05 2.6234031886983793e-05 3.9292292505603536e-05 -3.054423224990538e-05
PC_8 -0.0001499288263463479 -5.5270243171213584e-06 -1.4547923843940867e-05 2.5819620756847317e-07 -2.681951486132293e-09 0.004825530238325095 -0.003104920590608749 0.000727083472949997 0.025074729567669516 0.02481391756706185 0.5055416606901877 0.029985801142207925 0.015286250413016506 -0.014916527665625656 -0.0034397999446676678 -0.03381718262639217 0.022705439807742655 0.044123447303120185 -0.026931445983284646 0.021353790809959562 0.03622959083233045 0.011756132473526493 -0.006855828092990413 0.009496521159053667 -0.023876076512974746 -4.7374705917890814e-08 2.2519034675667813e-05 0.0001426547020890521 5.06994980903747e-05
PC_9 0.00019927803976332542 3.977614937989252e-06 -3.1408326799743184e-06 -7.292496362071588e-08 1.4824763290837314e-09 0.01370092660344732 -0.007391518484582851 0.015805027742692546 -0.03638596522360403 -0.0008184578199213629 0.029985801142207943 0.6988103290601493 0.0067114341797002396 -0.0008137255019266133 -0.0475684515765316 0.036070650366519866 -0.005011801500837616 -0.0028064625766516657 -0.02722847123643638 -0.01713349295239845 -0.015286870339082747 -0.0036663355420961797 -0.001857817204335544 -0.016043378426026027 0.04756951938755001 -8.77992827164661e-06 -1.0719842607636752e-05 0.00010960932150637915 5.285929077983741e-05
PC_10 -0.00013446305812960156 -1.4485082134440445e-05 -3.639418128857554e-05 3.0927744817241507e-07 -1.0370515703986523e-09 -0.006014941881315479 -0.00255514925503955 -0.02153964915041638 -0.008706535719269659 -0.02481471956292181 0.015286250413016489 0.006711434179700248 0.7988575726253152 0.03561568607443384 0.004162344755904533 0.0012555892759320226 -0.009474870841085179 0.027823745990332566 -0.0005326415831763602 -0.008167244016363788 0.028961436660679876 0.009508531960272154 -0.021059059271601645 0.009951504094034069 -0.0170419720099666 -1.5266626022310036e-05 -6.681426732805267e-05 5.3965496295410824e-05 0.00025661558809757863
PC_11 -2.39712393215275e-05 1.704498210112288e-05 1.86694673803343e-05 -5.052220603926713e-09 -5.703376523499153e-10 -0.0005699438616605116 -0.01874889072058827 -0.0011665597471708171 0.009932918971171613 0.028982675615617286 -0.014916527665625673 -0.0008137255019266216 0.035615686074433904 0.7669159720809007 0.007530883836190963 -0.017494221760936762 0.05855835179451496 0.035522582021198665 -0.013783965645475751 0.02769642291308608 -0.0397657753923637 -0.026880252086444838 -0.0019083163092685636 -0.013920811269760509 0.06423658199448376 1.0316745629616615e-05 -5.067018128101267e-06 0.00016731636755361478 0.00014994050754460928
PC_12 -0.00021052806534928545 -1.1573212859175616e-05 2.6204483401501223e-05 -8.528637956713116e-07 5.085302743441955e-09 -0.0009571637241349917 0.00699754158635058 -0.021170265398948687 -0.02135933286005109 0.001274735723066143 -0.003439799944667672 -0.047568451576531584 0.0041623447559045205 0.007530883836190968 0.8700909977942718 0.04537375664573558 -0.037394350458545514 -0.039957393468996176 0.003989528414669331 0.054000433106420706 0.030611822331072396 0.02541190720866677 0.03595962157749005 0.027318213777525302 0.016311974880363306 -2.072479160378874e-05 2.041816221819013e-06 -8.618077059215505e-05 0.00011241896802722231
PC_13 4.077377849796975e-05 -2.0627443362804993e-05 2.646509456563609e-05 -8.896282932387284e-07 5.5582694284238845e-09 0.004228095898636883 0.01466227430996067 -0.02030226394361032 -0.00035943267542991303 0.047060295472035524 -0.03381718262639221 0.03607065036651983 0.0012555892759318938 -0.01749422176093679 0.045373756645735584 0.912839542832635 0.05605257701056739 0.01379108467787803 -0.014027621261969221 0.03999745376109671 0.03411073457472841 0.01233987069191809 -0.05032754743811697 -0.040767737279918094 -0.018001213559443348 6.397261913277138e-05 4.239556946857066e-06 -1.3888581786343749e-05 -0.00014825157796829506
PC_14 -4.463600554682316e-05 2.6559435392744615e-05 -1.2375522967910248e-06 4.4227866868911816e-07 -2.968380271562773e-09 0.013010678648772138 -0.03000185005410835 -0.0013559553727502576 -0.0006086549925653366 0.012963019415235703 0.02270543980774266 -0.005011801500837607 -0.009474870841085179 0.058558351794514935 -0.037394350458545514 0.05605257701056736 0.8717463773098133 -0.0034027727472293297 0.0028434244856446835 0.019252297058644178 -0.003977469587370427 0.0025138895846894987 -0.0055071070961499585 -0.08058992839073963 0.027353726209527567 -3.3106581667056356e-05 -6.118740973650108e-05 0.000175948414233956 -3.4056556154473697e-06
PC_15 -0.0001573249517843209 -2.0230698823485296e-05 2.4879514383959696e-05 -7.364763829043235e-07 4.08668055149681e-09 0.008225622302172867 -0.016844974055139728 -0.027473371625135298 -0.03344398919108901 -0.05203865713736862 0.04412344730312016 -0.0028064625766516774 0.02782374599033255 0.035522582021198644 -0.03995739346899614 0.013791084677878042 -0.0034027727472293423 0.9876961114056187 0.0011825798155705766 0.02670030688589791 -0.0006936052706450134 -0.009753465943180684 0.006738340744226199 0.0024278395114488557 -0.035556921455916636 2.4807490289001924e-05 2.0907200756322107e-05 4.356970538012162e-05 -0.00011943612483951619
PC_16 -4.066497595380852e-05 -8.624857954234764e-06 -2.2467501575601816e-05 4.360039295297174e-07 -3.9235557689258584e-09 -0.005447848701900776 0.016054363618903188 0.02295836313938958 0.022033420957260533 -0.04252213959410551 -0.026931445983284636 -0.02722847123643637 -0.0005326415831763468 -0.013783965645475734 0.003989528414669342 -0.014027621261969141 0.0028434244856446835 0.0011825798155705692 1.105228565725294 0.029353102277212467 0.023047674988345677 0.00894028319044691 0.037499261711816216 0.059576234526744515 0.0288886388017094 -3.918162959169896e-05 -2.9625047346552882e-05 6.66847063004964e-05 -0.00010403767466683811
PC_17 -8.163440661854757e-05 3.125510269398078e-05 3.223914951062289e-05 -1.0389969909006344e-07 -8.170106132203822e-12 -0.02501238327486858 0.012515712991497183 -0.038685821860506425 0.04097084689325645 0.043038772047500694 0.021353790809959555 -0.017133492952398466 -0.008167244016363805 0.027696422913086084 0.054000433106420685 0.03999745376109674 0.0192522970586442 0.026700306885897904 0.029353102277212474 1.1678075136355848 -0.055606649905593664 -0.03613893719026511 -0.03620016458130213 -0.01400018655883442 -0.09517585408243598 -7.260101706943147e-05 -4.7574956314576135e-05 0.0001520330283525311 1.9871060676008414e-05
