 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband sibling paternal maternal
intercept 191759331631.47406 0.0002152646141742442 2854909394.2406816 -198444114375.8826 -2818755326.6102633 72382821.71531394 -686429.3625945583 -74312564.72838625 694288.3887632603 0.03688746971843332 0.09050879621312506 0.0390011114434525 0.014293743705188978 -0.08372708085526291 0.03465610356078931 -0.02111390881950956 0.06922869894264513 -0.03435085276883156 0.035281916663950016 -0.02062576300934999 -0.017411173132771837 -0.021736457002779846 0.04958354421694001 0.07747790672723803 0.09107992307837376 -0.06103749815418067 0.023068000732304115 0.10837014226985255 -0.03517726244883495 5.574825420675177e-05 -0.0003256530152358927 -1.6976744359730376e-05 -0.0005870505839939271
yob -0.0003181319755027857 4.310791884512242e-07 -3.2789393182939604e-06 0.00042162069042537864 4.551586998910338e-06 -1.5533787866346957e-07 1.7838122361580657e-09 1.338151605353985e-07 -1.7253265890709159e-09 1.0605842318531321e-05 2.708094841041985e-05 6.900922863340244e-06 -4.1400274378664046e-05 -2.753665222911239e-05 2.0476670780747283e-06 3.976908076071057e-06 -1.912288337104226e-05 2.0991912340114537e-05 -1.2424937672226238e-05 -3.155472894544134e-05 4.276222021231242e-05 -3.582568397273837e-05 -6.404115034426341e-06 4.536750730795422e-05 2.2513253074517332e-05 1.4035342127304507e-06 -1.156129497569234e-05 2.762491874904456e-05 -5.834794898916828e-05 -6.227584850472457e-08 -3.9391889950316334e-08 -7.923644015353469e-09 -1.9022919324370855e-07
age 6209806881.634792 9.277025910690803e-06 66130193.06157587 -6809312733.235341 -65780667.726397395 2800571.7330981703 -25736.533330524268 -2789649.0664600246 25975.466664001837 0.0015040437153240817 0.003949355039098902 0.0015319403927753705 0.0006075036107395849 -0.0036415416295521672 0.001453314164487268 -0.0008493924397339475 0.0028209945196086385 -0.001430192131722973 0.0013917190307066872 -0.0008643052016330961 -0.0007157426845471421 -0.0008797785618252282 0.0020336828476086245 0.0032380435413703057 0.003734988767756219 -0.0026327935587596727 0.0009018515429254654 0.004507662092552329 -0.0014869902947425792 1.9596963629216568e-06 -1.4044504296912016e-05 -1.5756841098434686e-07 -2.2841322000175615e-05
sex -10398038551.020103 2.4674175956034758e-05 -1563105762.2173836 -46656908529.30674 1499739692.343313 5267839.629725734 -114535.32070896716 -279216.9220373807 109611.1469350232 -0.00024821395754491153 0.01306356507768981 -0.0020566323104504736 0.0004244421568434754 -0.013284859155132915 0.0017848763484752297 0.0005326426888782484 -0.00035671924340019347 -0.003515906980486398 0.0003040811169136338 -0.00044500284437453205 -0.002013620623012864 0.000425248269393371 0.000395738497074874 0.003695956862392825 -0.0006653134389308423 -0.007378903594733994 -0.001535638094411276 0.006086705957509381 -0.0009543094782364764 2.4243762504738357e-05 3.360071933527943e-05 2.3365673857226188e-05 -4.59490847632784e-05
age_sex -6209806882.133333 -7.923444112141927e-06 -66130193.06666666 6809312733.866667 65780667.733333334 -2800571.7333333334 25736.533333333333 2789649.0666666664 -25975.466666666667 -0.0012939453125 -0.00340576171875 -0.0013468424479166667 -0.0005259195963541667 0.0031656901041666667 -0.0012593587239583333 0.00074462890625 -0.0024515787760416665 0.0012725830078125 -0.0012644449869791666 0.000732421875 0.0006525675455729167 0.0007537841796875 -0.0017598470052083333 -0.0027872721354166665 -0.0031982421875 0.002276611328125 -0.0007944742838541666 -0.003926595052083333 0.0012502034505208334 -1.998742421468099e-06 1.1603037516276041e-05 2.1482507387797037e-07 2.0583470662434895e-05
age2 -74161922.99801888 -1.3646639987660762e-07 -988744.5008250368 92743017.07089129 988744.5006243172 -36418.064831662094 465.7341413908492 36418.064834778925 -465.7341414066853 -2.220790450572173e-05 -5.704533911705435e-05 -2.3027360505124398e-05 -9.031004052065536e-06 5.352042592554522e-05 -2.1216793431831505e-05 1.2438313813152258e-05 -4.1583557027408944e-05 2.1589656339086873e-05 -2.112021204158396e-05 1.2505403765187734e-05 1.0732393112542904e-05 1.3043323747152825e-05 -3.008928212150685e-05 -4.804469119369242e-05 -5.493591418566756e-05 3.844351363093573e-05 -1.3523464531604276e-05 -6.689273801635899e-05 2.1596204332357076e-05 -3.0155836159973286e-08 2.0270064444220728e-07 -3.4027507177662434e-09 3.2861120416322415e-07
age3 1604929.3233473364 2.3732611094501175e-09 22175.302961547764 -2091687.0972140566 -22175.302958080287 662.9094194088148 -8.719122553282736 -662.9094194626612 8.719122553556332 3.8246007265938455e-07 9.876512700591779e-07 3.985455906336551e-07 1.5034306238218968e-07 -9.265693435063664e-07 3.644811686764631e-07 -2.1631404781248374e-07 7.181144230008814e-07 -3.7292107490816793e-07 3.6777210996430417e-07 -2.1739282089332788e-07 -1.8406871101990788e-07 -2.2561136678170243e-07 5.175912632241474e-07 8.320918432015279e-07 9.481722161251387e-07 -6.639350854351649e-07 2.345593837593837e-07 1.1582503037165738e-06 -3.740893078423331e-07 6.455111735271844e-10 -3.2723197232454805e-09 7.142974577115498e-11 -6.0471563128796675e-09
age2_sex 74161923.0057511 1.1799795653019916e-07 988744.5009041 -92743017.08068539 -988744.500731905 36418.06483530946 -465.7341414344329 -36418.06483798342 465.7341414480189 1.9034235103674336e-05 4.9032208769958665e-05 1.9788891691612425e-05 7.505986306778419e-06 -4.603739436575112e-05 1.8074991698070956e-05 -1.0756316048583793e-05 3.5617587892690544e-05 -1.8499639479022676e-05 1.8354019792888852e-05 -1.0807939824068873e-05 -9.079883439329042e-06 -1.1332188014144437e-05 2.5747064469195437e-05 4.13219431603094e-05 4.712761606942569e-05 -3.295808156399184e-05 1.1648409048997273e-05 5.7506254803762435e-05 -1.8563889095105256e-05 2.8426806260586164e-08 -1.689499151336168e-07 3.1840927603612143e-09 -2.9208940625351186e-07
age3_sex -1604929.3233865711 -2.2692718361252187e-09 -22175.302961949474 2091687.0972637665 22175.302958626275 -662.9094194273225 8.719122553503968 662.909419478919 -8.71912255376608 -3.669481983082973e-07 -9.471458233012033e-07 -3.797522853295554e-07 -1.4416958701965194e-07 8.880114573544896e-07 -3.4885311926893385e-07 2.078831332226367e-07 -6.874766084276748e-07 3.5489357377080677e-07 -3.5126702781854745e-07 2.0897997689556293e-07 1.7426743205497505e-07 2.1633110275530434e-07 -4.962279903897796e-07 -7.973428358111465e-07 -9.109286703652412e-07 6.360929632668819e-07 -2.2493819986746386e-07 -1.1079456631597175e-06 3.6008297987879005e-07 -6.255214574976244e-10 3.1222238558437605e-09 -8.009658298085065e-11 5.846961758729614e-09
PC_3 -0.05502436752754783 1.0605842318527191e-05 -0.0005608174679727144 0.06966194253179846 0.0007709158707969553 -2.5983665131461845e-05 3.092430105050772e-07 2.2809995729413945e-05 -2.937311361539984e-07 0.08806495228740308 0.0027483864094951724 0.005509492937104142 -0.004782880890539127 -0.01971122987424809 0.007892999790925514 0.013020268745098769 -0.010185558937845606 0.0008954524949618268 0.0005664776711317971 0.0021913833676225247 0.02046560783411063 0.006279607749260731 -0.00754375465449043 -0.02886944453205695 0.0038410025058153384 -0.0008064938671472633 0.00827198051937176 -0.002013475721942515 0.016476855235336253 3.1881837998667245e-05 2.05824343928637e-05 0.00023796190521552956 0.00015898039525041283
PC_4 -0.14195867030081774 2.708094841040625e-05 -0.0014313605200190055 0.17952519988002458 0.0019749538403687245 -6.685551429708415e-05 7.979767321891957e-07 5.884238394998088e-05 -7.574712854312109e-07 0.002748386409495217 0.2984421711969041 -0.017082071081404544 0.00840364536352043 -0.0054824331190816665 -0.0063110526356241654 -0.014430058602636138 -0.0014893548857046015 -0.026907557765266276 0.007996768667336935 0.022816387793975726 -0.0392725190477265 -0.016843386921620625 0.022072974399194457 0.018080948150278695 -0.010582741506403866 0.006539596638574107 -0.008316075628516634 -0.00021822597789767332 0.009915980773544724 -2.6301800943190478e-05 -2.2128222011216576e-05 -1.649302483353589e-05 0.00011705299129953569
PC_5 -0.05497332374838496 6.9009228633375e-06 -0.0005819357690448363 0.0701963673373606 0.0007670337139077836 -2.5952603692248184e-05 3.133900443871643e-07 2.271413487867237e-05 -2.945967390827517e-07 0.0055094929371045836 -0.017082071081403426 0.4005888709383953 -0.008386664736907678 -0.009621630886062629 0.0003875421796563606 0.011952982105311379 -0.03251690649854084 0.009663921097424422 -0.03108957142440383 -0.029700781156789816 -0.00011462002278518434 -0.0306027838075218 0.026492069239046855 -0.045808963537205594 0.019510649313916613 0.014287948703755778 0.0009348461397756353 -0.005467549487763039 0.033374396634450625 1.9736357596723238e-05 2.0323584991309996e-05 6.149830574131463e-05 7.497495936851909e-05
PC_6 -0.025846782605831113 -4.140027437867123e-05 -0.00027248046474379723 0.03234379940563016 0.0003540644791211959 -1.2084762539111938e-05 1.4154302360374543e-07 1.0559744793950133e-05 -1.3536954824184874e-07 -0.004782880890540022 0.008403645363518118 -0.008386664736908777 0.484596140543625 0.01429116086920741 0.0015251966107024696 -0.03483542486505497 -0.020111518827466812 0.016914238520800172 -0.020854446666603542 6.393781141503265e-05 -0.0124119503982371 -0.04239252753430387 0.027426612590436914 0.04797955505468559 -0.01475849384163164 -0.0013887310607113333 -0.011681421059089264 -0.004632214949662213 -0.02278658093740368 -2.9606917834797085e-05 -4.54760778758175e-06 8.34376843923935e-06 -1.0374728574134613e-05
PC_7 0.13110248552451825 -2.75366522291019e-05 0.00135419441025028 -0.16623077519788754 -0.0018300459356403063 6.17356028957053e-05 -7.396907850107512e-07 -5.425257133584562e-05 7.011328988585674e-07 -0.019711229874248535 -0.005482433119082745 -0.009621630886062037 0.014291160869205071 0.5948411730359627 0.02590477719467903 -0.017359022101880898 -0.034905945874395466 0.025334325301829275 0.011773761082054407 0.0631569270897775 0.015736389344375545 -0.054565363012458463 -0.04195010088158626 0.05548992924935019 -0.02333700486711396 -0.026724845315894544 0.005304229401643334 0.012278660409501336 -0.02569972016688563 1.620501808818045e-05 -1.381612549493459e-06 -4.898226879502657e-05 0.00011704412540387836
PC_8 -0.05341749434973732 2.0476670780680702e-06 -0.000547603304957098 0.06777574132974767 0.0007415587454836964 -2.5204081985313993e-05 3.0117650349042643e-07 2.2062280251591617e-05 -2.855484540831016e-07 0.007892999790925228 -0.006311052635624928 0.0003875421796556565 0.0015251966107032123 0.02590477719468019 0.6268513829886675 0.011804882313855973 0.034886755882329104 -0.007416553700261361 -0.011884457834457891 -0.0451711569764775 0.01909965534456234 0.06102484832865038 -0.02786438727543962 0.02014697869246953 0.04018500583151072 0.013331962613036864 -0.011947210117356732 0.01570841597515069 -0.026758385031814654 4.190092722805514e-05 3.806365476277256e-05 0.00014179408321131467 6.9930677083721e-05
