(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband sibling paternal maternal
(Intercept) 0.000138309798638071 -5.35760359055981e-05 8.09066883474007e-05 -6.69075390764005e-05 6.16846125762108e-06 -6.8643632700649e-06 4.0888318101938e-06 6.12927875052593e-06 -6.87556751949882e-07 -1.77662922812215e-05
covarage -5.35760359055981e-05 0.000298183314918185 0.000435526810946553 -0.000433186546389401 -7.53410645968507e-06 1.01460522348315e-05 3.94100890862052e-06 2.47982375612207e-06 -1.30740935365851e-05 6.93836451529261e-06
covarsex 8.09066883474007e-05 0.000435526810946553 0.00151214525933742 -0.00140484680633587 -7.45783332709831e-07 4.32153268039283e-07 4.3969140719386e-07 1.14269328392028e-06 -4.34350849433397e-06 1.44638576705154e-06
covarage_sex -6.69075390764005e-05 -0.000433186546389401 -0.00140484680633587 0.00137612621052177 3.07511111003768e-06 -4.83825847618548e-07 -1.07940240547256e-06 -2.90378750960611e-07 4.33362297514992e-06 -3.03745114762028e-06
covarPC_3 6.16846125762108e-06 -7.53410645968507e-06 -7.45783332709831e-07 3.07511111003768e-06 8.07847053095003e-05 1.61102593762948e-06 2.4783468575231e-07 3.07759729548078e-07 1.23457263097283e-05 9.57554137832784e-06
covarPC_4 -6.8643632700649e-06 1.01460522348315e-05 4.32153268039283e-07 -4.83825847618548e-07 1.61102593762948e-06 8.4634076029705e-05 -9.59831663644514e-07 -1.54683447209223e-06 2.04293270319097e-06 3.55580789489024e-06
proband 4.0888318101938e-06 3.94100890862052e-06 4.3969140719386e-07 -1.07940240547256e-06 2.4783468575231e-07 -9.59831663644514e-07 0.000278473902166826 0.000148117580302532 -0.00027784918467006 -0.000260814312651254
sibling 6.12927875052593e-06 2.47982375612207e-06 1.14269328392028e-06 -2.90378750960611e-07 3.07759729548078e-07 -1.54683447209223e-06 0.000148117580302532 0.000333258574949268 -0.000313254291958183 -0.000294838823704414
paternal -6.87556751949882e-07 -1.30740935365851e-05 -4.34350849433397e-06 4.33362297514992e-06 1.23457263097283e-05 2.04293270319097e-06 -0.00027784918467006 -0.000313254291958183 0.00108204733518278 -0.000223640292592159
maternal -1.77662922812215e-05 6.93836451529261e-06 1.44638576705154e-06 -3.03745114762028e-06 9.57554137832784e-06 3.55580789489024e-06 -0.000260814312651254 -0.000294838823704414 -0.000223640292592159 0.00103716123215658
