(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband sibling paternal maternal
(Intercept) 0.00432740135900196 -0.000563368937300019 0.000378076671284668 9.03890333965911e-05 -0.000121468739094895 -1.67270897113441e-05 -0.000195511026033182 8.85258184542722e-05 -4.24023168029382e-05 -0.000256468842593761
covarage -0.000563368937300019 0.00116441463849682 0.00186666592551765 -0.00180798364519416 -1.72404459436143e-05 3.41323706186956e-05 4.27967042293357e-05 2.99628034759435e-07 -6.07495604987894e-05 7.17028296298164e-05
covarsex 0.000378076671284668 0.00186666592551765 0.00844735716235179 -0.00764776850648606 -2.5297921528159e-06 3.05503230051014e-06 9.74577158073773e-06 -5.90169937017708e-06 2.55356327916341e-05 -7.98755478158521e-06
covarage_sex 9.03890333965911e-05 -0.00180798364519416 -0.00764776850648606 0.00730031043308084 -1.04350047145274e-06 -2.17737801775191e-06 -3.60730132101093e-05 1.29764399786924e-05 -2.27207334285831e-05 -1.6786685199177e-05
covarPC_3 -0.000121468739094895 -1.72404459436143e-05 -2.5297921528159e-06 -1.04350047145274e-06 0.000412914263082499 3.22055150620167e-06 6.91822289253696e-06 1.54757485633983e-06 6.66408487483188e-05 5.53009712776807e-05
covarPC_4 -1.67270897113441e-05 3.41323706186956e-05 3.05503230051014e-06 -2.17737801775191e-06 3.22055150620167e-06 0.000422629747205441 -2.38903910758641e-06 -6.88214417297836e-06 9.7586231763011e-06 1.16398697856704e-05
proband -0.000195511026033182 4.27967042293357e-05 9.74577158073773e-06 -3.60730132101093e-05 6.91822289253696e-06 -2.38903910758641e-06 0.00141647206422908 0.000799534745911473 -0.00144962241133794 -0.00133915618419884
sibling 8.85258184542722e-05 2.99628034759435e-07 -5.90169937017708e-06 1.29764399786924e-05 1.54757485633983e-06 -6.88214417297836e-06 0.000799534745911473 0.00168141228192587 -0.00162715503519589 -0.00152297416685689
paternal -4.24023168029382e-05 -6.07495604987894e-05 2.55356327916341e-05 -2.27207334285831e-05 6.66408487483188e-05 9.7586231763011e-06 -0.00144962241133794 -0.00162715503519589 0.00621893267359174 -0.00174231198752041
maternal -0.000256468842593761 7.17028296298164e-05 -7.98755478158521e-06 -1.6786685199177e-05 5.53009712776807e-05 1.16398697856704e-05 -0.00133915618419884 -0.00152297416685689 -0.00174231198752041 0.00596425533431299
