 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal
PC_4 0.0002934151765844218 9.857653541755519e-06 -0.0004682609297567814 -0.015904978932806204 0.0006556930597968366 6.1422808384671605e-06 -2.602451778074185e-08 -8.930619972784928e-06 4.023321024128476e-08 0.0008783860287176633 0.14354072916983612 -0.0013689333230884886 0.007596750272145504 0.0033980779520379244 -0.0013630426713134585 -0.007697565977319554 -0.0010811781061272536 -0.012925897790369133 0.0005678938687206846 0.01033462051346993 -0.01691928292254428 -0.007174717152492504 0.010738730680170831 0.008830392886531377 -0.008009182873362016 0.003528737738465181 -0.005715126300073695 -0.0019615276554931856 0.0063511760017264 -7.137497962637851e-06 1.1935901490446018e-05 2.481292593293728e-05
PC_5 0.00019659578606234636 -1.7351023344333786e-06 -0.0002910557528654979 -0.010229710073527552 0.000417035083513447 3.507587795901505e-06 -1.3756225483394127e-08 -5.646029338354798e-06 2.5475217976075424e-08 0.001804406653037014 -0.0013689333230881085 0.184487718386053 -0.0009773796522558724 -0.0010626108086332858 -0.0025761032628036228 0.004775314786946515 -0.017389527994636084 0.002768671633391225 -0.017740256947357584 -0.012092586378312873 -0.0021807932713870685 -0.011997454754306108 0.01057452926177698 -0.022301307752189713 0.008216362477955413 0.005253498875779087 -0.0005898613565393997 -0.0019244276627710846 0.013422798915932878 -1.6478084745812685e-07 3.6131113241373035e-05 6.539240008829764e-05
PC_6 -0.000433630373843758 -1.9810062260062413e-05 0.00046150954569302525 0.011323492642032617 -0.00045011477565427567 -6.3003642819515265e-06 2.7119869081584204e-08 5.887019592464673e-06 -2.531934776956214e-08 -0.0037269157083858803 0.007596750272145611 -0.0009773796522554667 0.23600480439722415 0.007257187084503326 -0.005975410798779272 -0.005398164725595735 -0.01251186726196021 0.0037858426891762844 -0.010028158327911848 0.001501529227884955 -0.004918953616319064 -0.024183205166372533 0.014426709846108004 0.021358204395835207 -0.004112171711020379 -0.0011815402249343568 -0.008458345652385844 -0.003766524810566057 -0.010291849630220519 -8.32118057348834e-06 -1.2529860693200286e-07 6.604074290326615e-08
PC_7 0.0002558400188174677 -9.094944801745963e-06 -6.7139397542913855e-06 0.00763695638655789 -0.0003257066097459267 4.574075377345073e-07 -3.8482463840250065e-09 4.5661312729243655e-06 -2.1020057348628584e-08 -0.007603004477342773 0.003398077952038441 -0.0010626108086328702 0.007257187084503073 0.29399332097344916 0.0048472733834939346 -0.008887923374778254 -0.017854571598591745 0.011249664879444813 0.014632280416094236 0.030533421818425742 0.008813451520210918 -0.02709702185752824 -0.015261610433042729 0.029832129622895043 -0.014136968435251916 -0.011305621057784963 0.0013010349646330563 0.0060101875166081046 -0.00894633104812074 -1.1769709872059059e-06 1.5029509972858003e-05 4.359800631127423e-05
PC_8 -0.000396860600699739 -4.857034056320015e-07 0.00033065049173816656 0.004799744460268409 -0.00019438197600221742 -4.712046852339495e-06 2.1894800408993307e-08 2.6321507542817645e-06 -1.1962519544251756e-08 0.0050182251344491 -0.0013630426713140218 -0.0025761032628037954 -0.00597541079877889 0.00484727338349438 0.31101677675372463 0.002975870047461137 0.01905064697914847 0.000341336251872871 -0.011596437321125726 -0.019375216906758114 0.006389434621531236 0.03506760788573714 -0.016167393288322573 0.007593559003176682 0.01760840252245706 0.005072604888787695 -0.004600681950575872 0.002863160091080652 -0.014038066646376163 2.14456240111111e-05 9.297059628379484e-05 3.7595309674625564e-05
PC_9 0.00023273824950344123 3.026307847792849e-06 -0.00017259435237607 -0.0019024504770566036 6.77386700044277e-05 2.362470354750702e-06 -1.0248868299797631e-08 -7.226851748650109e-07 2.20679757640935e-09 0.0038303612027254276 -0.0076975659773193495 0.0047753147869465514 -0.005398164725595903 -0.008887923374778364 0.0029758700474610813 0.4150347333200357 0.0266738612425504 -0.0013763638413910207 -0.0226060663447086 0.003650419380575055 -0.0029045768724198905 -0.008016426552314503 -0.015750513393154694 -0.016253671255479066 -0.00586121842765286 0.001763518305404583 -0.002471767026784799 -0.012397655659709293 0.017994872586518707 9.228105354384918e-06 6.841777056522681e-05 -3.607731102490961e-06
PC_10 -0.00038029937648315093 -4.25820046915286e-06 0.00033079574902659427 0.005027287575165269 -0.00019981030493739519 -4.739760410655045e-06 2.2369618516924992e-08 2.6073704489689157e-06 -1.119577529430993e-08 -0.0069973638316684385 -0.0010811781061276467 -0.017389527994636108 -0.01251186726195995 -0.01785457159859137 0.019050646979148416 0.026673861242550483 0.5353521953509285 0.032082706112293996 -0.027810473580567596 -0.019295652847487334 0.0014001069228342434 0.02510408954460134 0.004877947048937973 -0.010282168737740986 0.013090421973004676 0.005093341370419148 -0.008313042496194254 -0.0021177004014229684 -0.017168101755699213 2.0070105628574195e-05 3.6739507835476804e-05 4.4089707281576864e-05
PC_11 0.0002757171477652034 9.706889299636138e-06 -0.0002842474946644168 -0.005214956543935488 0.00017663872773085907 3.838763872948777e-06 -1.69733684601615e-08 -1.8571476600133495e-06 5.795540638571174e-09 -0.00010418683087827118 -0.012925897790368995 0.0027686716333911255 0.003785842689176218 0.011249664879444591 0.0003413362518729905 -0.0013763638413911187 0.03208270611229406 0.4731931804568249 -0.004809099650380013 -0.0001852113736044227 0.005873301081916072 0.035270267915914554 -0.006908755437828707 0.01846919645956809 -0.009622010487370252 -0.004833534980896801 -0.002591258091449846 -8.940645243837191e-05 0.034030070920549126 8.75850847021751e-06 5.3147052095075566e-05 7.94218787241665e-05
PC_12 -0.0004955974227245427 -5.34661955503926e-06 0.0005304369128394857 0.009639149073766085 -0.00039775619719139795 -7.79638871791333e-06 3.755557061766675e-08 5.474065237644313e-06 -2.5184717558631165e-08 -0.0011051530774953842 0.0005678938687199791 -0.017740256947357706 -0.0100281583279114 0.014632280416094995 -0.011596437321125893 -0.022606066344708443 -0.02781047358056766 -0.00480909965038007 0.5239908032518497 0.026885864322014782 0.010389040926939134 -0.009503078781060971 0.009500580355860086 0.025730115704790224 0.018823527275501743 0.009789001137687065 0.016472477592886465 0.014716679530779623 0.0010016240708848468 1.510479887301103e-05 -5.44442428084555e-05 4.1358300553523475e-05
PC_13 -0.0003703630019487177 -1.3374731839994809e-05 0.0005525937536516617 0.013658516809769702 -0.0005580940015218555 -7.726797455598772e-06 3.530909008757881e-08 7.5930905655204015e-06 -3.435959977510833e-08 0.0007923906119065134 0.010334620513469369 -0.012092586378312835 0.0015015292278854303 0.030533421818426457 -0.019375216906758384 0.003650419380575202 -0.019295652847487455 -0.00018521137360444581 0.02688586432201461 0.5503096317353146 0.0077065487157013295 -0.014240268419080488 -0.015182436021771821 0.02872858258891449 0.019388774725838356 0.0028342962292085146 -0.027901943700196472 -0.024000247422500908 -0.010591600448470245 5.86405845604626e-06 -3.1675997197494234e-05 -1.1288404838637602e-05
PC_14 0.00048082362702943723 1.747742492260361e-05 -0.0008855536308344852 -0.022527759975956442 0.0009370150182108798 1.2503087613923688e-05 -5.761607997945802e-08 -1.2854987736209687e-05 5.812328828361619e-08 0.009211795667345072 -0.01691928292254366 -0.0021807932713873122 -0.004918953616319577 0.00881345152020976 0.006389434621531909 -0.0029045768724202227 0.001400106922834693 0.005873301081915973 0.010389040926939824 0.007706548715701692 0.5394390936594347 -0.005443423578568367 -0.004354122805834676 0.009872683925151364 -0.012669497737522921 -0.006711380724570589 -0.0033054425224543476 -0.04182542740452364 0.005542571299916233 -3.7351801022399075e-06 2.528525655391434e-05 -7.4344587272838505e-06
PC_15 -0.000518597213074328 -1.3173463908724868e-05 0.0005990136056796687 0.015582942379374277 -0.0006287394046631046 -8.126488644457062e-06 3.5788942034751093e-08 8.361994970462018e-06 -3.664384672195613e-08 0.004366464761003526 -0.0071747171524929225 -0.011997454754305938 -0.02418320516637217 -0.02709702185752756 0.03506760788573675 -0.00801642655231433 0.025104089544601117 0.03527026791591455 -0.009503078781061313 -0.014240268419080675 -0.005443423578568471 0.668542642640654 -0.034731654198429315 -0.005112291776324913 0.025824207548612935 0.0039715156774889245 0.0075729888700375595 0.002957589615674641 -0.023711814405004535 6.8340328489522334e-06 -4.034473562841548e-05 -1.6138579021885628e-05
PC_16 -0.0003233762443004133 -3.148999804099833e-06 0.0003688582881609447 0.005052644393348245 -0.00020636017392952228 -5.1822775293664794e-06 2.3339358957382087e-08 2.7098312329856144e-06 -1.1486236225673058e-08 -0.0035653686347283512 0.010738730680170226 0.010574529261776815 0.014426709846108431 -0.015261610433042298 -0.016167393288322514 -0.01575051339315464 0.004877947048938078 -0.006908755437828863 0.009500580355860341 -0.015182436021771488 -0.004354122805835486 -0.03473165419842885 0.6209554302574927 0.015584755163554165 0.004401137684852379 -0.006598319978014135 0.006407726193472548 0.017736968274111385 0.014089754948525244 -2.7596271463177412e-05 -2.582663113561391e-05 -9.835781098212987e-06
PC_17 -1.064744988405499e-05 1.7209829082781328e-05 -5.6707010557233525e-05 -0.007890766665762253 0.0003011622726909701 1.3766189008372e-07 3.074497948823737e-09 -3.764555914523914e-06 1.528748163125907e-08 -0.014463485998900367 0.008830392886530652 -0.0223013077521903 0.021358204395835623 0.02983212962289523 0.007593559003177137 -0.016253671255479166 -0.010282168737740608 0.018469196459567835 0.025730115704790946 0.028728582588915266 0.009872683925150035 -0.0051122917763240785 0.01558475516355457 0.6961846488000318 -0.02901194588161969 -0.01811732465960569 -0.024506716723204792 -0.019292554720417895 -0.044861673723059374 -1.962949283991548e-05 3.80842306209614e-05 2.7182486857564577e-05
PC_18 0.0004739715724466233 6.784807949535874e-06 -0.0010858354033713 -0.03060161821419433 0.0013196574412134006 1.5438601632008647e-05 -7.254736444240268e-08 -1.873344154308014e-05 8.756886069115419e-08 0.002986346530618289 -0.008009182873360502 0.008216362477955569 -0.004112171711021531 -0.014136968435253843 0.017608402522457857 -0.0058612184276532605 0.013090421973005164 -0.009622010487370233 0.018823527275502416 0.019388774725838376 -0.012669497737522106 0.025824207548612456 0.004401137684853313 -0.02901194588161749 0.7195364028314853 -0.015864445570554865 -0.007754534982070761 -0.007369383891241552 0.0159532507248812 4.4381990944302966e-06 1.0140154672095188e-05 1.9404834002534127e-05
PC_19 0.00013414676112664345 5.570937110243591e-07 -2.0297943366842196e-05 0.0036482665656093357 -0.0001829837905511191 3.83152082203677e-07 -2.4635006630851583e-09 2.9490161551723304e-06 -1.5375836929832786e-08 -0.0013106631118394545 0.0035287377384651706 0.005253498875779116 -0.0011815402249342683 -0.011305621057784805 0.005072604888787533 0.0017635183054046065 0.005093341370419037 -0.004833534980896755 0.009789001137686841 0.0028342962292083836 -0.006711380724570379 0.003971515677488837 -0.006598319978014272 -0.01811732465960591 -0.015864445570554348 0.7528076599789953 -0.00018267166731873347 0.0026189248441459375 -0.005928500056657065 2.768062177761895e-05 4.550705206731931e-06 -1.0961723045941656e-05
PC_20 -7.990646622301004e-05 -5.582251768639813e-06 -0.00014410825648143667 -0.004065198012575674 0.00020815113002455653 2.3776052088274412e-06 -1.314845974730777e-08 -3.4440935375827057e-06 1.846561171319555e-08 0.004881388007259561 -0.005715126300072969 -0.0005898613565390398 -0.008458345652386349 0.0013010349646324511 -0.004600681950575866 -0.0024717670267848366 -0.008313042496194278 -0.002591258091449783 0.016472477592886354 -0.027901943700196826 -0.0033054425224535843 0.007572988870037059 0.006407726193472593 -0.02450671672320419 -0.007754534982069855 -0.00018267166731900762 0.7433333880759383 0.01203869668566612 -0.01822778828212937 -6.954444410669498e-06 3.5931667447500364e-05 -1.842975648417328e-05
PC_21 2.6443308341114425e-05 8.14083773420745e-06 -0.00032803217597612334 -0.015270643962950565 0.0006508716084773075 4.057481724958308e-06 -1.570687327564934e-08 -9.157670074440096e-06 4.226689030904878e-08 -0.0011886856124563147 -0.001961527655492933 -0.0019244276627712427 -0.0037665248105664237 0.006010187516607513 0.0028631600910811175 -0.012397655659709428 -0.0021177004014226904 -8.940645243842087e-05 0.014716679530780149 -0.02400024742250062 -0.0418254274045239 0.0029575896156747764 0.01773696827411184 -0.01929255472041708 -0.007369383891242648 0.0026189248441459137 0.012038696685665408 0.7695347176700724 0.013587185358885305 1.6301344318260365e-05 6.054941992936908e-05 2.9658067996722852e-05
PC_22 -0.0003890469931114636 -2.4973169950846774e-05 0.000659992980283019 0.01882359827277169 -0.0007539322116593373 -8.909349051425263e-06 3.935582208873169e-08 9.958953724865511e-06 -4.340865808307016e-08 0.006266539161084398 0.006351176001726227 0.013422798915933279 -0.010291849630220349 -0.008946331048120044 -0.014038066646376784 0.017994872586519012 -0.017168101755699626 0.034030070920549285 0.0010016240708841534 -0.010591600448470765 0.005542571299916669 -0.023711814405004906 0.014089754948524534 -0.044861673723060304 0.015953250724882444 -0.005928500056656974 -0.018227788282128725 0.013587185358885421 0.7492823261031495 -2.3604948815369378e-05 -1.2248631300874863e-05 2.1278324234775546e-05
proband -2.975207835251541e-06 2.417379293671643e-09 4.718365571837915e-06 9.418413995816176e-05 -3.871693783088696e-06 -6.598752140428948e-08 3.07124518858208e-10 5.2515261510395403e-08 -2.365568952133454e-10 8.582014691345659e-06 -7.137497962648514e-06 -1.6478084746257922e-07 -8.321180573479662e-06 -1.1769709871963213e-06 2.1445624011110527e-05 9.22810535438551e-06 2.007010562857879e-05 8.758508470215647e-06 1.5104798873014346e-05 5.864058456052839e-06 -3.735180102256226e-06 6.8340328489614034e-06 -2.759627146317674e-05 -1.9629492839922665e-05 4.438199094406631e-06 2.7680621777622495e-05 -6.954444410670016e-06 1.630134431825239e-05 -2.3604948815357286e-05 3.794816463921189e-05 -2.5650395733927154e-05 -2.2439955314586155e-05
paternal -1.465589765002096e-06 -3.1123746826725504e-08 6.085067132857766e-07 -2.3011069773380768e-06 4.2277245280846105e-07 -7.555097914228466e-09 3.073708456123296e-11 -9.615472350526813e-09 5.842909891108773e-11 0.0001218493797771433 1.1935901490451182e-05 3.613111324137609e-05 -1.252986069371826e-07 1.5029509972853553e-05 9.297059628379509e-05 6.841777056522826e-05 3.673950783547423e-05 5.3147052095075965e-05 -5.4444242808457845e-05 -3.167599719749787e-05 2.5285256553927133e-05 -4.034473562841894e-05 -2.5826631135615107e-05 3.8084230620960164e-05 1.0140154672106878e-05 4.550705206729724e-06 3.593166744750231e-05 6.05494199293716e-05 -1.2248631300880255e-05 -2.5650395733926927e-05 9.601321990698354e-05 -4.151841964314519e-05
maternal 6.786869771628126e-07 -7.751488421985094e-08 6.624459074303999e-07 0.00010346976134633185 -4.856642587649008e-06 -9.055887565091351e-09 3.899848904556842e-11 7.389456057495524e-08 -3.6624744150653694e-10 8.505962716615787e-05 2.4812925932940963e-05 6.539240008830221e-05 6.604074290110155e-08 4.359800631127752e-05 3.7595309674619886e-05 -3.6077311024890838e-06 4.408970728157147e-05 7.942187872417029e-05 4.135830055351294e-05 -1.1288404838645738e-05 -7.4344587272705555e-06 -1.6138579021894244e-05 -9.835781098219335e-06 2.718248685756197e-05 1.940483400255551e-05 -1.0961723045942081e-05 -1.842975648416642e-05 2.965806799672874e-05 2.1278324234769206e-05 -2.243995531458656e-05 -4.1518419643144735e-05 8.987193098934836e-05
