(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband paternal maternal gpp gpm gmp gmm
(Intercept) 0.00520503466772632 0.00378067320683758 0.000850466458706458 -0.00289050863046345 -0.000114386283475606 5.00992203535106e-06 -3.50385310872499e-05 -0.00019209524794692 -0.00015962935357193 0.000275166913196821 0.000175237941470591 4.66481319185565e-05 6.86552700861579e-05
covarage 0.00378067320683758 0.00520360692310152 0.0036075399478641 -0.00831047879326953 -9.11229237289942e-05 4.78123942578622e-05 1.39398126846159e-05 -2.70504742492348e-05 -1.34572960111768e-05 0.000159860521573037 -0.000101687257006854 -9.9698377860018e-05 4.0145081866344e-05
covarsex 0.000850466458706458 0.0036075399478641 0.00522586529100441 -0.00919761623991914 -4.22963265769425e-06 -1.62525173390265e-05 -3.3498099709331e-05 -3.48581779027841e-05 8.62924179455938e-05 0.000185054930070391 -1.81721081136282e-05 7.50970384562873e-06 -7.87043233446138e-05
covarage_sex -0.00289050863046345 -0.00831047879326953 -0.00919761623991914 0.02039380745397 -4.6830470932087e-05 7.32498926329853e-05 3.75734836101061e-05 5.95566888615738e-05 -8.21871638126417e-05 -0.000393313350064102 8.85925339553427e-05 -2.63240958515065e-05 7.14730836677357e-05
covarPC_3 -0.000114386283475606 -9.11229237289942e-05 -4.22963265769425e-06 -4.6830470932087e-05 0.00112982761907994 -8.46917435532669e-05 1.30329802995154e-06 1.22933923425714e-05 -3.49827489489313e-05 0.000106444984199654 0.000107317764627168 0.000218482505038437 3.12666145746626e-05
covarPC_4 5.00992203535106e-06 4.78123942578622e-05 -1.62525173390265e-05 7.32498926329853e-05 -8.46917435532669e-05 0.000993287537579186 -2.13104110302412e-05 -3.9179036134424e-05 2.10516169258837e-05 -1.44447345893869e-05 0.000123600493961544 -2.66055971791704e-05 9.41483237778423e-05
proband -3.50385310872499e-05 1.39398126846159e-05 -3.3498099709331e-05 3.75734836101061e-05 1.30329802995154e-06 -2.13104110302412e-05 0.00196924576431406 -0.00100062813459212 -0.00105782732327385 2.16523229237077e-05 4.81543820709608e-05 1.79235842055606e-06 9.49073080215212e-05
paternal -0.00019209524794692 -2.70504742492348e-05 -3.48581779027841e-05 5.95566888615738e-05 1.22933923425714e-05 -3.9179036134424e-05 -0.00100062813459212 0.0063763358877978 0.000272512695648846 -0.00469437496849741 -0.00471169587057538 0.000172362477499674 0.000102884910699465
maternal -0.00015962935357193 -1.34572960111768e-05 8.62924179455938e-05 -8.21871638126417e-05 -3.49827489489313e-05 2.10516169258837e-05 -0.00105782732327385 0.000272512695648846 0.00581842362727266 -8.64860364616503e-06 0.000354125872214545 -0.00419728383708433 -0.00395449066846138
gpp 0.000275166913196821 0.000159860521573037 0.000185054930070391 -0.000393313350064102 0.000106444984199654 -1.44447345893869e-05 2.16523229237077e-05 -0.00469437496849741 -8.64860364616503e-06 0.0151438745094095 -0.00619065550289611 -9.06823656852374e-05 -3.47337909785949e-05
gpm 0.000175237941470591 -0.000101687257006854 -1.81721081136282e-05 8.85925339553427e-05 0.000107317764627168 0.000123600493961544 4.81543820709608e-05 -0.00471169587057538 0.000354125872214545 -0.00619065550289611 0.0151192199853361 -0.000210823614280572 -0.000231328725871495
gmp 4.66481319185565e-05 -9.9698377860018e-05 7.50970384562873e-06 -2.63240958515065e-05 0.000218482505038437 -2.66055971791704e-05 1.79235842055606e-06 0.000172362477499674 -0.00419728383708433 -9.06823656852374e-05 -0.000210823614280572 0.00978510846318056 -0.00179924448098258
gmm 6.86552700861579e-05 4.0145081866344e-05 -7.87043233446138e-05 7.14730836677357e-05 3.12666145746626e-05 9.41483237778423e-05 9.49073080215212e-05 0.000102884910699465 -0.00395449066846138 -3.47337909785949e-05 -0.000231328725871495 -0.00179924448098258 0.00933800708184146
