 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband
intercept 1.727006924854361e-05 1.8207250058341753e-07 -4.398629973444053e-06 -3.3830369597499815e-05 2.178797063677743e-06 8.504901473191236e-08 -4.706145253784152e-10 -4.342599069989115e-08 2.7339221395466887e-10 -5.887222745988632e-07 3.5815883975902394e-05 -0.0001532331465961306 1.9651193344658275e-05 0.00021939934586394705 -8.580544733669016e-05 8.500847899948017e-06 -0.00013087405308082693 6.597267450262041e-05 -0.0002469133927287768 -9.583489834308349e-05 -4.635115765835254e-06 -0.00012004607203509522 1.9994656587379385e-05 -0.00012003482990332888 0.00011239870862602826 7.014664589729091e-05 -9.475233063678801e-06 -7.520339069946131e-05 2.4769655455169046e-05 -2.387084212207194e-07
yob 1.8207250058345792e-07 1.2673954466519652e-07 2.922202857668458e-07 1.2790124847675676e-06 -9.409536644748052e-08 -2.046889623244499e-09 3.184981622221544e-12 1.2439656627318487e-09 -3.0692567474369727e-12 -7.481953812684675e-07 1.0290251918680176e-05 -4.9501468289348324e-06 -1.1004443260379246e-06 5.768779900501201e-06 -5.593591623572115e-06 -2.469554402675765e-06 -5.487608682310245e-06 5.281678861664029e-06 -8.561838661820874e-06 -5.7429010820719665e-06 5.3847546541264e-06 -4.49016531630655e-06 -2.601784238705814e-06 9.075835927422118e-06 5.2384347807464775e-06 1.6573015426612563e-06 -1.363676445151906e-06 2.581902763169406e-06 -1.5998736771245083e-05 -1.882717004263257e-08
age -4.3986299734618065e-06 2.9222028576634076e-07 6.456119457727489e-05 0.0009518939746023314 -6.351765181177228e-05 -1.2997260511750976e-06 8.182890416976492e-09 1.2863003481750521e-06 -8.11079465077474e-09 -5.993270299162263e-07 1.9550861508676457e-05 -6.802695686592176e-06 3.4955274667734e-06 7.122734310936247e-05 -2.641713953198539e-05 1.4112339054684817e-05 -2.387986312193352e-05 8.837130157264873e-06 1.2542042535014796e-05 -1.095721836001799e-05 -1.4375749684529552e-05 -8.03769067199858e-06 -4.827356494400782e-05 -1.7021868842587962e-05 3.2048349789084364e-05 -9.64200880144124e-06 -2.293273909179976e-05 -2.794818291138629e-05 2.7700058756997337e-05 1.3575127267921587e-08
sex -3.383036959740531e-05 1.2790124847663327e-06 0.0009518939746019023 0.02488118191593134 -0.0016254553241259672 -1.8823184377475238e-05 1.1667175643010185e-07 3.2469727654351646e-05 -2.026104107478593e-07 6.483983966713538e-05 0.0003319158821444101 0.0005755129355516024 0.00015585940938016087 0.00023546647785562897 -0.00030268947773424347 0.00046083878235981954 -0.0005575661970437381 5.823501948163237e-05 0.0002591245305538228 -0.0005021777343515784 5.7974334212342776e-05 -0.00025091096708030177 -6.729283025364111e-05 -0.00034241141929960837 0.00022486938852128407 0.0005589006523858589 0.00028744019949324953 -0.0001342264172624123 6.119672491832479e-05 -1.2878015782936083e-06
age_sex 2.178797063701192e-06 -9.409536644656861e-08 -6.351765181174227e-05 -0.001625455324125995 0.00010948562269911018 1.284920906414035e-06 -8.10585210615275e-09 -2.2362929014463322e-06 1.419764487458421e-08 -8.264946717204945e-06 -7.291621787107953e-06 -2.3275375790839297e-05 -7.545951839716259e-06 -1.2511344182164813e-05 1.2451751318788759e-05 -3.299831160202905e-05 2.5329108455825546e-05 -4.0429772642799814e-06 -2.0790112384611002e-05 3.309328183165806e-05 -3.537500331792684e-07 1.1053999326160287e-05 5.0217043623941414e-06 3.2437042613421257e-05 -1.296216791686646e-05 -4.207796591201158e-05 -1.7923333695230798e-05 1.9249012301183504e-05 -2.1090095789074165e-05 -1.1959603317574718e-08
age2 8.504901473209281e-08 -2.0468896232421238e-09 -1.2997260511751255e-06 -1.88231843774848e-05 1.2849209064146798e-06 2.6791877876061272e-08 -1.717523681611704e-10 -2.6541640703057352e-08 1.7023773592556014e-10 4.149866583515238e-08 2.467603186444311e-07 3.812749028788735e-07 2.7567125573646378e-08 -1.1396709174025303e-06 2.2037658785936572e-07 -3.5753455607970507e-07 1.9233205933153696e-07 -8.372455503304801e-08 -5.009698771401889e-07 3.048885334155156e-08 3.3628134030377305e-07 -3.9784043832400815e-08 1.0811842208959595e-06 7.342170543702749e-07 -4.920541520734241e-07 2.3925677053424535e-07 4.5436672658740485e-07 6.605357547987759e-07 -1.314150289973946e-06 -1.750309791884964e-09
age3 -4.70614525378846e-10 3.1849816222016413e-12 8.182890416976924e-09 1.1667175643016876e-07 -8.10585210615726e-09 -1.7175236816117542e-10 1.1183424645130055e-12 1.702139879745689e-10 -1.1083885618003131e-12 -8.22132654317515e-10 -3.2454021393901193e-09 -4.350577286601224e-09 -5.77751514864478e-10 7.2807023787216665e-09 -8.097475945660752e-10 2.213545411271357e-09 -6.779695081876487e-10 7.020986611779661e-10 2.891516093229252e-09 1.5864030418765937e-10 -1.8602774197479816e-09 7.149173417773025e-10 -7.814964831850922e-09 -6.13258401808007e-09 3.173356781008739e-09 -1.4826485668205174e-09 -2.799376079205003e-09 -4.482182696641327e-09 1.075193625059038e-08 1.8032898680444055e-11
age2_sex -4.342599070056813e-08 1.2439656627208968e-09 1.2863003481744683e-06 3.2469727654353225e-05 -2.2362929014464055e-06 -2.6541640703044676e-08 1.7021398797447988e-10 4.655623869038163e-08 -3.0044128979078607e-10 2.1186083663182557e-07 -5.4928850768632855e-08 2.0820483102793364e-07 1.0779192852626657e-07 2.0819219325062376e-07 -1.4436464986637437e-07 7.12197143157018e-07 -3.8020120465901324e-07 7.054214347516906e-08 4.80729630121117e-07 -5.771860137603862e-07 -4.5711319231895754e-08 -1.1662620639107605e-07 -1.6104141051300066e-07 -7.883800873665486e-07 3.113491902181667e-07 9.143366576201689e-07 3.559434029719093e-07 -6.01735650966515e-07 6.651508946727234e-07 1.4218797712693079e-09
age3_sex 2.7339221395512217e-10 -3.069256747395245e-12 -8.110794650771384e-09 -2.0261041074787926e-07 1.4197644874585298e-08 1.7023773592548476e-10 -1.1083885617997781e-12 -3.0044128979079817e-10 1.9683244230933014e-12 -1.2592354606082221e-09 1.339607663559515e-09 1.269633530999239e-10 -5.248561593951648e-10 -1.24828112975069e-09 4.0998326348876494e-10 -4.650014098885057e-09 1.901126548730737e-09 -2.447239574405937e-10 -3.2801566511263985e-09 2.77866413307036e-09 5.9234333177714e-10 3.2535425855603237e-11 1.4350352206029194e-09 5.539438352610392e-09 -2.503078308972072e-09 -6.019377587791071e-09 -2.172411794973089e-09 4.919378630453121e-09 -5.353106363803697e-09 -1.5443427573463227e-11
PC_3 -5.887222745975658e-07 -7.481953812684899e-07 -5.993270299411023e-07 6.483983966661024e-05 -8.264946717168421e-06 4.1498665835670896e-08 -8.221326543208741e-10 2.118608366310542e-07 -1.2592354606031662e-09 0.03888466474241394 0.002327004577643721 -0.0029423620067454675 0.002626735956451503 -0.007912519735392504 0.002595101221512428 0.0014291642588082835 -0.007582263472460544 0.0021847567287726754 -0.008175907346334053 -0.0002967935882265933 0.014115175177325965 0.00287869764605991 -0.0037480389249234755 -0.01788293539963873 0.003478533556735259 0.0007285044297576431 0.0021824938846842336 -0.0014523831708224528 0.007518279086365016 8.895627696265262e-05
