 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gp gm
intercept 0.11608721794978824 2.5967776496972828e-05 -0.14868421034700338 0.0025658362859187797 -1.4438927338976558e-05 -0.05703994360692852 0.008502588665863222 -0.0157916633046437 -0.02149654075305403 0.10649774197592479 -0.04804662814915851 0.0460251367373002 0.0668736672385108 0.043690652686048215 -0.05009920686872233 -0.015747781196349855 -0.020928631704976913 -0.10541229025510453 -0.10454606664157462 0.04376563269983757 0.02025132088872707 -0.013195863814728846 -0.1322454391547141 -0.04182707484285661 -0.0053924129792009634 -0.0008135689046334647 -0.0001624875326717454 -0.00019897604330493195 0.00016521649277300075 0.0007756281614776234
yob 2.596777649705518e-05 1.773871983588235e-05 -7.477551868767938e-05 1.6008263670371422e-06 -9.61220479206794e-09 0.0004283983965144727 0.001688956829377839 0.0004175015136458766 -0.00408749880814652 0.0011687464266218728 -0.0015066926946771086 0.0002273733689447118 -0.000615213127098752 0.0016495347414243475 -0.00033043206217000306 -0.0005815748038676528 0.00497699192438553 -0.002547696862773648 0.0015797924073963053 0.0003688203554177372 0.0022655390960205123 -0.0012819536680182227 0.0006350102146338174 -0.00019240759705367957 -0.0021245566183349662 -6.288562327237358e-06 1.6809840713754802e-05 2.1626660133758152e-05 -2.7233845573959933e-05 -2.0642112302874336e-05
age -0.14868421034694437 -7.477551868732425e-05 0.42752822379768185 -0.008059973943879549 5.016897869702099e-05 0.021462328918462593 -0.01289986253495246 -0.0244960043664054 0.12447217870681211 -0.1396092322753176 0.11517069262778515 -0.12356205971796116 -0.04872321826164761 0.06684008784962898 0.1543238898278223 -0.1739853650467495 -0.2223953452198321 0.36248394238278037 0.12241537148471669 0.06721220428968197 -0.051170299527682914 0.10262784767247707 0.12298901511869403 0.07704122717955479 -0.04119050058464729 0.0012681001844652546 -0.0013292939873359904 -6.613821581843084e-05 0.001757406710808737 -0.0012131350861805687
age2 0.0025658362859175125 1.6008263670357582e-06 -0.008059973943879322 0.00015288061802594912 -9.574198074090825e-07 -0.0002492842814730572 0.0002504427620798131 0.0005659070908659937 -0.00248304890036298 0.0024807951699654545 -0.002239133394988515 0.002357233796088864 0.0006866949214209145 -0.0015445154052878818 -0.003056681080248 0.003586531925643831 0.004549213211212163 -0.0069882193219719235 -0.0021296551792242325 -0.001602692561792789 0.000909550256956591 -0.002073211833934234 -0.002027655676231054 -0.0013823467631460067 0.0009024304222706154 -2.2901148940739963e-05 2.6462222696446416e-05 1.4277030637559344e-06 -3.471803079689253e-05 2.179730004325427e-05
age3 -1.4438927338968361e-05 -9.612204792030463e-09 5.0168978697018107e-05 -9.574198074090552e-07 6.032938524331705e-09 5.837766372804192e-07 -1.4905020394149115e-06 -4.232477058971496e-06 1.599446000970318e-05 -1.439916765511398e-05 1.396081135434513e-05 -1.507017032598122e-05 -2.836393301470083e-06 1.1784055652420761e-05 1.976831745267506e-05 -2.4112067445120332e-05 -3.0515483435898536e-05 4.425015027158942e-05 1.2131263389173681e-05 1.2187443140228943e-05 -5.110333965406047e-06 1.3480057903181083e-05 1.0939323195957393e-05 8.263316298882944e-06 -6.369780681480927e-06 1.344014677424911e-07 -1.7159175740942712e-07 -1.0121220394795994e-08 2.2442684922702694e-07 -1.3042844351139757e-07
PC_3 -0.05703994360693044 0.0004283983965144795 0.02146232891847339 -0.0002492842814732655 5.837766372817656e-07 3.3755160069952708 -0.3681499950435693 0.12177437315410196 -0.9585724554528001 0.8345376910877264 0.6401401828820817 -0.4197195137896414 -0.8162165330971684 -0.6187991232317517 -1.015717390833636 0.2769537658142667 0.5747852103095471 -0.40904606102041824 -0.4258028408642493 -1.9645279388779855 -0.6896235123445398 -0.04019106814504292 1.618208407625338 -0.4289790573167475 2.141773048460586 0.0019326216772063574 -0.0012213583316075787 -0.002936563923834935 0.010096249037466901 0.004196105973059904
PC_4 0.008502588665873952 0.001688956829377837 -0.012899862534992087 0.0002504427620805738 -1.4905020394197178e-06 -0.3681499950435674 11.523308750648695 1.068410307841416 1.330676368672133 1.0631257122359907 -1.0814220487297335 -2.0991015318336825 2.8154423643509525 -2.494163246587176 1.9188237634824914 1.6719389281036452 1.6302344666366058 -1.7144880422725455 3.462477038425072 -1.8849179570192547 -2.5327103783732356 -0.47225676584684195 -2.4884293194224787 2.3704912413882586 0.9402853155575992 -0.007096360354658369 -0.0033638119582820483 0.002662276692180942 -0.002605129063460724 0.006423604600307897
PC_5 -0.01579166330465884 0.000417501513645853 -0.024496004366372105 0.0005659070908653719 -4.232477058967714e-06 0.12177437315410117 1.0684103078414142 13.585059453587387 -0.6425016798604154 -0.11789407815547084 -2.8173296444057687 -0.6659231596530921 -1.4268002608919672 -0.4249906443101518 -3.0257060928473756 -2.26077996859266 1.9056087741798022 0.5160679993820971 1.1000482134682235 -3.1735360442549907 -6.206790463529622 -3.4651749812624297 -1.5220369398083085 -1.6702644799628683 1.0408520291710952 -0.0074942062442059 0.011253857677811724 0.010344112798476046 -0.005146006224430065 0.0012916839514023686
PC_6 -0.02149654075301021 -0.004087498808146436 0.12447217870673875 -0.0024830489003616627 1.5994460009695388e-05 -0.9585724554528032 1.3306763686721463 -0.6425016798604164 22.11320005977567 0.2088847687687194 -3.5699251543046153 1.9680932705371896 -1.6379972552935163 2.7741848342947732 2.302316304063639 0.23008712884344995 -0.9753704637303547 -1.8999081776377087 -0.14404869015974187 3.9518802085872684 0.46840770572917884 1.955458036138222 -4.245513983132724 2.147003418742691 -0.08236010750267826 0.005440377211572315 -0.007977951744517415 0.0037221789892513154 0.005578982686006015 0.006821542852421744
PC_7 0.10649774197592798 0.0011687464266219348 -0.13960923227538868 0.002480795169966885 -1.4399167655123399e-05 0.834537691087726 1.0631257122359916 -0.11789407815544713 0.208884768768678 28.9088605597736 -0.7219663600041577 3.9428549013203944 -2.17089189825679 -0.19759888064935566 4.337844903942749 -2.433211475629276 4.805232082631786 -2.6856983053214702 -2.0139012343613407 6.251182215807252 -1.872983275468161 -3.405879537099801 -5.104000249879397 3.0344106697667903 -1.9277617431521283 -0.02937368412193392 0.02353417315650494 -0.00016307158321014048 -0.006201514026597741 0.028632448318893135
PC_8 -0.048046628149148465 -0.0015066926946771134 0.11517069262780463 -0.002239133394988947 1.3960811354348179e-05 0.6401401828820771 -1.0814220487297117 -2.8173296444057727 -3.5699251543045802 -0.7219663600041363 29.84471330805166 -0.5581482059182109 2.5452691389772504 3.199996612478422 -0.9058947485373544 2.326483292137858 0.6717389213996665 1.71876582690542 -3.1578616392678662 1.5681894859193644 4.114591034803357 -1.0063298639406697 5.389906442967476 -0.12980304532402706 -5.124701599278923 0.009398288395053562 0.014448162747713546 -0.022218510483923783 -0.003002283103476628 0.010501658738019608
PC_9 0.046025136737283485 0.0002273733689446563 -0.12356205971796921 0.002357233796089092 -1.5070170325983106e-05 -0.4197195137896354 -2.099101531833708 -0.665923159653074 1.9680932705371637 3.942854901320371 -0.5581482059182079 36.81227509879377 3.5334015857595547 -1.4280274795135575 -1.6686761202147444 0.21371749633355508 -0.2891215593326602 -0.5082626097758648 -3.1490443224566573 -0.9601121897252082 2.388316908697003 3.863792376375882 -5.342886503306498 -1.9505077425240418 2.900654656260298 -0.010138874865537773 -0.011518899889772161 -0.015134314928346727 0.039230452538809635 0.020111064875006742
PC_10 0.06687366723849829 -0.00061521312709877 -0.04872321826162412 0.0006866949214204842 -2.8363933014674963e-06 -0.8162165330971659 2.815442364350953 -1.426800260891967 -1.637997255293512 -2.17089189825679 2.5452691389772593 3.5334015857595595 51.685831957638754 4.4752801357499905 -8.297981115981948 -1.002322960174478 -0.01619928524940407 -1.5891124427555088 2.821736911347953 0.0991493787392141 2.411046601814945 1.4348455078338127 -0.6861147761324748 -6.840484575959045 -5.676931714788842 0.004121624189633707 -0.0008176691539452705 0.0019887169739745097 -0.010247943150409224 -0.002051174297569085
