(Intercept) covarage covarsex covarage_sex covarPC_3 covarPC_4 proband sibling paternal maternal
(Intercept) 1.12464475429261e-05 6.22931071554686e-06 -6.43844886654862e-09 2.99572464950076e-06 -2.4267656691014e-09 -4.4178168772127e-09 -7.53931526724579e-07 7.90090795086044e-10 1.18656713280204e-09 -6.34692604528142e-10
covarage 6.22931071554686e-06 0.00503809873462843 -9.83565489468528e-07 -2.71100990978893e-06 -1.33112719944729e-06 2.7160156701325e-06 1.21665975005078e-06 1.08971384900789e-06 1.5244481322053e-06 1.16379909765245e-06
covarsex -6.43844886654862e-09 -9.83565489468528e-07 1.04907496978414e-05 -7.26114658248158e-09 3.68921457376776e-09 3.98213483794577e-09 7.01478421994825e-09 -1.25364586983368e-09 -1.65414413134068e-09 8.82010796075788e-11
covarage_sex 2.99572464950076e-06 -2.71100990978893e-06 -7.26114658248158e-09 1.19902444782538e-05 1.97749090642428e-09 1.5102592743296e-09 -2.9912808213986e-06 5.63898393535406e-10 3.71742226676111e-10 2.35497464972275e-09
covarPC_3 -2.4267656691014e-09 -1.33112719944729e-06 3.68921457376776e-09 1.97749090642428e-09 1.04857200289196e-05 1.45852240041099e-09 4.98772736841158e-09 6.84955381435067e-10 -6.74901304168313e-10 2.29260986930061e-09
covarPC_4 -4.4178168772127e-09 2.7160156701325e-06 3.98213483794577e-09 1.5102592743296e-09 1.45852240041099e-09 1.12322438593161e-05 4.91682069148824e-09 -8.00610057443954e-07 1.98805445428429e-07 -3.00393032024667e-06
proband -7.53931526724579e-07 1.21665975005078e-06 7.01478421994825e-09 -2.9912808213986e-06 4.98772736841158e-09 4.91682069148824e-09 1.12314351753679e-05 -6.49436270014491e-09 -7.03293448144829e-09 -8.89527753746741e-09
sibling 7.90090795086044e-10 1.08971384900789e-06 -1.25364586983368e-09 5.63898393535406e-10 6.84955381435067e-10 -8.00610057443954e-07 -6.49436270014491e-09 1.20297053831201e-05 -3.01303715529469e-06 3.19812581550613e-06
paternal 1.18656713280204e-09 1.5244481322053e-06 -1.65414413134068e-09 3.71742226676111e-10 -6.74901304168313e-10 1.98805445428429e-07 -7.03293448144829e-09 -3.01303715529469e-06 1.12413372537223e-05 -8.05492355227938e-07
maternal -6.34692604528142e-10 1.16379909765245e-06 8.82010796075788e-11 2.35497464972275e-09 2.29260986930061e-09 -3.00393032024667e-06 -8.89527753746741e-09 3.19812581550613e-06 -8.05492355227938e-07 1.20320133788069e-05
