 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gpm gmp gmm
intercept 0.008416190007192627 -5.457413990245465e-06 0.0010253683138675336 0.0012340274817067844 -0.00021343907695686522 -3.8519423984623325e-05 4.254562179702297e-07 9.141915737513462e-06 -1.078621061068678e-07 -0.0021012328761877376 0.0008097919438498693 -0.0005279523173485525 0.0006367661426939545 -0.001006019911906678 -0.0019040134894294525 0.003368886789271617 0.0005369410981173837 -0.0007980347151912567 -0.004050647701036236 -0.000711763463103108 -0.002677213926333549 -0.0026702731836342375 -0.006535586298542979 -0.00208444323957356 -0.005631480956134796 -0.0032559938943011414 0.0005306540196158755 0.009445921856946388 0.00552204543964579 3.7883366012813695e-05 -3.0948900471879925e-05 -5.342485005854301e-05 3.591564454435141e-05 1.6632928160658495e-05 4.477443155913303e-05 -1.0543144757456175e-05
yob -5.457413990234421e-06 2.239413714309463e-06 2.4107246293954597e-06 1.78058215345044e-05 -1.971869198865261e-06 -1.4882949590960268e-08 4.0567167308468596e-11 4.7450456637574065e-08 -3.102918264548799e-10 1.2276246737763974e-05 0.00035442200516207705 4.887842261217091e-05 -0.00026499699907134126 0.00013169507112371326 -0.0003178098741547653 -5.444481410341121e-05 -0.00014639103803206301 0.00027012647679917716 -8.111160257902475e-05 -0.00020634470410173735 0.0001780314031006811 -0.00013555105328848214 -3.3086266789377795e-05 0.0001216986256657357 0.00012026057489599324 -6.0098464236448335e-05 -9.048613992022764e-05 4.210626424117085e-05 -0.00029447586612773734 3.440478985094279e-07 1.5768583692882604e-07 -7.437404084119233e-07 2.2048768769294226e-07 -1.9715288515112287e-06 2.9704252692788846e-07 -6.327270381717323e-07
age 0.001025368313867654 2.410724629401431e-06 0.0005399549546986434 0.005110610135237476 -0.0005371001831399416 -1.675934663011601e-05 1.5867909639730334e-07 1.6717446402568728e-05 -1.5825084213129706e-07 -0.00029327372981087415 0.0004563219558011577 -2.4560005802759896e-05 -6.275717577811855e-05 -0.0009473917716987223 -0.0003912168234709951 5.9695013568979846e-05 -0.0009312938451931517 -0.0005559222313970383 0.00014965399256590073 0.00016706689466972738 7.537858963713952e-05 -0.0005204700549515269 -0.0005851366582590029 -0.0006562481109314855 -0.0012281188833561324 -0.00039724149857312734 -0.0005992545524301704 0.001994148974481954 0.0010392172705969492 9.708069422211262e-06 3.196406310540901e-06 -1.5902482122780156e-05 2.1222593262925474e-05 -4.2113870923358356e-05 1.1509527070607727e-05 9.89398086418726e-06
sex 0.0012340274817116016 1.7805821534579148e-05 0.005110610135239493 0.09645907093694274 -0.009214603913442808 -0.0001498054457214013 1.360656988853938e-06 0.00026825104302748425 -2.418916823248781e-06 -0.0011222833840160294 0.009135942041259006 0.000565508857554787 -0.0022741612622847666 -0.013205747167222706 -0.004401965356355907 0.004980383909194163 -0.015377874369704819 -0.01425613950310746 0.0024505950483529994 0.00038278914618628603 -0.0071525229809725095 -0.015317140560798104 -0.010628758263720542 -0.028280017639440932 -0.008891770408166536 -0.006706230651954769 -0.001954800254239699 0.015169627550235005 0.007080256990894471 2.4273021605814468e-05 -4.4563578142976185e-06 -0.00010085878161608921 0.0006703740467822633 -0.0008068689036886441 0.0001180133347483879 4.328552615299052e-05
age_sex -0.00021343907695730625 -1.971869198849696e-06 -0.0005371001831400748 -0.009214603913442478 0.0009508983662815193 1.668823454589169e-05 -1.5810236284575664e-07 -2.92479251573819e-05 2.746158421230633e-07 5.073663630789319e-05 -0.0009453145460106207 -0.00021679033792523363 0.00036463057070449355 0.0012901318386920112 0.00028018426312477934 -0.0007479204882598216 0.0013213257378235752 0.001386043670815505 -0.00029442910567459036 -2.4106506410254733e-05 0.0001874162478261698 0.0011345218661983102 0.0009894514630694527 0.002802735546655422 0.0009566157548420579 0.0014437244265311597 0.0003671821462249152 -0.0013104440049750545 -0.0008789789683343885 -8.503354087275058e-06 2.7673860560913404e-06 1.2055480017584557e-05 -5.614272953417786e-05 7.225511376435128e-05 -8.728893508203205e-06 -7.780247041726768e-06
age2 -3.85194239846332e-05 -1.4882949590319001e-08 -1.6759346630114863e-05 -0.0001498054457213368 1.6688234545887032e-05 5.458186155915859e-07 -5.349246703084228e-09 -5.436202760101247e-07 5.327207621682585e-09 7.484807431366627e-06 -8.42488259989209e-06 2.3292921496073914e-07 -4.615631937761339e-06 3.767345445013992e-05 2.3077512710202315e-06 -8.682949736506142e-06 1.4262622546503e-05 1.996397267197438e-05 -9.698647237803234e-06 -8.07547768476956e-06 -1.448288170115246e-07 9.149500920626327e-06 2.0707213587814932e-05 2.237299977218783e-05 4.5865866925074434e-05 2.8868807127482514e-05 1.0002552509882008e-05 -6.850263048730714e-05 -3.5078344611265676e-05 -3.7093714767297587e-07 -3.730689684546834e-08 4.6620520147774543e-07 -5.597297748691081e-07 1.1465458351077139e-06 -4.0916773144154645e-07 -1.7154766221239405e-07
age3 4.254562179702301e-07 4.0567167307354914e-11 1.5867909639728597e-07 1.3606569888533105e-06 -1.5810236284571132e-07 -5.349246703083983e-09 5.3877837282433535e-11 5.328075999902765e-09 -5.365664975676073e-11 -6.384942186222439e-08 1.1423818704900951e-07 1.4574249614894711e-09 4.041255362154357e-08 -3.7660572550479753e-07 -1.2901547647894811e-08 1.344851599884918e-07 -6.081215470827396e-08 -1.5342263908916078e-07 9.262525769037736e-08 6.076284460278185e-08 4.535214945201479e-09 -6.975592855476796e-08 -2.5419691138081294e-07 -2.2602614823513624e-07 -4.723628311076048e-07 -3.968463069873659e-07 -4.550383784676154e-08 7.073530365392604e-07 3.4110696637462194e-07 4.060010701977467e-09 -5.547407831019647e-11 -4.289206719656637e-09 4.518827810023018e-09 -9.91432526587513e-09 3.839466572209071e-09 7.997846592750868e-10
age2_sex 9.141915737515608e-06 4.745045663795617e-08 1.671744640257134e-05 0.0002682510430274645 -2.924792515738101e-05 -5.436202760102067e-07 5.328075999903566e-09 9.391312315827252e-07 -9.114847799439036e-09 -3.529557061572724e-07 3.034707252288803e-05 9.403668962639206e-06 -1.1925409509185297e-05 -3.956420397541471e-05 -3.5442896271712284e-06 2.9035894838821652e-05 -3.3388661592017376e-05 -3.833804040768574e-05 1.0242206399400497e-05 1.0191949936738794e-06 3.4735427223804894e-06 -2.3240541635167857e-05 -2.863989625536064e-05 -8.185077560104694e-05 -3.2100302974288094e-05 -6.193601680903487e-05 -1.2372542027231578e-05 3.642296923301227e-05 3.2933782925136063e-05 3.743460898161214e-07 -1.3838449208007412e-07 -3.592886144325859e-07 1.3975008221243887e-06 -1.9303025687052303e-06 2.0475877028472462e-07 2.4135300732789495e-07
age3_sex -1.078621061067461e-07 -3.1029182645914974e-10 -1.5825084213130264e-07 -2.4189168232485487e-06 2.7461584212304854e-07 5.327207621682834e-09 -5.36566497567632e-11 -9.11484779943883e-09 9.090445983015381e-11 -1.0169499240368002e-08 -2.939302637363266e-07 -9.65980922765048e-08 1.0042450475643097e-07 3.8202008631318966e-07 -5.6229680936542904e-09 -3.135856327360299e-07 2.531522815434057e-07 3.122494492948153e-07 -1.054853382924651e-07 -9.020103982667703e-09 -8.42467244916627e-08 1.393953061634561e-07 2.6478947726036473e-07 7.428223880680736e-07 3.280717416509692e-07 6.874667807450503e-07 1.0716355864475214e-07 -3.3883045297338334e-07 -3.874888126918225e-07 -4.3327463470455086e-09 1.7449107025939457e-09 3.063753072302969e-09 -1.0924125346390563e-08 1.5997079996533326e-08 -1.4039493880481311e-09 -1.9863756853407447e-09
PC_3 -0.0021012328761876265 1.2276246737765408e-05 -0.00029327372981073055 -0.0011222833840137565 5.0736636307681035e-05 7.484807431362574e-06 -6.384942186218785e-08 -3.5295570615131004e-07 -1.0169499240417835e-08 0.5146243815557568 -0.07372631578664819 0.03431674378444265 0.07056678370744332 0.0335770145884952 0.03299423532622197 0.05257612145611331 -0.08785241530352726 -0.026362851404122815 -0.034399605442628364 0.0968018750709031 0.020455331985422827 0.14150700729296514 0.023534877677758487 -0.2946792856744425 -0.07150936912727154 -0.03180593175480376 0.08876683256473725 -0.10917231622150594 0.19648648707852784 5.0363298790627716e-05 4.930762922953468e-05 -0.00022787999322576268 0.0017834625731478594 0.0003147059780240394 0.001990869128349069 7.912502969026094e-05
PC_4 0.000809791943851381 0.00035442200516206946 0.00045632195580281497 0.00913594204128216 -0.0009453145460131714 -8.4248825999457e-06 1.1423818704952796e-07 3.034707252297004e-05 -2.939302637371233e-07 -0.0737263157866484 1.502911090244215 -0.029428762441786074 0.3379345042299986 -0.12761531229021364 -0.15043319224777005 -0.030157099291915415 0.028421906931856967 0.051911307827701314 0.12142578079239796 0.17203912776641042 -0.11358158769678241 -0.16544465131453384 0.14802258325414763 0.08728403181346227 -0.09612394988149128 0.014238591620509214 -0.09300100735729092 0.08311287658135959 0.22118010225900228 -0.0005001098695304331 -0.0008549225142809704 0.0006268014238333599 0.00044090759644037223 0.001515153367241764 -0.0005068513189992608 0.000964351817349566
