 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gpm gmp gmm
PC10 -1.2954660632161926e-06 1.696308528210329e-07 -4.100287369495868e-09 -1.1613665696804186e-07 4.380386426357845e-07 -4.818956121986117e-07 2.329430123728299e-08 -1.1491361999875438e-07 3.8974952460914065e-07 -2.4858785127941416e-07 1.2817797387912899e-05 -5.105511097388898e-07 2.3349000076466378e-09 -2.7761228747870823e-07 -8.374627869042818e-08 2.1345505843189696e-07 -3.468157703147065e-07 9.171136306240172e-08 2.2178451528069408e-07 4.749090394137934e-07 1.539897661293348e-07 -2.0650805649481654e-06 2.755994501866425e-07 -1.60528451463228e-07 -1.421180956362951e-05 9.280245488275596e-06 2.341528486471589e-06 3.287814323308419e-06
PC11 1.0616742335752285e-06 3.628340445708037e-08 -1.5004763578164978e-07 4.151831635601244e-07 3.1878763445849137e-07 -9.498879663557721e-07 -4.075978771290748e-07 1.3487236729593463e-06 -8.837831737801932e-07 -7.187959680048467e-08 -5.105511097388897e-07 1.242356250694088e-05 -3.506577302149616e-08 -2.2907015096294643e-07 -5.036471231387721e-07 3.7766468296356165e-07 2.645282319918819e-07 4.049368175271306e-07 1.7916293729922818e-08 6.541720349776135e-07 1.8346484762239754e-07 -3.363288646419039e-06 1.0311105600660569e-05 2.350512169633507e-06 -6.27587359960901e-06 -2.778491095137852e-06 7.573486643721834e-06 -3.8077470051773663e-06
PC12 -7.107211478409112e-07 6.394599839606924e-07 -1.1908539525984575e-06 9.684088408122031e-08 -9.679227312870195e-07 5.077995808737495e-07 -1.2357391104119117e-07 3.7121552076363833e-07 3.110451657908379e-07 -4.1088061919329065e-07 2.334900007646371e-09 -3.506577302149606e-08 1.1246175651137922e-05 1.1741284892085457e-07 3.1108643125578775e-09 -4.5895881663285905e-07 2.80546572132247e-07 -1.7985720418853047e-07 -1.631052963601192e-07 -1.8321863137839183e-07 -5.722949748666269e-07 -3.5688870846412047e-07 -2.3258886951789465e-06 1.3445143412064664e-07 -4.6832556768457966e-06 3.348623048535472e-06 4.906285297753554e-06 6.492921927419131e-08
PC13 -1.7601409102234884e-06 -1.38226888778906e-07 8.776439819435768e-07 -7.349594468372252e-07 -6.788548359446526e-07 -1.3440781457968359e-06 -1.3930648285818243e-07 2.841326457862729e-07 -5.092935258973822e-08 1.1735362258289275e-07 -2.7761228747870845e-07 -2.2907015096294677e-07 1.1741284892085463e-07 1.1650141562609811e-05 -6.962937486614119e-07 1.002096952989892e-06 2.7647166402229956e-07 1.5431079119405627e-07 -1.2925997788286432e-07 2.331677703774986e-08 1.4147546397831035e-07 -4.7275017916548277e-07 -3.5369723045660608e-06 5.4610928187189236e-06 -2.1686450448267387e-06 -1.6126197448144727e-06 -2.5214602177646458e-06 -3.4416783593494587e-06
PC14 -1.7694125999183917e-06 -3.164946993155742e-07 -1.1441605325457308e-06 1.2666021753818273e-07 -6.29382500737557e-08 5.438542834284849e-07 -2.7559152126022954e-07 -4.1755610905804686e-07 -5.349530095936929e-07 -8.406962749730067e-07 -8.374627869042801e-08 -5.036471231387722e-07 3.110864312557832e-09 -6.962937486614117e-07 1.2196215135229138e-05 -1.7236266788333715e-07 6.69386112248643e-08 -1.4251911779695653e-08 1.5762282000269027e-07 -8.687011526392317e-08 4.1787702159912284e-08 -1.962121569357098e-06 2.2888623276407733e-06 1.7310145000718562e-06 -1.574814498227032e-06 5.341832096874869e-07 -9.510238688000696e-07 -7.606984301871103e-06
PC15 -1.8093014384646138e-06 -7.147382751044485e-07 7.828443090811143e-08 -2.1044695331943324e-08 -1.081465963552944e-07 7.458613198028305e-08 -1.4600819340769584e-07 -5.087617124374622e-07 -4.6138720927026457e-07 3.9909926733483054e-07 2.1345505843189723e-07 3.7766468296356144e-07 -4.589588166328591e-07 1.0020969529898921e-06 -1.7236266788333715e-07 1.148757353498526e-05 3.8754584406783443e-07 -7.291950015363453e-07 -1.6503264622106552e-07 -1.3915844922673743e-07 6.493384844083577e-08 -1.9421096580776574e-06 5.444722951418431e-06 -8.272122034170141e-07 -4.279286155301868e-06 -7.073244976958529e-06 4.796332616911856e-06 -6.898995062054576e-07
PC16 7.597995006152012e-07 -6.241089443203439e-07 1.1014842047750907e-07 1.9909412654736161e-07 1.2911674502458217e-07 -4.915575590004461e-08 -1.3112441092816082e-07 7.816747764284143e-08 3.2076267735995527e-07 3.288861693801834e-07 -3.4681577031470666e-07 2.6452823199188187e-07 2.8054657213224706e-07 2.764716640222997e-07 6.693861122486426e-08 3.8754584406783464e-07 1.1800154772992097e-05 -5.235508655223099e-07 5.8966197063734114e-08 -6.439702686942682e-07 -1.827478076556704e-07 -3.0495153926873085e-07 1.7811789474005083e-06 -3.186262176634394e-06 -8.005327482215064e-06 4.458961049589768e-06 8.063066459704733e-06 3.4652914155833613e-06
PC17 -2.0424831735734076e-06 2.235110955216456e-07 7.047454518755338e-07 -3.833616232601905e-07 -8.706596307324042e-08 7.651559733779836e-07 3.161403122048747e-07 -4.83762069672998e-07 1.6363393001215305e-07 5.397073685952491e-07 9.171136306240157e-08 4.049368175271309e-07 -1.798572041885302e-07 1.5431079119405606e-07 -1.4251911779695728e-08 -7.291950015363451e-07 -5.235508655223095e-07 1.0581019366448047e-05 2.960222374426434e-07 -1.314760483777463e-07 1.1615765717530202e-07 2.60309863238834e-06 1.7337898612982803e-06 2.3344660056644e-06 3.061430405205351e-06 -7.989077279590685e-06 -8.509623857284679e-06 -4.879462301442241e-06
PC18 -4.780955074060735e-07 5.005307972260867e-08 2.062596352355017e-07 -5.707919565818356e-07 -4.886945414847391e-07 -1.8275806091156207e-07 -4.287088383357873e-07 9.166664191138105e-08 -8.629465613015048e-07 -4.819245671862968e-07 2.217845152806941e-07 1.7916293729922483e-08 -1.6310529636011923e-07 -1.2925997788286467e-07 1.5762282000269025e-07 -1.6503264622106563e-07 5.8966197063734e-08 2.960222374426434e-07 1.0610033928736851e-05 -2.2716057358582314e-07 5.4329695829256475e-08 2.2502239255743035e-06 -3.871434423206387e-06 -5.213701741185609e-06 -1.8815357638282156e-06 5.170063164348208e-06 1.037364499087769e-05 -3.259964381467926e-06
PC19 9.147173127667773e-07 1.742840197474825e-07 -5.572251163028629e-07 4.734416698223762e-07 -1.9127772137578013e-07 2.674493925982234e-07 -2.2343477496310525e-07 8.481850459513334e-08 -1.8729715629103914e-07 -2.5670616086607337e-07 4.749090394137939e-07 6.541720349776132e-07 -1.832186313783919e-07 2.3316777037750043e-08 -8.687011526392319e-08 -1.391584492267373e-07 -6.439702686942679e-07 -1.3147604837774675e-07 -2.271605735858231e-07 1.0765369247986582e-05 6.272263640555003e-07 6.917666244906306e-07 3.3803725142798808e-06 4.614063997185885e-06 -3.629581999325558e-08 -5.807308970111872e-06 -4.583742297949524e-06 -5.001545290493047e-06
PC20 -1.0173024507464797e-06 4.669834363027399e-08 -3.4164082415875134e-07 1.6071165989386233e-07 1.252595158504715e-07 -9.705751827892604e-08 -5.413565830952562e-07 -4.6347187579324506e-07 1.1374822956297327e-07 -7.394588410927109e-07 1.5398976612933493e-07 1.8346484762239762e-07 -5.722949748666269e-07 1.4147546397831024e-07 4.178770215991234e-08 6.493384844083579e-08 -1.8274780765567077e-07 1.1615765717530219e-07 5.4329695829256534e-08 6.272263640554999e-07 9.925388436356672e-06 4.134859590182609e-06 -1.4232125830100395e-06 -9.744772495394807e-07 -5.1355894960101005e-06 -2.738835192470311e-06 2.0868392930960086e-07 -1.7111804431124666e-06
proband -1.0035481394560695e-05 -2.7456610324622744e-08 -4.58053584885087e-06 -1.254657850568053e-07 3.3312032427057496e-06 1.7379457411849923e-06 8.952247649916085e-07 -4.734044343038779e-06 2.7439702466129505e-06 1.2547401222214666e-06 -2.0650805649481638e-06 -3.3632886464190413e-06 -3.5688870846411687e-07 -4.72750179165482e-07 -1.9621215693570985e-06 -1.9421096580776578e-06 -3.049515392687363e-07 2.60309863238834e-06 2.2502239255743022e-06 6.917666244906334e-07 4.134859590182608e-06 0.0009574894704605122 -0.0004585647142182634 -0.0004463892926739401 -2.4800339386968777e-07 -4.923706683259253e-05 -4.160526447312946e-05 6.412333694719582e-06
paternal 1.1301962074924354e-05 1.7701578563686688e-06 -4.989983635893049e-06 -9.960841751292453e-07 -8.075657981552766e-06 -9.027426565897439e-07 -1.1126066914439844e-06 5.929740042258892e-06 -1.9638876402820145e-06 -6.452293868146256e-06 2.755994501866414e-07 1.0311105600660583e-05 -2.3258886951789457e-06 -3.536972304566055e-06 2.2888623276407745e-06 5.44472295141843e-06 1.7811789474005174e-06 1.7337898612982856e-06 -3.871434423206383e-06 3.3803725142798778e-06 -1.423212583010041e-06 -0.0004585647142182635 0.0017506444729284022 0.00034587224965145256 -0.001158936262419162 -0.0010120124535878319 4.5530599603878016e-05 -0.0001818563697001169
maternal -2.9649567038775767e-05 -1.0766184504691006e-06 -2.2948134784127554e-06 2.382434349438567e-06 7.896718757381833e-07 8.687985755602578e-07 -7.722428843462904e-06 3.816827598311846e-06 6.525249386735197e-06 4.254282723680175e-06 -1.6052845146322587e-07 2.3505121696335067e-06 1.3445143412063812e-07 5.461092818718921e-06 1.731014500071861e-06 -8.272122034170163e-07 -3.186262176634387e-06 2.334466005664394e-06 -5.213701741185605e-06 4.614063997185886e-06 -9.744772495394803e-07 -0.0004463892926739407 0.00034587224965145326 0.0017519009028036112 0.0003264924413598919 -0.00032917768985408824 -0.0011965290686776708 -0.0009482493285802791
gpp 3.8534118959440545e-05 -5.179234706558409e-06 2.8732321455539616e-06 3.754926128841649e-06 -2.3235600199319078e-06 -1.5309566495726246e-06 5.771139291508253e-06 -5.07084452418403e-06 4.933521872687642e-06 4.868362494055192e-06 -1.4211809563629507e-05 -6.27587359960901e-06 -4.683255676845805e-06 -2.1686450448267493e-06 -1.574814498227029e-06 -4.279286155301869e-06 -8.005327482215069e-06 3.061430405205343e-06 -1.8815357638282302e-06 -3.629581999324737e-08 -5.135589496010103e-06 -2.480033938698211e-07 -0.0011589362624191612 0.0003264924413598926 0.003432494391439436 -0.000412339767490189 -0.0008480144272219796 -0.000113278762627211
gpm -2.0266546295685337e-05 -1.112311350980312e-06 7.071314755808189e-06 -7.958458431604298e-06 1.8591354568763454e-05 2.5242059772077648e-06 -6.943196948381797e-06 -7.263972406370611e-06 -7.8497016872066e-06 1.6388829943431047e-06 9.280245488275594e-06 -2.7784910951378577e-06 3.3486230485354732e-06 -1.6126197448144765e-06 5.341832096874836e-07 -7.0732449769585186e-06 4.458961049589767e-06 -7.989077279590688e-06 5.1700631643482115e-06 -5.807308970111872e-06 -2.7388351924703097e-06 -4.9237066832592306e-05 -0.0010120124535878319 -0.0003291776898540883 -0.0004123397674901884 0.0028437574746272213 0.00017357833288428085 0.0002831460595574492
gmp 5.508572838535811e-05 8.046628297975755e-06 -1.1346447660269412e-06 -6.227431096313568e-06 1.6639760899219632e-06 -5.245205198873362e-07 -3.68135952554015e-06 7.775703158922806e-06 -1.237181395187213e-05 -4.209026660681923e-06 2.341528486471586e-06 7.5734866437218215e-06 4.906285297753555e-06 -2.521460217764647e-06 -9.510238688000812e-07 4.796332616911863e-06 8.063066459704741e-06 -8.509623857284679e-06 1.0373644990877694e-05 -4.583742297949531e-06 2.0868392930960205e-07 -4.160526447312867e-05 4.553059960387697e-05 -0.001196529068677672 -0.000848014427221979 0.0001735783328842811 0.003801533569435564 -0.0007245003067251407
gmm 1.7315556511889864e-05 2.881317304907523e-06 5.3756830390032645e-06 -3.770344420060119e-06 1.102896037364664e-05 -5.588680732029506e-06 1.3390674618813273e-05 -4.0939281953828426e-06 2.518806752943719e-06 -3.06737299504612e-06 3.287814323308417e-06 -3.8077470051773527e-06 6.492921927420205e-08 -3.4416783593494515e-06 -7.606984301871101e-06 -6.898995062054605e-07 3.46529141558335e-06 -4.8794623014422325e-06 -3.259964381467933e-06 -5.001545290493043e-06 -1.7111804431124632e-06 6.412333694719522e-06 -0.0001818563697001171 -0.0009482493285802779 -0.00011327876262721036 0.0002831460595574491 -0.0007245003067251425 0.0028485011243647397
