 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband
PC11 7.096444224183544e-07 5.598337297161124e-09 -7.966781342245512e-08 4.454385810733348e-07 3.166431937269664e-07 -9.324454722524582e-07 -3.745345102224626e-07 1.2809166516495358e-06 -8.320811718474915e-07 -3.5594914800766705e-08 -5.12373022671211e-07 1.2525351128711404e-05 -2.4211661821955855e-08 -1.8286268278696981e-07 -4.928107191993101e-07 3.5706427029204163e-07 2.4094722518586845e-07 4.405386504319532e-07 3.369016907700964e-08 6.534766919563674e-07 2.2678294931112613e-07 1.205747315431028e-06
PC12 -5.58337341463439e-07 6.220844615601798e-07 -1.1330898470732033e-06 9.414069924743412e-08 -1.0388876613693144e-06 5.39296028104978e-07 -7.830681602058115e-08 3.8340468111665655e-07 3.3981133325176534e-07 -4.351773155623884e-07 -4.4030081747534264e-08 -2.4211661821955786e-08 1.1407321458069384e-05 5.623102054805209e-08 -4.72500748504868e-09 -4.863929632279709e-07 2.4544652804408173e-07 -1.568031093073998e-07 -1.779020190985699e-07 -1.7235357528077173e-07 -5.984220931103352e-07 -5.946886648621897e-07
PC13 -1.6898622353766919e-06 -1.4681841581139457e-07 9.143250481045027e-07 -7.732841221264151e-07 -6.959900410136002e-07 -1.3132796476725625e-06 -1.190364705078111e-07 2.432315360116393e-07 -1.2027383656748137e-07 8.481895446853629e-08 -3.120442036793557e-07 -1.8286268278696952e-07 5.6231020548051746e-08 1.1781023004626754e-05 -6.723439172810147e-07 1.0174204557073303e-06 2.4744342794680833e-07 1.6377127310244827e-07 -1.1509540282214609e-07 5.530135948561522e-09 1.3836440328606816e-07 -1.595890068004631e-06
PC14 -1.705694925182223e-06 -2.864799660076464e-07 -1.0783378664512295e-06 1.1180760639804305e-07 -2.2551348448684925e-10 5.171479283288111e-07 -2.2420337375885106e-07 -4.051766876421412e-07 -5.3146481601409e-07 -8.398528223873384e-07 -5.865505216933929e-08 -4.928107191993105e-07 -4.725007485048308e-09 -6.723439172810145e-07 1.2324074301493892e-05 -1.4106779434641013e-07 5.7403123424307924e-08 -2.343482831983592e-08 1.569186412215279e-07 -9.574953838527955e-08 7.111095748559431e-08 -2.3373338893101895e-06
PC15 -2.0287897057927095e-06 -7.248891018647622e-07 1.2725888281808743e-07 -3.60577965492356e-08 -4.456049615544506e-08 8.266658570836378e-08 -1.2992693366484338e-07 -5.722156326521171e-07 -4.808036020945555e-07 4.492361794913887e-07 2.109638847010082e-07 3.570642702920417e-07 -4.863929632279705e-07 1.0174204557073303e-06 -1.4106779434641e-07 1.1629491171578122e-05 3.6346301390062014e-07 -7.22260776262504e-07 -1.4338222392220685e-07 -1.4627368312059408e-07 7.330147554302176e-08 -1.6191662481941127e-06
PC16 9.595647229628804e-07 -6.588138882273585e-07 8.579657904906214e-08 2.6506355275880514e-07 7.207967367627805e-08 -5.1694462341524036e-08 -1.2208006750776803e-07 1.11226044414132e-07 3.8873945221618557e-07 3.6704023377090695e-07 -3.758577161409994e-07 2.409472251858686e-07 2.4544652804408226e-07 2.474434279468079e-07 5.740312342430799e-08 3.6346301390062025e-07 1.1916030899470356e-05 -4.536691543077763e-07 2.983789929243476e-08 -6.377566618312002e-07 -1.935454352360068e-07 9.030057627668159e-07
PC17 -1.787390693986579e-06 2.501954555095361e-07 7.419594946753698e-07 -4.1458952472191594e-07 -1.7992025806931815e-08 7.604043742880765e-07 2.9631682208072606e-07 -4.5593277810686316e-07 1.2215726418212972e-07 5.037476487858978e-07 1.1158125499707906e-07 4.4053865043195327e-07 -1.5680310930740004e-07 1.637712731024482e-07 -2.3434828319835766e-08 -7.222607762625037e-07 -4.5366915430777595e-07 1.067937447133111e-05 3.3559701091561304e-07 -1.678677536980732e-07 1.121405411953665e-07 5.090432181230439e-07
PC18 -5.90673194848689e-07 3.855010517760326e-08 1.8217796028568269e-07 -5.529314441774204e-07 -4.93919351602443e-07 -1.9055563624901284e-07 -4.231396971136403e-07 9.074107975821776e-08 -8.045207159208956e-07 -5.103615280695371e-07 1.888098196727541e-07 3.369016907700949e-08 -1.779020190985698e-07 -1.1509540282214633e-07 1.5691864122152813e-07 -1.4338222392220677e-07 2.9837899292434694e-08 3.355970109156131e-07 1.0719424966748764e-05 -2.2294224629508953e-07 5.504098251709764e-08 6.418210393512798e-07
PC19 1.049857516192468e-06 1.913073384328152e-07 -5.066347379327969e-07 4.358272872959765e-07 -1.2780381347715614e-07 2.3990179761797986e-07 -2.1971530463063908e-07 6.496866506047591e-08 -2.327160396056362e-07 -2.7157774174063286e-07 4.791331130074504e-07 6.534766919563675e-07 -1.7235357528077192e-07 5.530135948561711e-09 -9.57495383852794e-08 -1.4627368312059355e-07 -6.377566618312e-07 -1.6786775369807305e-07 -2.2294224629508969e-07 1.0875188167754187e-05 6.085932565053027e-07 8.635118160992715e-07
PC20 -8.017232689377649e-07 3.582242040631122e-08 -3.225129293425764e-07 1.2775137376774743e-07 1.3757346962029058e-07 -1.1532058457352036e-07 -5.429139627844498e-07 -4.805805890621902e-07 1.0375772721811147e-07 -7.562067516196102e-07 1.2090446597609107e-07 2.2678294931112608e-07 -5.984220931103349e-07 1.3836440328606805e-07 7.111095748559419e-08 7.330147554302174e-08 -1.9354543523600704e-07 1.1214054119536634e-07 5.5040982517097564e-08 6.085932565053029e-07 1.0049103028726184e-05 1.2149931047268078e-06
proband -5.214313795919039e-07 1.2599514791813852e-06 -4.7382681296447775e-06 -2.72767803349625e-06 6.348189570913383e-06 6.631259843699951e-07 -1.2020126122948133e-06 -2.2537080301187344e-06 2.0290794284314948e-06 -1.464713543349014e-08 -1.5441788096012107e-06 1.2057473154310269e-06 -5.946886648621885e-07 -1.5958900680046303e-06 -2.3373338893101873e-06 -1.6191662481941125e-06 9.030057627668158e-07 5.090432181230438e-07 6.418210393512796e-07 8.63511816099273e-07 1.2149931047268074e-06 0.0005446361795183185
