 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal gpp gpm gmp gmm
PC10 -7.126632357217192e-07 1.5698231847231847e-07 -9.889850925146116e-08 -1.0334350038436794e-07 3.7112619894212864e-07 -5.516115423510758e-07 -2.443513523868049e-09 -8.18382649510379e-08 4.925752372827639e-07 -2.899868210209305e-07 1.2232153952700444e-05 -4.955276444408124e-07 4.176366898084326e-08 -2.4206425568403185e-07 -1.5005964505740053e-07 1.8929915822871888e-07 -3.288543105526112e-07 1.384458651638779e-07 2.7874814815924525e-07 4.37763333052252e-07 2.1682703734370584e-07 -1.8314230789514467e-06 8.551808016100481e-07 4.8092151107428074e-08 -1.4489431781384042e-05 8.903905666112158e-06 2.0905312397674822e-06 3.3073983294041614e-06
PC11 1.8070699694431268e-06 5.4140120351894225e-08 -2.5565048550535865e-07 4.142494667531754e-07 2.7012599118560124e-07 -9.820162856474362e-07 -3.8068404263488565e-07 1.442945799779429e-06 -9.040731014942674e-07 -1.649887018185568e-08 -4.955276444408121e-07 1.151485645593858e-05 -4.939642264379069e-08 -3.0544096200664154e-07 -5.958148845802176e-07 4.549014897564604e-07 2.604517935023984e-07 4.164332166105458e-07 -9.20210361779054e-08 6.423551602946326e-07 1.0098814956849217e-07 -3.213182326048719e-06 1.0899353993888376e-05 2.00549404912355e-06 -6.281507921627687e-06 -3.6666788773660808e-06 7.222669667995556e-06 -3.763197085351025e-06
PC12 -6.16476299107768e-07 6.124602101385172e-07 -1.2649502149988363e-06 5.97876960091133e-08 -9.012641790214367e-07 3.960057740062894e-07 -1.853447837131338e-07 3.870093825306089e-07 1.90092573689423e-07 -4.144944652126897e-07 4.1763668980843165e-08 -4.939642264379051e-08 1.0432222590384397e-05 2.383675572249064e-07 6.458824170418779e-08 -3.5499405633758046e-07 2.787597354654314e-07 -1.1498060518087066e-07 -1.1047265829058133e-07 -1.7537322583197017e-07 -5.522946693069143e-07 -3.2810381544164494e-07 -1.6201400139495645e-06 7.951929009717562e-08 -4.511868434066591e-06 2.4809189483625504e-06 4.816375303924959e-06 -7.967562390750174e-08
PC13 -1.052053113961857e-06 -1.097615872359298e-07 8.708856173617493e-07 -7.065896970148858e-07 -6.04219029633837e-07 -1.4162448396471001e-06 -2.1436498160585322e-07 3.1275781577353364e-07 -8.608448894547031e-08 1.414628290676323e-07 -2.420642556840321e-07 -3.0544096200664133e-07 2.3836755722490592e-07 1.090000566326279e-05 -6.280698062406386e-07 9.904814783387929e-07 2.821967511005188e-07 1.5190213717437986e-07 -2.0524571402889383e-07 7.101251259752467e-08 9.745601817319082e-08 -9.178023622810843e-07 -3.1613968408797787e-06 4.767107680866768e-06 -1.2304262221191777e-06 -1.5055889801373086e-06 -2.6996170935893736e-06 -3.123436997252262e-06
PC14 -1.5839547516341645e-06 -3.035465352724787e-07 -1.1784966738479434e-06 1.1295517782088041e-07 -1.069820504809128e-07 5.537700947113915e-07 -2.7332456685379974e-07 -4.873467627908923e-07 -5.310703479059186e-07 -8.548136342751039e-07 -1.5005964505740053e-07 -5.958148845802172e-07 6.458824170418781e-08 -6.280698062406387e-07 1.1406501526354979e-05 -2.1639976255512643e-07 1.324276645567057e-07 -5.767172099977908e-08 1.6277835198667025e-07 -1.2808051564390463e-07 -5.50227901729505e-08 -1.8333541068168007e-06 2.407057024625647e-06 1.7538053591010287e-06 -1.9340555453305125e-06 1.9389805649893118e-07 -3.8110197571908815e-07 -7.925386481077125e-06
PC15 -2.002405787252954e-06 -6.856633904684719e-07 3.834569761385829e-08 -4.274385576348518e-08 -1.4269448418525926e-07 1.0821378367704008e-07 -1.508956565148836e-07 -5.137857694023654e-07 -5.001120215485779e-07 3.648154235284259e-07 1.892991582287189e-07 4.549014897564606e-07 -3.5499405633758067e-07 9.90481478338793e-07 -2.1639976255512656e-07 1.0809642573046534e-05 4.069436108026422e-07 -6.910488218094327e-07 -2.8528899198376093e-07 -1.654020356083212e-07 2.3199396621781296e-08 -2.1173793644413007e-06 6.06811912132432e-06 1.8065543338276398e-07 -4.166514068577352e-06 -7.180155945891347e-06 3.4232889967993185e-06 -1.5536870874132169e-06
PC16 4.1924348247483637e-07 -6.071949594735627e-07 1.0171484196040828e-07 2.0133084973628437e-07 1.412257673788515e-07 -1.1952932969739968e-08 -1.0542321976018905e-07 3.9648175714428515e-08 3.5969083810584607e-07 2.2160118830093682e-07 -3.288543105526114e-07 2.604517935023985e-07 2.787597354654314e-07 2.821967511005193e-07 1.3242766455670534e-07 4.0694361080264274e-07 1.110359640832893e-05 -5.646726718756104e-07 4.9723974403453685e-08 -5.505195898005496e-07 -6.522497038225346e-08 6.841759783148347e-07 9.99625604801232e-07 -3.6971316653669894e-06 -6.921373199590834e-06 4.691533358103399e-06 8.659020540771476e-06 3.315358334501005e-06
PC17 -2.6322827940913633e-06 2.5173836686587975e-07 5.986866901844687e-07 -4.3535981580799253e-07 2.1659882803353452e-08 7.402022458416502e-07 2.7855041409636057e-07 -5.16986793377689e-07 1.6964646680812526e-07 5.625392431285674e-07 1.3844586516387796e-07 4.1643321661054574e-07 -1.149806051808704e-07 1.5190213717438002e-07 -5.767172099977921e-08 -6.910488218094324e-07 -5.646726718756106e-07 9.961227375449554e-06 2.9642022726951776e-07 -1.0228282962606597e-07 3.916140631989658e-08 3.074332522978685e-06 1.3024153785317682e-06 1.8127025820119892e-06 2.6041114178210743e-06 -7.432981260933135e-06 -8.187210591520354e-06 -4.38705158351939e-06
PC18 -7.512218703189924e-07 4.099071083562731e-08 1.2540284105015992e-07 -5.531565450300429e-07 -5.019672194203135e-07 -2.1937290547666648e-07 -4.269500781624821e-07 7.208104979281195e-08 -8.571153504339185e-07 -4.3423376265691294e-07 2.787481481592453e-07 -9.202103617790512e-08 -1.1047265829058151e-07 -2.052457140288941e-07 1.6277835198666996e-07 -2.852889919837608e-07 4.972397440345384e-08 2.964202272695179e-07 9.918246087911932e-06 -1.5366998882292603e-07 1.8814242043936317e-08 2.473910283144027e-06 -3.973447813697391e-06 -5.4596165558961755e-06 -2.581553544321926e-06 6.528684237493295e-06 9.333315803967841e-06 -3.048116805921108e-06
PC19 1.0835208048746587e-06 1.656419287383455e-07 -7.245770647824693e-07 4.882970626318741e-07 -2.217016635135128e-07 3.4146225332768344e-07 -2.374110107090373e-07 1.2479602854361812e-07 -1.5987581178055994e-07 -2.0515228188492832e-07 4.3776333305225213e-07 6.423551602946326e-07 -1.7537322583197007e-07 7.101251259752475e-08 -1.2808051564390455e-07 -1.6540203560832123e-07 -5.505195898005487e-07 -1.0228282962606565e-07 -1.5366998882292592e-07 1.0184602494254409e-05 6.656487138679148e-07 8.873936405937873e-07 3.0837891768184995e-06 4.017922669539557e-06 1.6710535134254985e-07 -5.402513206228749e-06 -3.892630042216073e-06 -4.9865492481354376e-06
PC20 -1.4829841681274522e-06 4.4783403384304854e-08 -3.854327748339379e-07 1.5599198440820927e-07 1.2790806182852432e-07 -2.3711991807861407e-08 -4.835104209757586e-07 -4.251420995413946e-07 1.4723032718441673e-07 -7.334500336049149e-07 2.168270373437063e-07 1.0098814956849227e-07 -5.522946693069142e-07 9.745601817319076e-08 -5.5022790172950603e-08 2.3199396621781415e-08 -6.522497038225313e-08 3.9161406319896775e-08 1.881424204393627e-08 6.656487138679152e-07 9.307204434587119e-06 4.368362330192148e-06 -2.1357157763685006e-06 -1.4254126916463593e-06 -5.293511285818215e-06 -1.5983399068928241e-06 -6.219734845537766e-07 -1.4987528252162859e-06
proband -1.1519252982561235e-05 2.06355383129326e-08 -5.092235738731797e-06 -2.6075345756710536e-08 3.583263554137922e-06 2.5074772563914624e-06 7.139940851120525e-07 -4.275638552033346e-06 2.346704861229108e-06 -7.722775203596141e-09 -1.8314230789514433e-06 -3.2131823260487167e-06 -3.281038154416447e-07 -9.178023622810887e-07 -1.8333541068168022e-06 -2.1173793644413003e-06 6.841759783148205e-07 3.074332522978695e-06 2.4739102831440247e-06 8.873936405937878e-07 4.368362330192146e-06 0.0010083388583696409 -0.0004795504090193025 -0.0004713273937225193 -3.5705411907655963e-06 -5.1151278969475814e-05 -4.568199419996964e-05 7.569568446908582e-06
paternal 1.3753563579295759e-05 1.5289047336498473e-06 -6.290217751506806e-06 -5.849895419837098e-07 -7.89168997919662e-06 -1.4460665595013257e-06 -1.0519369655271963e-06 5.6071758359378315e-06 -2.3581592048684743e-06 -5.454818634714058e-06 8.551808016100484e-07 1.0899353993888376e-05 -1.6201400139495628e-06 -3.1613968408797728e-06 2.4070570246256454e-06 6.068119121324324e-06 9.996256048012382e-07 1.3024153785317585e-06 -3.9734478136973974e-06 3.083789176818504e-06 -2.1357157763684985e-06 -0.00047955040901930283 0.0014876887892575543 0.0003288761203585975 -0.000953270092338404 -0.0008233328908090882 4.1731770119675615e-05 -0.00013813595230238637
maternal -1.2286431585664383e-05 -9.768487345973347e-07 -2.453185671278733e-06 2.509410902332119e-06 1.1458378466937295e-07 -4.61219401949379e-07 -6.750007786791598e-06 4.371889265283286e-06 5.849184609468275e-06 3.4384676439369174e-06 4.809215110743073e-08 2.0054940491235423e-06 7.951929009717931e-08 4.767107680866772e-06 1.7538053591010338e-06 1.80655433382757e-07 -3.697131665366979e-06 1.8127025820119837e-06 -5.459616555896169e-06 4.017922669539557e-06 -1.4254126916463593e-06 -0.00047132739372251906 0.0003288761203585968 0.0014852726119870773 0.0002897003410075038 -0.0002767781386265808 -0.0009897364105675287 -0.0007702991746651007
gpp 3.516973323848968e-05 -4.1190809559072686e-06 3.2791362025653935e-06 3.3708123265084595e-06 -2.022890516243341e-06 -1.6423639161291013e-06 5.853273537193151e-06 -3.950383945893306e-06 6.443363145587181e-06 4.8577622330863745e-06 -1.448943178138404e-05 -6.281507921627693e-06 -4.511868434066598e-06 -1.2304262221191815e-06 -1.9340555453305133e-06 -4.166514068577362e-06 -6.92137319959083e-06 2.604111417821076e-06 -2.581553544321919e-06 1.6710535134254726e-07 -5.293511285818221e-06 -3.5705411907650474e-06 -0.0009532700923384048 0.00028970034100750337 0.0028231713270209058 -0.00035067174457983826 -0.0007174253826782375 -0.0001047942158617997
gpm -1.2713078011203727e-05 -9.556917694666179e-07 6.735759282866994e-06 -7.09513468439835e-06 1.7117513881942257e-05 2.3237982068205896e-06 -6.507365082075635e-06 -7.02298511790996e-06 -8.58822086275866e-06 2.2054364780783832e-06 8.903905666112156e-06 -3.6666788773660884e-06 2.480918948362551e-06 -1.505588980137307e-06 1.9389805649893353e-07 -7.18015594589135e-06 4.6915333581034015e-06 -7.432981260933129e-06 6.528684237493303e-06 -5.402513206228754e-06 -1.5983399068928152e-06 -5.1151278969475164e-05 -0.0008233328908090886 -0.00027677813862658144 -0.0003506717445798388 0.002334387614798854 0.00017094265741599387 0.00023028084653752028
gmp 3.824681519410009e-05 6.458077564447909e-06 -1.8563545813803125e-06 -5.5098634389824906e-06 9.067355678143203e-07 1.6056099456234595e-07 -3.458581250768971e-06 6.7152085895377095e-06 -1.1731264795745665e-05 -3.8886364345267335e-06 2.090531239767476e-06 7.2226696679955615e-06 4.8163753039249575e-06 -2.6996170935893787e-06 -3.8110197571909784e-07 3.4232889967993274e-06 8.659020540771469e-06 -8.18721059152035e-06 9.333315803967834e-06 -3.892630042216069e-06 -6.219734845537774e-07 -4.568199419996988e-05 4.173177011967664e-05 -0.0009897364105675283 -0.0007174253826782378 0.00017094265741599297 0.0031298333569346956 -0.0005895198670727313
gmm 1.074775992063109e-05 2.703909340959732e-06 5.27295274896387e-06 -3.637801263371465e-06 1.1234012679249155e-05 -3.367127424092264e-06 1.1992325874039888e-05 -3.5151791879605525e-06 3.2582113629093863e-06 -1.2534170992031405e-06 3.3073983294041593e-06 -3.763197085351023e-06 -7.967562390750786e-08 -3.1234369972522577e-06 -7.925386481077121e-06 -1.5536870874132116e-06 3.3153583345010012e-06 -4.387051583519389e-06 -3.0481168059211153e-06 -4.986549248135439e-06 -1.4987528252162816e-06 7.569568446908397e-06 -0.0001381359523023864 -0.0007702991746651004 -0.00010479421586179965 0.00023028084653752034 -0.0005895198670727312 0.0023227109669612016
