 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal maternal
PC10 -7.454763766726121e-08 4.4058977096328015e-08 -6.065263239220682e-09 3.082289463889279e-08 9.737132603731877e-08 -8.22458777140339e-08 7.329906153274151e-10 -3.921222343908128e-08 1.3945720198774192e-07 -3.596220145101692e-08 4.411844048464507e-06 -2.0391550356421352e-07 1.3465907459001437e-07 -1.9685867754995617e-07 -1.0568779252024854e-07 -7.640031196688896e-08 -1.5620922585446983e-07 2.6486023415041698e-08 1.679052716056332e-07 1.4334982712270848e-07 4.427919206973968e-08 2.7594315121391428e-08 4.035736667332459e-07 -2.614111844241954e-07
PC11 -1.7354184922735073e-07 -3.406801715315486e-08 7.47495249635958e-08 1.282138280569286e-07 9.36845863907949e-08 -2.9732342014182247e-07 -1.4280960535019343e-07 3.5230424945478115e-07 -2.1987170147106742e-07 -1.4668023750955792e-07 -2.039155035642135e-07 4.353232335014835e-06 -6.321894310435348e-08 -4.862377221382855e-08 -1.0834461530788598e-07 9.521868617337774e-08 1.6917668815009642e-08 1.6665248906513443e-07 -1.4366172984700936e-08 7.937811179229713e-08 1.610381100572001e-07 -1.2563369235787098e-06 1.2396634052589944e-06 1.9544108110707406e-06
PC12 3.820749190480075e-09 2.258979949212752e-07 -1.306185542804588e-07 6.861421090550898e-08 -2.0994556373121757e-07 1.7593202295532629e-07 2.0275659109283866e-08 7.261113599827725e-08 9.933814803731195e-08 -4.309806180458112e-08 1.3465907459001448e-07 -6.321894310435352e-08 4.209451048116061e-06 1.3736823364983839e-08 -1.8996308618532514e-08 -9.209773340068501e-08 -9.708118838344558e-08 -1.937851163131959e-08 4.855034469062742e-08 -6.451312586541975e-08 -7.668982917635063e-08 -7.097629579837023e-07 8.592640641154352e-07 -3.739517223214874e-08
PC13 1.4183456438612357e-07 4.60125408865984e-09 5.0492030626664617e-08 -1.7060011203930282e-07 2.19376823862758e-08 -2.429058658647417e-07 -1.4780714270021925e-07 2.6317558825950574e-07 -6.752434472606312e-08 -1.2822704527079615e-07 -1.968586775499561e-07 -4.862377221382844e-08 1.3736823364983824e-08 4.019510697476193e-06 -7.183738612181777e-08 1.9410077100970868e-07 6.8796450710336e-08 2.3984344275759347e-08 -1.1618093134456553e-07 4.720145939346627e-08 2.8418483253876522e-08 1.0651005898311827e-06 -9.334446288149225e-07 5.636374181308802e-07
PC14 1.5751875926968507e-07 -1.0519160387907301e-07 -1.8214608175669932e-07 -2.5708799062683316e-10 -9.064216967428188e-08 3.2127767147792714e-08 -2.448912325096531e-08 -2.8837843536189696e-08 5.4862633179886285e-08 -5.207001155180631e-08 -1.0568779252024843e-07 -1.0834461530788596e-07 -1.8996308618532584e-08 -7.183738612181788e-08 4.35279384780498e-06 -1.8056945166745165e-08 -7.895857985793302e-08 -2.1447685540463027e-08 7.900923305501015e-08 1.1565951506781128e-07 -1.017275532102155e-08 9.098156582049727e-07 -6.697306360588133e-07 -7.743680626012511e-07
PC15 -4.90965608066475e-07 -1.7713244368747303e-07 1.1499812116236829e-07 -1.303631879523823e-08 -3.2309121046468886e-08 6.343906230270986e-08 -1.237739357430289e-08 -1.6915984325241513e-07 -9.174452181954059e-08 3.335772858400586e-08 -7.640031196688893e-08 9.521868617337769e-08 -9.209773340068492e-08 1.9410077100970879e-07 -1.8056945166745086e-08 4.106447197608537e-06 1.3876129647878955e-07 -1.6184697784843892e-07 -9.0808317543845e-08 9.949925388472791e-08 8.218420699471659e-08 6.517052112879537e-07 4.461362748558935e-07 9.126168669866752e-08
PC16 -2.14507374706217e-07 -1.530505771720369e-07 -1.6819856039559843e-07 3.383555052411008e-09 5.4922209832913005e-08 -4.879879143210365e-08 -1.781539139237764e-08 -1.105391075105102e-07 3.8552865976055455e-08 1.1563607862602757e-07 -1.5620922585446994e-07 1.6917668815009695e-08 -9.708118838344564e-08 6.879645071033597e-08 -7.895857985793296e-08 1.387612964787895e-07 4.239294097283847e-06 -9.702385110546247e-09 -5.469632971121906e-08 -1.1156566004316729e-07 -7.105622091013723e-08 7.074671284209939e-07 -1.6728534151579335e-07 2.5605287200140587e-07
PC17 2.6425689553602185e-07 2.9872634524716716e-08 1.544333115485065e-07 -1.0328523687257828e-07 3.5516415622182836e-09 2.3416042359732938e-07 2.440229718415261e-07 -3.436123359149092e-08 6.718517392824383e-08 1.3193899411400026e-07 2.6486023415041698e-08 1.6665248906513437e-07 -1.9378511631319607e-08 2.398434427575936e-08 -2.1447685540463077e-08 -1.6184697784843897e-07 -9.702385110546282e-09 3.869757329768317e-06 -2.1999287826855242e-08 -3.331239364602507e-08 3.0010452836070566e-10 2.7561776256343627e-07 -1.8401920258495433e-07 1.788358863555196e-07
PC18 -1.7451766038974544e-07 5.705468713298187e-08 -5.407784150926131e-09 -1.4127032455461823e-07 -7.883385356838079e-08 -1.0436752506928532e-07 -6.048193393059196e-08 6.972978148892799e-08 -3.7774435170562956e-08 -1.650869267818617e-07 1.6790527160563313e-07 -1.4366172984700919e-08 4.855034469062737e-08 -1.1618093134456551e-07 7.900923305501009e-08 -9.080831754384494e-08 -5.4696329711219074e-08 -2.1999287826855262e-08 3.900503988823522e-06 -1.31445923099189e-09 4.257180658281098e-08 -3.812976511399054e-07 5.707088933257543e-07 8.373373789130296e-07
PC19 6.292737585245593e-07 3.181838593289748e-08 -4.723588671238961e-09 1.1125959715034233e-07 -6.926438182395397e-08 8.425283146366114e-08 -2.5191221405588255e-08 -3.3823401644691966e-08 -5.4421645922340825e-08 -8.04617564803518e-08 1.4334982712270845e-07 7.937811179229718e-08 -6.451312586541976e-08 4.720145939346626e-08 1.156595150678113e-07 9.949925388472795e-08 -1.1156566004316729e-07 -3.331239364602512e-08 -1.314459230991913e-09 3.92453898475792e-06 1.1082949067393705e-07 -1.2293314811104106e-07 4.5335078232553853e-07 4.4525083094485433e-07
PC20 2.811511987941378e-07 1.760955466867044e-08 -8.636637748553719e-09 4.350125872159237e-08 -2.4043990060275798e-08 7.212731152152242e-08 -1.0122373520156873e-07 -1.1247778189866131e-07 8.633510860732688e-08 -8.414063314287109e-08 4.427919206973973e-08 1.6103811005720015e-07 -7.668982917635052e-08 2.841848325387653e-08 -1.0172755321021572e-08 8.218420699471664e-08 -7.105622091013731e-08 3.001045283606943e-10 4.257180658281092e-08 1.1082949067393698e-07 3.6382590696186106e-06 1.3064503582923497e-08 -3.1495740420077875e-07 5.836042771395004e-08
proband 7.715341200813605e-06 -1.1227001070564029e-07 4.5191202375601244e-07 -2.8385992667036914e-07 1.016646606993048e-07 -3.3896984569687967e-07 1.4165492443873658e-06 -1.5277434277979792e-06 -1.0419182599832985e-06 2.439892970733862e-07 2.7594315121390866e-08 -1.2563369235787092e-06 -7.097629579837023e-07 1.0651005898311825e-06 9.098156582049731e-07 6.517052112879537e-07 7.074671284209943e-07 2.7561776256343653e-07 -3.812976511399055e-07 -1.229331481110411e-07 1.3064503582923073e-08 0.00034677769262421405 -0.00019581396509656427 -0.00017640949101305862
paternal -1.4447675431052611e-05 8.540369745556896e-07 3.389322450890294e-07 -1.188507404392883e-06 -2.5954385565468814e-07 7.254084681093875e-07 7.806377858453655e-07 8.533241617881028e-07 1.1469239310931953e-06 -2.445481500755575e-07 4.0357366673324605e-07 1.2396634052589944e-06 8.59264064115435e-07 -9.334446288149219e-07 -6.697306360588124e-07 4.461362748558935e-07 -1.6728534151579433e-07 -1.8401920258495526e-07 5.707088933257542e-07 4.533507823255381e-07 -3.1495740420077885e-07 -0.00019581396509656425 0.0004553349114189701 4.975517663984239e-05
maternal -7.260841883447253e-06 1.5359556372126005e-06 1.0736959548933582e-06 -6.628256498508028e-08 -4.1439386407648224e-07 -6.598994209822032e-08 -2.0825444086503363e-07 2.567263321804674e-07 6.807834399518235e-07 -3.271171740507785e-07 -2.6141118442419586e-07 1.9544108110707406e-06 -3.7395172232149344e-08 5.636374181308808e-07 -7.743680626012518e-07 9.126168669866771e-08 2.560528720014059e-07 1.7883588635551996e-07 8.3733737891303e-07 4.45250830944854e-07 5.836042771395016e-08 -0.00017640949101305865 4.9755176639842395e-05 0.00041624364725673574
