 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband paternal gpp gmp
PC10 2.459397363554938e-07 7.88089616787752e-09 2.4700698448869206e-07 1.6796355187442869e-07 1.5418472889380771e-07 -1.53879083312655e-07 1.2480861180770966e-07 -1.6896684468005242e-07 6.755289451102704e-08 -2.23037356195164e-07 8.65439445579502e-06 -2.417914136539097e-07 1.2239979192781071e-07 -2.3868551091872464e-07 -1.7185021768110326e-07 1.755096397981972e-07 -3.72106878137452e-08 -1.7194417532977898e-07 2.650705458153459e-07 2.628790900561567e-07 -5.485337960582867e-08 -3.5517810770742074e-07 4.761714962986779e-06 -6.916213766731675e-06 -4.719186653585718e-07
PC11 6.482068409158323e-07 -1.2178793277154002e-07 1.1082256044136958e-08 2.3001780788841813e-07 2.3193253079018823e-07 -7.01293279341756e-07 -2.960329935654377e-07 5.585398844566586e-07 -6.383214652726338e-07 -9.140103634536295e-08 -2.417914136539097e-07 8.186246588101056e-06 -1.3985448533664632e-07 -6.867970199886289e-08 -1.064784189112995e-07 1.0270642674003889e-07 5.5756445399028803e-08 1.3656834885414387e-07 -8.062963424765489e-09 1.5151134676487459e-07 3.2851057324876647e-07 -1.462253602361776e-06 -2.1416288125518744e-06 -5.4822376576312635e-06 1.4021448614773696e-05
PC12 -2.0977892062724753e-06 4.679770666731873e-07 -3.763481648098988e-07 6.760235445144449e-08 -5.47059850835971e-07 4.799775531496004e-07 -5.242618562514839e-08 6.38949550960508e-08 3.414046947557234e-08 -1.21763505648326e-07 1.223997919278107e-07 -1.3985448533664635e-07 7.687043818066826e-06 7.238881920349635e-08 -6.051016443623284e-08 -4.0920732237375426e-07 -2.0823674998281913e-07 1.1267088609074556e-07 -1.0228886020575127e-07 1.27137533657352e-07 -4.821272096965966e-08 -9.28187060013301e-07 2.1034057708587534e-06 1.770330323991415e-06 -4.09591093166269e-06
PC13 1.6102449041054788e-06 -3.480586610269701e-08 1.3308564021158703e-07 -2.809856840116463e-07 -9.714500617810473e-08 -8.100383533104671e-07 -2.972152725796928e-07 4.496878764483421e-07 1.0646874254326669e-07 -1.7650989021186312e-07 -2.386855109187245e-07 -6.867970199886305e-08 7.238881920349644e-08 7.191485439727073e-06 -3.1694981464532497e-07 5.507381595340814e-07 1.0495381386051346e-07 4.904253551836256e-08 -1.9606205587330213e-07 2.3933014943785816e-08 9.668689147074954e-08 2.3391439283708512e-06 4.355952693586622e-06 -8.440795306790084e-06 -2.2496138550223947e-06
PC14 -1.5610587088564938e-06 -2.497384498262752e-07 -1.326673734397323e-07 1.873695059487074e-07 -8.944332873437262e-08 3.6009097655637834e-07 -1.3255438094569943e-07 -1.1590510613342702e-07 -6.294527795480948e-08 -3.439155233619547e-07 -1.7185021768110323e-07 -1.0647841891129929e-07 -6.051016443623268e-08 -3.169498146453248e-07 7.8605254103527e-06 4.960412419741015e-08 1.1317977959441635e-07 -2.902805114134964e-08 9.103590472983108e-08 9.935904550824971e-08 -3.720490073138571e-08 1.6354973870258076e-06 -6.049265703883469e-07 -4.70365015985494e-07 5.871004839572934e-07
PC15 -1.3902601326499558e-06 -4.2358944112045786e-07 2.344333402391474e-07 -1.450205899899541e-07 -8.991975277635594e-08 -4.6194209641560853e-08 -4.656907371185666e-08 -1.8280495422423767e-07 -1.7417144551266328e-07 6.049136645431322e-09 1.7550963979819708e-07 1.0270642674003853e-07 -4.09207322373754e-07 5.507381595340812e-07 4.9604124197410086e-08 7.778031958176722e-06 2.423366487547146e-07 -5.021448590778755e-07 -7.523379553831327e-08 -3.8177332021391445e-08 2.0290298758131583e-07 1.2579632891504477e-06 9.916129902441334e-07 -1.7040546457475091e-06 -9.410816216008313e-08
PC16 -4.944423639789109e-07 -3.6645260605980887e-07 -1.0829750115907116e-07 -4.007215280858796e-08 1.9457535428976623e-07 -9.55894487166e-08 -7.315740284796134e-08 -2.912424660862324e-07 7.882411925203999e-08 2.839591661614686e-07 -3.721068781374528e-08 5.575644539902879e-08 -2.0823674998281916e-07 1.0495381386051346e-07 1.1317977959441621e-07 2.423366487547147e-07 7.90504784379959e-06 -2.426295510341324e-07 8.950318254381072e-08 -4.889149298891187e-07 5.459506275626844e-08 2.351830158303351e-06 -4.578060963259452e-06 1.5350116126857512e-06 6.048767720374132e-06
PC17 -1.265734475084199e-07 1.1530892259810874e-07 2.8758916010486074e-07 -1.5260828985072008e-07 -6.774130505378542e-08 5.228137200536694e-07 3.7492862720792094e-07 -2.005355598030245e-07 6.186279010576623e-08 1.7827038197229742e-07 -1.7194417532977896e-07 1.3656834885414403e-07 1.1267088609074566e-07 4.904253551836262e-08 -2.9028051141349718e-08 -5.021448590778756e-07 -2.4262955103413215e-07 7.172076333353696e-06 1.2724269901602818e-07 -1.1927678281719965e-07 2.6303214489092136e-08 6.192501491920774e-07 -2.2260444992223615e-06 7.669628627101722e-06 -8.836889818588271e-07
PC18 -1.3193223093815726e-07 2.0809605607843997e-08 -1.2042023008220058e-08 -2.1336904863743488e-07 -1.7430819825133647e-07 -2.2360202673810002e-07 -2.6249560468540055e-07 1.4473709490373344e-07 -2.645412611743867e-07 -4.856564503119662e-07 2.650705458153463e-07 -8.062963424765272e-09 -1.0228886020575122e-07 -1.960620558733021e-07 9.103590472983091e-08 -7.523379553831322e-08 8.950318254381067e-08 1.2724269901602818e-07 7.276343619288604e-06 -1.3965228889452891e-07 1.6791350758223524e-07 -3.211440111444171e-07 1.4122336739926047e-07 5.038827048670196e-07 2.2213024176244577e-06
PC19 1.3649548481322049e-06 1.373930695146418e-07 -1.1113490420418696e-07 2.0812199251325918e-07 -1.0243813585749052e-07 3.3254832828789825e-08 -6.662605136662838e-08 1.8991499832952296e-08 -2.677422666965449e-07 -2.4988049963004113e-07 2.6287909005615677e-07 1.5151134676487467e-07 1.271375336573522e-07 2.3933014943785876e-08 9.935904550824979e-08 -3.817733202139176e-08 -4.889149298891189e-07 -1.1927678281719975e-07 -1.3965228889452897e-07 7.160121902747038e-06 3.5146423924360315e-07 9.647506247809446e-07 -3.139356628666755e-06 6.6045092174925225e-06 -1.6296491770042845e-07
PC20 1.3427971398770768e-06 -2.1987886007699084e-08 -1.0640743204609073e-07 1.2251369563117064e-07 -6.096782972105376e-08 -5.084284437039279e-08 -2.674011741209303e-07 -1.0783418226871944e-07 2.445621895222271e-07 -2.940003643738026e-07 -5.48533796058286e-08 3.2851057324876636e-07 -4.821272096965973e-08 9.668689147074961e-08 -3.720490073138562e-08 2.0290298758131583e-07 5.459506275626821e-08 2.6303214489091974e-08 1.6791350758223538e-07 3.514642392436034e-07 6.562600585266482e-06 -5.8511281322817584e-08 -1.4213914350064995e-06 2.427845914767428e-06 -1.3810115816039628e-06
proband -1.3729715296800084e-06 1.3684142235901358e-06 -1.0036454627495837e-06 -6.899347694580225e-07 5.39638718590797e-07 8.564290995249622e-07 7.604238759888473e-07 -3.1099757890185797e-06 -1.8354740873581653e-06 5.508406376372654e-07 -3.5517810770741963e-07 -1.4622536023617784e-06 -9.281870600133e-07 2.3391439283708495e-06 1.6354973870258046e-06 1.2579632891504487e-06 2.3518301583033488e-06 6.192501491920756e-07 -3.2114401114441813e-07 9.647506247809446e-07 -5.851128132281753e-08 0.00045847886894288836 -0.0002382005250685892 -1.6435358443768757e-05 2.206657892126361e-05
paternal 7.767126850112152e-05 -1.3985257735658765e-06 -1.8158856546894026e-06 2.2648342857402827e-06 -1.361998362905149e-06 2.7844269140046498e-06 -1.7892330734814738e-06 1.4498807325555391e-06 2.0283165679397888e-06 3.553601446956541e-06 4.7617149629867726e-06 -2.141628812551881e-06 2.1034057708587568e-06 4.3559526935866225e-06 -6.049265703883483e-07 9.916129902441328e-07 -4.578060963259452e-06 -2.226044499222362e-06 1.4122336739926044e-07 -3.1393566286667633e-06 -1.4213914350065004e-06 -0.00023820052506858932 0.0019457338280445557 -0.0016280700580970395 -0.001101875150191213
gpp -0.0001567514163476247 5.967129999557529e-06 6.42644157412913e-06 -3.910367008742455e-06 2.0987350659553926e-06 -8.689604807820987e-06 3.752498644011475e-06 1.072034707518399e-06 3.8399427329224035e-06 -3.018277589841873e-06 -6.916213766731673e-06 -5.482237657631245e-06 1.7703303239914104e-06 -8.440795306790089e-06 -4.70365015985495e-07 -1.7040546457475075e-06 1.5350116126857626e-06 7.669628627101725e-06 5.038827048670232e-07 6.604509217492534e-06 2.4278459147674353e-06 -1.6435358443768713e-05 -0.0016280700580970408 0.004657491698171579 -0.0012071583982016672
gmp 1.282262685093523e-05 -1.489026016187083e-06 2.031867874559741e-06 -4.969150964549274e-06 -2.436925386368922e-06 2.8496219374913414e-06 9.046617913954771e-07 -5.537819386142994e-07 -5.75372700359352e-06 -2.064774755402108e-06 -4.7191866535856586e-07 1.4021448614773693e-05 -4.095910931662692e-06 -2.249613855022388e-06 5.871004839573e-07 -9.410816216008331e-08 6.048767720374128e-06 -8.836889818588266e-07 2.221302417624456e-06 -1.6296491770042538e-07 -1.381011581603968e-06 2.206657892126391e-05 -0.001101875150191212 -0.001207158398201669 0.0033658181097477213
