 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband
PC11 -1.1163636405452055e-07 -4.2781300919721464e-08 6.941712620081187e-08 1.3113097566302452e-07 9.606395736380234e-08 -2.9865154273813926e-07 -1.4360734196615605e-07 3.4917817035407813e-07 -2.2541239250939227e-07 -1.4463888763010854e-07 -2.0367468826421722e-07 4.341271815641597e-06 -6.499659406684659e-08 -4.903430856832099e-08 -1.034360248269821e-07 9.38676807350017e-08 1.616536300929514e-08 1.6624553979178555e-07 -1.9424388350222108e-08 7.629832630720002e-08 1.6158362835503264e-07 -3.698025398661639e-08
PC12 2.9281340048818458e-08 2.2468820008713517e-07 -1.3087353315158722e-07 7.086312386939662e-08 -2.094988615801174e-07 1.7448577356623982e-07 1.868795082743374e-08 7.115047501160017e-08 9.744846149349587e-08 -4.280526260754037e-08 1.3379154951205676e-07 -6.499659406684656e-08 4.207431002647647e-06 1.5554848746733285e-08 -1.7919580329825437e-08 -9.293384320179332e-08 -9.678198135141753e-08 -1.8954689863939573e-08 4.774160895447392e-08 -6.509862906247561e-08 -7.60449218005912e-08 -3.9046591704711657e-07
PC13 1.2199672139241435e-07 4.089107974482668e-09 4.9222165688912845e-08 -1.7306695865932762e-07 2.2297503137624328e-08 -2.40939237576475e-07 -1.4588554845894208e-07 2.64739000758646e-07 -6.607687405990178e-08 -1.2828195264086163e-07 -1.9545970912497122e-07 -4.9034308568320984e-08 1.5554848746733338e-08 4.0158819057004554e-06 -7.186982324409825e-08 1.9486125085707452e-07 6.799310206944277e-08 2.3358593129734147e-08 -1.1630609797531616e-07 4.7404112437114934e-08 2.7739407956901603e-08 9.146887893720987e-07
PC14 1.2603512066145527e-07 -1.0145549695786488e-07 -1.795694420641951e-07 -1.7912975214645174e-09 -9.166654629707479e-08 3.2913294921423734e-08 -2.375960768682701e-08 -2.736733584685738e-08 5.7575804837479444e-08 -5.295759064766255e-08 -1.055333402109206e-07 -1.0343602482698215e-07 -1.7919580329825385e-08 -7.186982324409825e-08 4.3499590309173685e-06 -1.721578915666339e-08 -7.867263221867833e-08 -2.138121194590828e-08 8.126179270402752e-08 1.1704735155954497e-07 -1.0427678450452921e-08 3.5772101349237387e-07
PC15 -4.75960121040761e-07 -1.7802671577143572e-07 1.1450829976736814e-07 -1.1896760994623745e-08 -3.1881711562433236e-08 6.273506151197551e-08 -1.3149423731317627e-08 -1.6997818798667883e-07 -9.278900030209344e-08 3.354798344620349e-08 -7.675149297622186e-08 9.386768073500169e-08 -9.29338432017933e-08 1.948612508570743e-07 -1.721578915666333e-08 4.105634711361861e-06 1.3886009979937562e-07 -1.6162315790482892e-07 -9.145812502377128e-08 9.904598826688817e-08 8.248776414434894e-08 8.597888404706296e-07
PC16 -2.1561902635863063e-07 -1.5357505954355798e-07 -1.6879063709718628e-07 2.8732195266589665e-09 5.507980993996854e-08 -4.855814147777195e-08 -1.7400209753428866e-08 -1.1023022066571217e-07 3.852414054337973e-08 1.1578746963983307e-07 -1.5577954827235768e-07 1.6165363009295078e-08 -9.67819813514175e-08 6.799310206944285e-08 -7.867263221867827e-08 1.3886009979937551e-07 4.238399533085721e-06 -9.762013523366854e-09 -5.507498666785286e-08 -1.1165579394611417e-07 -7.127125215220325e-08 7.389964224213134e-07
PC17 2.6077405161125286e-07 2.9454935933773744e-08 1.540372266813819e-07 -1.0373389364728113e-07 3.5281801712154698e-09 2.3440363499525327e-07 2.4452255450471927e-07 -3.396670214624697e-08 6.736881550378025e-08 1.3192072049304226e-07 2.6767493912324592e-08 1.6624553979178558e-07 -1.8954689863939586e-08 2.335859312973408e-08 -2.1381211945908323e-08 -1.6162315790482892e-07 -9.762013523366882e-09 3.869197127121906e-06 -2.2139810471197048e-08 -3.3333629244124395e-08 1.563113027660617e-10 2.713983148316189e-07
PC18 -1.4522651019696793e-07 5.3277076429296255e-08 -7.921192432542538e-09 -1.3982621340028422e-07 -7.76646055162891e-08 -1.0492196804129038e-07 -6.098794131565349e-08 6.830464336378337e-08 -4.0180478347601046e-08 -1.6425251335230913e-07 1.6800871622993907e-07 -1.9424388350222088e-08 4.774160895447396e-08 -1.1630609797531606e-07 8.126179270402744e-08 -9.145812502377124e-08 -5.50749866678528e-08 -2.213981047119714e-08 3.897947569983011e-06 -2.6137986831922915e-09 4.276894290715291e-08 1.5699926709585716e-07
PC19 6.489818214663776e-07 2.95730278776008e-08 -5.991429787174336e-09 1.1226531275797126e-07 -6.868514672321222e-08 8.357411555194718e-08 -2.575261302249594e-08 -3.488623794793086e-08 -5.6105753990340946e-08 -7.992317939645922e-08 1.432321045297161e-07 7.629832630719998e-08 -6.509862906247559e-08 4.740411243711492e-08 1.1704735155954497e-07 9.904598826688813e-08 -1.1165579394611421e-07 -3.3333629244124415e-08 -2.6137986831922704e-09 3.9233055138975485e-06 1.1102069929121834e-07 2.2100077170306397e-07
PC20 2.7293139383953884e-07 1.7874511067516714e-08 -8.54348910793418e-09 4.2581970504364016e-08 -2.416007804302112e-08 7.27919649227523e-08 -1.0057730431394317e-07 -1.1182341915781253e-07 8.700372174216782e-08 -8.414427611086477e-08 4.454658890884054e-08 1.6158362835503275e-07 -7.60449218005912e-08 2.7739407956901612e-08 -1.04276784504529e-08 8.248776414434895e-08 -7.127125215220326e-08 1.563113027660418e-10 4.276894290715293e-08 1.1102069929121838e-07 3.637691653089849e-06 -8.646593852612336e-08
proband -6.475560001096613e-07 7.990603728155361e-07 9.89594344405997e-07 -7.71262940963019e-07 -1.554907760076952e-07 -8.176385765860246e-08 1.6409248151324064e-06 -1.0987065368187958e-06 -3.383229254872927e-07 2.5084510766418064e-08 8.587280268626971e-08 -3.698025398661646e-08 -3.9046591704711683e-07 9.146887893720982e-07 3.5772101349237445e-07 8.597888404706301e-07 7.389964224213141e-07 2.7139831483161857e-07 1.5699926709585684e-07 2.2100077170306418e-07 -8.646593852612327e-08 0.0002040472528642128
