 intercept PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17 PC18 PC19 PC20 proband maternal gpm gmm
PC10 4.0570088713122343e-07 2.8287637677674667e-07 -1.8187965482455906e-09 1.2210239494404486e-08 3.1668217641782077e-07 -5.133087402802666e-07 -2.84681960939386e-07 2.1919606906773927e-07 8.303508499560261e-07 -5.532800173316389e-07 1.2760551235010566e-05 -1.9912674169101826e-07 8.845333063777923e-07 -6.138082753192772e-07 -2.495857813909966e-07 -2.5796742070728525e-07 -7.374645143513789e-07 6.971874108425982e-08 4.536457829621824e-07 4.0605570683696306e-07 2.219708790186115e-07 2.8789647520605268e-06 -5.220101848227646e-06 1.6166326223878437e-07 4.676522103107233e-06
PC11 3.338953394117428e-06 -1.9618020560428247e-07 -4.85490690767935e-07 1.1542797568765006e-07 2.3774417243129992e-07 -1.2245405605162914e-06 1.3123797526135804e-08 1.3088651523648777e-06 -5.843836269184e-07 -1.833943859564614e-07 -1.9912674169101826e-07 1.1408773580654219e-05 -4.182188501739845e-07 1.0225895307640297e-07 -7.130594769640079e-07 4.1667455139900655e-07 1.8988648361749055e-07 -4.266748965214016e-08 2.7281462808001255e-08 5.842045173036644e-07 4.404965929770124e-07 -2.0449892223782476e-06 4.319995851210163e-07 7.639780013636818e-06 -1.505670876578503e-06
PC12 5.33173974440008e-07 6.744817715425843e-07 -8.942226649090526e-07 1.5496412156223413e-07 -6.722702346208892e-07 5.175283981923032e-07 9.053202312085258e-08 2.8478217462950227e-07 4.3724060997052956e-07 -2.4494760958919764e-07 8.845333063777921e-07 -4.182188501739846e-07 1.08612716876094e-05 1.3953405743572265e-07 -4.013779710530456e-08 -5.620766323150041e-07 1.6010510060190774e-07 -6.77022838236527e-08 3.5105597706351126e-07 -2.345122409327006e-07 -5.8775041147753335e-08 1.0070767756774923e-06 -4.5009672739083615e-06 -2.482535522843007e-08 3.3232987933165042e-06
PC13 2.6798634473253577e-06 -1.6447704084379597e-07 6.423746500322658e-07 -8.930597947628021e-07 -2.9516037620986956e-07 -1.0245806841469703e-06 -6.288258731091774e-07 6.202361568377767e-07 2.1714629488248075e-08 -2.984661404427573e-08 -6.138082753192771e-07 1.0225895307640298e-07 1.3953405743572262e-07 1.1401454984608969e-05 1.6254349417476162e-08 1.1768052126453436e-06 3.445498746288714e-07 3.421471016503268e-07 -2.3632110063585684e-07 -1.9814087383164365e-07 2.2758272362000084e-07 2.4126429765597855e-06 4.843393598571155e-06 -8.699926747355815e-06 -1.175294305568309e-06
PC14 -1.372083996294428e-07 -2.691347651582635e-07 -7.051592525599439e-08 -4.851307236129377e-07 -3.3023421873358634e-07 4.254320611849487e-07 3.9917141050659095e-07 -2.5195380621806796e-07 -1.2109358849573792e-07 -4.0836680612648765e-07 -2.495857813909968e-07 -7.13059476964008e-07 -4.013779710530441e-08 1.6254349417476493e-08 1.123360538397827e-05 -9.15885591221988e-08 -8.014526688157848e-08 1.4594475848141661e-08 4.441863342182535e-07 1.5271929132757004e-07 -1.4500108382105643e-07 1.9476315694140395e-07 7.946246208645912e-06 -1.1503691819484812e-05 -3.918394756393617e-06
PC15 1.5417135636542082e-06 -6.192148286225174e-07 3.818689407558449e-07 -7.000649000036221e-08 1.0433954751347326e-07 1.3464228640783935e-07 2.080702175612411e-07 -8.62692607548581e-07 -3.827744998143685e-07 1.5899460828640676e-07 -2.57967420707285e-07 4.1667455139900686e-07 -5.620766323150043e-07 1.176805212645344e-06 -9.158855912219886e-08 1.109876207753059e-05 5.889155288067529e-07 -4.274477588810026e-07 -8.648513560739859e-08 -1.6451482898969892e-07 -3.4360802148930797e-07 1.7219697799425276e-06 -1.5852942352226812e-06 6.466716016870186e-07 6.4496305160192795e-06
PC16 1.0945572327915404e-06 -4.132636566525704e-07 -6.932553255996747e-07 1.0076963421117057e-08 1.4562577329991518e-07 -4.542396714601185e-07 -1.197193933734862e-07 -1.6995978568233436e-07 2.7697031555390915e-07 4.830420549664191e-07 -7.374645143513788e-07 1.8988648361749053e-07 1.6010510060190755e-07 3.445498746288711e-07 -8.014526688157856e-08 5.889155288067529e-07 1.1194159593217278e-05 4.020739906070911e-09 -3.264014207417266e-07 -3.3608791471515785e-07 -4.6559501250993977e-07 1.5127734045776545e-06 -6.5823372045168954e-06 4.679151772398854e-06 9.449100952335842e-06
PC17 -4.303513978807536e-07 2.9705571883046515e-08 1.3377459277911362e-06 -3.997612948598013e-07 2.7215221922972493e-07 9.805162845085477e-07 1.011318909046783e-06 2.3188230553068182e-07 -1.331245585895835e-09 6.43023434746033e-07 6.971874108425988e-08 -4.266748965214026e-08 -6.770228382365265e-08 3.4214710165032675e-07 1.4594475848142028e-08 -4.274477588810029e-07 4.020739906070638e-09 1.0753892467533886e-05 5.469261482789408e-07 -2.43561026627138e-08 -2.099369645607144e-07 1.3146022526846402e-06 8.428985369181625e-06 -1.4926344844842862e-05 -4.5457822189946694e-08
PC18 1.9856380836649178e-06 -8.510347439982028e-08 4.1473024321092443e-07 -5.711320517668873e-07 -3.687021106676308e-07 -8.457362111200987e-08 -2.0565754688106906e-07 1.5714366792633996e-07 -9.19359323618759e-07 -2.3783224917118953e-07 4.536457829621824e-07 2.72814628080009e-08 3.510559770635115e-07 -2.363211006358568e-07 4.441863342182536e-07 -8.648513560739883e-08 -3.2640142074172703e-07 5.469261482789406e-07 1.0396852876951197e-05 1.9415312465784198e-07 5.079865229927838e-07 -1.5815952643290857e-07 1.8059163225945304e-06 -3.4837120402757675e-06 3.974578572933878e-06
PC19 2.5698228475033518e-06 1.8700239387429064e-07 -1.3015622526956845e-06 2.613716382575822e-07 -7.375826746636655e-08 7.551599422715246e-07 -2.8640389447024444e-07 -1.6573035899401062e-07 -1.844485670669569e-07 -2.8721173567711235e-07 4.0605570683696274e-07 5.842045173036639e-07 -2.345122409327004e-07 -1.981408738316434e-07 1.5271929132757e-07 -1.645148289896993e-07 -3.3608791471515806e-07 -2.435610266271396e-08 1.9415312465784206e-07 1.0885871486838437e-05 6.704910016084716e-07 -2.585043028456614e-06 8.225769023711285e-06 2.9224400211208936e-06 -1.0661637783888817e-05
PC20 -7.185622352825455e-07 2.384647716749376e-08 -9.446706367617876e-08 2.0656001536331818e-07 3.973373463653709e-08 5.512627674254926e-07 -2.301635248296007e-07 -1.468008137758096e-07 3.1764808265405334e-07 -7.471469039175738e-07 2.2197087901861152e-07 4.404965929770122e-07 -5.87750411477531e-08 2.275827236200009e-07 -1.4500108382105635e-07 -3.436080214893081e-07 -4.655950125099396e-07 -2.0993696456071396e-07 5.079865229927839e-07 6.704910016084715e-07 9.98141549207549e-06 1.281067785309533e-06 -7.479731061509596e-07 -1.890107308200311e-06 9.325293199214305e-07
proband 7.725256813451779e-06 1.7374138758734325e-06 5.319564582201046e-06 -1.517608704542874e-06 -4.519998737283491e-07 -1.2437417815860177e-06 7.133879451187042e-06 -6.059388864405308e-07 1.2736177515265204e-07 6.280715670936832e-07 2.878964752060529e-06 -2.04498922237825e-06 1.007076775677492e-06 2.412642976559788e-06 1.9476315694140586e-07 1.721969779942525e-06 1.5127734045776534e-06 1.3146022526846385e-06 -1.5815952643290505e-07 -2.585043028456615e-06 1.281067785309532e-06 0.0006867224617104495 -0.0004089114220380675 9.805623931757242e-05 3.701834190595255e-05
maternal 4.128512109570385e-05 6.401040776046503e-07 -1.8407101205151398e-05 3.0798405041500202e-06 -6.2638599107023884e-06 -2.957635120169859e-07 -2.4658018270621753e-06 -5.412309776973502e-06 5.290708018979457e-07 3.964457122414339e-07 -5.220101848227649e-06 4.319995851210225e-07 -4.500967273908348e-06 4.843393598571151e-06 7.9462462086459e-06 -1.5852942352226748e-06 -6.582337204516901e-06 8.42898536918163e-06 1.8059163225945208e-06 8.225769023711292e-06 -7.479731061509593e-07 -0.0004089114220380679 0.0026425455945004476 -0.002140399946777009 -0.0017105290465916558
gpm -0.00010761375521259349 2.713340233857575e-06 1.5208790842982822e-05 -3.623423966332411e-07 9.312686796074156e-06 1.074190393643887e-05 -1.687474237521413e-06 1.1862637246507072e-05 1.5581034361241671e-06 -6.370687560751561e-06 1.6166326223878643e-07 7.639780013636815e-06 -2.4825355228438525e-08 -8.699926747355818e-06 -1.1503691819484796e-05 6.466716016870117e-07 4.679151772398857e-06 -1.492634484484286e-05 -3.483712040275745e-06 2.922440021120891e-06 -1.8901073082003143e-06 9.805623931757262e-05 -0.0021403999467770086 0.0048627548202818255 -0.0005689838106512045
gmm 1.8915149902420478e-05 2.3174987663166648e-06 1.748120899956788e-05 -5.219572221824764e-06 1.2135390802988906e-06 -9.832860669975649e-06 6.500878161995128e-07 -6.994618029574798e-06 -1.0566960091908295e-06 -1.3891617817239024e-06 4.676522103107231e-06 -1.5056708765785039e-06 3.323298793316488e-06 -1.1752943055683021e-06 -3.918394756393615e-06 6.449630516019275e-06 9.44910095233585e-06 -4.545782218995651e-08 3.97457857293387e-06 -1.0661637783888822e-05 9.325293199214344e-07 3.7018341905952935e-05 -0.0017105290465916564 -0.0005689838106512034 0.00405070309742314
