 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal gpp gmp
pcs.V5 1.224190002203417e-06 -3.6390314088878585e-06 9.752332458697312e-08 -8.111801605271111e-10 -1.8143733767952776e-05 1.8292634569899026e-06 -5.556159992822976e-08 5.279700808691311e-10 9.292118808955864e-08 1.363287088422338e-07 3.1628172402814787e-06 3.63367099564319e-08 2.1474327703889375e-08 1.5677657440250522e-08 -2.0058826694109035e-08 -4.9386740231540526e-08 9.761862434686948e-08 1.243328608690153e-07 -5.47737276195414e-08 -4.497413038633581e-08 3.667994594561724e-08 -2.3139865332876435e-08 -9.49300034623787e-08 -7.181936273759455e-08 4.15192943746569e-08 9.674038381833458e-08 3.1626885494446816e-08 5.578301124386894e-08 2.7351627911991793e-07 8.929073806354798e-08 4.227159538870425e-06 -4.73017017057626e-07
pcs.V6 -1.3999767522970344e-06 1.7670713957442824e-06 -4.7773639890583876e-08 3.8926914996849923e-10 3.67533613723436e-05 -3.366797806219772e-06 9.790563624017129e-08 -8.861535976181055e-10 -4.0623842134393625e-08 -5.0438154069506936e-08 3.633670995636119e-08 3.0605988908540366e-06 -1.1578355549684498e-08 5.7949286166460665e-08 -2.2337353411585174e-08 -8.089831038213371e-08 1.1750800784446128e-07 -2.9427623382295158e-08 -4.225097964858046e-08 -1.2688251408779659e-08 3.821242423619039e-08 3.728683513035645e-08 -1.2223725779575163e-07 2.8244687224393664e-08 -2.5311791988247175e-08 9.863305407927443e-09 -1.1446561938783584e-07 9.50322750507622e-09 8.745946500491575e-07 1.6111874594217793e-06 1.2373749985208104e-06 -1.993871901041018e-06
pcs.V7 9.196231966924913e-07 -7.49396543762859e-07 1.7939871889511824e-08 -1.403301320929362e-10 -4.795784817655803e-05 4.165713177004556e-06 -1.1459637522183473e-07 9.946253562133122e-10 1.0030625751944725e-07 7.801455662207932e-08 2.147432770398994e-08 -1.1578355549714081e-08 3.5582868348948164e-06 1.3922784873544795e-08 -4.6159362101206666e-08 -1.5740130246272534e-07 5.145985121827191e-09 -9.149268741578147e-08 -2.9273848492232305e-08 -1.2397048798339348e-07 6.817144648729484e-08 -2.8043351254704665e-08 -1.5299048525688676e-07 1.268173677620292e-08 2.1954090492907858e-09 3.5569688565818995e-08 -7.002852839061158e-08 -3.078233347717537e-08 -4.15826152305154e-07 6.656992720472682e-07 -7.299144903190747e-07 -8.456647917861391e-08
pcs.V8 -1.0368825831416267e-05 -1.6096595917072476e-06 5.15927969232756e-08 -5.544441782838425e-10 5.124409480534208e-05 -4.92220289877431e-06 1.4544381548000127e-07 -1.3389997711855662e-09 3.837353291633681e-08 -1.0967005941598961e-07 1.5677657440094675e-08 5.7949286166552496e-08 1.3922784873479206e-08 3.4624099122191325e-06 8.10961387070612e-08 4.9080376508919716e-08 6.768989236938273e-08 1.9967384509945746e-07 -7.146337550281204e-09 -1.1559950871826024e-07 -4.639842736881592e-08 -1.402543318190699e-08 9.816814558280208e-09 2.9174388908001722e-08 1.2811644299840144e-07 6.728094605671937e-08 -1.0133306111804255e-08 -6.869084501104819e-08 -3.1364487768588964e-07 -1.5843764637725265e-06 7.778892376982109e-07 2.7997515039025566e-06
pcs.V9 -3.6729543563258653e-06 5.284372548138848e-07 4.518445522769315e-09 -2.2522185954682017e-10 -8.732805381872608e-06 1.3157629285495759e-06 -5.0176106162928574e-08 5.806025956271363e-10 -1.911243033178057e-08 -4.1082072155573615e-08 -2.005882669406441e-08 -2.2337353411601195e-08 -4.615936210120377e-08 8.109613870708207e-08 3.3773800513244833e-06 5.307578457870467e-08 -1.5398422554085753e-09 -1.232237679566614e-08 -5.5075427125308084e-08 -1.2091122066312022e-07 -3.849079270393641e-08 -3.4003938282923925e-08 7.455313200110549e-08 -8.511938692611559e-08 -1.7868845147998029e-07 -1.1372464035750363e-07 -3.280139837211742e-08 7.472422218555715e-10 -7.735455172906627e-07 8.319282069409439e-07 2.8953936391958427e-06 -3.872122874035596e-06
pcs.V10 -2.3832111776134324e-06 -7.907983284332734e-07 4.113112482514964e-08 -5.161625280370159e-10 -1.4493142334247866e-05 1.8711267771949906e-06 -7.000975125360362e-08 7.795318805476263e-10 9.027050312854262e-08 8.318566746160519e-08 -4.938674023149608e-08 -8.089831038212573e-08 -1.5740130246275618e-07 4.9080376508993474e-08 5.3075784578688246e-08 3.5509871475098893e-06 -8.943883692335488e-09 2.854158005392495e-08 -3.8468188563308804e-10 -1.979410669389397e-09 -3.664126090486809e-08 2.6235404381057693e-08 1.9487121867061594e-07 7.155481250047163e-08 2.0032379999951923e-08 1.2644512628943111e-08 4.222231930534899e-08 -5.299185339644935e-08 6.328045439941581e-07 3.111477742739905e-07 -1.754018115045965e-07 6.309171007221987e-07
pcs.V11 -1.6596691338002798e-06 -1.3816360164719033e-06 3.9843531307242364e-08 -3.38903644829019e-10 -1.0096473982068925e-05 6.022568083660202e-07 -6.0215225318958066e-09 -5.859151603312854e-11 -8.599835018928203e-08 1.0158330053909374e-07 9.761862434686226e-08 1.1750800784448557e-07 5.1459851217958895e-09 6.768989236942789e-08 -1.5398422554203272e-09 -8.943883692350736e-09 3.4817358084078425e-06 1.2459370676539832e-07 2.772422494503606e-08 -4.9261880749240144e-08 3.887404122367795e-08 -8.230472251876814e-08 -6.2113650223401e-08 7.776999230654039e-08 -1.0489030994758116e-07 7.543746526289663e-08 -6.342580037363018e-08 9.011812006513295e-08 -6.901210883337967e-07 -4.942165093377521e-08 1.8235491172881491e-06 -1.1075827354225375e-06
pcs.V12 -4.227573907641108e-06 -4.010606915837235e-06 1.1845056057140763e-07 -1.0923071847355602e-09 -1.021393506768213e-05 1.1298477935626626e-06 -3.691824527216438e-08 3.657173354841295e-10 1.0532190747658298e-07 -6.91753405212401e-08 1.2433286086899463e-07 -2.9427623382210637e-08 -9.14926874158935e-08 1.9967384509961593e-07 -1.2322376795713421e-08 2.8541580053871127e-08 1.2459370676539827e-07 3.414981929402861e-06 -1.4470755171267403e-07 -3.635280630047466e-08 1.8879938648020814e-08 -5.2503951248768546e-08 -5.4356721851394726e-08 -9.279547509050159e-08 -1.0263932085733539e-07 -1.2739230667868953e-08 -2.949123418771335e-08 5.551546188978014e-08 -3.785830168503986e-07 2.589946276030189e-07 1.0369502414905032e-06 -8.539616146132597e-07
pcs.V13 -1.2947597225822038e-05 -2.3301226556751997e-06 8.824673688197837e-08 -1.0125416330994703e-09 2.9554725747997576e-05 -2.501630578574333e-06 6.058196799178634e-08 -4.347338335293168e-10 -1.2018629118289642e-07 1.986169188913075e-08 -5.477372761963893e-08 -4.225097964848538e-08 -2.927384849232758e-08 -7.1463375501989154e-09 -5.5075427125344805e-08 -3.8468188570245303e-10 2.7724224945010515e-08 -1.447075517127632e-07 3.5606255673500715e-06 -7.976623721378134e-08 3.662966967532784e-08 2.464818966047592e-08 -8.944569446322647e-08 -3.557967228591701e-08 -1.8739128968325955e-07 2.370247071397811e-10 -5.990340255061294e-08 -7.648035854005637e-10 2.74358732620314e-08 3.59073651690323e-07 2.771269704362974e-07 -2.1336635365516097e-06
pcs.V14 -5.924122454405301e-06 1.4469528575575618e-06 -3.6517225090841396e-08 2.7758992185982247e-10 7.23210156592766e-05 -6.809381669307136e-06 2.0094746864111282e-07 -1.8766133405853744e-09 1.123934102466544e-08 -8.702305577887787e-08 -4.4974130386505605e-08 -1.2688251408735045e-08 -1.239704879833857e-07 -1.1559950871838261e-07 -1.2091122066310919e-07 -1.9794106694358783e-09 -4.926188074929431e-08 -3.63528063006635e-08 -7.976623721394701e-08 3.44934448678697e-06 -3.872955753352805e-08 -3.871794448298648e-08 3.138340699153254e-08 -9.098673724781952e-08 3.4453787088583904e-08 -8.43065212891722e-08 -6.24918320735135e-08 5.1708712630788246e-08 3.482359473159857e-07 -1.5027258996006815e-06 2.1654402003659443e-06 2.22367303583993e-06
