 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband
intercept 0.00011138392738832491 7.820737806861345e-06 -2.1929536921024546e-07 2.15028353204513e-09 -2.3025150107904016e-05 2.07969578438165e-06 -5.797987167917026e-08 5.428731200685455e-10 2.2512516867944062e-07 3.1332159075893067e-07 -1.9548269915654696e-07 -1.2795550352709e-07 -7.592599369704354e-08 5.0559426819140536e-08 -8.82130235286173e-08 7.779001567728774e-08 -1.5031439445070474e-09 -1.1147693274060199e-07 -1.5361038351941505e-07 -5.9396876616102754e-08 -2.599123023715578e-08 1.1338734017884993e-08 -2.7545088887866173e-08 -7.037012568100167e-08 5.533387184841238e-08 -2.888395124063158e-08 4.299351376535194e-08 -7.66954156845871e-09 -1.0280000794842554e-06
age 7.820737806875353e-06 0.0003074434557900851 -7.074724184469154e-06 5.053753487236524e-08 0.0038648404732793454 -0.0002927535447092053 6.724330319401211e-06 -4.792387637840597e-08 -4.9673810507369226e-08 1.9831402503818607e-07 -6.744939771536441e-08 2.5847548052960077e-07 3.828988700468016e-08 6.088011288897314e-08 1.4214842701028425e-07 1.7568079979144676e-07 1.841293137145766e-07 -3.542881280849567e-07 -9.133351016254222e-08 6.077428322279719e-08 -1.5555023252582724e-07 -2.3513986896356956e-07 -3.152499252178324e-07 2.769660732095132e-07 2.490506606700524e-07 -2.297927772786093e-07 1.6931973387724497e-07 3.552083908655153e-07 4.0400061595344645e-06
age2 -2.1929536921227069e-07 -7.074724184469136e-06 1.659289373344449e-07 -1.2054036866396099e-09 -8.69556921149133e-05 6.728782566297957e-06 -1.5754322147436469e-07 1.1419046775341871e-09 3.596034527062923e-09 -4.280943647157958e-09 6.335268053725494e-10 -6.080148648065372e-09 -8.962949383606441e-10 -2.4802261347933398e-09 -2.4188574798245736e-09 -3.1582822799633292e-09 -4.278680979747785e-09 7.929524478377518e-09 2.444236235061344e-09 -1.1269700084534059e-09 3.0549669583753287e-09 4.3772332204781944e-09 5.9864055690490795e-09 -5.360136713038785e-09 -6.643408497061491e-09 5.213145401473631e-09 -4.293873558382543e-09 -8.014406676532473e-09 -8.867177351076752e-08
age3 2.15028353205419e-09 5.053753487235299e-08 -1.2054036866393245e-09 8.899039380125596e-12 6.096864790703385e-07 -4.799196023645329e-08 1.1428436177678766e-09 -8.418408526825542e-12 -4.0316521869672374e-11 3.347048660999791e-11 -2.784421368256274e-12 4.2661973684804385e-11 4.1259466177252445e-12 2.3988650028780653e-11 1.2329191360659564e-11 1.834033622063867e-11 3.279833556539862e-11 -5.5065782906297587e-11 -2.2757485923568072e-11 5.525239109856897e-12 -1.9791484996418057e-11 -2.387935905117638e-11 -3.623079860964145e-11 3.107454228697982e-11 5.310895154537845e-11 -3.7047613389789175e-11 3.3119169904632554e-11 5.5364166666053465e-11 5.750361734040198e-10
sex -2.3025150107961557e-05 0.0038648404732860224 -8.695569211507288e-05 6.096864790715124e-07 0.13345546490742177 -0.010000449244321218 0.00022853769163132902 -1.6272347196108284e-06 -2.126271535638059e-06 -1.2138928361141514e-06 4.0249332456370184e-07 1.526397212640162e-06 -3.984578471669268e-06 -1.8738864562256298e-06 2.7142451414043315e-06 9.108603040693665e-07 -1.7908320837765597e-07 -2.8559210033958444e-06 -1.8674202169199832e-06 3.069324282620736e-06 2.5760667922987237e-07 -2.132544638707152e-06 -6.427850789134812e-06 2.563687441431941e-06 -4.7307737758193796e-07 -4.282792827163321e-06 5.821467133476059e-06 2.6172387220648356e-07 5.766538136405489e-05
agesex 2.0796957841834586e-06 -0.00029275354470934754 6.728782566301737e-06 -4.7991960236483967e-08 -0.01000044924432106 0.0007696846726594656 -1.7953313694921973e-05 1.2994343940769453e-07 2.0824590081889267e-07 1.1232687232014949e-07 -3.8283317055753745e-08 -6.189583633774339e-08 2.705876380251027e-07 8.11717973165619e-08 -1.0789280284145661e-07 -3.962311547654281e-08 -6.782535535707195e-10 2.1674065276668756e-07 1.1437433902150823e-07 -2.1257654683771453e-07 -8.611526214591619e-08 1.2976017457548677e-07 4.3775068233647547e-07 -1.0469326822199897e-07 -6.160008955453123e-08 3.4435999931402904e-07 -4.791519213410784e-07 -2.869906073546007e-08 -5.301599566647613e-06
age2sex -5.79798716754726e-08 6.724330319407947e-06 -1.575432214745303e-07 1.142843617769136e-09 0.00022853769163132246 -1.795331369492175e-05 4.266450959513694e-07 -3.139077762541857e-09 -5.902959966604381e-09 -2.895142623736966e-09 9.590228074207487e-10 8.440879259413788e-10 -5.941662282156641e-09 -1.002201581396889e-09 1.0760836796471578e-09 1.1470661982780235e-11 6.329426037666981e-10 -4.7219045367431504e-09 -2.869782317197306e-09 4.57916728646082e-09 3.184363362122108e-09 -1.935423873156699e-09 -9.676206906638856e-09 4.24261054865294e-10 2.74411442621975e-09 -8.80041380768679e-09 1.1643503814283115e-08 3.483421414987992e-10 1.4087327081281493e-07
age3sex 5.428731200486038e-10 -4.7923876378434223e-08 1.1419046775349264e-09 -8.418408526831436e-12 -1.6272347196107683e-06 1.2994343940769188e-07 -3.1390777625418324e-09 2.3458351570992176e-11 4.6206955554084104e-11 2.446345287567186e-11 -5.931075070411703e-12 -5.3231653598011645e-12 4.413892442212306e-11 4.320871425736365e-12 -5.272674725900498e-13 4.0778933839071625e-12 -9.352511334008457e-12 3.1154906193910605e-11 2.241147138118208e-11 -3.1197953376663226e-11 -2.925706341483753e-11 7.496144321173753e-12 6.822738330415285e-11 1.0963149999620149e-11 -2.6121158101596887e-11 6.977274573194936e-11 -8.712695336504529e-11 -6.246353629075475e-13 -1.1661023561109538e-09
pcs.V3 2.251251686794105e-07 -4.967381050749543e-08 3.596034527065947e-09 -4.0316521869694786e-11 -2.126271535639671e-06 2.082459008190156e-07 -5.902959966607203e-09 4.620695555410397e-11 1.2275181594412534e-06 1.0495362195546754e-07 -1.967012331181463e-08 -3.842531756030139e-09 1.1768759844427509e-08 1.507708130964003e-08 -4.91189767682408e-09 1.9453655971697204e-08 1.167077379818111e-08 -7.483475107031224e-10 -1.5033429796093482e-08 1.5759164050142688e-08 2.8177332664397942e-09 -1.3113157483717617e-08 -1.346709209072325e-08 -8.332593846405959e-10 -7.214458180866185e-09 -1.4032558793863465e-08 5.64948186174122e-09 9.456687566023432e-09 1.047101233016192e-06
pcs.V4 3.1332159075891685e-07 1.9831402503790176e-07 -4.280943647151378e-09 3.347048660995077e-11 -1.2138928361233873e-06 1.123268723208588e-07 -2.895142623753448e-09 2.4463452875790545e-11 1.0495362195546771e-07 1.312725990426678e-06 4.475346506533092e-08 -1.0202322193268152e-08 1.9829906699983153e-08 -3.354991149727655e-08 -8.03152336595616e-09 2.922494223976595e-08 -8.421710160363049e-10 -8.517887226728172e-09 1.0559062997605232e-08 -1.1186984374064124e-08 -7.026096539669367e-09 1.7469404172986768e-08 1.3049843940820914e-08 2.060879228352056e-08 7.126022298301908e-09 4.135209742935811e-09 -5.508266427973028e-09 9.722403333663601e-09 -6.41857762719009e-07
